osobama	osoba	Ncfpd
prebacivanje	prebacivanje	Ncnsa
i	i	Cc
brojeve	broj	Ncmpa
kaveza	kavez	Ncmsg
,	,	Z

–	–	Z
naziv	naziv	Ncmsn
plovila	plovilo	Ncnsg
za	za	Sa
tegalj	tegalj	Ncmsan
,	,	Z
broj	broj	Ncmsan
transportnih	transportni	Agpmpgy
kaveza	kavez	Ncmpg
i	i	Cc
ICCAT	iccat	Agpmsnn
broj	broj	Ncmsn
,	,	Z
ako	ako	Cs
postoji	postojati	Vmr3s
,	,	Z

–	i	Agpfsay
odredišnu	odredišni	Agpfsay
luku	luka	Ncfsa
,	,	Z
uzgajalište	uzgajalište	Ncnsn
ili	ili	Cc
kavez	kavez	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
dodijeliti	dodijeliti	Vmn
i	i	Cc
proslijediti	proslijediti	Vmn
zapovjedniku	zapovjednik	Ncmsd
ulovnog	ulovan	Agpnsgy
plovila	plovilo	Ncnsg
ili	ili	Cc
uzgajalištu	uzgajalište	Ncnsl
,	,	Z
ili	ili	Cc
njihovom	njihov	Ps3msl
predstavniku	predstavnik	Ncmsl
,	,	Z
broj	broj	Ncmsn
autorizacije	autorizacija	Ncfsg
za	za	Sa
svaku	svaki	Pi-fsa
radnju	radnja	Ncfsa
prebacivanja	prebacivanje	Ncnsg
.	.	Z

Ni	ni	Qz
jedna	jedan	Mlcfsn
radnja	radnja	Ncfsn
prebacivanja	prebacivanje	Ncnsg
ne	ne	Qz
smije	smjeti	Vmr3s
započeti	započeti	Vmn
bez	bez	Sg
prethodne	prethodan	Agpfsgy
autorizacije	autorizacija	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prethodna	prethodan	Agpfsny
autorizacija	autorizacija	Ncfsn
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
oznake	oznaka	Ncfsg
HRV	HRV	Npfsg
koju	koji	Pi-fsa
slijede	slijediti	Vmr3p
4	4	Mdc
znamenke	znamenka	Ncfpn
koje	koji	Pi-fpn
označavaju	označavati	Vmr3p
godinu	godina	Ncfsa
i	i	Cc
3	3	Mdc
slova	slovo	Ncnpg
koja	koji	Pi-npn
ukazuju	ukazivati	Vmr3p
na	na	Sa
pozitivno	pozitivan	Agpnsay
ovlaštenje	ovlaštenje	Ncnsa
(	(	Z
AUT	aut	Ncmsn
)	)	Z
ili	ili	Cc
negativno	negativan	Agpnsny
ovlaštenje	ovlaštenje	Ncnsn
(	(	Z
NEG	NEG	Npmsn
)	)	Z
nakon	nakon	Sg
čega	što	Pi3n-g
slijede	slijediti	Vmr3p
znamenke	znamenka	Ncfpn
u	u	Sl
nizu	niz	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
neće	htjeti	Var3s
odobriti	odobriti	Vmn
prebacivanje	prebacivanje	Ncnsa
ako	ako	Cs
po	po	Sl
primitku	primitak	Ncmsl
obavijesti	obavijest	Ncfsl
o	o	Sl
prebacivanju	prebacivanje	Ncnsl
ocijeni	ocijeniti	Vmr3s
da	da	Cs
:	:	Z

a	a	Cc
)	)	Z
ulovno	ulovan	Agpnsny
plovilo	plovilo	Ncnsn
nema	nemati	Vmr3s
dostatnu	dostatan	Agpfsay
kvotu	kvota	Ncfsa
,	,	Z

b	b	Npmsn
)	)	Z
ulovno	ulovan	Agpnsny
plovilo	plovilo	Ncnsn
nije	biti	Var3s
prijavilo	prijaviti	Vmp-sn
valjanu	valjan	Agpfsay
količinu	količina	Ncfsa
ribe	riba	Ncfsg
ili	ili	Cc
nije	biti	Var3s
autorizirano	autorizirati	Agpnsny
za	za	Sa
prebacivanje	prebacivanje	Ncnsa
u	u	Sa
kavez	kavez	Ncmsan
,	,	Z

c	C	Npmsn
)	)	Z
ulovno	ulovan	Agpnsny
plovilo	plovilo	Ncnsn
koje	koji	Pi-nsn
je	biti	Var3s
prijavilo	prijaviti	Vmp-sn
ulov	ulov	Ncmsan
nije	biti	Var3s
ovlašteno	ovlašten	Agpnsny
za	za	Sa
ulov	ulov	Ncmsan
tune	tuna	Ncfsg
,	,	Z
ili	ili	Cc

d	i	Agpnsny
)	)	Z
plovilo	plovilo	Ncnsn
za	za	Sa
tegalj	tegalj	Ncmsan
koje	koji	Pi-fsg
je	biti	Var3s
prijavilo	prijaviti	Vmp-sn
prebacivanje	prebacivanje	Ncnsn
nije	biti	Var3s
registrirano	registrirati	Appnsny
u	u	Sl
Registru	registar	Ncmsl
ostalih	ostali	Agpnpgy
plovila	plovilo	Ncnpg
ili	ili	Cc
nije	biti	Var3s
opremljeno	opremiti	Appnsny
VMS-om	VMS	Npmsi
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
prebacivanje	prebacivanje	Ncnsn
ne	ne	Qz
bude	biti	Var3s
odobreno	odobriti	Appnsny
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
zapovjedniku	zapovjednik	Ncmsd
ulovnog	ulovan	Agpnsgy
plovila	plovilo	Ncnsg
ili	ili	Cc
uzgajalištu	uzgajalište	Ncnsl
izdati	izdati	Vmn
nalog	nalog	Ncmsan
za	za	Sa
puštanje	puštanje	Ncnsa
ribe	riba	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
odluku	odluka	Ncfsa
o	o	Sl
odobrenju	odobrenje	Ncnsl
prebačaja	prebačaj	Ncmsg
donijeti	donijeti	Vmn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
najviše	mnogo	Rgs
48	48	Mdc
sati	sat	Ncmpg
nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
odobrenjem	odobrenje	Ncnsi
.	.	Z

Ako	ako	Cs
prebacivanje	prebacivanje	Ncnsn
ne	ne	Qz
bude	biti	Var3s
odobreno	odobriti	Appnsny
,	,	Z
zapovjednik	zapovjednik	Ncmsn
ulovnog	ulovan	Agpnsgy
plovila	plovilo	Ncnsg
ili	ili	Cc
vlasnik	vlasnik	Ncmsn
uzgajališta	uzgajalište	Ncnsg
mora	morati	Vmr3s
pustiti	pustiti	Vmn
ribu	riba	Ncfsa
u	u	Sa
more	more	Ncnsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Puštanje	puštanje	Ncnsn
tuna	tuna	Ncfpg
iz	iz	Sg
transportnih	transportni	Agpmpgy
/	/	Z
uzgojnih	uzgojan	Agpmpgy
kaveza	kavez	Ncmpg
u	u	Sa
more	more	Ncnsa
bit	biti	Van
će	htjeti	Var3s
zabilježeno	zabilježiti	Appnsny
videokamerom	videokamera	Ncfsi
i	i	Cc
praćeno	pratiti	Appnsny
od	od	Sg
ICCAT-ovog	ICCAT-ovog	Pi-msg
regionalnog	regionalan	Agpmsgy
promatrača	promatrač	Ncmsg
koji	koji	Pi-msn
će	htjeti	Var3s
pripremiti	pripremiti	Vmn
i	i	Cc
podnijeti	podnijeti	Vmn
izvješće	izvješće	Ncnsa
ICCAT-ovom	iccat-ov	Agpnsdy
Tajništvu	tajništvo	Ncnsd
zajedno	zajedno	Rgp
s	sa	Si
videozapisom	videozapis	Ncmsi
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Prije	prije	Sg
početka	početak	Ncmsg
operacije	operacija	Ncfsg
puštanja	puštanje	Ncnsg
tuna	tuna	Ncfpg
iz	iz	Sg
kaveza	kavez	Ncmsg
,	,	Z
ribarska	ribarski	Agpfsny
inspekcija	inspekcija	Ncfsn
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
kontrolno	kontrolan	Agpnsay
prebacivanje	prebacivanje	Ncnsa
praćeno	pratiti	Appnsny
konvencionalnom	konvencionalan	Agpfsiy
podvodnom	podvodan	Agpfsiy
videokamerom	videokamera	Ncfsi
i	i	Cc
/	/	Z
ili	ili	Cc
stereoskopskom	stereoskopski	Agpfsiy
kamerom	kamera	Ncfsi
radi	radi	Sg
procjene	procjena	Ncfsg
broja	broj	Ncmsg
i	i	Cc
količine	količina	Ncfsg
ribe	riba	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
pušta	puštati	Vmr3s
u	u	Sa
more	more	Ncnsa
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ribarska	ribarski	Agpfsny
inspekcija	inspekcija	Ncfsn
može	moći	Vmr3s
provesti	provesti	Vmn
i	i	Qo
bilo	bilo	Qo
koju	koji	Pi-fsa
drugu	drugi	Mlofsa
potrebnu	potreban	Agpfsay
mjeru	mjera	Ncfsa
koja	koji	Pi-fsn
će	htjeti	Var3s
jamčiti	jamčiti	Vmn
da	da	Cs
se	sebe	Px--sa
operacija	operacija	Ncfsn
puštanja	puštanje	Ncnsg
tune	tuna	Ncfsg
u	u	Sa
more	more	Ncnsa
odvije	odviti	Vmr3s
u	u	Sl
najpovoljnijem	povoljan	Agsmsly
trenutku	trenutak	Ncmsl
i	i	Cc
na	na	Sl
najpovoljnijem	povoljan	Agpnsly
mjestu	mjesto	Ncnsl
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
povećala	povećati	Vmp-sf
vjerojatnost	vjerojatnost	Ncfsn
da	da	Cs
se	sebe	Px--sa
puštena	pustiti	Appfsny
riba	riba	Ncfsn
vrati	vratiti	Vmr3s
u	u	Sa
stok	stok	Ncmsan
.	.	Z

Zapovjednik	zapovjednik	Ncmsn
ulovnog	ulovan	Agpmsgy
ili	ili	Cc
transportnog	transportni	Agpnsgy
plovila	plovilo	Ncnsg
ili	ili	Cc
uzgajališta	uzgajalište	Ncnsg
odgovoran	odgovoran	Agpmsnn
je	biti	Var3s
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
ribe	riba	Ncfsg
do	do	Sg
trenutka	trenutak	Ncmsg
puštanja	puštanje	Ncnsg
u	u	Sa
more	more	Ncnsa
.	.	Z

Operacije	operacija	Ncfpn
puštanja	puštanje	Ncnsg
tune	tuna	Ncfsg
u	u	Sa
more	more	Ncnsa
se	sebe	Px--sa
moraju	morati	Vmr3p
dogoditi	dogoditi	Vmn
unutar	unutar	Sg
perioda	period	Ncmsg
od	od	Sg
3	3	Mdc
tjedna	tjedan	Ncmsg
od	od	Sg
završetka	završetak	Ncmsg
stavljanja	stavljanje	Ncnsg
u	u	Sa
kaveze	kavez	Ncmpa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Zapovjednici	zapovjednik	Ncmpn
ulovnog	ulovan	Agpnsgy
plovila	plovilo	Ncnsg
ili	ili	Cc
plovila	plovilo	Ncnpa
za	za	Sa
tegalj	tegalj	Ncmsan
ili	ili	Cc
predstavnik	predstavnik	Ncmsn
uzgajališta	uzgajalište	Ncnsg
ispunit	ispuniti	Vmn
će	htjeti	Var3s
i	i	Cc
poslati	poslati	Vmn
Ministarstvu	ministarstvo	Ncnsd
ICCAT	iccat	Vmn
Deklaraciju	deklaracija	Ncfsa
o	o	Sl
prebacivanju	prebacivanje	Ncnsl
(	(	Z
Prilog	prilog	Ncmsn
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
)	)	Z
na	na	Sl
kraju	kraj	Ncmsl
radnji	radnja	Ncfsl
prebacivanja	prebacivanje	Ncnsg
.	.	Z

Deklaracija	deklaracija	Ncfsn
o	o	Sl
prebacivanju	prebacivanje	Ncnsl
vodi	voditi	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
knjiga	knjiga	Ncfsn
formata	format	Ncmsg
A4	A4	Xf
.	.	Z

Na	na	Sl
naslovnoj	naslovni	Agpfsly
stranici	stranica	Ncfsl
svake	svaki	Pi-fsg
knjige	knjiga	Ncfsg
otisnut	otisnuti	Appmsnn
je	biti	Var3s
naziv	naziv	Ncmsn
deklaracije	deklaracija	Ncfsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Deklaracije	deklaracija	Ncfpn
su	biti	Var3p
numerirane	numerirati	Appfpny
na	na	Sa
način	način	Ncmsan
da	da	Cs
sustav	sustav	Ncmsn
numeracije	numeracija	Ncfsg
uključuje	uključivati	Vmr3s
oznaku	oznaka	Ncfsa
HRV	HRV	Npfsg
,	,	Z
koju	koji	Pi-fsa
slijede	slijediti	Vmr3p
4	4	Mdc
znamenke	znamenka	Ncfpn
koje	koji	Pi-fpn
označavaju	označavati	Vmr3p
godinu	godina	Ncfsa
i	i	Cc
3	3	Mdc
broja	broj	Ncmsg
u	u	Sl
nizu	niz	Ncmsl
iza	iza	Sg
kojih	koji	Pi-mpg
slijede	slijediti	Vmr3p
tri	tri	Mlc
slova	slovo	Ncnsg
ITD	itd	Ncfsg
(	(	Z
HRV-20**	hrv-20*a	Ncfpn
/	/	Z
xxx	xxx	Y
/	/	Z
ITD	itd	Y
)	)	Z
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Original	original	Ncmsn
Deklaracija	deklaracija	Ncfsn
o	o	Sl
prebacivanju	prebacivanje	Ncnsl
mora	morati	Vmr3s
pratiti	pratiti	Vmn
ribu	riba	Ncfsa
.	.	Z

Preslika	preslika	Ncfsn
deklaracije	deklaracija	Ncfsg
čuva	čuvati	Vmr3s
se	sebe	Px--sa
na	na	Sl
ulovnom	ulovan	Agpnsly
plovilu	plovilo	Ncnsl
i	i	Cc
plovilu	plovilo	Ncnsl
za	za	Sa
tegalj	tegalj	Ncmsan
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Zapovjednici	zapovjednik	Ncmpn
plovila	plovilo	Ncnsg
koji	koji	Pi-mpn
obavljaju	obavljati	Vmr3p
prebacivanja	prebacivanje	Ncnpa
(	(	Z
uključujući	uključivati	Rr
plovila	plovilo	Ncnpa
za	za	Sa
tegalj	tegalj	Ncmsan
)	)	Z
zabilježit	zabilježiti	Vmn
će	htjeti	Var3s
u	u	Sa
očevidnik	očevidnik	Ncmsan
prebačene	prebaciti	Agpfsgy
količine	količina	Ncfsg
i	i	Cc
broj	broj	Ncmsan
riba	riba	Ncfpg
,	,	Z
kao	kao	Cs
i	i	Qo
naziv	naziv	Ncmsn
ulovnog	ulovan	Agpnsgy
plovila	plovilo	Ncnsg
,	,	Z
zastavu	zastava	Ncfsa
pod	pod	Si
kojom	koji	Pi-fsi
plovi	ploviti	Vmr3s
,	,	Z

