pravnih	pravni	Agpnpgy
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sl
općim	opći	Agpmply
uvjetima	uvjet	Ncmpl
poslovanja	poslovanje	Ncnsg
i	i	Cc
cjenovnim	cjenovan	Agpmply
sustavima	sustav	Ncmpl
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
člankom	članak	Ncmsi
42.	42.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Svaki	svaki	Pi-msn
potrošač	potrošač	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
sklopiti	sklopiti	Vmn
ugovor	ugovor	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
objavljenih	objavljen	Agpmpgy
općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
poslovanja	poslovanje	Ncnsg
i	i	Cc
cjenovnih	cjenovan	Agpmpgy
sustava	sustav	Ncmpg
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
42.	42.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
navedenog	naveden	Agpmsgy
Zakona	zakon	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
općim	opći	Agpmply
uvjetima	uvjet	Ncmpl
poslovanja	poslovanje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
osobito	osobito	Rgp
utvrđuje	utvrđivati	Vmr3s
sljedeće	sljedeći	Agpnsay
:	:	Z

–	–	Agpmsny
naziv	naziv	Ncmsn
i	i	Cc
sjedište	sjedište	Ncnsa
operatora	operator	Ncmpg
,	,	Z

–	i	Agpfpay
usluge	usluga	Ncfpa
koje	koji	Pi-fpn
se	sebe	Px--sa
pružaju	pružati	Vmr3p
,	,	Z
razinu	razina	Ncfsa
kakvoće	kakvoća	Ncfsg
tih	taj	Pd-fpg
usluga	usluga	Ncfpg
te	te	Cc
vrijeme	vrijeme	Ncnsn
uspostave	uspostava	Ncfsg
priključka	priključak	Ncmsg
,	,	Z

–	–	Pd-fsg
vrste	vrsta	Ncfsg
usluga	usluga	Ncfpg
održavanja	održavanje	Ncnsg
,	,	Z

–	–	Agpmsny
osnovni	osnovan	Agpmsny
sadržaj	sadržaj	Ncmsn
ponude	ponuda	Ncfsg
za	za	Sa
pružanje	pružanje	Ncnsa
javnih	javan	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z

–	–	Sa
način	način	Ncmsan
i	i	Cc
uvjeti	uvjet	Ncmpn
zasnivanja	zasnivanje	Ncnsg
,	,	Z
trajanja	trajanje	Ncnsg
,	,	Z
prijenosa	prijenos	Ncmsg
,	,	Z
obnavljanja	obnavljanje	Ncnsg
i	i	Cc
raskidanja	raskidanje	Ncnsg
pretplatničkog	pretplatnički	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z

–	i	Agpfpny
odredbe	odredba	Ncfpn
o	o	Sl
naknadama	naknada	Ncfpl
i	i	Cc
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
koje	koji	Pi-fpn
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
u	u	Sl
slučajevima	slučaj	Ncmpl
kada	kada	Rgp
nisu	biti	Var3p
zadovoljene	zadovoljiti	Appfpny
ugovorene	ugovoriti	Agpfpny
razine	razina	Ncfpn
kakvoće	kakvoća	Ncfsg
usluge	usluga	Ncfsg
,	,	Z

–	i	Agpfpny
odredbe	odredba	Ncfpn
o	o	Sl
načinu	način	Ncmsl
pokretanja	pokretanje	Ncnsg
postupaka	postupak	Ncmpg
za	za	Sa
rješavanje	rješavanje	Ncnsa
prigovora	prigovor	Ncmpg
pretplatnika	pretplatnik	Ncmpg
,	,	Z
uključujući	uključivati	Rr
postupke	postupak	Ncmpa
za	za	Sa
rješavanje	rješavanje	Ncnsa
sporova	spor	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
50.	50.	Mdo
i	i	Cc
51.	51.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z

–	i	Agpfpay
odredbe	odredba	Ncfpa
o	o	Sl
postupku	postupak	Ncmsl
u	u	Sl
slučaju	slučaj	Ncmsl
nepodmirenja	nepodmirenj	Ncmsg
dugovanja	dugovanje	Ncnsg
za	za	Sa
pružene	pružiti	Agpfpay
usluge	usluga	Ncfpa
,	,	Z

–	–	Agpmpny
podaci	podatak	Ncmpn
o	o	Sl
mogućnosti	mogućnost	Ncfsl
besplatnog	besplatan	Agpnsgy
biranja	biranje	Ncnsg
jedinstvenog	jedinstven	Agpmsgy
europskog	europski	Agpmsgy
broja	broj	Ncmsg
za	za	Sa
hitne	hitan	Agpfpay
službe	služba	Ncfpa
112	112	Mdc
i	i	Cc
drugih	drugi	Mlompg
pozivnih	pozivni	Agpmpgy
brojeva	broj	Ncmpg
za	za	Sa
hitne	hitan	Agpfpay
službe	služba	Ncfpa
.	.	Z

Proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
svakom	svaki	Pi-msd
operatoru	operator	Ncmsd
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
i	i	Cc
tužitelju	tužitelj	Ncmsl
ostavljena	ostaviti	Appfsny
mogućnost	mogućnost	Ncfsn
da	da	Cs
u	u	Sl
svojim	svoj	Agpmply
općim	opći	Agpmply
uvjetima	uvjet	Ncmpl
poslovanja	poslovanje	Ncnsg
propiše	propisati	Vmr3s
način	način	Ncmsan
otklanjanja	otklanjanje	Ncnsg
kvara	kvar	Ncmsg
i	i	Cc
eventualnu	eventualan	Agpfsay
naplatu	naplata	Ncfsa
izlaska	izlazak	Ncmsg
tehničara	tehničar	Ncmpg
na	na	Sa
teren	teren	Ncmsan
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
9.	9.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Pravilnika	pravilnik	Ncmsg
o	o	Sl
načinu	način	Ncmsl
i	i	Cc
uvjetima	uvjet	Ncmpl
obavljanja	obavljanje	Ncnsg
djelatnosti	djelatnost	Ncfsg
elektroničkih	elektronički	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
mreža	mreža	Ncfpg
i	i	Cc
usluga	usluga	Ncfpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
154/08.	154/08.	Mds
i	i	Cc
51/11.	51/11.	Mds
)	)	Z
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
pravna	pravni	Agpfsny
ili	ili	Cc
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
obvezna	obvezan	Agpfsny
osigurati	osigurati	Vmn
ispravnu	ispravan	Agpfsay
pretplatničku	pretplatnički	Agpfsay
instalaciju	instalacija	Ncfsa
i	i	Cc
nabaviti	nabaviti	Vmn
telekomunikacijsku	telekomunikacijski	Agpfsay
terminalnu	terminalan	Agpfsay
opremu	oprema	Ncfsa
koja	koji	Pi-fsn
zadovoljava	zadovoljavati	Vmr3s
propisane	propisati	Agpmpay
tehničke	tehnički	Agpmpay
uvjete	uvjet	Ncmpa
i	i	Cc
norme	norma	Ncfpa
,	,	Z
a	a	Cc
telekomunikacijska	telekomunikacijski	Agpfsny
oprema	oprema	Ncfsn
mora	morati	Vmr3s
imati	imati	Vmn
propisanu	propisati	Agpfsay
izjavu	izjava	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
22.	22.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Pravilnika	pravilnik	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
operator	operator	Ncmsn
javnih	javan	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
u	u	Sl
svojim	svoj	Agpmply
općim	opći	Agpmply
uvjetima	uvjet	Ncmpl
poslovanja	poslovanje	Ncnsg
detaljno	detaljno	Rgp
propisuje	propisivati	Vmr3s
postupak	postupak	Ncmsan
podnošenja	podnošenje	Ncnsg
i	i	Cc
rješavanja	rješavanje	Ncnsg
prigovora	prigovor	Ncmpg
pretplatnika	pretplatnik	Ncmpg
na	na	Sa
iznos	iznos	Ncmsan
kojim	koji	Pi-msi
je	biti	Var3s
zadužen	zadužiti	Appmsnn
za	za	Sa
pruženu	pružiti	Agpfsay
uslugu	usluga	Ncfsa
,	,	Z
te	te	Cc
prigovor	prigovor	Ncmsan
na	na	Sa
kakvoću	kakvoća	Ncfsa
pružene	pružiti	Agpfpay
usluge	usluga	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
Zakonom	zakon	Ncmsi
.	.	Z

Stavkom	stavak	Ncmsi
5.	5.	Mdo
istog	isti	Agpmsgy
članka	članak	Ncmsg
Zakona	zakon	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
između	između	Sg
ostaloga	ostali	Ncmsg
da	da	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
podnošenja	podnošenje	Ncnsg
prigovora	prigovor	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
nadležne	nadležan	Agpfsgy
službe	služba	Ncfsg
operatora	operator	Ncmpg
javnih	javan	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
moraju	morati	Vmr3p
detaljnu	detaljan	Agpfsay
provjeru	provjera	Ncfsa
tehničke	tehnički	Agpfsgy
ispravnosti	ispravnost	Ncfsg
elektroničke	elektronički	Agpfsgy
komunikacijske	komunikacijski	Agpfsgy
mreže	mreža	Ncfsg
i	i	Cc
pretplatničke	pretplatnički	Agpfsgy
terminalne	terminalan	Agpfsgy
opreme	oprema	Ncfsg
za	za	Sa
obavljenu	obaviti	Agpfsay
elektroničku	elektronički	Agpfsay
komunikacijsku	komunikacijski	Agpfsay
uslugu	usluga	Ncfsa
.	.	Z

Prema	prema	Sl
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
16.	16.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
poslovanja	poslovanje	Ncnsg
za	za	Sa
javne	javan	Agpfpay
komunikacijske	komunikacijski	Agpfpay
usluge	usluga	Ncfpa
Optima	Optim	Npmsg
Telekoma	Telekom	Npmsg
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
bili	biti	Vap-pm
na	na	Sl
snazi	snaga	Ncfsl
u	u	Sl
svibnju	svibanj	Ncmsl
2011.	2011.	Mdo
,	,	Z
između	između	Sg
ostaloga	ostali	Ncmsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
će	htjeti	Var3s
OT	OT	Npmsn
po	po	Sl
zaprimljenom	zaprimiti	Agpmsly
prigovoru	prigovor	Ncmsl
provesti	provesti	Vmn
detaljne	detaljan	Agpfpay
provjere	provjera	Ncfpa
administrativne	administrativan	Agpfpay
i	i	Cc
tehničke	tehnički	Agpfsgy
ispravnosti	ispravnost	Ncfsg
OT	oi	Agpfsgy
mreže	mreža	Ncfsg
i	i	Cc
terminalne	terminalan	Agpfsgy
opreme	oprema	Ncfsg
za	za	Sa
obavljenu	obaviti	Appfsay
OT	OT	Y

