Prilikom	prilikom	Sg
dokumentacije	dokumentacija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prilaže	prilagati	Vmr3s
i	i	Cc
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
za	za	Sa
tri	tri	Mlc
prethodne	prethodan	Agpfsgy
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
,	,	Z
ukoliko	ukoliko	Cs
je	biti	Var3s
društvo	društvo	Ncnsn
osnovano	osnovati	Appnsny
unutar	unutar	Sg
protekle	protekao	Agpfsgy
tri	tri	Mlc
godine	godina	Ncfsg
,	,	Z
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
za	za	Sa
svaku	svaki	Pi-fsa
godinu	godina	Ncfsa
od	od	Sg
osnivanja	osnivanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
društvo	društvo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podliježe	podlijegati	Vmr3s
obvezi	obveza	Ncfsd
sastavljanja	sastavljanje	Ncnsg
konsolidiranih	konsolidirati	Agpnpgy
i	i	Cc
/	/	Z
ili	ili	Cc
revidiranih	revidirati	Appmpgy
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
,	,	Z
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
uprava	uprava	Ncfsn
dostavlja	dostavljati	Vmr3s
konsolidirane	konsolidirati	Ncfpa
i	i	Cc
/	/	Z
ili	ili	Cc
revidirane	revidirati	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
društva	društvo	Ncnsg
za	za	Sa
tri	tri	Mlc
prethodne	prethodan	Agpfsgy
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
ukoliko	ukoliko	Cs
je	biti	Var3s
društvo	društvo	Ncnsn
osnovano	osnovati	Appnsny
unutar	unutar	Sg
protekle	protekao	Agpfsgy
tri	tri	Mlc
godine	godina	Ncfsg
,	,	Z
konsolidirane	konsolidirati	Appfpny
i	i	Cc
/	/	Z
ili	ili	Cc
revidirane	revidirati	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
za	za	Sa
svaku	svaki	Pi-fsa
godinu	godina	Ncfsa
od	od	Sg
osnivanja	osnivanje	Ncnsg
.	.	Z

UVJETI	uvjet	Ncmpn
ZA	za	Sa
ČLANA	ČLAN	Npmsay
UAIF-a	UAIF	Npmsg
I	i	Cc
MALOG	mali	Agpmsgy
UAIF-a	UAIF	Npmsg
I	i	Cc
IMATELJA	imatelj	Ncmpg
KVALIFICIRANOG	kvalificiran	Agpmsgy
UDJELA	udjel	Ncmsg
U	u	Sl
UAIF-u	UAIF	Npmsl

Članak	članak	Ncmsn
9.	9.	Mdo

Član	član	Ncmsn
UAIF-a	UAIF	Npmsg
,	,	Z
malog	mali	Agpmsgy
UAIF-a	UAIF	Npmsg
i	i	Cc
imatelj	imatelj	Ncmsn
kvalificiranog	kvalificiran	Agpmsgy
udjela	udjel	Ncmsg
u	u	Sl
UAIF-u	UAIF	Npmsl
može	moći	Vmr3s
biti	biti	Van
:	:	Z

1.	1.	Mdo
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
3	i	Agpfsgy
godine	godina	Ncfsg
prije	prije	Sg
stjecanja	stjecanje	Ncnsg
članstva	članstvo	Ncnsg
u	u	Sl
UAIF-u	UAIF	Npmsl
ili	ili	Cc
malom	mali	Agpmsly
UAIF-u	UAIF	Npmsd
nije	biti	Var3s
imala	imati	Vmp-sf
više	mnogo	Rgc
od	od	Sg
10	10	Mdc
%	%	Z
udjela	udjel	Ncmsg
u	u	Sl
temeljnom	temeljan	Agpmsly
kapitalu	kapital	Ncmsl
u	u	Sl
UAIF-u	UAIF	Npmsl
ili	ili	Cc
malom	mali	Agpmsly
UAIF-u	UAIF	Npmsl
,	,	Z
društvu	društvo	Ncnsl
za	za	Sa
upravljanje	upravljanje	Ncnsa
UCITS	UCITS	Si
fondovima	fond	Ncmpi
,	,	Z
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
ovlaštenoj	ovlašten	Agpfsly
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
depozitara	depozitar	Ncmpg
,	,	Z
investicijskom	investicijski	Agpnsly
društvu	društvo	Ncnsl
ili	ili	Cc
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
ovlaštenoj	ovlašten	Agpfsly
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
kupnje	kupnja	Ncfsg
i	i	Cc
prodaje	prodaja	Ncfsg
financijskih	financijski	Agpmpgy
instrumenata	instrument	Ncmpg
ili	ili	Cc
društvu	društvo	Ncnsl
za	za	Sa
osiguranje	osiguranje	Ncnsa
,	,	Z
u	u	Sa
vrijeme	vrijeme	Ncnsa
kada	kada	Cs
je	biti	Var3s
tim	tim	Ncmsn
društvima	društvo	Ncnpi
oduzeto	oduzeti	Agpnsny
odobrenje	odobrenje	Ncnsn
za	za	Sa
rad	rad	Ncmsan
,	,	Z

2.	2.	Mdo
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
potpuno	potpuno	Rgp
poslovno	poslovno	Rgp
sposobna	sposoban	Agpfsny
,	,	Z

3.	3.	Mdo
trgovac	trgovac	Ncmsn
pojedinac	pojedinac	Ncmsn
ili	ili	Cc
obrtnik	obrtnik	Ncmsn
nad	nad	Si
čijom	čiji	Agpfsiy
imovinom	imovina	Ncfsi
nije	biti	Var3s
otvoren	otvoriti	Appmsnn
ili	ili	Cc
proveden	provesti	Appmsnn
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
,	,	Z

4.	4.	Mdo
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
nije	biti	Var3s
bila	biti	Vap-sf
na	na	Sl
rukovodećim	rukovodeći	Agpmply
položajima	položaj	Ncmpl
u	u	Sl
trgovačkom	trgovački	Agpnsly
društvu	društvo	Ncnsl
nad	nad	Si
kojim	koji	Pi-msi
je	biti	Var3s
otvoren	otvoriti	Appmsnn
ili	ili	Cc
proveden	provesti	Appmsnn
stečajni	stečajni	Agpmsayn
postupak	postupak	Ncmsan
ili	ili	Cc
kojem	koji	Pi-msl
je	biti	Var3s
oduzeto	oduzeti	Agpnsny
odobrenje	odobrenje	Ncnsn
za	za	Sa
rad	rad	Ncmsan
,	,	Z
osim	osim	Cs
ako	ako	Cs
Agencija	agencija	Ncfsn
utvrdi	utvrditi	Vmr3s
da	da	Cs
ta	taj	Pd-fsn
osoba	osoba	Ncfsn
nije	biti	Var3s
svojim	svoj	Agpnsiy
postupanjem	postupanje	Ncnsi
ili	ili	Cc
ne	ne	Qz
postupanjem	postupanje	Ncnsi
pridonijela	pridonijeti	Vmp-sf
ovim	ovaj	Pd-fpi
okolnostima	okolnost	Ncfpi
,	,	Z

5.	5.	Mdo
koja	koji	Pi-fsn
trenutno	trenutno	Rgp
ne	ne	Qz
obnaša	obnašati	Vmr3s
neku	neki	Pi-fsa
dužnost	dužnost	Ncfsa
u	u	Sl
državnoj	državni	Agpfsly
službi	služba	Ncfsl
i	i	Cc
koja	koji	Pi-fsn
trenutno	trenutno	Rgp
nije	biti	Var3s
službenik	službenik	Ncmsn
državne	državni	Agpfsgy
ili	ili	Cc
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
ili	ili	Cc
tijela	tijelo	Ncnsg
odgovornih	odgovoran	Agpmpgy
zakonodavnoj	zakonodavan	Agpfsly
ili	ili	Cc
izvršnoj	izvršan	Agpfsly
vlasti	vlast	Ncfsl
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
državi	država	Ncfsl
članici	članica	Ncfsd
ili	ili	Cc
trećoj	treći	Mlofsl
državi	država	Ncfsl
,	,	Z

6.	6.	Mdo
osoba	osoba	Ncfsn
kojoj	koji	Pi-fsd
zbog	zbog	Sg
nepoštivanja	nepoštivanje	Ncnsg
odgovarajućih	odgovarajući	Agpmpgy
propisa	propis	Ncmpg
nije	biti	Var3s
oduzeta	oduzeti	Appfsny
odgovarajuća	odgovarajući	Agpfsny
suglasnost	suglasnost	Ncfsn
ili	ili	Cc
odobrenje	odobrenje	Ncnsa
za	za	Sa
obavljanje	obavljanje	Ncnsa
određenih	određen	Agpmpgy
poslova	posao	Ncmpg
prema	prema	Sl
zakonima	zakon	Ncmpl
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
nadležnosti	nadležnost	Ncfsl
Agencije	agencija	Ncfsg
,	,	Z
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
ili	ili	Cc
srodnih	srodan	Agpnpgy
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
iz	iz	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
država	država	Ncfsn
članica	članica	Ncfpg
ili	ili	Cc
trećih	treći	Mlofpg
država	država	Ncfpg
,	,	Z

7.	7.	Mdo
protiv	protiv	Sg
koje	koji	Pi-fsg
nije	biti	Var3s
pokrenuta	pokrenuti	Appfsny
istraga	istraga	Ncfsn
,	,	Z
odnosno	odnosno	Rgp
protiv	protiv	Sg
koje	koji	Pi-fsg
se	sebe	Px--sa
ne	ne	Qz
vodi	voditi	Vmr3s
kazneni	kazneni	Agpmsny
postupak	postupak	Ncmsn
zbog	zbog	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
progoni	progoniti	Vmr3s
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
,	,	Z

8.	8.	Mdo
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
nije	biti	Var3s
pravomoćno	pravomoćno	Rgp
osuđena	osuditi	Appfsny
za	za	Sa
kaznena	kazneni	Agpnpay
djela	djelo	Ncnpa
propisana	propisati	Appfsny
pravilnikom	pravilnik	Ncmsi
iz	iz	Sg
članka	članak	Ncmsg
36.	36.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
Zakona	zakon	Ncmsg
,	,	Z

9.	9.	Mdo
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
nije	biti	Var3s
pravomoćno	pravomoćno	Rgp
osuđena	osuditi	Appfsny
za	za	Sa
prekršaj	prekršaj	Ncmsan
ili	ili	Cc
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
koji	koji	Pi-mpn
predstavljaju	predstavljati	Vmr3p
grubo	grub	Agpnsay
i	i	Cc
trajno	trajan	Agpnsay
kršenje	kršenje	Ncnsa
propisa	propis	Ncmpg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Agencije	agencija	Ncfsg
,	,	Z
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
ili	ili	Cc
srodnih	srodan	Agpnpgy
nadzornih	nadzorni	Agpnpgy
tijela	tijelo	Ncnpg
iz	iz	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
država	država	Ncfsn
članica	članica	Ncfpg
ili	ili	Cc
trećih	treći	Mlofpg
država	država	Ncfpg
.	.	Z

ZAHTJEV	zahtjev	Ncmsn
ZA	za	Sa
IZDAVANJE	izdavanje	Ncnsa
ODOBRENJA	odobrenje	Ncnsg
ZA	za	Sa
STJECANJE	stjecanje	Ncnsa
ILI	ili	Cc
POVEĆANJE	povećanje	Ncnsa
KVALIFICIRANOG	kvalificiran	Agpmsgy
UDJELA	udjel	Ncmsg
UAIF-a	UAIF	Npmsg

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
kao	kao	Cs
namjeravani	namjeravati	Agpmsny
stjecatelj	stjecatelj	Ncmsn
,	,	Z
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
stjecanje	stjecanje	Ncnsa
ili	ili	Cc
povećanje	povećanje	Ncnsa
kvalificiranog	kvalificiran	Agpmsgy
udjela	udjel	Ncmsg
UAIF-a	UAIF	Npmsg
dužna	dužan	Agpfsny
je	biti	Var3s
priložiti	priložiti	Vmn
:	:	Z

a	a	Cc
)	)	Z
za	za	Sa
stranu	strana	Ncfsa
pravnu	pravni	Agpfsay
osobu	osoba	Ncfsa
,	,	Z
izvadak	izvadak	Ncmsan
iz	iz	Sg
odgovarajućeg	odgovarajući	Agpmsgy
registra	registar	Ncmsg
,	,	Z

b	b	Npmsn
)	)	Z
popis	popis	Ncmsan
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
u	u	Sl
smislu	smisao	Ncmsl
Zakona	zakon	Ncmsg
u	u	Sl
odnosu	odnos	Ncmsl
uske	uzak	Agpfsgy
povezanosti	povezanost	Ncfsg
sa	sa	Si
namjeravanim	namjeravati	Agpmsiy
stjecateljem	stjecatelj	Ncmsi
,	,	Z
te	te	Cc
opis	opis	Ncmsan
načina	način	Ncmsg
povezanosti	povezanost	Ncfsg
,	,	Z

c	C	Npmsn
)	)	Z
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
za	za	Sa
posljednje	posljednji	Agpfpay
tri	tri	Mlc
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
ukoliko	ukoliko	Cs
je	biti	Var3s
društvo	društvo	Ncnsn
osnovano	osnovati	Appnsny
unutar	unutar	Sg
protekle	protekao	Agpfsgy
tri	tri	Mlc
godine	godina	Ncfsg
,	,	Z

