telefonski	telefonski	Agpmsny
4.	4.	Mdo
izjavu	izjava	Ncfsa
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
svih	sav	Agpmpgy
uvjeta	uvjet	Ncmpg
iz	iz	Sg
oglasa	oglas	Ncmsg
.	.	Z

Evidentiranje	evidentiranje	Ncnsn
pristiglih	pristigao	Agpfpgy
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg

Članak	članak	Ncmsn
29.	29.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ponude	ponuda	Ncfpn
se	sebe	Px--sa
prema	prema	Sl
redoslijedu	redoslijed	Ncmsl
pristizanja	pristizanje	Ncnsg
evidentiraju	evidentirati	Vmr3p
i	i	Cc
upisuju	upisivati	Vmr3p
u	u	Sa
odgovarajući	odgovarajući	Agpmsayn
upisnik	upisnik	Ncmsan
,	,	Z
a	a	Cc
na	na	Sl
omotnici	omotnica	Ncfsl
ponude	ponuda	Ncfsg
se	sebe	Px--sa
stavlja	stavljati	Vmr3s
naznaka	naznaka	Ncfsn
s	sa	Si
podacima	podatak	Ncmpi
o	o	Sl
rednom	redni	Agpmsly
broju	broj	Ncmsl
,	,	Z
datumu	datum	Ncmsl
i	i	Cc
satu	sat	Ncmsl
prispijeća	prispijeće	Ncnsg
ponude	ponuda	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ponuda	ponuda	Ncfsn
pristigla	pristići	Vmp-sf
nakon	nakon	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
za	za	Sa
dostavu	dostava	Ncfsa
ponuda	ponuda	Ncfsn
se	sebe	Px--sa
:	:	Z

1.	1.	Mdo
obilježava	obilježavati	Vmr3s
kao	kao	Cs
ponuda	ponuda	Ncfsn
pristigla	pristići	Vmp-sf
sa	sa	Si
zakašnjenjem	zakašnjenje	Ncnsi

2.	2.	Mdo
smatra	smatrati	Vmr3s
kao	kao	Cs
da	da	Cs
nije	biti	Var3s
niti	niti	Qo
podnesena	podnijeti	Appfsny
i	i	Cc
ne	ne	Qz
uzima	uzimati	Vmr3s
se	sebe	Px--sa
u	u	Sa
obzir	obzir	Ncmsan
pri	pri	Sl
odabiru	odabir	Ncmsl
najpovoljnije	povoljan	Agsfsgy
ponude	ponuda	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ponuda	ponuda	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
je	biti	Var3s
svaka	svaki	Pi-fsn
ponuda	ponuda	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
neovisno	neovisno	Rgp
o	o	Sl
razlogu	razlog	Ncmsl
zakašnjenja	zakašnjenje	Ncnsg
pristigla	pristići	Vmp-sf
nakon	nakon	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
za	za	Sa
dostavu	dostava	Ncfsa
ponuda	ponuda	Ncfpg
,	,	Z
što	što	Pi3n-n
uključuje	uključivati	Vmr3s
i	i	Cc
ponudu	ponuda	Ncfsa
upućenu	uputiti	Appfsay
poštom	pošta	Ncfsi
preporučeno	preporučiti	Appnsny
ili	ili	Cc
predanu	predati	Appfsay
ovlaštenom	ovlašten	Agpmsly
pružatelju	pružatelj	Ncmsl
poštanskih	poštanski	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
neovisno	neovisan	Agpnsny
o	o	Sl
danu	dan	Ncmsl
njezine	njezin	Ncfsg
predaje	predavati	Vmr3s
pošti	pošta	Ncfsd
odnosno	odnosno	Rgp
ovlaštenom	ovlašten	Agpmsly
pružatelju	pružatelj	Ncmsl
poštanskih	poštanski	Agpfpgy
usluga	usluga	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ponude	ponuda	Ncfpn
se	sebe	Px--sa
do	do	Sg
javnog	javan	Agpnsgy
otvaranja	otvaranje	Ncnsg
pohranjuju	pohranjivati	Vmr3p
prema	prema	Sl
uputi	uputa	Ncfsl
Povjerenstva	povjerenstvo	Ncnsg
,	,	Z
na	na	Sa
način	način	Ncmsan
da	da	Cs
nisu	biti	Var3p
dostupne	dostupan	Agpfpny
neovlaštenim	neovlašten	Agpfpdy
osobama	osoba	Ncfpd
.	.	Z

Javno	javan	Agpnsny
otvaranje	otvaranje	Ncnsn
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg

Članak	članak	Ncmsn
30.	30.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nadmetanje	nadmetanje	Ncnsn
prikupljanjem	prikupljanje	Ncnsi
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
Povjerenstvo	povjerenstvo	Ncnsn
provodi	provoditi	Vmr3s
na	na	Sl
mjestu	mjesto	Ncnsl
i	i	Cc
u	u	Sa
vrijeme	vrijeme	Ncnsa
objavljeno	objaviti	Appnsny
u	u	Sl
oglasu	oglas	Ncmsl
na	na	Sa
način	način	Ncmsan
da	da	Cs
prije	prije	Sg
javnog	javan	Agpnsgy
otvaranja	otvaranje	Ncnsg
ponuda	ponuda	Ncfpg
utvrdi	utvrditi	Vmr3s
:	:	Z

1.	1.	Mdo
ukupan	ukupan	Agpmsnn
broj	broj	Ncmsn
pristiglih	pristigao	Agpfpgy
ponuda	ponuda	Ncfpg

2.	2.	Mdo
koje	koji	Pi-fpn
ponude	ponuditi	Vmr3p
se	sebe	Px--sa
isključuju	isključivati	Vmr3p
iz	iz	Sg
javnog	javan	Agpnsgy
otvaranja	otvaranje	Ncnsg
jer	jer	Cs
se	sebe	Px--sa
ne	ne	Qz
uzimaju	uzimati	Vmr3p
u	u	Sa
obzir	obzir	Ncmsan
za	za	Sa
odabir	odabir	Ncmsan
ponude	ponuda	Ncfsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
29.	29.	Mdo
stavcima	stavak	Ncmpi
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

3.	3.	Mdo
tko	tko	Pi3m-n
je	biti	Var3s
od	od	Sg
ponuditelja	ponuditelj	Ncmpg
osobno	osobno	Rgp
ili	ili	Cc
putem	put	Sg
ovlaštenog	ovlašten	Agpmsgy
zastupnika	zastupnik	Ncmsg
prisutan	prisutan	Agpmsnn
javnom	javan	Agpnsly
otvaranju	otvaranje	Ncnsl
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Povjerenstvo	povjerenstvo	Ncnsn
javno	javno	Rgp
otvara	otvarati	Vmr3s
ponude	ponuda	Ncfpa
prema	prema	Sl
redoslijedu	redoslijed	Ncmsl
zaprimanja	zaprimanje	Ncnsg
i	i	Cc
za	za	Sa
svaku	svaki	Pi-fsa
ponudu	ponuda	Ncfsa
javno	javno	Rgp
objavljuje	objavljivati	Vmr3s
ispunjava	ispunjavati	Vmr3s
li	li	Qq
uvjete	uvjet	Ncmpa
iz	iz	Sg
članaka	članak	Ncmpg
27.	27.	Mdo
i	i	Cc
28.	28.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
te	te	Cc
ako	ako	Cs
ponuda	ponuda	Ncfsn
ispunjava	ispunjavati	Vmr3s
uvjete	uvjet	Ncmpa
(	(	Z
uredna	uredan	Agpfsny
ponuda	ponuda	Ncfsn
)	)	Z
i	i	Cc
visinu	visina	Ncfsa
ponuđene	ponuditi	Appfpny
prodajne	prodajni	Agpfpny
cijene	cijena	Ncfpn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Osoba	osoba	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ima	imati	Vmr3s
pravo	pravo	Ncnsa
izjavljivanja	izjavljivanje	Ncnsg
prigovora	prigovor	Ncmsg
na	na	Sa
tijek	tijek	Ncmsan
javnog	javan	Agpnsgy
otvaranja	otvaranje	Ncnsg
ponuda	ponuda	Ncfpg
.	.	Z

O	o	Sl
prigovoru	prigovor	Ncmsl
se	sebe	Px--sa
Povjerenstvo	povjerenstvo	Ncnsn
izjašnjava	izjašnjavati	Vmr3s
odmah	odmah	Rgp
i	i	Qo
to	taj	Pd-nsn
unosi	unositi	Vmr3s
u	u	Sa
zapisnik	zapisnik	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Nakon	nakon	Cs
što	što	Cs
Povjerenstvo	povjerenstvo	Ncnsn
između	između	Sg
urednih	uredan	Agpfpgy
ponuda	ponuda	Ncfpg
utvrdi	utvrda	Ncfpg
koja	koji	Pi-fsn
je	biti	Var3s
ponuda	ponuda	Ncfsn
s	sa	Si
najvišom	visok	Ncfsi
ponuđenom	ponuditi	Agpfsiy
cijenom	cijena	Ncfsi
,	,	Z
odmah	odmah	Rgp
javno	javno	Rgp
objavljuje	objavljivati	Vmr3s
da	da	Cs
se	sebe	Px--sa
roba	roba	Ncfsn
prodaje	prodavati	Vmr3s
ponuditelju	ponuditelj	Ncmsl
te	taj	Pd-fsg
ponude	ponuda	Ncfsg
kao	kao	Cs
odabranom	odabrati	Agpmsly
ponuditelju	ponuditelj	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
time	taj	Pd-nsi
smatra	smatrati	Vmr3s
kupcem	kupac	Ncmsi
i	i	Cc
poziva	pozivati	Vmr3s
na	na	Sa
postupanje	postupanje	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncmsl
32.	32.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
se	sebe	Px--sa
prikupljanje	prikupljanje	Ncnsn
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
smatra	smatrati	Vmr3s
završenim	završen	Agpmsiy
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
provedbi	provedba	Ncfsl
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
između	između	Sg
dvije	dva	Mlcf-n
ili	ili	Cc
više	mnogo	Rgc
ponuda	ponuda	Ncfpg
s	sa	Si
istom	isti	Agpfsiy
najvišom	visok	Ncfsi
ponuđenom	ponuditi	Agpfsiy
cijenom	cijena	Ncfsi
Povjerenstvo	povjerenstvo	Ncnsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
je	biti	Var3s
s	sa	Si
najvišom	visok	Ncfsi
ponuđenom	ponuditi	Agpfsiy
cijenom	cijena	Ncfsi
ona	onaj	Pi-fsn
ponuda	ponuda	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
ranije	rano	Rgc
pristigla	pristići	Vmp-sf
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
O	o	Sl
provedbi	provedba	Ncfsl
nadmetanja	nadmetanje	Ncnsg
prikupljanjem	prikupljanje	Ncnsi
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
Povjerenstvo	povjerenstvo	Ncnsn
vodi	voditi	Vmr3s
zapisnik	zapisnik	Ncmsn
u	u	Sa
koji	koji	Pi-msan
unosi	unositi	Vmr3s
sve	sav	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
načinu	način	Ncmsl
i	i	Cc
tijeku	tijek	Ncmsl
nadmetanja	nadmetanje	Ncnsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Zapisnik	zapisnik	Ncmsn
potpisuju	potpisivati	Vmr3p
predsjednik	predsjednik	Ncmsn
i	i	Cc
članovi	član	Ncmpn
Povjerenstva	povjerenstvo	Ncnsg
te	te	Cc
ako	ako	Cs
su	biti	Var3p
prisutni	prisutan	Agpmpny
(	(	Z
osobno	osobno	Rgp
ili	ili	Cc
putem	put	Sg
ovlaštenog	ovlašten	Agpmsgy
zastupnika	zastupnik	Ncmsg
)	)	Z
odabrani	odabrati	Agpmsny
ponuditelj	ponuditelj	Ncmsn
kao	kao	Cs
kupac	kupac	Ncmsn
i	i	Cc
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
izjavila	izjaviti	Vmp-sf
prigovor	prigovor	Ncmsan
sukladno	sukladan	Agpnsny
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Nepotpisivanje	nepotpisivanje	Ncnsn
i	i	Cc
razlog	razlog	Ncmsn
nepotpisivanja	nepotpisivanje	Ncnsg
zapisnika	zapisnik	Ncmsg
od	od	Sg
strane	strana	Ncfsg
kupca	kupac	Ncmsg
ili	ili	Cc
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
izjavila	izjaviti	Vmp-sf
prigovor	prigovor	Ncmsan
navodi	navoditi	Vmr3s
se	sebe	Px--sa
u	u	Sl
zapisniku	zapisnik	Ncmsl
i	i	Cc
ne	ne	Qz
utječe	utjecati	Vmr3s
na	na	Sa
završetak	završetak	Ncmsan
prikupljanja	prikupljanje	Ncnsg
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Zapisnik	zapisnik	Ncmsn
se	sebe	Px--sa
bez	bez	Sg
odlaganja	odlaganje	Ncnsg
objavljuje	objavljivati	Vmr3s
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Carinske	carinski	Agpfsgy
uprave	uprava	Ncfsg
i	i	Cc
time	taj	Pd-nsi
se	sebe	Px--sa
ponuditelji	ponuditelj	Ncmpn
smatraju	smatrati	Vmr3p
uredno	uredno	Rgp
obaviještenim	obavijestiti	Appnsiy
o	o	Sl
provedbi	provedba	Ncfsl
prikupljanja	prikupljanje	Ncnsg
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
i	i	Cc
odabiru	odabirati	Vmr3p
najpovoljnije	povoljan	Agsfpny
ponude	ponuda	Ncfpn
,	,	Z
uz	uz	Sa
izuzetak	izuzetak	Ncmsan
odabranog	odabrati	Agpmsgy
ponuditelja	ponuditelj	Ncmsg
kao	kao	Cs
kupca	kupac	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
obavještava	obavještavati	Vmr3s
sukladno	sukladno	Rgp
članku	članak	Ncmsd
31.	31.	Mdo
ovoga	ovaj	Pd-nsg

