upisivati	upisivati	Vmn
o	o	Sl
kriterijima	kriterij	Ncmpl
i	i	Cc
mjerilima	mjerilo	Ncnpl
za	za	Sa
osiguranje	osiguranje	Ncnsa
minimalnog	minimalan	Agpmsgy
financijskog	financijski	Agpmsgy
standarda	standard	Ncmsg
javnih	javan	Agpfpgy
potreba	potreba	Ncfpg
u	u	Sl
djelatnostima	djelatnost	Ncfpl
osnovnog	osnovan	Agpmsgy
i	i	Cc
srednjeg	srednji	Agpnsgy
školstva	školstvo	Ncnsg
,	,	Z
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
,	,	Z
zdravstva	zdravstvo	Ncnsg
i	i	Cc
vatrogastva	vatrogastvo	Ncnsg
(	(	Z
odgovaraju	odgovarati	Vmr3p
jedinice	jedinica	Ncfpn
lokalne	lokalan	Agpfpny
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfpn
–	–	Z
nositelji	nositelj	Ncmpn
decentraliziranih	decentraliziran	Agpfpgy
funkcija	funkcija	Ncfpg
)	)	Z
preslika	preslika	Ncfsn
odnosno	odnosno	Rgp
referenca	referenca	Ncfsn
dopisa	dopis	Ncmsg
67.	67.	Mdo

Kod	kod	Sg
predaje	predaja	Ncfsg
polugodišnjeg	polugodišnji	Agpnsgy
i	i	Cc
godišnjeg	godišnji	Agpmsgy
izvještaja	izvještaj	Ncmsg
o	o	Sl
izvršenju	izvršenje	Ncnsl
proračuna	proračun	Ncmsg
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
poštivali	poštivati	Vmp-pm
su	biti	Var3p
se	sebe	Px--sa
rokovi	rok	Ncmpn
i	i	Cc
odredbe	odredba	Ncfpn
o	o	Sl
sadržaju	sadržaj	Ncmsl
izvještaja	izvještaj	Ncmsg
utvrđene	utvrditi	Appfpny
Zakonom	zakon	Ncmsi
o	o	Sl
proračunu	proračun	Ncmsl
(	(	Z
odgovaraju	odgovarati	Vmr3p
jedinice	jedinica	Ncfpn
lokalne	lokalan	Agpfpny
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
)	)	Z
preslika	preslika	Ncfsn
odnosno	odnosno	Rgp
referenca	referenca	Ncfsn
dopisa	dopis	Ncmsg
odnosno	odnosno	Rgp
drugi	drugi	Mlomsn
dokaz	dokaz	Ncmsn
da	da	Cs
je	biti	Var3s
polugodišnji	polugodišnji	Agpmsny
i	i	Cc
godišnji	godišnji	Agpmsny
izvještaj	izvještaj	Ncmsn
predan	predati	Appmsnn
predstavničkom	predstavnički	Agpnsly
tijelu	tijelo	Ncnsl
te	te	Cc
broj	broj	Ncmsn
i	i	Cc
naziv	naziv	Ncmsan
službenog	služben	Agpnsgy
glasila	glasilo	Ncnsg
i	i	Cc
datum	datum	Ncmsan
objave	objava	Ncfsg
izvještaja	izvještaj	Ncmsg
68.	68.	Mdo

Godišnji	godišnji	Agpmsny
izvještaj	izvještaj	Ncmsn
o	o	Sl
izvršenju	izvršenje	Ncnsl
proračuna	proračun	Ncmsg
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
dostavljen	dostaviti	Appmsnn
je	biti	Var3s
Ministarstvu	ministarstvo	Ncnsl
financija	financije	Ncfpg
i	i	Cc
Državnom	državni	Agpmsly
uredu	ured	Ncmsl
za	za	Sa
reviziju	revizija	Ncfsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
nakon	nakon	Cs
što	što	Cs
ga	on	Pp3msa
je	biti	Var3s
donijelo	donijeti	Vmp-sn
predstavničko	predstavnički	Agpnsny
tijelo	tijelo	Ncnsn
odnosno	odnosno	Rgp
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
ga	on	Pp3msa
predstavničko	predstavnički	Agpnsny
tijelo	tijelo	Ncnsn
nije	biti	Var3s
donijelo	donijeti	Vmp-sn
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
60	60	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
podnošenja	podnošenje	Ncnsg
navedenog	naveden	Agpmsgy
izvještaja	izvještaj	Ncmsg
predstavničkom	predstavnički	Agpnsly
tijelu	tijelo	Ncnsl
(	(	Z
odgovaraju	odgovarati	Vmr3p
jedinice	jedinica	Ncfpn
lokalne	lokalan	Agpfpny
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
)	)	Z
preslika	preslika	Ncfsn
odnosno	odnosno	Rgp
referenca	referenca	Ncfsn
dopisa	dopis	Ncmsg
69.	69.	Mdo

Provedene	provesti	Appfpny
su	biti	Var3p
suštinske	suštinski	Agpfpny
i	i	Cc
formalne	formalan	Agpfpny
kontrole	kontrola	Ncfpn
dostavljenih	dostaviti	Agpfpgy
Izjava	izjava	Ncfpg
o	o	Sl
fiskalnoj	fiskalan	Agpfsly
odgovornost	odgovornost	Ncfsa
(	(	Z
odgovaraju	odgovarati	Vmr3p
nadležna	nadležan	Agpnpay
ministarstva	ministarstvo	Ncnpa
i	i	Cc
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
kojima	koji	Pi-fpi
se	sebe	Px--sa
dostavljaju	dostavljati	Vmr3p
izjave	izjava	Ncfpn
o	o	Sl
fiskalnoj	fiskalan	Agpfsly
odgovornosti	odgovornost	Ncfsl
)	)	Z
preslika	preslika	Ncfsn
odnosno	odnosno	Rgp
referenca	referenca	Ncfsn
dopisa	dopis	Ncmsg
ili	ili	Cc
pismena	pismen	Agpfsny
o	o	Sl
izvršenim	izvršen	Agpfply
kontrolama	kontrola	Ncfpl

Napomena	napomena	Ncfsn
:	:	Z

Sva	sav	Agpnpny
pitanja	pitanje	Ncnpn
u	u	Sl
Upitniku	Upitnik	Npmsl
moraju	morati	Vmr3p
biti	biti	Van
odgovorena	odgovoriti	Appnpny
upisivanjem	upisivanje	Ncnsi
oznake	oznaka	Ncfsg
»	»	Z
X	x	Mrc
«	«	Z
u	u	Sa
odgovarajući	odgovarajući	Agpmsayn
stupac	stupac	Ncmsan
.	.	Z

Ako	ako	Cs
pitanje	pitanje	Ncnsn
nije	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
na	na	Sa
obveznika	obveznik	Ncmsay
oznaka	oznaka	Ncfpg
»	»	Z
X	X	X
«	«	Z
stavlja	stavljati	Vmr3s
se	sebe	Px--sa
u	u	Sa
stupac	stupac	Ncmsan
N	N	Xf
/	/	Z
P.	P.	Y

Ako	ako	Cs
se	sebe	Px--sa
u	u	Sl
različitim	različit	Agpnply
pitanjima	pitanje	Ncnpl
traži	tražiti	Vmr3s
isti	isti	Agpmsayn
dokaz	dokaz	Ncmsan
,	,	Z
potrebno	potreban	Agpnsny
ga	on	Pp3msa
je	biti	Var3s
priložiti	priložiti	Vmn
samo	samo	Rgp
jednom	jednom	Rgp
.	.	Z

PRILOG	prilog	Ncmsn
2.	2.	Mdo
b	b	X

Obveznik	obveznik	Ncmsn
___________________________________	___________________________________	Z

UPITNIK	upitnik	Ncmsn
O	o	Sl
FISKALNOJ	fiskalan	Agpfsly
ODGOVORNOSTI	odgovornost	Ncfsl
ZA	za	Sa
TRGOVAČKA	trgovački	Agpnpay
DRUŠTVA	društvo	Ncnpa
I	i	Cc
DRUGE	drugi	Mlofpn
PRAVNE	pravni	Agpfpny
OSOBE	osoba	Ncfpn
UTVRĐENE	utvrditi	Appfpny
U	u	Sl
REGISTRU	registar	Ncmsl
TRGOVAČKIH	trgovački	Agpnpgy
DRUŠTAVA	društvo	Ncnpg
I	i	Cc
DRUGIH	drugi	Mlofpg
PRAVNIH	pravni	Agpfpgy
OSOBA	osoba	Ncfpg
OBVEZNIKA	obveznik	Ncmpg
DAVANJA	davanje	Ncnsg
IZJAVE	izjava	Ncfsg
O	o	Sl
FISKALNOJ	fiskalan	Agpfsly
ODGOVORNOSTI	odgovornost	Ncfsl
ZA	za	Sa
_______	_______	Pd-fsa
GODINU	godina	Ncfsa
[	[	Z
8	8	Mdc
]	]	Z

Redni	redni	Agpmsny
broj	broj	Ncmsn
Pitanje	pitanje	Ncnsn
Odgovor	odgovor	Ncmsn
Referenca10	Referenca10	X
N	N	X
/	/	Z
P	P	Y
DA	da	Cs
NE11	ne11	Ncnsn
DJELOMIČNO12	djelomično1i	Agpnsny
IZVRŠAVANJE	izvršavanje	Ncnsn
1.	1.	Mdo
Poduzete	poduzeti	Appfpny
su	biti	Var3p
sve	sav	Agpfpny
potrebne	potreban	Agpfpny
mjere	mjera	Ncfpn
za	za	Sa
potpunu	potpun	Agpfsay
naplatu	naplata	Ncfsa
prihoda	prihod	Ncmpg
iz	iz	Sg
poslovnih	poslovan	Agpmpgy
aktivnost	aktivnost	Ncfsa
trgovačkog	trgovački	Agpnsgy
društva	društvo	Ncnsg
na	na	Sl
uzorku	uzorak	Ncmsl
od	od	Sg
10	10	Mdc
%	%	Z
dospjelih	dospjeli	Agpnpgy
nenaplaćenih	nenaplaćen	Agpnpgy
potraživanja	potraživanje	Ncnpg
sa	sa	Si
stanjem	stanje	Ncnsi
31.	31.	Mdo
prosinca	prosinac	Ncmsg
dokazi	dokaz	Ncmpn
o	o	Sl
poduzetim	poduzet	Agpfply
radnjama	radnja	Ncfpl
za	za	Sa
naplatu	naplata	Ncfsa
(	(	Z
preslike	preslika	Ncfpa
odnosno	odnosno	Rgp
reference	referenca	Ncfsg
odgovarajućih	odgovarajući	Agpmpgy
dopisa	dopis	Ncmpg
,	,	Z
opomena	opomena	Ncfpg
)	)	Z
,	,	Z
a	a	Cc
najviše	mnogo	Rgs
100	100	Mdc
2.	2.	Mdo
Isplata	isplata	Ncfsn
sredstava	sredstvo	Ncnpg
temeljila	temeljiti	Vmp-sf
se	sebe	Px--sa
na	na	Sl
vjerodostojnoj	vjerodostojan	Agpfsly
dokumentaciji	dokumentacija	Ncfsl
nasumično	nasumično	Rgp
odabrano	odabrati	Appnsny
1	1	Mdc
%	%	Z
svih	sav	Agpfpgy
isplata	isplata	Ncfpg
,	,	Z
a	a	Cc
najviše	mnogo	Rgs
50	50	Mdc
3.	3.	Mdo
Pratilo	pratiti	Vmp-sn
se	sebe	Px--sa
i	i	Qo
kontroliralo	kontrolirati	Vmp-sn
namjensko	namjenski	Agpnsny
isplaćivanje	isplaćivanje	Ncnsn
donacija	donacija	Ncfpg
i	i	Cc
sponzorstava	sponzorstvo	Ncnpg
do	do	Sg
krajnjeg	krajnji	Agpmsgy
korisnika	korisnik	Ncmsg
te	te	Cc
korištenje	korištenje	Ncnsa
istih	isti	Agpfpgy
uzorak	uzorak	Ncmsan
od	od	Sg
5	5	Mdc
%	%	Z
ukupnog	ukupan	Agpmsgy
broja	broj	Ncmsg
svih	sav	Agpmpgy
transfera	transfer	Ncmpg
i	i	Cc
minimalno	minimalno	Rgp
5	5	Mdc
%	%	Z
ukupne	ukupan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
svih	sav	Agpmpgy
transfera	transfer	Ncmpg
4.	4.	Mdo
Prilikom	prilikom	Sg

