vještinama	vještina	Ncfpi
pružanjem	pružanje	Ncnsi
drugih	drugi	Mlofpg
povezanih	povezan	Agpfpgy
usluga	usluga	Ncfpg
koje	koji	Pi-fpn
ne	ne	Qz
uključuju	uključivati	Vmr3p
izražavanje	izražavanje	Ncnsa
uvjerenja	uvjerenje	Ncnsg
.	.	Z

Ako	ako	Cs
je	biti	Var3s
nastala	nastati	Vmp-sf
prijetnja	prijetnja	Ncfsn
koja	koji	Pi-fsn
se	sebe	Px--sa
primjenom	primjena	Ncfsi
zaštita	zaštita	Ncfsn
ne	ne	Qz
može	moći	Vmr3s
umanjiti	umanjiti	Vmn
na	na	Sa
prihvatljivu	prihvatljiv	Agpfsay
razinu	razina	Ncfsa
,	,	Z
neće	htjeti	Var3s
se	sebe	Px--sa
pružiti	pružiti	Vmn
usluga	usluga	Ncfpg
bez	bez	Sg
izražavanja	izražavanje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
.	.	Z

Odgovornosti	odgovornost	Ncfpn
menadžmenta	menadžment	Ncmsg

291.141	291.141	Mdc
Menadžment	menadžment	Ncmsn
subjekta	subjekt	Ncmsg
obavlja	obavljati	Vmr3s
mnoge	mnogi	Agpfpay
aktivnosti	aktivnost	Ncfpa
pri	pri	Sl
rukovođenju	rukovođenje	Ncnsl
subjektom	subjekt	Ncmsi
u	u	Sl
najboljem	dobar	Agsmsly
interesu	interes	Ncmsl
dionika	dionik	Ncmpg
subjekta	subjekt	Ncmsg
.	.	Z

Nije	biti	Var3s
moguće	moguć	Agpnsny
specificirati	specificirati	Vmn
svaku	svaki	Pi-fsa
aktivnost	aktivnost	Ncfsa
za	za	Sa
koju	koji	Pi-fsa
menadžment	menadžment	Ncmsan
snosi	snositi	Vmr3s
odgovornost	odgovornost	Ncfsa
.	.	Z

Međutim	međutim	Rgp
,	,	Z
odgovornosti	odgovornost	Ncfpn
menadžmenta	menadžment	Ncmsg
uključuju	uključivati	Vmr3p
vođenje	vođenje	Ncnsa
i	i	Cc
usmjeravanje	usmjeravanje	Ncnsa
subjekta	subjekt	Ncmsg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
donošenje	donošenje	Ncnsa
značajnih	značajan	Agpfpgy
odluka	odluka	Ncfpg
u	u	Sl
vezi	veza	Ncfsl
sa	sa	Si
stjecanjem	stjecanje	Ncnsi
,	,	Z
napuštanjem	napuštanje	Ncnsi
i	i	Cc
kontrolom	kontrola	Ncfsi
ljudskih	ljudski	Agpmpgy
,	,	Z
financijskih	financijski	Agpfpgy
,	,	Z
fizičkih	fizički	Agpmpgy
i	i	Cc
nematerijalnih	nematerijalan	Agpmpgy
resursa	resurs	Ncmpg
.	.	Z

291.142	291.142	Mdc
Je	biti	Var3s
li	li	Qq
neka	neki	Pi-fsn
aktivnost	aktivnost	Ncfsn
iz	iz	Sg
domene	domena	Ncfsg
odgovornosti	odgovornost	Ncfsg
menadžmenta	menadžment	Ncmsg
,	,	Z
ovisi	ovisiti	Vmr3s
o	o	Sl
okolnostima	okolnost	Ncfpl
i	i	Cc
zahtijeva	zahtijevati	Vmr3s
prosuđivanje	prosuđivanje	Ncnsa
.	.	Z

Primjeri	primjer	Ncmpn
aktivnosti	aktivnost	Ncfpg
za	za	Sa
koje	koji	Pi-fpa
bi	biti	Vaa3p
se	sebe	Px--sa
uobičajeno	uobičajiti	Appnsny
smatrale	smatrati	Vmp-pf
da	da	Cs
su	biti	Var3p
iz	iz	Sg
domene	domena	Ncfsg
odgovornosti	odgovornost	Ncfsg
menadžmenta	menadžment	Ncmsg
uključuju	uključivati	Vmr3p
:	:	Z

•	i	Agpnsny
određivanje	određivanje	Ncnsn
politika	politika	Ncfpg
i	i	Cc
strateško	strateški	Agpnsny
usmjeravanje	usmjeravanje	Ncnsn
;	;	Z

•	i	Agpnsay
usmjeravanje	usmjeravanje	Ncnsa
i	i	Cc
prihvaćanje	prihvaćanje	Ncnsa
odgovornosti	odgovornost	Ncfsg
za	za	Sa
djelovanje	djelovanje	Ncnsa
subjektovih	subjektov	Agpmpgy
zaposlenika	zaposlenik	Ncmpg
;	;	Z

•	•	Sa
autorizaciju	autorizacija	Ncfsa
transakcija	transakcija	Ncfpg
;	;	Z

•	i	Agpnsny
određivanje	određivanje	Ncnsn
koje	koji	Pi-fpa
preporuke	preporuka	Ncfpa
revizorskog	revizorski	Agpnsgy
društva	društvo	Ncnsg
ili	ili	Cc
neke	neki	Pi-fpa
treće	treći	Mlonsn
stranke	stranka	Ncfsg
treba	trebati	Vmr3s
provesti	provesti	Vmn
;	;	Z
i	i	Cc

•		Agcnsay
preuzimanje	preuzimanje	Ncnsa
odgovornosti	odgovornost	Ncfsg
za	za	Sa
oblikovanje	oblikovanje	Ncnsa
,	,	Z
uvođenje	uvođenje	Ncnsa
i	i	Cc
održavanje	održavanje	Ncnsa
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
.	.	Z

291.143	291.143	Mdc
Za	za	Sa
aktivnosti	aktivnost	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
rutinske	rutinski	Agpfpny
i	i	Cc
administrativne	administrativan	Agpfpay
ili	ili	Cc
koje	koji	Pi-fpn
uključuju	uključivati	Vmr3p
nevažna	nevažan	Agpnpny
pitanja	pitanje	Ncnpn
uobičajeno	uobičajiti	Appnsny
se	sebe	Px--sa
ne	ne	Qz
smatra	smatrati	Vmr3s
da	da	Cs
su	biti	Var3p
u	u	Sl
domeni	domena	Ncfsl
odgovornosti	odgovornost	Ncfsg
menadžmenta	menadžment	Ncmsg
.	.	Z

Na	na	Sa
primjer	primjer	Ncmsan
,	,	Z
izvođenje	izvođenje	Ncnsa
nevažne	nevažan	Agpfsgy
transakcije	transakcija	Ncfsg
koju	koji	Pi-fsa
je	biti	Var3s
bio	biti	Vap-sm
odobrio	odobriti	Vmp-sm
menadžment	menadžment	Ncmsan
ili	ili	Cc
praćenje	praćenje	Ncnsa
datuma	datum	Ncmsg
u	u	Sl
vezi	veza	Ncfsl
sa	sa	Si
zakonom	zakon	Ncmsi
propisanom	propisati	Agpfsiy
obvezom	obveza	Ncfsi
podnošenja	podnošenje	Ncnsg
obračuna	obračun	Ncmsg
ili	ili	Cc
savjetovanje	savjetovanje	Ncnsa
klijenta	klijent	Ncmsg
za	za	Sa
kojeg	koji	Pi-msay
se	sebe	Px--sa
izražava	izražavati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
o	o	Sl
tim	taj	Pd-mpl
datumima	datum	Ncmpl
ne	ne	Qz
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
odgovornošću	odgovornost	Ncfsi
menadžmenta	menadžment	Ncmsg
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
pružanje	pružanje	Ncnsa
savjeta	savjet	Ncmpg
i	i	Cc
preporuka	preporuka	Ncfpg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
pomoglo	pomoći	Vmp-sn
menadžmentu	menadžment	Ncmsd
u	u	Sl
ispunjavanju	ispunjavanje	Ncnsl
njegovih	njegov	Ps3fpg
odgovornosti	odgovornost	Ncfpg
nije	biti	Var3s
preuzimanje	preuzimanje	Ncnsn
odgovornosti	odgovornost	Ncfsg
menadžmenta	menadžment	Ncmsg
.	.	Z

291.144	291.14i	Agpnsny
Preuzimanje	preuzimanje	Ncnsn
odgovornosti	odgovornost	Ncfsg
menadžmenta	menadžment	Ncmsg
kod	kod	Sg
nekog	neki	Pi-msg
klijenta	klijent	Ncmsg
za	za	Sa
kojeg	koji	Pi-msay
se	sebe	Px--sa
izražava	izražavati	Vmr3s
uvjerenje	uvjerenje	Ncnsn
može	moći	Vmr3s
stvoriti	stvoriti	Vmn
prijetnje	prijetnja	Ncfpa
neovisnosti	neovisnost	Ncfsg
.	.	Z

Ako	ako	Cs
bi	biti	Vaa3s
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
preuzelo	preuzeti	Vmp-sn
odgovornost	odgovornost	Ncfsa
menadžmenta	menadžment	Ncmsg
kao	kao	Cs
dio	dio	Ncmsn
usluge	usluga	Ncfsg
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
,	,	Z
nastale	nastao	Agpfpay
prijetnje	prijetnja	Ncfpa
bile	biti	Vap-pf
bi	biti	Vaa3p
toliko	toliko	Rgp
značajne	značajan	Agpfpny
da	da	Cs
nema	nemati	Vmr3s
zaštita	zaštita	Ncfpg
koje	koji	Pi-fpn
bi	biti	Vaa3p
smanjile	smanjiti	Vmp-pf
prijetnje	prijetnja	Ncfpa
na	na	Sa
prihvatljivu	prihvatljiv	Agpfsay
razinu	razina	Ncfsa
.	.	Z

U	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tim	taj	Pd-nsi
,	,	Z
u	u	Sl
pružanju	pružanje	Ncnsl
usluga	usluga	Ncfpg
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
nekom	neki	Pi-msl
klijentu	klijent	Ncmsl
za	za	Sa
kojeg	koji	Pi-msay
se	sebe	Px--sa
izražava	izražavati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
,	,	Z
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
neće	htjeti	Var3s
preuzeti	preuzeti	Vmn
odgovornosti	odgovornost	Ncfpa
menadžmenta	menadžment	Ncmsg
kao	kao	Cs
dio	dio	Ncmsn
usluge	usluga	Ncfsg
za	za	Sa
izražavanje	izražavanje	Ncnsa
uvjerenja	uvjerenje	Ncnsg
.	.	Z

Ako	ako	Cs
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
preuzme	preuzeti	Vmr3s
odgovornost	odgovornost	Ncfsa
menadžmenta	menadžment	Ncmsg
kao	kao	Cs
dio	dio	Ncmsn
neke	neki	Pi-fsg
druge	drugi	Mlofpa
usluge	usluga	Ncfpa
pružene	pružiti	Appfpay
klijentu	klijent	Ncmsl
za	za	Sa
kojeg	koji	Pi-msay
se	sebe	Px--sa
izražava	izražavati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
,	,	Z
ono	onaj	Pd-nsn
treba	trebati	Vmr3s
osigurati	osigurati	Vmn
da	da	Cs
odgovornost	odgovornost	Ncfsn
nije	biti	Var3s
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
predmetom	predmet	Ncmsi
ispitivanja	ispitivanje	Ncnsg
i	i	Cc
s	sa	Si
informacijama	informacija	Ncfpi
iz	iz	Sg
predmeta	predmet	Ncmsg
ispitivanja	ispitivanje	Ncnsg
u	u	Sl
angažmanu	angažman	Ncmsl
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
koji	koji	Pi-msn
obavlja	obavljati	Vmr3s
revizorsko	revizorski	Agpnsay
društvo	društvo	Ncnsa
.	.	Z

291.145	291.145	Mdc
Kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
izbjegao	izbjeći	Vmp-sm
rizik	rizik	Ncmsn
prihvaćanja	prihvaćanje	Ncnsg
odgovornosti	odgovornost	Ncfsg
menadžmenta	menadžment	Ncmsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
predmetom	predmet	Ncmsi
ispitivanja	ispitivanje	Ncnsg
ili	ili	Cc
s	sa	Si
informacijama	informacija	Ncfpi
iz	iz	Sg
predmeta	predmet	Ncmsg
ispitivanja	ispitivanje	Ncnsg
u	u	Sl
angažmanu	angažman	Ncmsl
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
,	,	Z
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
će	htjeti	Var3s
se	sebe	Px--sa
uvjeriti	uvjeriti	Vmn
da	da	Cs
je	biti	Var3s
član	član	Ncmsn
menadžmenta	menadžment	Ncmsg
odgovoran	odgovoran	Agpmsnn
za	za	Sa
stvaranje	stvaranje	Ncnsa
značajnih	značajan	Agpfpgy
prosudbi	prosudba	Ncfpg
i	i	Cc
donošenje	donošenje	Ncnsn
odluka	odluka	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
stvarna	stvaran	Agpfsny
odgovornost	odgovornost	Ncfsn
menadžmenta	menadžment	Ncmsg
,	,	Z
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
rezultata	rezultat	Ncmpg
usluge	usluga	Ncfsg
i	i	Cc
za	za	Sa
prihvaćanje	prihvaćanje	Ncnsa
odgovornosti	odgovornost	Ncfsg
za	za	Sa

