ne	ne	Qz
BRUCELOZA	bruceloza	Ncfpg
OVACA	ovca	Ncfpg
I	i	Cc
KOZA	koza	Ncfsn
(	(	Z
B.	B.	Y
melitensis	melitensis	Xf
)	)	Z
X	X	Xf
X	X	Xf
ENZOOTSKI	enzootski	Agpmsayn
POBAČAJ	pobačaj	Ncmsan
OVACA	ovca	Ncfpg
X	X	X
X	X	X
BRUCELOZA	bruceloza	Ncfpg
OVACA	ovca	Ncfpg
(	(	Z
B.	B.	Y
ovis	ovis	Xf
)	)	Z
X	X	X
GENITALNA	genitalni	Agpfsny
KAMPILOBAKTERIOZA	KAMPILOBAKTERIOZA	Npfsn
X	X	Xf
X	X	Xf
X	X	Xf
LEPTOSPIROZA	leptospiroza	Ncfpg
X	X	X
X	X	X
X	X	X
X	X	X
X	X	X
Q-GROZNICA	q-groznica	Ncfpg
X	X	X
X	X	Xf
X	X	Xf
RINOPNEUMONITIS	RINOPNEUMONITIS	Xf
KONJA	konj	Ncmsg
X	X	X
INFEKCIJA	infekcija	Ncfpg
SCHMALLENBERG	schmallenber	Agpmsiy
VIRUSOM	virus	Ncmsi
(	(	Z
mrtvorođena	mrtvorođen	Agpnpny
mladunčad	mladunče	Ncnpn
,	,	Z
preuranjeni	preuranjen	Agpmsny
porod	porod	Ncmsn
,	,	Z
mumifikacija	mumifikacija	Ncfsn
fetusa	fetus	Ncmpg
,	,	Z
disfunkcija	disfunkcija	Ncfsn
ili	ili	Cc
deformacije	deformacija	Ncfsg
fetusa	fetus	Ncmpg
ili	ili	Cc
novorođene	novorođen	Agpfsgy
mladunčadi	mladunče	Ncfsg
)	)	Z
X	X	X
X	X	X
X	X	X

