zakonom	zakon	Ncmsi
svrhu	svrha	Ncfsa
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
takvih	takav	Pd-fpg
pozajmica	pozajmica	Ncfpg
,	,	Z
ukupni	ukupan	Agpmsny
iznos	iznos	Ncmsn
obveza	obveza	Ncfpg
koje	koji	Pi-fpn
podliježu	podlijegati	Vmr3p
otplati	otplatiti	Vmr3s
iz	iz	Sg
imovine	imovina	Ncfsg
koja	koji	Pi-fsn
sačinjava	sačinjavati	Vmr3s
AIF	aif	Ncmsan
prema	prema	Sl
svim	sav	Agpmply
ugovorima	ugovor	Ncmpl
o	o	Sl
zajmu	zajam	Ncmsl
ili	ili	Cc
kreditu	kredit	Ncmsl
ili	ili	Cc
drugom	drugi	Mlomsl
pravnom	pravni	Agpmsly
poslu	posao	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
po	po	Sl
svojim	svoj	Agpmply
ekonomskim	ekonomski	Agpmply
učincima	učinak	Ncmpl
jednak	jednak	Agpmsnn
zajmu	zajam	Ncmsl
ne	ne	Qz
smije	smjeti	Vmr3s
prelaziti	prelaziti	Vmn
10	10	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
AIF-a	AIF	Npmsg
u	u	Sl
trenutku	trenutak	Ncmsl
uzimanja	uzimanje	Ncnsg
tih	taj	Pd-fpg
pozajmica	pozajmica	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
UAIF	UAIF	Npmsn
može	moći	Vmr3s
za	za	Sa
zajednički	zajednički	Agpmsayn
račun	račun	Ncmsan
ulagatelja	ulagatelj	Ncmpg
odnosno	odnosno	Rgp
AIF-a	AIF	Npmsg
koristiti	koristiti	Vmn
tehnike	tehnika	Ncfpa
i	i	Cc
instrumente	instrument	Ncmpa
vezane	vezan	Agpmpay
uz	uz	Sa
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
u	u	Sa
svrhu	svrha	Ncfsa
učinkovitog	učinkovit	Agpnsgy
upravljanja	upravljanje	Ncnsg
portfeljem	portfelj	Ncmsi
koji	koji	Pi-mpn
uključuju	uključivati	Vmr3p
,	,	Z
ali	ali	Cc
nisu	biti	Var3p
ograničeni	ograničiti	Appmpny
na	na	Sa
repo	repa	Agpmpay
ugovore	ugovor	Ncmpa
i	i	Cc
posuđivanje	posuđivanje	Ncnsa
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
.	.	Z

Na	na	Sa
tehnike	tehnika	Ncfpa
i	i	Cc
instrumente	instrument	Ncmpa
iz	iz	Sg
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
zakona	zakon	Ncmsg
koji	koji	Pi-msn
uređuje	uređivati	Vmr3s
osnivanje	osnivanje	Ncnsa
i	i	Cc
poslovanje	poslovanje	Ncnsa
otvorenih	otvoren	Agpmpgy
investicijskih	investicijski	Agpmpgy
fondova	fond	Ncmpg
s	sa	Si
javnom	javan	Agpfsiy
ponudom	ponuda	Ncfsi
i	i	Cc
propisa	propis	Ncmpg
donesenih	donesen	Agpmpgy
na	na	Sl
temelju	temelj	Ncmsl
tog	taj	Pd-msg
zakona	zakon	Ncmsg
,	,	Z
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
dozvoljena	dozvoljen	Agpnpay
ulaganja	ulaganje	Ncnpa
i	i	Cc
ograničenja	ograničenje	Ncnsg
ulaganja	ulaganje	Ncnsg
i	i	Cc
utvrđivanje	utvrđivanje	Ncnsa
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
i	i	Cc
cijene	cijena	Ncfsg
udjela	udjel	Ncmsg
fonda	fond	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
11.	11.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
novi	nov	Agpmpny
članci	članak	Ncmpn
11.	11.	Mdo
a	a	Cc
do	do	Sg
11.	11.	Mdo
d	a	Ncfsg
i	i	Cc
naslovi	naslov	Ncmpn
iznad	iznad	Sg
njih	oni	Pp3-pg
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	i	Agpnsgy
Ograničenja	ograničenje	Ncnsg
ulaganja	ulaganje	Ncnsg
kod	kod	Sg
repliciranja	repliciranje	Ncnsg
indeksa	indeks	Ncmsg

Članak	članak	Ncmsn
11.	11.	Mdo
a	a	Cc

(	(	Z
1	1	Mdc
)	)	Z

