Provizija	provizija	Ncfsn
Zakonom	zakon	Ncmsi
nije	biti	Var3s
drukčije	drugačije	Rgp
propisano	propisati	Appnsny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosni	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
posredovanje	posredovanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
sastavlja	sastavljati	Vmr3s
polugodišnje	polugodišnji	Agpfsgy
i	i	Cc
godišnje	godišnje	Rgp
financijsko	financijski	Agpnsny
izvješće	izvješće	Ncnsn
te	te	Cc
statistička	statistički	Agpnpay
izvješća	izvješće	Ncnpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosni	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
posredovanje	posredovanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
dužno	dužan	Agpnsny
je	biti	Var3s
Agenciji	agencija	Ncfsl
dostaviti	dostaviti	Vmn
godišnje	godišnje	Rgp
financijsko	financijski	Agpnsny
izvješće	izvješće	Ncnsn
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
nakon	nakon	Sg
isteka	istek	Ncmsg
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
,	,	Z
a	a	Cc
polugodišnje	polugodišnji	Agpnsny
financijsko	financijski	Agpnsny
izvješće	izvješće	Ncnsn
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
nakon	nakon	Sg
isteka	istek	Ncmsg
polugodišta	polugodište	Ncnsg
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
izvješće	izvješće	Ncnsn
sastavlja	sastavljati	Vmr3s
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Obrt	obrt	Ncmsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
,	,	Z
društvo	društvo	Ncnsa
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosni	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
posredovanje	posredovanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
,	,	Z
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
,	,	Z
Financijska	financijski	Agpfsny
agencija	agencija	Ncfsn
,	,	Z
HP-Hrvatska	hp-hrvatski	Agpfsny
pošta	pošta	Ncfsn
d.	d.	Mdc
d.	d.	Y
i	i	Cc
investicijsko	investicijski	Agpnsny
društvo	društvo	Ncnsn
dužno	dužan	Agpnsny
je	biti	Var3s
Agenciji	agencija	Ncfsl
dostaviti	dostaviti	Vmn
polugodišnje	polugodišnji	Agpnsay
statističko	statistički	Agpnsay
izvješće	izvješće	Ncnsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
proteka	protek	Ncmsg
polugodišta	polugodište	Ncnsg
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
izvješće	izvješće	Ncnsn
sastavlja	sastavljati	Vmr3s
.	.	Z

Godišnje	godišnji	Agpnsny
statističko	statistički	Agpnsny
izvješće	izvješće	Ncnsn
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
nakon	nakon	Sg
isteka	istek	Ncmsg
kalendarske	kalendarski	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
pravilnikom	pravilnik	Ncmsi
propisati	propisati	Vmn
oblik	oblik	Ncmsan
i	i	Cc
sadržaj	sadržaj	Ncmsan
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
.	.	Z

Izvještavanje	izvještavanje	Ncnsn

Članak	članak	Ncmsn
430.	430.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosni	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
posredovanje	posredovanje	Ncnsa
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
dužno	dužan	Agpnsny
je	biti	Var3s
Agenciju	agencija	Ncfsa
izvještavati	izvještavati	Vmn
i	i	Cc
o	o	Sl
sljedećem	sljedeći	Agpmsly
:	:	Z

1.	1.	Mdo
o	o	Sl
promjeni	promjena	Ncfsl
podataka	podatak	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
upisuju	upisivati	Vmr3p
u	u	Sa
sudski	sudski	Agpmsayn
registar	registar	Ncmsan

2.	2.	Mdo
o	o	Sl
strukturi	struktura	Ncfsl
i	i	Cc
opsegu	opseg	Ncmsl
poslova	posao	Ncmpg
zastupanja	zastupanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
poslova	posao	Ncmpg
posredovanja	posredovanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
prema	prema	Sl
društvima	društvo	Ncnpl
za	za	Sa
osiguranje	osiguranje	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
društvima	društvo	Ncnpl
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
koje	koji	Pi-nsn
je	biti	Var3s
obavilo	obaviti	Vmp-sn
u	u	Sl
pojedinoj	pojedini	Agpfsly
godini	godina	Ncfsl

3.	3.	Mdo
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
obveza	obveza	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
403.	403.	Mdo
,	,	Z
odnosno	odnosno	Rgp
članka	članak	Ncmsg
410.	410.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odredba	odredba	Ncfsn
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
i	i	Qo
na	na	Sa
investicijska	investicijski	Agpnpay
društva	društvo	Ncnpa
.	.	Z

Suradnja	suradnja	Ncfsn
s	sa	Si
drugim	drugi	Mlofpi
nadležnim	nadležan	Agpfpiy
nadzornim	nadzorni	Agpnply
tijelima	tijelo	Ncnpl

Članak	članak	Ncmsn
431.	431.	Mdo

Nadležna	nadležan	Agpnpay
nadzorna	nadzorni	Agpnpay
tijela	tijelo	Ncnpa
razmjenjuju	razmjenjivati	Vmr3p
informacije	informacija	Ncfpa
o	o	Sl
osobama	osoba	Ncfpl
koje	koji	Pi-fpn
obavljaju	obavljati	Vmr3p
djelatnost	djelatnost	Ncfsa
zastupanja	zastupanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
posredovanja	posredovanje	Ncnsg
u	u	Sl
osiguranju	osiguranje	Ncnsl
i	i	Cc
reosiguranju	reosiguranje	Ncnsl
ako	ako	Cs
su	biti	Var3p
protiv	protiv	Sg
njih	oni	Pp3-pg
poduzete	poduzet	Agpfpay
nadzorne	nadzorni	Agpfpay
mjere	mjera	Ncfpa
koje	koji	Pi-fpn
bi	biti	Vaa3p

