uključujući	uključivati	Rr
bolnica	bolnica	Ncfsn
i	i	Cc
klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
;	;	Z
upravni	upravan	Agpmsny
nadzor	nadzor	Ncmsn
nad	nad	Si
radom	rad	Ncmsi
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
,	,	Z
Hrvatskoga	hrvatski	Agpmsgy
Crvenog	crven	Agpmsgy
križa	križ	Ncmsg
,	,	Z
komora	komora	Ncfpg
i	i	Cc
drugih	drugi	Mlofpg
pravnih	pravni	Agpfpgy
osoba	osoba	Ncfpg
u	u	Sl
zdravstvu	zdravstvo	Ncnsl
s	sa	Si
javnim	javan	Agpfpiy
ovlastima	ovlast	Ncfpi
;	;	Z
zdravstveno-inspekcijski	zdravstveno-inspekcijski	Agpmsny
nadzor	nadzor	Ncmsn
nad	nad	Si
radom	rad	Ncmsi
zdravstvenih	zdravstven	Agpfpgy
ustanova	ustanova	Ncfpg
i	i	Cc
zdravstvenih	zdravstven	Agpmpgy
radnika	radnik	Ncmpg
,	,	Z
privatnom	privatan	Agpfsiy
praksom	praksa	Ncfsi
te	te	Cc
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
zdravstvene	zdravstven	Agpfsgy
djelatnosti	djelatnost	Ncfsg
:	:	Z
inspekcijski	inspekcijski	Agpmsny
nadzor	nadzor	Ncmsn
nad	nad	Si
ispitivanjem	ispitivanje	Ncnsi
,	,	Z
izradom	izrada	Ncfsi
,	,	Z
prometom	promet	Ncmsi
,	,	Z
posredovanjem	posredovanje	Ncnsi
,	,	Z
provjerom	provjera	Ncfsi
kakvoće	kakvoća	Ncfsg
lijekova	lijek	Ncmpg
,	,	Z
ispitivanih	ispitivati	Appmpgy
lijekova	lijek	Ncmpg
,	,	Z
djelatnih	djelatan	Agpfpgy
i	i	Cc
pomoćnih	pomoćan	Agpmpgy

