njihovim	njihov	Agpfply
primjerak	primjerak	Ncmsan
certifikata	certifikat	Ncmsg
o	o	Sl
EU-pregledu	eu-pregled	Ncmsl
tipa	tip	Ncmsg
,	,	Z
proizvodni	proizvodni	Agpmsny
tip	tip	Ncmsn
,	,	Z
njegovih	njegov	Ps3mpg
priloga	prilog	Ncmpg
i	i	Cc
dodataka	dodatak	Ncmpg
zajedno	zajedno	Rgp
s	sa	Si
tehničkom	tehnički	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
na	na	Sl
raspolaganju	raspolaganje	Ncnsl
državnim	državni	Agpnply
tijelima	tijelo	Ncnpl
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
10	10	Mdc
godina	godina	Ncfpg
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
stavljena	staviti	Appfsny
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

10.	10.	Mdo

Ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
proizvođača	proizvođač	Ncmsg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
točke	točka	Ncfsg
3.	3.	Mdo
i	i	Cc
ispuniti	ispuniti	Vmn
obveze	obveza	Ncfpa
iz	iz	Sg
točaka	točka	Ncfpg
7.	7.	Mdo
i	i	Cc
9.	9.	Mdo
ako	ako	Cs
su	biti	Var3p
navedene	navesti	Appfpny
u	u	Sl
ovlaštenju	ovlaštenje	Ncnsl
.	.	Z

3.2.	3.2.	Mdo

EU-pregled	EU-pregled	Sg
tipa	tip	Ncmsg
,	,	Z
konstrukcijski	konstrukcijski	Agpmsny
tip	tip	Ncmsn

1.	1.	Mdo
EU-pregled	EU-pregled	Sg
tipa	tip	Ncmsg
,	,	Z
konstrukcijski	konstrukcijski	Agpmsny
tip	tip	Ncmsn
dio	dio	Ncmsn
je	biti	Var3s
postupka	postupak	Ncmsg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
u	u	Sl
kojem	koji	Pi-msl
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
pregledava	pregledavati	Vmr3s
tehničko	tehnički	Agpnsay
rješenje	rješenje	Ncnsa
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
te	te	Cc
provjerava	provjeravati	Vmr3s
i	i	Cc
potvrđuje	potvrđivati	Vmr3s
da	da	Cs
ona	on	Pp3fsn
ispunjava	ispunjavati	Vmr3s
zahtjeve	zahtjev	Ncmpa
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
.	.	Z

2.	2.	Mdo
EU-pregled	EU-pregled	Sg
tipa	tip	Ncmsg
,	,	Z
konstrukcijski	konstrukcijski	Agpmsny
tip	tip	Ncmsn
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
procjene	procjena	Ncfsg
primjerenosti	primjerenost	Ncfsg
tehničke	tehnički	Agpfsgy
konstrukcije	konstrukcija	Ncfsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
pregledom	pregled	Sg
tehničke	tehnički	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
i	i	Cc
popratnih	popratni	Agpmpgy
dokaza	dokaz	Ncmpg
iz	iz	Sg
točke	točka	Ncfsg
3.	3.	Mdo
bez	bez	Sg
pregleda	pregled	Ncmsg
uzorka	uzorak	Ncmsg
.	.	Z

Nije	biti	Var3s
obvezna	obvezan	Agpfsny
primjena	primjena	Ncfsn
eksperimentalne	eksperimentalan	Agpfsgy
metode	metoda	Ncfsg
za	za	Sa
konstrukciju	konstrukcija	Ncfsa
utvrđene	utvrditi	Appfsgy
u	u	Sl
točki	točka	Ncfsl
2.2.4.	2.2.4.	Mds

Dodatka	dodatak	Ncmsg
I.	I.	Y

3.	3.	Mdo
Proizvođač	proizvođač	Ncmsn
jednom	jednom	Rgp
prijavljenom	prijaviti	Agpnsly
tijelu	tijelo	Ncnsl
prema	prema	Sl
svom	svoj	Px-msl
izboru	izbor	Ncmsl
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
EU-pregled	eu-pregled	Ncmsan
tipa	tip	Ncmsg
,	,	Z
konstrukcijski	konstrukcijski	Agpmsny
tip	tip	Ncmsn
.	.	Z

Zahtjev	zahtjev	Ncmsn
uključuje	uključivati	Vmr3s
:	:	Z

–	i	Agpnsay
ime	ime	Ncnsa
i	i	Cc
adresu	adresa	Ncfsa
proizvođača	proizvođač	Ncmpg
te	te	Cc
ime	ime	Ncnsa
i	i	Cc
adresu	adresa	Ncfsa
ovlaštenog	ovlašten	Agpmsgy
zastupnika	zastupnik	Ncmsg
ako	ako	Cs
je	biti	Var3s
on	on	Pp3msn
podnio	podnijeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
;	;	Z

–	–	Pd-fsa
pisanu	pisan	Agpfsay
izjavu	izjava	Ncfsa
da	da	Cs
isti	isti	Agpmsayn
zahtjev	zahtjev	Ncmsan
nije	biti	Var3s
podnio	podnijeti	Vmp-sm
nijednom	nijedan	Agpfsiy
drugom	drugi	Mlofsi
prijavljenom	prijaviti	Agpnsly
tijelu	tijelo	Ncnsl
;	;	Z

–	i	Agpfsay
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
.	.	Z

Tehnička	tehnički	Agpfsny
dokumentacija	dokumentacija	Ncfsn
omogućuje	omogućivati	Vmr3s
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Si
primjenjivim	primjenjiv	Agpmpiy
zahtjevima	zahtjev	Ncmpi
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
uključuje	uključivati	Vmr3s
odgovarajuću	odgovarajući	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
ocjenu	ocjena	Ncfsa
rizika	rizik	Ncmsg
.	.	Z

Tehničkom	tehnički	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
određuju	određivati	Vmr3p
se	sebe	Px--sa
mjerodavni	mjerodavan	Agpmpny
zahtjevi	zahtjev	Ncmpn
i	i	Cc
ona	on	Pp3fsn
obuhvaća	obuhvaćati	Vmr3s
,	,	Z
koliko	koliko	Rgp
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
,	,	Z
konstrukciju	konstrukcija	Ncfsa
,	,	Z
proizvodnju	proizvodnja	Ncfsa
i	i	Cc
rad	rad	Ncmsan
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
.	.	Z

Tehnička	tehnički	Agpfsny
dokumentacija	dokumentacija	Ncfsn
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
primjenjivo	primjenjiv	Agpnsny
,	,	Z
sadržava	sadržavati	Vmr3s
najmanje	mali	Ncnsa
sljedeće	sljedeći	Agpmpay
elemente	element	Ncmpa
:	:	Z

–	–	Z
opći	opći	Agpmsny
opis	opis	Ncmsn
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
;	;	Z

–	i	Agpnsay
idejno	idejni	Agpnsay
rješenje	rješenje	Ncnsa
i	i	Cc
crteže	crtež	Ncmpa
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
te	te	Cc
crteže	crtež	Ncmpa
dijelova	dio	Ncmpg
,	,	Z
podsklopova	podsklop	Ncmpg
,	,	Z
povezivanja	povezivanje	Ncnsg
itd.	itd.	Y
;	;	Z

–	i	Agpmpay
opise	opis	Ncmpa
i	i	Cc
objašnjenja	objašnjenje	Ncnsg
potrebna	potreban	Agpfsny
za	za	Sa
razumijevanje	razumijevanje	Ncnsa
tih	taj	Pd-mpg
crteža	crtež	Ncmpg
te	te	Cc
načina	način	Ncmpg
rada	rad	Ncmsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
;	;	Z

–	–	Agpmsny
popis	popis	Ncmsn
usklađenih	uskladiti	Agpfpgy
norma	norma	Ncfpg
na	na	Sa
koje	koji	Pi-fpn
su	biti	Var3p
upućivanja	upućivanje	Ncnsg
objavljena	objaviti	Appfsny
u	u	Sl
Službenom	služben	Agpmsly
listu	list	Ncmsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
koji	koji	Pi-msn
se	sebe	Px--sa
u	u	Sl
potpunosti	potpunost	Ncfsl
ili	ili	Cc
djelomično	djelomično	Rgp
primjenjuju	primjenjivati	Vmr3p
te	te	Cc
opis	opis	Ncmsan
rješenja	rješenje	Ncnsg
donesenih	donesen	Agpmpgy
kako	kako	Cs
bi	biti	Vaa3p
se	sebe	Px--sa
ispunili	ispuniti	Vmp-pm
osnovni	osnovan	Agpmpny
sigurnosni	sigurnosni	Agpmpny
zahtjevi	zahtjev	Ncmpn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
kada	kada	Cs
te	taj	Pd-fsg
usklađene	uskladiti	Appfpny
norme	norma	Ncfpn
nisu	biti	Var3p
primijenjene	primijeniti	Appfpny
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
djelomične	djelomičan	Agpfsgy
primjene	primjena	Ncfsg
usklađenih	uskladiti	Agpfpgy
norma	norma	Ncfpg
u	u	Sl
tehničkoj	tehnički	Agpfsly
dokumentaciji	dokumentacija	Ncfsl
navode	navoditi	Vmr3p
se	sebe	Px--sa
dijelovi	dio	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
,	,	Z

–	i	Agpmpay
rezultate	rezultat	Ncmpa
provedenih	provesti	Agpmpgy
proračuna	proračun	Ncmpg
,	,	Z
provedenih	provesti	Appnpgy
ispitivanja	ispitivanje	Ncnsg
itd.	itd.	Y
,	,	Z

–	i	Agpfpay
informacije	informacija	Ncfpa
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
potrebne	potreban	Agpfpay
kvalifikacije	kvalifikacija	Ncfpa
ili	ili	Cc
odobrenja	odobrenje	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkama	točka	Ncfpi
3.1.2.	3.1.	Agpfpiy
i	i	Cc
3.1.3.	3.1.3.	Mds

Dodatka	dodatak	Ncmsg
I.	I.	Mro
;	;	Z

–	–	Agpmsny
popratni	popratni	Agpmsny
dokaz	dokaz	Ncmsn
prikladnosti	prikladnost	Ncfsg
tehničkog	tehnički	Agpnsgy
rješenja	rješenje	Ncnsg
.	.	Z

Taj	taj	Pd-msn
popratni	popratni	Agpmsny
dokaz	dokaz	Ncmsn
navodi	navoditi	Vmr3s
sve	sav	Agpmpay
dokumente	dokument	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
korišteni	koristiti	Appmpny
,	,	Z
posebno	posebno	Rgp
gdje	gdje	Rgp
odgovarajuće	odgovarajući	Agpfpny
usklađene	uskladiti	Agpfpny
norme	norma	Ncfpn
nisu	biti	Var3p
primijenjene	primijeniti	Appfpny
u	u	Sl
cijelosti	cijelost	Ncfsl
.	.	Z

Dokazi	dokaz	Ncmpn
po	po	Sl
potrebi	potreba	Ncfsl
uključuju	uključivati	Vmr3p
rezultate	rezultat	Ncmpa
ispitivanja	ispitivanje	Ncnpg
koja	koji	Pi-npn
su	biti	Var3p
provedena	provesti	Appnpny
u	u	Sl
odgovarajućem	odgovarajući	Agpmsly
laboratoriju	laboratorij	Ncmsl
proizvođača	proizvođač	Ncmsg
ili	ili	Cc
nekom	neki	Pi-msl
drugom	drugi	Mlomsl
laboratoriju	laboratorij	Ncmsl
koji	koji	Pi-msn
vrši	vršiti	Vmr3s
ispitivanja	ispitivanje	Ncnsg
u	u	Sa
njegovo	njegov	Agpnsay
ime	ime	Ncnsa
i	i	Cc
pod	pod	Si
njegovom	njegov	Ps3fsi
odgovornošću	odgovornost	Ncfsi
.	.	Z

Zahtjevom	zahtjev	Ncmsi
može	moći	Vmr3s
obuhvatiti	obuhvatiti	Vmn
različite	različit	Agpfpay
izvedbe	izvedba	Ncfpa
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
razlike	razlika	Ncfpn
među	među	Si
njima	oni	Pp3-pi
ne	ne	Qz
utječu	utjecati	Vmr3p
na	na	Sa
razinu	razina	Ncfsa
sigurnosti	sigurnost	Ncfsg
.	.	Z

4.	4.	Mdo
Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
:	:	Z

4.1.	4.1.	Mdo
pregledava	pregledavati	Vmr3s
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
i	i	Cc
dokaze	dokaz	Ncmpa
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
ocijenilo	ocijeniti	Vmp-sn
primjerenost	primjerenost	Ncfsn
tehničkog	tehnički	Agpnsgy
rješenja	rješenje	Ncnsg
proizvoda	proizvod	Ncmpg
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
posebno	poseban	Agpnsny
:	:	Z

–	–	Z
ocjenjuje	ocjenjivati	Vmr3s
korištene	koristiti	Agpmpay
materijale	materijal	Ncmpa
kada	kada	Cs
oni	oni	Pp3mpn
nisu	biti	Var3p
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odgovarajućim	odgovarajući	Agpfpiy
usklađenim	uskladiti	Agpfpiy
normama	norma	Ncfpi
ili	ili	Cc
s	sa	Si
europskim	europski	Agpnsiy
odobrenjem	odobrenje	Ncnsi
za	za	Sa
materijale	materijal	Ncmpa
za	za	Sa
tlačnu	tlačni	Agpfsay
opremu	oprema	Ncfsa
;	;	Z

–	–	Z
odobrava	odobravati	Vmr3s
postupke	postupak	Ncmpa
za	za	Sa
nerastavljive	nerastavljiv	Agpmpay
spojeve	spoj	Ncmpa

