odgovorna	odgovoran	Agpfsny
(	(	Z
3	3	Mdc
)	)	Z
Veterinarske	veterinarski	Agpfsgy
ljekarne	ljekarna	Ncfsg
i	i	Cc
veterinarske	veterinarski	Agpfsgy
ambulante	ambulanta	Ncfsg
dužne	dužan	Agpfsgy
su	biti	Var3p
od	od	Sg
građana	građanin	Ncmpg
preuzimati	preuzimati	Vmn
stare	star	Agpmpay
veterinarske	veterinarski	Agpmpay
lijekove	lijek	Ncmpa
i	i	Cc
/	/	Z
ili	ili	Cc
sličan	sličan	Agpmsann
farmaceutski	farmaceutski	Agpmsayn
otpad	otpad	Ncmsan
nastao	nastati	Vmp-sm
pružanjem	pružanje	Ncnsi
veterinarskih	veterinarski	Agpfpgy
usluga	usluga	Ncfpg
u	u	Sl
kućanstvima	kućanstvo	Ncnpl
i	i	Cc
/	a	Ncfsl
ili	ili	Cc
na	na	Sl
poljoprivrednim	poljoprivredni	Agpnply
gospodarstvima	gospodarstvo	Ncnpl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Reciklažna	reciklažan	Agpnpny
dvorišta	dvorište	Ncnpn
dužna	dužan	Agpnpny
su	biti	Var3p
,	,	Z
sukladno	sukladno	Rgp
posebnom	poseban	Agpmsly
propisu	propis	Ncmsl
,	,	Z
preuzimati	preuzimati	Vmn
medicinski	medicinski	Agpmsayn
otpad	otpad	Ncmsan
iz	iz	Sg
kućanstva	kućanstvo	Ncnsg
.	.	Z

Uvjeti	uvjet	Ncmpn
za	za	Sa
skladištenje	skladištenje	Ncnsa
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
te	te	Cc
način	način	Ncmsan
skladištenja	skladištenje	Ncnsg
na	na	Sl
mjestu	mjesto	Ncnsl
nastanka	nastanak	Ncmsg

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Medicinski	medicinski	Agpmsny
otpad	otpad	Ncmsn
mora	morati	Vmr3s
se	sebe	Px--sa
na	na	Sl
mjestu	mjesto	Ncnsl
nastanka	nastanak	Ncmsg
skladištiti	skladištiti	Vmn
u	u	Sa
zaključano	zaključati	Agpnsay
,	,	Z
natkriveno	natkriti	Appnsny
,	,	Z
privremeno	privremen	Agpnsny
skladište	skladište	Ncnsn
u	u	Sa
kojeg	koji	Pi-msg
je	biti	Var3s
onemogućen	onemogućiti	Appmsnn
dotok	dotok	Ncmsn
oborinskih	oborinski	Agpfpgy
voda	voda	Ncfpg
na	na	Sa
otpad	otpad	Ncmsan
,	,	Z
odvojeno	odvojiti	Appnsny
od	od	Sg
osnovne	osnovan	Agpfsgy
djelatnosti	djelatnost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prostor	prostor	Ncmsn
skladišta	skladište	Ncnsg
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
na	na	Sl
mjestu	mjesto	Ncnsl
nastanka	nastanak	Ncmsg
osim	osim	Sg
uvjeta	uvjet	Ncmpg
za	za	Sa
skladište	skladište	Ncnsa
otpada	otpad	Ncmsg
sukladno	sukladno	Rgp
posebnom	poseban	Agpmsly
propisu	propis	Ncmsl
mora	morati	Vmr3s
ispunjavati	ispunjavati	Vmn
slijedeće	slijedeći	Agpmpay
uvjete	uvjet	Ncmpa
:	:	Z

–	–	Z
imati	imati	Vmn
nepropusne	nepropustan	Agpfpay
i	i	Cc
otporne	otporan	Agpfsgy
podne	podni	Agpfsgy
površine	površina	Ncfsg
koje	koji	Pi-fpn
se	sebe	Px--sa
lako	lako	Rgp
čiste	čistiti	Vmr3p
i	i	Cc
dezinficiraju	dezinficirati	Vmr3p
;	;	Z

–	–	Z
biti	biti	Van
opremljen	opremiti	Appmsnn
vodom	vod	Ncmsi
i	i	Cc
kanalizacijom	kanalizacija	Ncfsi
;	;	Z

–	–	Z
biti	biti	Van
lako	lako	Rgp
dostupan	dostupan	Agpmsnn
osoblju	osoblje	Ncnsd
zaduženom	zadužen	Agpmsly
za	za	Sa
interno	interni	Agpnsay
gospodarenje	gospodarenje	Ncnsa
otpadom	otpad	Ncmsi
kod	kod	Sg
proizvođača	proizvođač	Ncmsg
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
;	;	Z

–	–	Npmsn
biti	biti	Van
zaključan	zaključati	Appmsnn
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
onemogućio	onemogućiti	Vmp-sm
pristup	pristup	Ncmsn
neovlaštenim	neovlašten	Agpfpdy
osobama	osoba	Ncfpd
;	;	Z

–	–	Z
biti	biti	Van
lako	lako	Rgp
dostupan	dostupan	Agpmsnn
uređajima	uređaj	Ncmpd
i	i	Cc
opremom	oprema	Ncfsi
za	za	Sa
sakupljanje	sakupljanje	Ncnsa
otpada	otpad	Ncmsg
(	(	Z
kolicima	kolica	Ncnpi
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
;	;	Z

–	–	Z
biti	biti	Van
nedostupan	nedostupan	Agpmsnn
životinjama	životinja	Ncfpi
,	,	Z
osobito	osobito	Rgp
glodavcima	glodavac	Ncmpi
,	,	Z
pticama	ptica	Ncfpl
i	i	Cc
kukcima	kukac	Ncmpi
;	;	Z

–	–	Z
biti	biti	Van
dobro	dobro	Rgp
osvijetljen	osvijetliti	Appmsnn
i	i	Cc
ventiliran	ventilirati	Appmsnn
;	;	Z

–	–	Z
biti	biti	Van
smješten	smjestiti	Appmsnn
tako	tako	Cs
da	da	Cs
otpad	otpad	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
doći	doći	Vmn
u	u	Sa
kontakt	kontakt	Ncmsan
s	sa	Si
hranom	hrana	Ncfsi
i	i	Cc
mjestom	mjesto	Ncnsi
za	za	Sa
pripremu	priprema	Ncfsa
hrane	hrana	Ncfsg
;	;	Z

(	(	Z
3	3	Mdc
)	)	Z
Skladištenje	skladištenje	Ncnsn
zaraznog	zarazan	Agpmsgy
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
smije	smjeti	Vmr3s
trajati	trajati	Vmn
najdulje	dugo	Rgs
15	15	Mdc
dana	dan	Ncmpg
na	na	Sl
temperaturi	temperatura	Ncfsl
do	do	Sg
+8	+	Ncmsg
°	°	Z
C	C	X
,	,	Z
a	a	Cc
na	na	Sl
temperaturi	temperatura	Ncfsl
od	od	Sg
+8	+8	Mdc
°	°	Z
C	C	X
do	do	Sg
+15	+15	X
°	°	Z
C	C	X
najdulje	dugo	Rgs
osam	osam	Mlc
dana	dan	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Mali	mali	Agpmsny
izvor	izvor	Ncmsn
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
nije	biti	Var3s
obvezan	obvezan	Agpmsnn
imati	imati	Vmn
skladište	skladište	Ncnsa
otpada	otpad	Ncmsg
na	na	Sl
mjestu	mjesto	Ncnsl
nastanka	nastanak	Ncmsg
,	,	Z
već	već	Rgp
je	biti	Var3s
dužan	dužan	Agpmsnn
opasni	opasan	Agpmsny
medicinski	medicinski	Agpmsny
otpad	otpad	Ncmsn
odvojeno	odvojeno	Rgp
sakupljati	sakupljati	Vmn
u	u	Sa
odgovarajuće	odgovarajući	Agpmpay
spremnike	spremnik	Ncmpa
,	,	Z
a	a	Cc
zarazni	zarazan	Agpmsny
medicinski	medicinski	Agpmsny
otpad	otpad	Ncmsn
i	i	Cc
na	na	Sl
propisanoj	propisati	Agpfsly
temperaturi	temperatura	Ncfsl
,	,	Z
te	te	Cc
ga	on	Pp3msa
u	u	Sl
roku	rok	Ncmsl
ne	ne	Qz
duljem	dug	Vmr1s
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
obraditi	obraditi	Vmn
ili	ili	Cc
predati	predati	Vmn
ovlaštenoj	ovlašten	Agpfsly
osobi	osoba	Ncfsl
za	za	Sa
obradu	obrada	Ncfsa
ili	ili	Cc
ga	on	Pp3msa
isporučiti	isporučiti	Vmn
na	na	Sa
obradu	obrada	Ncfsa
izvan	izvan	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
ukoliko	ukoliko	Cs
proizvođač	proizvođač	Ncmsn
zaraznog	zarazan	Agpmsgy
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
osigurati	osigurati	Vmn
uvjete	uvjet	Ncmpa
za	za	Sa
njegovo	njegov	Agpnsay
skladištenje	skladištenje	Ncnsa
sukladno	sukladan	Agpnsay
odredbi	odredba	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
mora	morati	Vmr3s
osigurati	osigurati	Vmn
da	da	Cs
od	od	Sg
nastanka	nastanak	Ncmsg
zaraznog	zarazan	Agpmsgy
otpada	otpad	Ncmsg
do	do	Sg
njegove	njegov	Ps3fsg
predaje	predaja	Ncfsg
na	na	Sa
obradu	obrada	Ncfsa
ne	ne	Qz
prođe	proći	Vmr3s
više	mnogo	Rgc
od	od	Sg
24	24	Mdc
sata	sat	Ncmsg
ako	ako	Cs
temperatura	temperatura	Ncfsn
okoliša	okoliš	Ncmsg
prelazi	prelaziti	Vmr3s
20	20	Mdc
°	°	Z
C	C	Npmsn
,	,	Z
odnosno	odnosno	Rgp
72	72	Mdc
sata	sat	Ncmsg
ako	ako	Cs
je	biti	Var3s
temperatura	temperatura	Ncfsn
okoliša	okoliš	Ncmsg
između	između	Sg
15	15	Mdc
i	i	Cc
20	20	Mdc
°	°	Z
C.	C.	Y

Ostale	ostali	Agpfpny
obveze	obveza	Ncfpn
proizvođača	proizvođač	Ncmsg
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
je	biti	Var3s
dužan	dužan	Agpmsnn
proizvedeni	proizvesti	Agpmsny
medicinski	medicinski	Agpmsny
otpad	otpad	Ncmsn
predati	predati	Vmn
ovlaštenoj	ovlašten	Agpfsly
osobi	osoba	Ncfsl
ili	ili	Cc
ga	on	Pp3msa
isporučiti	isporučiti	Vmn
na	na	Sa
obradu	obrada	Ncfsa
izvan	izvan	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
odredbe	odredba	Ncfsg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
proizvođač	proizvođač	Ncmsn
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
može	moći	Vmr3s
obradu	obrada	Ncfsa
tog	taj	Pd-msg
otpada	otpad	Ncmsg
obavljati	obavljati	Vmn
i	i	Cc
samostalno	samostalno	Rgp
ukoliko	ukoliko	Cs
raspolaže	raspolagati	Vmr3s
odgovarajućom	odgovarajući	Agpfsiy
opremom	oprema	Ncfsi
i	i	Cc
pribavi	pribaviti	Vmr3s
odgovarajuću	odgovarajući	Agpfsay
dozvolu	dozvola	Ncfsa
za	za	Sa
gospodarenje	gospodarenje	Ncnsa
medicinskim	medicinski	Agpmsiy
otpadom	otpad	Ncmsi
sukladno	sukladno	Rgp
Zakonu	Zakon	Npmsd
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
proizvedeni	proizvesti	Agpmsny
otpad	otpad	Ncmsn
pakirati	pakirati	Vmn
sukladno	sukladno	Rgp
članku	članak	Ncmsd
10.	10.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

III	III	Mrc
.	.	Z

GOSPODARENJE	gospodarenje	Ncnsa
MEDICINSKIM	medicinski	Agpmsiy
OTPADOM	otpad	Ncmsi

Pakiranje	pakiranje	Ncnsn
medicinskog	medicinski	Agpmsgy
otpada	otpad	Ncmsg

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Spremnici	spremnik	Ncmpn

