SAMOUPRAVE	samouprava	Ncfpn
kreditnim	kreditan	Agpfpiy
institucijama	institucija	Ncfpi
objavom	objava	Ncfsi
na	na	Sl
mrežnoj	mrežni	Agpfsly
stranici	stranica	Ncfsl
Agencije	agencija	Ncfsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
.	.	Z

VII	vii	Mrc
.	.	Z

POSTUPAK	postupak	Ncmsn
ISPLATE	isplata	Ncfsg
OBEŠTEĆENJA	obeštećenje	Ncnsg
ZA	za	Sa
OSIGURANE	osigurati	Agpmpay
DEPOZITE	depozit	Ncmpa

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Isplatu	isplata	Ncfsa
obeštećenja	obeštećenje	Ncnsg
može	moći	Vmr3s
provoditi	provoditi	Vmn
Agencija	agencija	Ncfsn
ili	ili	Cc
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
koja	koji	Pi-fsn
temeljem	temelj	Ncmsi
ugovora	ugovor	Ncmsg
o	o	Sl
nalogu	nalog	Ncmsl
,	,	Z
u	u	Sa
ime	ime	Ncnsa
i	i	Cc
za	za	Sa
račun	račun	Ncmsan
Agencije	agencija	Ncfsg
,	,	Z
provodi	provoditi	Vmr3s
isplatu	isplata	Ncfsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
isplatna	isplatan	Agpfsny
kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Agencija	agencija	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
isplatnoj	isplatan	Agpfsly
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
omogućiti	omogućiti	Vmn
izravan	izravan	Agpmsann
pristup	pristup	Ncmsan
bazi	baza	Ncfsl
podataka	podatak	Ncmpg
o	o	Sl
provedenim	provesti	Agpmply
obračunima	obračun	Ncmpl
obeštećenja	obeštećenje	Ncnsg
i	i	Cc
izdanim	izdan	Agpmpiy
nalozima	nalog	Ncmpi
za	za	Sa
isplatu	isplata	Ncfsa
obeštećenja	obeštećenje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Danom	dan	Ncmsi
nastupa	nastup	Ncmsg
osiguranog	osigurati	Appmsgy
slučaja	slučaj	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
7.	7.	Mdo
Zakona	zakon	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
:	:	Z

1	1	Mdc
)	)	Z
obavijestiti	obavijestiti	Vmn
deponente	deponent	Ncmpa
kreditne	kreditan	Agpfpay
institucije	institucija	Ncfpa
o	o	Sl
nastupu	nastup	Ncmsl
osiguranog	osigurati	Agpmsgy
slučaja	slučaj	Ncmsg
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
na	na	Sl
svojoj	svoj	Px-fsl
mrežnoj	mrežni	Agpfsly
stranici	stranica	Ncfsl
te	te	Cc
oglasom	oglas	Ncmsi
u	u	Sa
najmanje	mali	Ncnsa
dvjema	dva	Ncmpg
dnevnim	dnevni	Agpfpdy
novinama	novina	Ncfpd
,	,	Z
koje	koji	Pi-fpn
su	biti	Var3p
dostupne	dostupan	Agpfpny
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Obavijest	obavijest	Ncfsn
o	o	Sl
nastupu	nastup	Ncmsl
osiguranog	osigurati	Agpmsgy
slučaja	slučaj	Ncmsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
informaciju	informacija	Ncfsa
o	o	Sl
načinu	način	Ncmsl
i	i	Cc
roku	rok	Ncmsl
ostvarenja	ostvarenje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
obeštećenje	obeštećenje	Ncnsa
te	te	Cc
informaciju	informacija	Ncfsa
da	da	Cs
su	biti	Var3p
ukupna	ukupan	Agpnpny
sredstva	sredstvo	Ncnpn
potrebna	potreban	Agpfsny
za	za	Sa
isplatu	isplata	Ncfsa
obeštećenja	obeštećenje	Ncnsg
na	na	Sl
raspolaganju	raspolaganje	Ncnsl
u	u	Sl
isplatnoj	isplatan	Agpfsly
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
.	.	Z

2	2	Mdc
)	)	Z
poduzeti	poduzeti	Vmn
sve	sav	Agpfpay
potrebne	potreban	Agpfpay
radnje	radnja	Ncfpa
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
postupka	postupak	Ncmsg
obeštećenja	obeštećenje	Ncnsg
deponenata	deponent	Ncmpg
.	.	Z

3	3	Mdc
)	)	Z
zatražiti	zatražiti	Vmn
od	od	Sg
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
,	,	Z
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
nastupio	nastupiti	Vmp-sm
osigurani	osigurati	Agpmsny
slučaj	slučaj	Ncmsn
,	,	Z
sve	sav	Agpmpay
podatke	podatak	Ncmpa
i	i	Cc
dokumentaciju	dokumentacija	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
potrebna	potreban	Agpfsny
za	za	Sa
obračun	obračun	Ncmsan
obeštećenja	obeštećenje	Ncnsg
,	,	Z
a	a	Cc
sukladno	sukladno	Rgp
Prilogu	Prilog	Npmsd
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

4	4	Mdc
)	)	Z
provesti	provesti	Vmn
postupak	postupak	Ncmsan
obračuna	obračun	Ncmsg
obeštećenja	obeštećenje	Ncnsg
temeljem	temelj	Ncmsi
primljenih	primljen	Agpmpgy
podataka	podatak	Ncmpg
za	za	Sa
sve	sav	Agpmpay
deponente	deponent	Ncmpa
čiji	čiji	Pi-mpn
se	sebe	Px--sa
depoziti	depozit	Ncmpn
smatraju	smatrati	Vmr3p
prihvatljivim	prihvatljiv	Agpmsiy
sukladno	sukladno	Rgp
članku	članak	Ncmsd
5.	5.	Mdo
Zakona	zakon	Ncmsg
.	.	Z

Obračun	obračun	Ncmsn
obeštećenja	obeštećenje	Ncnsg
sadrži	sadržati	Vmr3s
podatke	podatak	Ncmpa
o	o	Sl
:	:	Z
deponentu	deponent	Ncmsl
,	,	Z
iznosu	iznos	Ncmsl
svih	sav	Agpmpgy
deviznih	devizni	Agpmpgy
depozita	depozit	Ncmpg
preračunatih	preračunati	Ncfpg
u	u	Sa
kune	kuna	Ncfpa
po	po	Sl
srednjem	srednji	Agpmsly
tečaju	tečaj	Ncmsl
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
važećem	važeći	Vmr3s
na	na	Sa
dan	dan	Ncmsan
nastupa	nastup	Ncmsg
osiguranog	osigurati	Appmsgy
slučaja	slučaj	Ncmsg
,	,	Z
iznosu	iznos	Ncmsl
svih	sav	Agpmpgy
kunskih	kunski	Agpmpgy
depozita	depozit	Ncmpg
,	,	Z
iznosu	iznos	Ncmsl
dospjelih	dospjeli	Agpfpgy
obveza	obveza	Ncfpg
deponenta	deponent	Ncmsg
prema	prema	Sl
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
na	na	Sa
dan	dan	Ncmsan
nastupa	nastup	Ncmsg
osiguranog	osigurati	Appmsgy
slučaja	slučaj	Ncmsg
i	i	Cc
iznosu	iznos	Ncmsl
prava	pravo	Ncnpg
na	na	Sa
obeštećenje	obeštećenje	Ncnsa
.	.	Z

Svakom	svaki	Pi-msl
obračunu	obračun	Ncmsl
obeštećenja	obeštećenje	Ncnsg
se	sebe	Px--sa
programski	programski	Agpmsny
dodjeljuje	dodjeljivati	Vmr3s
jedinstveni	jedinstven	Agpmsayn
broj	broj	Ncmsan
.	.	Z

5	5	Mdc
)	)	Z
izdati	izdati	Vmn
nalog	nalog	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
obeštećenja	obeštećenje	Ncnsg
svim	sav	Agpmpdy
deponentima	deponent	Ncmpd
kojima	koji	Pi-mpi
je	biti	Var3s
provedenim	provesti	Agpmsiy
obračunom	obračun	Ncmsi

