sustavu	sustav	Ncmsd
10.	10.	Mdo

Smetnje	smetnja	Ncfpn
s	sa	Si
očima	oko	Ncfpi
ili	ili	Cc
vidom	vid	Ncmsi
(	(	Z
upale	upala	Ncfpn
,	,	Z
ozljede	ozljeda	Ncfpn
i	i	Cc
sl.	sl.	Y
)	)	Z

11.	11.	Mdo

Brzo	brz	Agpnsny
umaranje	umaranje	Ncnsn
ili	ili	Cc
nedostatak	nedostatak	Ncmsan
zraka	zraka	Ncfpg
pri	pri	Sl
tjelesnim	tjelesni	Agpmply
naporima	napor	Ncmpl

12.	12.	Mdo

Pojave	pojava	Ncfpn
brzih	brz	Agpmpgy
i	i	Cc
/	/	Z
ili	ili	Cc
nepravilnih	nepravilan	Agpmpgy
otkucaja	otkucaj	Ncmpg
srca	srce	Ncnsg

13.	13.	Mdo

Srčane	srčan	Agpfpay
bolesti	bolest	Ncfpa
ili	ili	Cc
mane	mana	Ncfsg

14.	14.	Mdo

Visoki	visok	Agpmsny
ili	ili	Cc
niski	nizak	Agpmsayn
krvni	krvni	Agpmsayn
tlak	tlak	Ncmsan

15.	15.	Mdo

Osjećaj	osjećaj	Ncmsn
pritiskanja	pritiskanje	Ncnsg
u	u	Sl
prsima	prsa	Ncnpl
,	,	Z
probadanje	probadanje	Ncnsn
u	u	Sl
području	područje	Ncnsl
srca	srce	Ncnsg
i	i	Cc
sl.	sl.	Y

16.	16.	Mdo

Dugotrajni	dugotrajan	Agpmsny
ili	ili	Cc
kronični	kroničan	Agpmsny
kašalj	kašalj	Ncmsn

17.	17.	Mdo

Bronhitis	bronhitis	Ncmsn
(	(	Z
akutni	akutan	Agpmpny
ili	ili	Cc
kronični	kroničan	Agpmpny
)	)	Z
,	,	Z
astma	astma	Ncfsn

18.	18.	Mdo

Upala	upala	Ncfsn
pluća	pluća	Ncnsg
ili	ili	Cc
porebrice	porebrica	Ncfsg

19.	19.	Mdo

Povraćanje	povraćanje	Ncnsn
krvi	krv	Ncfsg
,	,	Z
krvave	krvav	Agpfsgy
stolice	stolica	Ncfsg
ili	ili	Cc
krvavi	krvav	Agpmpny
proljevi	proljev	Ncmpn

20.	20.	Mdo

Bolesti	bolest	Ncfpn
bubrega	bubreg	Ncmpg
ili	ili	Cc
mjehura	mjehur	Ncmsg
(	(	Z
krv	krv	Ncfsa
,	,	Z
šećer	šećer	Ncmsan
ili	ili	Cc
bjelančevina	bjelančevina	Ncfsn
u	u	Sl
mokraći	mokraća	Ncfsl
)	)	Z

21.	21.	Mdo

Hernija	hernija	Ncfsn
(	(	Z
kila	kila	Ncfsn
)	)	Z
bilo	bilo	Qo
koje	koji	Pi-fpa
lokalizacije	lokalizacija	Ncfpa

22.	22.	Mdo

Bolesti	bolest	Ncfpn
ili	ili	Cc
ozljede	ozljeda	Ncfsg
zglobova	zglob	Ncmpg
,	,	Z
kostiju	kost	Ncfpg
ili	ili	Cc
kralježnice	kralježnica	Ncfsg

23.	23.	Mdo

Bolesti	bolest	Ncfpn
kože	koža	Ncfsg
bilo	bilo	Qo
koje	koji	Pi-fsg
vrste	vrsta	Ncfsg

24.	24.	Mdo

Tumori	tumor	Ncmpn
bilo	bilo	Qo
koje	koji	Pi-fsg
vrste	vrsta	Ncfsg

25.	25.	Mdo

Jeste	biti	Var2p
li	li	Qq
ikada	ikada	Rgp
bolnički	bolnički	Agpmsny
liječeni	liječiti	Appmpny

Ako	ako	Cs
da	da	Cs
,	,	Z
zbog	zbog	Sg
čega	što	Pi3n-g
?	?	Z
__________________________	_________________________a	Ncfpn

26.	26.	Mdo

Jeste	biti	Var2p
li	li	Qq
ikada	ikada	Rgp
bili	biti	Vap-pm
podvrgnuti	podvrgnuti	Vmn
bilo	bilo	Qo
kakvoj	kakav	Pi-fsl
operaciji	operacija	Ncfsl
?	?	Z

Ako	ako	Cs
da	da	Cs
,	,	Z
zbog	zbog	Sg
čega	što	Pi3n-g
?	?	Z
__________________________	_________________________a	Ncfpn

27.	27.	Mdo

Jeste	biti	Var2p
li	li	Qq
ikada	ikada	Rgp
imali	imati	Vmp-pm
bilo	bilo	Qo
kakvu	kakav	Pi-fsa
nesreću	nesreća	Ncfsa
,	,	Z
ozljedu	ozljeda	Ncfsa
ili	ili	Cc
bolest	bolest	Ncfsn
osim	osim	Cs
spomenutih	spomenuti	Appfpgy
?	?	Z

Ako	ako	Cs
da	da	Cs
,	,	Z
kada	kada	Rgp
?	?	Z
________________________________________	_______________________________________a	Ncfpn

SADAŠNJE	sadašnji	Agpnsny
STANJE	stanje	Ncnsn
DA	da	Cs
NE	ne	Qz

28.	28.	Mdo

Imate	imati	Vmr2p
li	li	Qq
sada	sada	Rgp
bilo	bilo	Qo
kakvu	kakav	Pi-fsa
zdravstvenu	zdravstven	Agpfsay
tegobu	tegoba	Ncfsa
,	,	Z
poremećaj	poremećaj	Ncmsan
ili	ili	Cc
bolest	bolest	Ncfsn
?	?	Z

Ako	ako	Cs
da	da	Cs
,	,	Z
koju	koji	Pi-fsa
?	?	Z
_____________________________________	_____________________________________	Z

29.	29.	Mdo

Uzimate	uzimati	Vmr2p
li	li	Qq
sada	sada	Rgp
bilo	bilo	Qo
kakve	kakav	Pi-mpa
lijekove	lijek	Ncmpa
ili	ili	Cc
bilo	bilo	Qo
koje	koji	Pi-mpa
druge	drugi	Mlompa
preparate	preparat	Ncmpa
?	?	Z

Ako	ako	Cs
da	da	Cs
,	,	Z
koje	koji	Pi-fpn
?	?	Z
____________________________________	____________________________________	Pi3n-n

30.	30.	Mdo

Imate	imati	Vmr2p
li	li	Qq
bilo	bilo	Qo
kakvu	kakav	Pi-fsa
tjelesnu	tjelesni	Agpfsay
manu	mana	Ncfsa
ili	ili	Cc
nedostatak	nedostatak	Ncmsan
?	?	Z

31.	31.	Mdo

Nosite	nositi	Vmr2p
li	li	Cs
naočale	naočale	Ncfpa
ili	ili	Cc
kontaktne	kontaktan	Agpfpny
leće	leća	Ncfpn
?	?	Z

32.	32.	Mdo

Nosite	nositi	Vmr2p
li	li	Qq
slušni	slušni	Agpmsayn
aparat	aparat	Ncmsan
?	?	Z

33.	33.	Mdo

Nosite	nositi	Vmr2p
li	li	Cs
zubne	zubni	Agpfpay
proteze	proteza	Ncfpa
,	,	Z
ortopedska	ortopedski	Agpfsny
ili	ili	Cc
druga	drugi	Mlonpa
pomagala	pomagalo	Ncnpa
?	?	Z

34.	34.	Mdo

Bojite	bojati	Vmr2p
li	li	Cs
se	sebe	Px--sa
zatvorenog	zatvoren	Agpmsgy
prostora	prostor	Ncmsg
,	,	Z
otvorenog	otvoren	Agpmsgy
prostora	prostor	Ncmsg
ili	ili	Cc
visine	visina	Ncfsg
?	?	Z

35.	35.	Mdo

Da	da	Cs
li	li	Qq
biste	biti	Vaa2p
sebe	sebe	Px--sa
opisali	opisati	Vmp-pm
kao	kao	Cs
osobu	osoba	Ncfsa
sklonu	sklon	Agpfsay
panici	panika	Ncfsl
?	?	Z

36.	36.	Mdo

Imate	imati	Vmr2p
li	li	Qq
»	»	Z
morsku	morski	Agpfsay
bolest	bolest	Ncfsa
«	«	Z
pri	pri	Sl
putovanju	putovanje	Ncnsl
brodom	brod	Ncmsi
,	,	Z
avionom	avion	Ncmsi
ili	ili	Cc
autobusom	autobus	Ncmsi
?	?	Z

37.	37.	Mdo

Podnosite	podnositi	Vmr2p
li	li	Qq
dobro	dobro	Ncnsa
visoke	visok	Agpfsgy
temperature	temperatura	Ncfsg
?	?	Z

38.	38.	Mdo

Jeste	biti	Var2p
li	li	Qq
trudni	trudan	Agpmpny
(	(	Z
žene	žena	Ncfpn
)	)	Z
?	?	Z

39.	39.	Mdo

Pušite	pušiti	Vmr2p
li	li	Qq
i	i	Cc
koliko	koliko	Rgp
cigareta	cigareta	Ncfpg
na	na	Sa
dan	dan	Ncmsan
?	?	Z
_______________	_______________	Z

40.	40.	Mdo

Pijete	piti	Vmr2p
li	li	Qq
i	i	Cc
koliko	koliko	Rgp
alkoholnih	alkoholni	Agpnpgy
pića	piće	Ncnpg
na	na	Sa
dan	dan	Ncmsan
?	?	Z

Vrsta	vrsta	Ncfsn
pića	piće	Ncnsg
_____________	____________i	Agpfsny
Količina	količina	Ncfsn
_______________	_______________	Z

41.	41.	Mdo

Liječen	liječiti	Appmsnn
/	/	Z
a	a	Cc
sam	sam	Agpmsnn
od	od	Sg
alkoholizma	alkoholizam	Ncmsg

42.	42.	Mdo

Konzumirao	konzumirati	Vmp-sm
/	/	Z
la	li	Agpfsny
sam	biti	Var1s
opojne	opojan	Agpfsgy
droge	droga	Ncfsg

43.	43.	Mdo

Konzumiram	konzumirati	Vmr1s
povremeno	povremeno	Rgp
ili	ili	Cc
redovno	redovno	Rgp
opojne	opojan	Agpfsgy
droge	droga	Ncfsg

44.	44.	Mdo

Bavite	baviti	Vmr2p
li	li	Cs
se	sebe	Px--sa
sportom	sport	Ncmsi
,	,	Z
natjecateljski	natjecateljski	Agpmsny
ili	ili	Cc
rekreacijski	rekreacijski	Agpmsayn
?	?	Z

45.	45.	Mdo

Imam	imati	Vmr1s
utvrđen	utvrditi	Appmsnn
postotak	postotak	Ncmsn
tjelesnog	tjelesni	Agpnsgy
oštećenja	oštećenje	Ncnsg
(	(	Z
invaliditet	invaliditet	Ncmsn
)	)	Z

Ako	ako	Cs
da	da	Cs
,	,	Z
navesti	navesti	Vmn
postotak	postotak	Ncmsan
tjelesnog	tjelesni	Agpmsgy
invaliditeta	invaliditet	Ncmsg
_________	_________	Z

Dragovoljno	dragovoljno	Rgp
pristajem	pristajati	Vmr1s
podvrgnuti	podvrgnuti	Vmn
se	sebe	Px--sa
testiranju	testiranje	Ncnsl
na	na	Sa
droge	droga	Ncfpa
i	i	Cc
alkohol	alkohol	Ncmsan
,	,	Z
te	te	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
potrebe	potreba	Ncfsg
testiranju	testiranje	Ncnsl
na	na	Sa
HIV	hi	Ncmpa
i	i	Cc
druge	drugi	Mlofpa
prenosive	prenosiv	Agpfpay
bolesti	bolest	Ncfpa
.	.	Z

Izjavljujem	izjavljivati	Vmr1s
da	da	Cs
su	biti	Var3p
podaci	podatak	Ncmpn
koje	koji	Pi-mpa
sam	biti	Var1s
dao	dati	Vmp-sm
istiniti	istinit	Agpmsayn
i	i	Cc
da	da	Cs
sam	biti	Var1s
ih	oni	Pp3-pa
dao	dati	Vmp-sm
u	u	Sl
cijelosti	cijelost	Ncfsl
i	i	Cc
po	po	Sl
mom	moj	Agpnsly
najboljem	dobar	Agpnsly
znanju	znanje	Ncnsl
.	.	Z

Preuzimam	preuzimati	Vmr1s
stegovnu	stegovni	Agpfsay
,	,	Z
materijalnu	materijalan	Agpfsay
i	i	Cc
kaznenu	kazneni	Agpfsay
odgovornost	odgovornost	Ncfsa
za	za	Sa
moguće	moguć	Agpfpay
posljedice	posljedica	Ncfpa
u	u	Sl
slučaju	slučaj	Ncmsl
davanja	davanje	Ncnsg
krivih	kriv	Agpnpgy
ili	ili	Cc
nepotpunih	nepotpun	Agpmpgy
podataka	podatak	Ncmpg
(	(	Z
za	za	Sa
djelatne	djelatan	Agpmpay
pripadnike	pripadnik	Ncmpa
DIP-a	DIP	Npmsg
CZ	CZ	Npmsn
)	)	Z
.	.	Z

Moj	moj	Ps1msn
izabrani	izabran	Agpmsny
doktor	doktor	Ncmsn
opće	opći	Agpfsgy
medicine	medicina	Ncfsg
je	biti	Var3s
:	:	Z
______________________	______________________	Z

Adresa	adresa	Ncfsn
ordinacije	ordinacija	Ncfsg
:	:	Z
____________________________________	____________________________________	Z

Mjesto	mjesto	Ncnsn
rada	rad	Ncmsg
:	:	Z
________________________________________	________________________________________	Z

Ova	ovaj	Pd-fsn
izjava	izjava	Ncfsn
daje	davati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
prilog	prilog	Ncmsn
ocjenjivanja	ocjenjivanje	Ncnsg
moje	moj	Ps1fsg
zdravstvene	zdravstven	Agpfsgy
sposobnosti	sposobnost	Ncfsg
i	i	Cc
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
upotrijebiti	upotrijebiti	Vmn
u	u	Sa
druge	drugi	Agpfpay
svrhe	svrha	Ncfpa
.	.	Z

U	u	Sl

