kombiniranoj	kombiniran	Agpfsly
usklađenosti	usklađenost	Ncfsl
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
tehničkih	tehnički	Agpfpgy
pričuva	pričuva	Ncfpg
osim	osim	Sg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
s	sa	Si
obvezama	obveza	Ncfpi
iz	iz	Sg
tehničkih	tehnički	Agpfpgy
pričuva	pričuva	Ncfpg
osim	osim	Sg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
RU-TP	ru-tp	Agpmsnn
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Oblik	oblik	Ncmsan
i	i	Cc
sadržaj	sadržaj	Ncmsan
dodatnih	dodatan	Agpmpgy
izvještaja	izvještaj	Ncmpg
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosno	Rgp
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
propisani	propisati	Appmpny
su	biti	Var3p
obrascima	obrazac	Ncmpi
iz	iz	Sg
Priloga	prilog	Ncmsg
2	2	Mdc
koji	koji	Pi-msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Konsolidirani	konsolidirati	Agpmpny
financijski	financijski	Agpmpny
izvještaji	izvještaj	Ncmpn

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosni	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
koje	koji	Pi-nsn
je	biti	Var3s
matično	matičan	Agpnsny
društvo	društvo	Ncnsn
u	u	Sl
grupi	grupa	Ncfsl
osiguratelja	osiguratelj	Ncmpg
dužno	dužan	Agpnsny
je	biti	Var3s
sastavljati	sastavljati	Vmn
konsolidirane	konsolidirati	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
navedene	naveden	Agpmpay
u	u	Sl
članku	članak	Ncmsl
3.	3.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
obrascima	obrazac	Ncmpi
iz	iz	Sg
Priloga	prilog	Ncmsg
1	1	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
ne	ne	Qz
postoji	postojati	Vmr3s
odnos	odnos	Ncmsn
matičnog	matičan	Agpnsgy
društva	društvo	Ncnsg
i	i	Cc
društva	društvo	Ncnsg
kćeri	kći	Ncfpg
,	,	Z
društvu	društvo	Ncnsl
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosno	Rgp
društvu	društvo	Agpnsny
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
koje	koji	Pi-nsn
je	biti	Var3s
povezano	povezati	Appnsny
na	na	Sa
jedan	jedan	Mlcmsn
od	od	Sg
načina	način	Ncmpg
propisanih	propisati	Agpmpgy
člankom	članak	Ncmsi
297.	297.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
s	sa	Si
drugom	drugi	Mlofsi
pravnom	pravni	Agpfsiy
osobom	osoba	Ncfsi
,	,	Z
Agencija	agencija	Ncfsn
može	moći	Vmr3s
rješenjem	rješenje	Ncnsi
naložiti	naložiti	Vmn
sastavljanje	sastavljanje	Ncnsa
i	i	Cc
dostavu	dostava	Ncfsa
konsolidiranih	konsolidirati	Agpmpgy
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
u	u	Sa
svrhu	svrha	Ncfsa
obavljanja	obavljanje	Ncnsg
potpunog	potpun	Agpmsgy
nadzora	nadzor	Ncmsg
nad	nad	Si
poslovanjem	poslovanje	Ncnsi
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosno	Rgp
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
.	.	Z

Agencija	agencija	Ncfsn
određuje	određivati	Vmr3s
opseg	opseg	Ncmsan
konsolidacije	konsolidacija	Ncfsg
,	,	Z
pravne	pravni	Agpfpny
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
će	htjeti	Var3p
biti	biti	Van
obuhvaćene	obuhvatiti	Appfpny
konsolidacijom	konsolidacija	Ncfsi
te	te	Cc
način	način	Ncmsan
i	i	Cc
učestalost	učestalost	Ncfsa
sastavljanja	sastavljanje	Ncnsg
konsolidiranih	konsolidirati	Appmpgy
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
.	.	Z

III	III	Mrc
.	.	Z

GODIŠNJE	godišnji	Agpnsny
IZVJEŠĆE	izvješće	Ncnsn
I	i	Cc
KONSOLIDIRANO	konsolidirati	Agpnsny
GODIŠNJE	godišnji	Agpnsny
IZVJEŠĆE	izvješće	Ncnsn

Članak	članak	Ncmsn
6.	6.	Mdo

Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosni	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
sastavljati	sastavljati	Vmn
godišnje	godišnji	Agpnsay
izvješće	izvješće	Ncnsa
i	i	Cc
konsolidirano	konsolidirati	Agpnsny
godišnje	godišnji	Agpnsny
izvješće	izvješće	Ncnsn
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosno	Rgp
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
propisima	propis	Ncmpi
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
računovodstvo	računovodstvo	Ncnsn
.	.	Z

IV	IV	Mrc
.	.	Z

ROKOVI	rok	Ncmpn
I	i	Cc
NAČIN	način	Ncmsn
DOSTAVE	dostava	Ncfsg
IZVJEŠTAJA	izvještaj	Ncmsg

Rokovi	rok	Ncmpn
dostave	dostava	Ncfsg
izvještaja	izvještaj	Ncmsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosni	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
sastavljati	sastavljati	Vmn
:	:	Z

–	i	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
,	,	Z

–	i	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
tromjesečna	tromjesečan	Agpnpay
izvještajna	izvještajni	Agpnpay
razdoblja	razdoblje	Ncnpa
tijekom	tijekom	Sg
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
(	(	Z
31.	31.	Mdo
3.	3.	Mdo
,	,	Z
30.	30.	Mdo
6.	6.	Mdo
,	,	Z
30.	30.	Mdo
9.	9.	Mdo
,	,	Z
31.	31.	Mdo
12.	12.	Mdo
)	)	Z
,	,	Z

–	i	Agpmpay
dodatne	dodatan	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
,	,	Z

–	i	Agpmpay
dodatne	dodatan	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točaka	točka	Ncfpg
1.	1.	Mdo
do	do	Sg
4.	4.	Mdo
ovoga	ovaj	Ncmsg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
tromjesečna	tromjesečan	Agpnpay
izvještajna	izvještajni	Agpnpay
razdoblja	razdoblje	Ncnpa
tijekom	tijekom	Sg
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
(	(	Z
31.	31.	Mdo
3.	3.	Mdo
,	,	Z
30.	30.	Mdo
6.	6.	Mdo
,	,	Z
30.	30.	Mdo
9.	9.	Mdo
,	,	Z
31.12.	31.12.	Mds
)	)	Z
,	,	Z

–	–	Sa
godišnje	godišnji	Agpnsay
izvješće	izvješće	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosni	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
koje	koji	Pi-nsn
je	biti	Var3s
matično	matičan	Agpnsny
društvo	društvo	Ncnsn
u	u	Sl
grupi	grupa	Ncfsl
osiguratelja	osiguratelj	Ncmpg
dužno	dužan	Agpnsny
je	biti	Var3s
sastavljati	sastavljati	Vmn
konsolidirane	konsolidirati	Agpmpay
godišnje	godišnji	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
konsolidirano	konsolidirati	Agpnsny
godišnje	godišnji	Agpnsny
izvješće	izvješće	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosni	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
dostaviti	dostaviti	Vmn
Agenciji	Agencija	Npfsd
tromjesečne	tromjesečan	Agpmpay
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
tromjesečne	tromjesečan	Agpmpay
dodatne	dodatan	Agpmpay
izvještaje	izvještaj	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točaka	točka	Ncfpg
1.	1.	Mdo
do	do	Sg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
po	po	Sl
proteku	protek	Ncmsl
izvještajnog	izvještajni	Agpnsgy
razdoblja	razdoblje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z

