neispravne	neispravan	Agpfpay
elektromehanički	elektromehanički	Agpmpny
,	,	Z
relejni	relejni	Agpmpny
i	i	Cc
elektronički	elektronički	Agpmpny
SS	ss	Agpmpny
uređaji	uređaj	Ncmpn
te	te	Cc
SS	S	Npmpn
uređaji	uređaj	Ncmpn
sastavljeni	sastaviti	Appmpny
kao	kao	Cs
kombinacija	kombinacija	Ncfsn
pojedinih	pojedini	Agpmpgy
dijelova	dio	Ncmpg
navedenih	naveden	Agpfpgy
vrsta	vrsta	Ncfpg
uređaja	uređaj	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sukladno	sukladan	Agpnsny
mjestu	mjesto	Ncnsd
primjene	primjena	Ncfsg
u	u	Sl
uporabi	uporaba	Ncfsl
su	biti	Var3p
sljedeći	sljedeći	Agpmpny
SS	ss	Agpmpny
uređaji	uređaj	Ncmpn
:	:	Z

a	a	Cc
)	)	Z
uređaji	uređaj	Ncmpn
za	za	Sa
osiguranje	osiguranje	Ncnsa
službenih	služben	Agpnpgy
mjesta	mjesto	Ncnpg

b	b	Npmsn
)	)	Z
uređaji	uređaj	Ncmpn
za	za	Sa
osiguranje	osiguranje	Ncnsa
prometa	promet	Ncmsg
u	u	Sl
međukolodvorskom	međukolodvorski	Agpnsly
području	područje	Ncnsl
(	(	Z
pružni	pružni	Agpmpny
uređaji	uređaj	Ncmpn
)	)	Z

c	C	Npmsn
)	)	Z
uređaji	uređaj	Ncmpn
za	za	Sa
osiguranje	osiguranje	Ncnsa
ŽCP-a	ŽCP	Npmsg

d		Npmpn
)	)	Z
uređaji	uređaj	Ncmpn
za	za	Sa
središnje	središnji	Agpnsay
upravljanje	upravljanje	Ncnsa
prometom	promet	Ncmsi
(	(	Z
uređaji	uređaj	Ncmpn
daljinskog	daljinski	Agpnsgy
upravljanja	upravljanje	Ncnsg
)	)	Z

e	e	I
)	)	Z
uređaji	uređaj	Ncmpn
za	za	Sa
prijenos	prijenos	Ncmsan
podataka	podatak	Ncmpg
i	i	Cc
djelovanje	djelovanje	Ncnsa
na	na	Sa
vlak	vlak	Ncmsan
su	biti	Agpmsayn
autostop	autostop	Ncmsan
uređaj	uređaj	Ncmsan
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
AS	as	Ncmsn
uređaj	uređaj	Ncmsn
)	)	Z
i	i	Cc
Europski	europski	Agpmsny
sustav	sustav	Ncmsn
upravljanja	upravljanje	Ncnsg
i	i	Cc
nadzora	nadzor	Ncmsg
vlakova	vlak	Ncmpg
(	(	Z
ETCS	ETCS	Npmsn
)	)	Z

f		Npmpn
)	)	Z
uređaji	uređaj	Ncmpn
za	za	Sa
automatizaciju	automatizacija	Ncfsa
ranžirnih	ranžirni	Agpmpgy
kolodvora	kolodvor	Ncmpg
i	i	Cc

g	g	Npmsn
)	)	Z
uređaji	uređaj	Ncmpn
za	za	Sa
dopunsku	dopunski	Agpfsay
zaštitu	zaštita	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Uređaji	uređaj	Ncmpn
za	za	Sa
osiguranje	osiguranje	Ncnsa
prometa	promet	Ncmsg
u	u	Sl
međukolodvorskom	međukolodvorski	Agpnsly
području	područje	Ncnsl
su	biti	Var3p
automatski	automatski	Agpmsny
pružni	pružni	Agpmsny
blok	blok	Ncmsn
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
APB	APB	Npmsn
)	)	Z
i	i	Cc
međukolodvorska	međukolodvorski	Agpfsny
ovisnost	ovisnost	Ncfsn
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
MO	MO	Npmsn
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uređaj	Uređaj	Npmsn
APB	APB	Npmsn
je	biti	Var3s
SS	SS	Npmsn
uređaj	uređaj	Ncmsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
više	mnogo	Rgc
uzastopnih	uzastopni	Agpfpgy
vožnji	vožnja	Ncfpg
i	i	Cc
onemogućavanje	onemogućavanje	Ncnsa
istodobnih	istodoban	Agpfpgy
vožnji	vožnja	Ncfpg
vlakova	vlak	Ncmpg
suprotnog	suprotan	Agpmsgy
smjera	smjer	Ncmsg
po	po	Sl
istom	isti	Agpmsly
pružnom	pružni	Agpmsly
kolosijeku	kolosijek	Ncmsl
između	između	Sg
dva	dva	Mlc
susjedna	susjedni	Agpmsgn
kolodvora	kolodvor	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Uređaj	Uređaj	Npmsn
MO	MO	Npmsn
je	biti	Var3s
SS	SS	Npmsn
uređaj	uređaj	Ncmsn
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa
ovisnosti	ovisnost	Ncfsg
izlaznih	izlazni	Agpmpgy
signala	signal	Ncmpg
dvaju	dva	Vmr3p
susjednih	susjedni	Agpmpgy
kolodvora	kolodvor	Ncmpg
ili	ili	Cc
izlaznog	izlazni	Agpmsgy
signala	signal	Ncmsg
kolodvora	kolodvor	Ncmpg
i	i	Cc
glavnog	glavni	Agpmsgy
signala	signal	Ncmsg
susjednog	susjedni	Agpnsgy
službenog	služben	Agpnsgy
mjesta	mjesto	Ncnsg
te	te	Cc
za	za	Sa
kontrolu	kontrola	Ncfsa
slobodnosti	slobodnost	Ncfsg
prostora	prostor	Ncmsg
između	između	Sg
ovisnih	ovisan	Agpmpgy
signala	signal	Ncmpg
.	.	Z

Međukolodvorski	međukolodvorski	Agpmsayn
prostor	prostor	Ncmsan
s	sa	Si
uređajem	uređaj	Ncmsi
MO	MO	Npmsn
može	moći	Vmr3s
biti	biti	Van
podijeljen	podijeliti	Appmsnn
prostornim	prostoran	Agpmpdy
signalima	signal	Ncmpd
automatske	automatski	Agpfsgy
odjavnice	odjavnica	Ncfsg
na	na	Sa
odjavne	odjavni	Agpmpay
prostorne	prostoran	Agpmpay
odsjeke	odsjek	Ncmpa
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
promet	promet	Ncmsn
uzastopnih	uzastopni	Agpmpgy
vlakova	vlak	Ncmpg
odvija	odvijati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
automatske	automatski	Agpfsgy
promjene	promjena	Ncfsg
signalnih	signalni	Agpmpgy
znakova	znak	Ncmpg
na	na	Sl
jednoznačnim	jednoznačan	Agpmply
prostornim	prostoran	Agpmply
signalima	signal	Ncmpl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Uređaji	uređaj	Ncmpn
za	za	Sa
osiguranje	osiguranje	Ncnsa
ŽCP-a	ŽCP	Npmsg
su	biti	Var3p
SS	ti	Appmpny
uređaji	uređaj	Ncmpn
za	za	Sa
zatvaranje	zatvaranje	Ncnsa
ŽCP-a	ŽCP	Npmsg
te	te	Cc
davanje	davanje	Ncnsn
znakova	znak	Ncmpg
kojima	koji	Pi-mpi
se	sebe	Px--sa
najavljuje	najavljivati	Vmr3s
približavanje	približavanje	Ncnsa
vlaka	vlak	Ncmsg
ili	ili	Cc
samo	sam	Agpnsay
davanje	davanje	Ncnsa
znakova	znak	Ncmpg
kojima	koji	Pi-mpi
se	sebe	Px--sa
najavljuje	najavljivati	Vmr3s
približavanje	približavanje	Ncnsa
vlaka	vlak	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Uređaji	uređaj	Ncmpn
za	za	Sa
središnje	središnji	Agpnsay
upravljanje	upravljanje	Ncnsa
prometom	promet	Ncmsi
odnosno	odnosno	Rgp
uređaji	uređaj	Ncmpn
telekomande	telekomanda	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
TK-uređaji	tk-uređaja	Ncfsl
)	)	Z
su	biti	Var3p
uređaji	uređaj	Ncmpn
za	za	Sa
središnje	središnji	Agpnsay
daljinsko	daljinski	Agpnsay
upravljanje	upravljanje	Ncnsa
i	i	Cc
nadzor	nadzor	Ncmsan
nad	nad	Si
stanjem	stanje	Ncnsi
SS	s	Agpmpgy
uređaja	uređaj	Ncmpg
na	na	Sl
pruzi	pruga	Ncfsl
ili	ili	Cc
na	na	Sl
dijelu	dio	Ncmsl
pruge	pruga	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Automatski	automatski	Agpmsny
prolazni	prolazan	Agpmsny
režim	režim	Ncmsn
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
APR	APR	Npmsn
)	)	Z
je	biti	Var3s
dio	dio	Ncmsn
SS	SS	Npmsn
uređaja	uređaj	Ncmsg
koji	koji	Pi-msn
omogućuje	omogućivati	Vmr3s
da	da	Cs
vlak	vlak	Ncmsn
nailaskom	nailazak	Ncmsi
na	na	Sa
određeno	određen	Agpnsay
mjesto	mjesto	Ncnsa
na	na	Sl
otvorenoj	otvoren	Agpfsly
pruzi	pruga	Ncfsl
automatski	automatski	Agpmsny
postavlja	postavljati	Vmr3s
prolazni	prolazan	Agpmsayn
vozni	vozan	Agpmsayn
put	put	Ncmsan
kroz	kroz	Sa
sljedeće	sljedeći	Agpnsay
službeno	služben	Agpnsay
mjesto	mjesto	Ncnsa
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Detaljniji	detaljan	Agcmpny
opisi	opis	Ncmpn
tehničko-tehnološke	tehničko-tehnološki	Agpfsgy
opremljenosti	opremljenost	Ncfsg
svakog	svaki	Pi-msg
od	od	Sg
službenih	služben	Agpnpgy
mjesta	mjesto	Ncnpg
opremljenih	opremiti	Appnpgy
SS	SS	Npmsn
uređajima	uređaj	Ncmpl
na	na	Sl
pruzi	pruga	Ncfsl
s	sa	Si
TK-uređajem	TK-uređaj	Npmsi
ili	ili	Cc
bez	bez	Sg
njega	on	Pp3msg
te	te	Cc
postupci	postupak	Ncmpn
izvršnog	izvršan	Agpnsgy
osoblja	osoblje	Ncnsg
vezani	vezan	Agpmpny
za	za	Sa
rukovanje	rukovanje	Ncnsa
tim	taj	Pd-mpd
uređajima	uređaj	Ncmpd
propisani	propisati	Appmpny
su	biti	Var3p
naputcima	naputak	Ncmpi
za	za	Sa
rukovanje	rukovanje	Ncnsa
SS	SS	Npmsn
uređajima	uređaj	Ncmpd
odnosno	odnosno	Rgp
TK-uređajima	tk-uređaj	Ncmpd
.	.	Z

Navedene	naveden	Agpmpay
naputke	naputak	Ncmpa
izrađuje	izrađivati	Vmr3s
i	i	Cc
donosi	donositi	Vmr3s
upravitelj	upravitelj	Ncmsn
infrastrukture	infrastruktura	Ncfsg
.	.	Z

Sporazumijevanje	sporazumijevanje	Ncnsn
u	u	Sl
prometu	promet	Ncmsl

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kod	kod	Sg
obavljanja	obavljanje	Ncnsg
prometnih	prometan	Agpmpgy
poslova	posao	Ncmpg
sporazumijevanje	sporazumijevanje	Ncnsa
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
usmeno	usmeno	Rgp
ili	ili	Cc
pomoću	pomoć	Sg
sredstava	sredstvo	Ncnpg
komunikacije	komunikacija	Ncfsg
.	.	Z

Sredstva	sredstvo	Ncnpn
komunikacije	komunikacija	Ncfsg
moraju	morati	Vmr3p
biti	biti	Van
dio	dio	Ncmsn
službenog	služben	Agpmsgy
zatvorenog	zatvoren	Agpmsgy
sustava	sustav	Ncmsg
komunikacija	komunikacija	Ncfsn
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
moguće	moguć	Agpnsny
sporazumijevanje	sporazumijevanje	Ncnsn
isključivo	isključivo	Rgp
ovlaštenih	ovlašten	Agpmpgy
radnika	radnik	Ncmpg
upravitelja	upravitelj	Ncmpg
infrastrukture	infrastruktura	Ncfsg
i	i	Cc
željezničkih	željeznički	Agpmpgy
prijevoznika	prijevoznik	Ncmpg
te	te	Cc
nije	biti	Var3s
moguća	moguć	Agpfsny
komunikacija	komunikacija	Ncfsn
s	sa	Si
neslužbenim	neslužben	Agpfpiy
osobama	osoba	Ncfpi
.	.	Z

Iznimno	iznimno	Rgp
,	,	Z
moguća	moguć	Agpfsny
je	biti	Var3s
uporaba	uporaba	Ncfsn
i	i	Cc
onih	onaj	Pd-mpg
uređaja	uređaj	Ncmpg
koji	koji	Pi-mpn
omogućuju	omogućivati	Vmr3p
komunikaciju	komunikacija	Ncfsa
izvan	izvan	Sg
željezničkog	željeznički	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
ali	ali	Cc
ti	taj	Pd-mpn
uređaji	uređaj	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
izvedeni	izvesti	Appmpny
tako	tako	Cs
da	da	Cs
su	biti	Var3p
neslužbena	neslužben	Agpfsny
i	i	Cc
službena	služben	Agpfsny
komunikacija	komunikacija	Ncfsn
tehnički	tehnički	Rgp
razdvojene	razdvojiti	Appfpny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sporazumijevanje	sporazumijevanje	Ncnsn
sredstvima	sredstvo	Ncnpi
koja	koji	Pi-npn
omogućuju	omogućivati	Vmr3p
pouzdano	pouzdan	Agpnsay
registriranje	registriranje	Ncnsa
priopćenja	priopćenje	Ncnsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
dokaznim	dokazni	Agpnsiy
sporazumijevanjem	sporazumijevanje	Ncnsi
.	.	Z

Dokaznim	dokazni	Agpnsiy
sporazumijevanjem	sporazumijevanje	Ncnsi
smatra	smatrati	Vmr3s
se	sebe	Px--sa
i	i	Qo

