toga	taj	Pd-nsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
kandidat	kandidat	Ncmsn
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
,	,	Z
nakon	nakon	Sg
završetka	završetak	Ncmsg
teorijskog	teorijski	Agpmsgy
i	i	Cc
praktičnog	praktičan	Agpmsgy
dijela	dio	Ncmsg
osposobljavanja	osposobljavanje	Ncnsg
uspješno	uspješno	Rgp
prođe	proći	Vmr3s
provjeru	provjera	Ncfsa
znanja	znanje	Ncnsg
prema	prema	Sl
članku	članak	Ncmsl
14.	14.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
priznaje	priznavati	Vmr3s
mu	on	Pp3msd
se	sebe	Px--sa
status	status	Ncmsn
revizora	revizor	Ncmsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Povjerenstvo	povjerenstvo	Ncnsn
treba	trebati	Vmr3s
o	o	Sl
priznanju	priznanje	Ncnsl
znanja	znanje	Ncnsg
stečenog	steći	Appnsgy
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
odlučiti	odlučiti	Vmn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
primitka	primitak	Ncmsg
potpunog	potpun	Agpmsgy
zahtjeva	zahtjev	Ncmsg
.	.	Z

V.	vi	Agpnsny
OVLAŠTENJE	ovlaštenje	Ncnsn
REVIZORA	revizor	Ncmsg

Ovlaštenje	ovlaštenje	Ncnsn

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ovlaštenje	ovlaštenje	Ncnsn
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
revizora	revizor	Ncmpg
izdaje	izdaja	Ncfsg
ministar	ministar	Ncmsn
rješenjem	rješenje	Ncnsi
na	na	Sa
zahtjev	zahtjev	Ncmsan
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
ispunjava	ispunjavati	Vmr3s
uvjete	uvjet	Ncmpa
propisane	propisati	Appmpay
Zakonom	zakon	Ncmsi
i	i	Cc
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ovlaštenje	ovlaštenje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
za	za	Sa
razdoblje	razdoblje	Ncnsa
od	od	Sg
5	5	Mdc
godina	godina	Ncfpg
i	i	Cc
može	moći	Vmr3s
se	sebe	Px--sa
produžiti	produžiti	Vmn
na	na	Sa
isti	isti	Agpmsayn
rok	rok	Ncmsan
na	na	Sa
način	način	Ncmsan
i	i	Cc
pod	pod	Si
uvjetima	uvjet	Ncmpi
propisanim	propisati	Appmply
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ovlaštenje	ovlaštenje	Ncnsn
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
na	na	Sa
Zahtjev	zahtjev	Ncmsan
kojeg	koji	Pi-msay
kandidat	kandidat	Ncmsn
podnosi	podnositi	Vmr3s
Povjerenstvu	povjerenstvo	Ncnsd
najkasnije	kasno	Rgs
3	3	Mdc
mjeseca	mjesec	Ncmsg
od	od	Sg
završetka	završetak	Ncmsg
programa	program	Ncmpg
.	.	Z

Zahtjev	zahtjev	Ncmsn
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
na	na	Sl
obrascu	obrazac	Ncmsl
iz	iz	Sg
Priloga	prilog	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

(	(	Z
4	4	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
žalba	žalba	Ncfsn
,	,	Z
ali	ali	Cc
se	sebe	Px--sa
može	moći	Vmr3s
pokrenuti	pokrenuti	Vmn
upravni	upravan	Agpmsayn
spor	spor	Ncmsan
.	.	Z

Uvjeti	uvjet	Ncmpn
za	za	Sa
ovlaštenje	ovlaštenje	Ncnsa

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
izdavanje	izdavanje	Ncnsa
ovlaštenja	ovlaštenje	Ncnsg
za	za	Sa
revizora	revizor	Ncmsan
kandidat	kandidat	Ncmsan
treba	trebati	Vmr3s
ispunjavati	ispunjavati	Vmn
slijedeće	slijedeći	Agpmpay
uvjete	uvjet	Ncmpa
:	:	Z

–	–	Pd-nsn
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
kazneno	kazneno	Rgp
kažnjavan	kažnjavati	Appmsnn
,	,	Z

–	–	Var3s
završen	završiti	Appmsnn
studij	studij	Ncmsn
(	(	Z
diplomski	diplomski	Agpmsny
sveučilišni	sveučilišni	Agpmsny
studij	studij	Ncmsn
ili	ili	Cc
specijalistički	specijalistički	Agpmsayn
diplomski	diplomski	Agpmsayn
stručni	stručan	Agpmsayn
studij	studij	Ncmsan
,	,	Z
tijekom	tijekom	Sg
kojega	koji	Ncnsg
je	biti	Var3s
osoba	osoba	Ncfsn
stekla	steći	Vmp-sf
najmanje	malo	Rgs
300	300	Mdc
ECTS	ECT	Npmpg
bodova	bod	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
nakon	nakon	Sg
završenog	završen	Agpnsgy
preddiplomskog	preddiplomski	Agpnsgy
sveučilišnog	sveučilišni	Agpnsgy
ili	ili	Cc
preddiplomskog	preddiplomski	Agpmsgy
stručnog	stručan	Agpmsgy
studija	studij	Ncmsg
)	)	Z
građevinske	građevinski	Agpmpay
ili	ili	Cc
prometne	prometan	Agpfsgy
struke	struka	Ncfsg
,	,	Z

–	–	Sa
najmanje	malo	Rgs
10	10	Mdc
godina	godina	Ncfpg
radnog	radni	Agpmsgy
iskustvo	iskustvo	Ncnsn
u	u	Sl
struci	struka	Ncfsl
stečeno	steći	Appnsny
nakon	nakon	Sg
završenog	završen	Agpmsgy
odgovarajućeg	odgovarajući	Agpmsgy
studija	studij	Ncmsg
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
,	,	Z

–	–	Agpmsny
dokaz	dokaz	Ncmsn
o	o	Sl
referentnim	referentan	Agpmply
radovima	rad	Ncmpl
na	na	Sl
području	područje	Ncnsl
projektiranja	projektiranje	Ncnsg
u	u	Sl
prometu	promet	Ncmsl
,	,	Z
revidiranja	revidiranje	Ncnsg
ili	ili	Cc
recenziranja	recenziranje	Ncnsg
prometnih	prometan	Agpmpgy
projekata	projekat	Ncmpg
ili	ili	Cc
izrade	izrada	Ncfsg
prometno	prometno	Rgp
sigurnosnih	sigurnosni	Agpfpgy
analiza	analiza	Ncfpg
,	,	Z
odnosno	odnosno	Rgp
analiza	analiza	Ncfpg
nesreća	nesreća	Ncfpg
na	na	Sl
cestama	cesta	Ncfpl
za	za	Sa
najmanje	mali	Ncnsa
deset	deset	Mlc
projekata	projekat	Ncmpg
ili	ili	Cc
studija	studij	Ncmsg
(	(	Z
dokazi	dokaz	Ncmpn
se	sebe	Px--sa
prilažu	prilagati	Vmr3p
u	u	Sl
obliku	oblik	Ncmsl
potvrde	potvrda	Ncfsg
poslodavca	poslodavac	Ncmsg
ili	ili	Cc
naručitelja	naručitelj	Ncmsg
projekta	projekt	Ncmsg
)	)	Z
,	,	Z

–	–	Var3s
završen	završiti	Appmsnn
program	program	Ncmsn
osposobljavanja	osposobljavanje	Ncnsg
,	,	Z

–	–	Ncfsn
plaćena	platiti	Appfsny
naknada	naknada	Ncfsn
za	za	Sa
provedbu	provedba	Ncfsa
postupka	postupak	Ncmsg
provjere	provjera	Ncfsg
zahtjeva	zahtjev	Ncmpg
,	,	Z

(	(	Z
2	2	Mdc
)	)	Z
Dokazi	dokaz	Ncmpn
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
prilažu	prilagati	Vmr3p
se	sebe	Px--sa
zahtjevu	zahtjev	Ncmsd
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sa
svrhu	svrha	Ncfsa
utvrđivanja	utvrđivanje	Ncnsg
činjenica	činjenica	Ncfpg
bitnih	bitan	Agpfpgy
za	za	Sa
davanje	davanje	Ncnsa
ovlaštenja	ovlaštenje	Ncnsg
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
dužan	dužan	Agpmsnn
je	biti	Var3s
na	na	Sa
zahtjev	zahtjev	Ncmsan
Povjerenstva	povjerenstvo	Ncnsg
dostaviti	dostaviti	Vmn
i	i	Cc
druge	drugi	Agpfpay
isprave	isprava	Ncfpa
i	i	Cc
dokaze	dokaz	Ncmpa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
daje	davati	Vmr3s
suglasnost	suglasnost	Ncfsa
da	da	Cs
se	sebe	Px--sa
podaci	podatak	Ncmpn
navedeni	navesti	Appmpny
u	u	Sl
prijavi	prijava	Ncfsl
mogu	moći	Vmr3p
koristiti	koristiti	Vmn
za	za	Sa
potrebe	potreba	Ncfpa
evidencije	evidencija	Ncfsg
Ministarstva	ministarstvo	Ncnsg
te	te	Cc

