staklu	staklo	Ncnsl
X2	x2	Agpmsny
marker	marker	Ncmsn
3,85	3,85	Mdc
847,00	847,00	Mdc
LM352	LM352	Mdc
Mumps	Mump	Npmpg
–	–	Z
LIKVOR	likvor	Ncmsn
+	+	Z
serum	serum	Ncmsn
2	2	Mdc
X2	i	Agpmsgy
markera	marker	Ncmsg
7,69	7,69	Mdc
1.691,80	1.691,80	Mdc
LM353	LM353	Mdc
Rubella	Rubell	Npmsg
–	–	Z
1	1	Mdc
marker	marker	Ncmsan
IgG	igg	Agpmsayn
aviditet	aviditet	Ncmsan
1,54	1,54	Mdc
338,80	338,80	Mdc
LM354	LM354	Mdc
Rubella	Rubell	Npmsg
–	–	Z
2	2	Mdc
markera	marker	Ncmsg
IgM	IgM	Npmsn
,	,	Z
IgG	IgG	Npmsn
2,18	2,18	Mdc
479,60	479,60	Mdc
LM355	LM355	Mdc
Toxoplasma	Toxoplasm	Npmsg
gondii	gondia	Ncfsl
–	–	Z
3	3	Mdc
markera	marker	Ncmpg
+	+	Z
avidnost	avidnost	Ncfsn
4,29	4,29	Mdc
943,80	943,80	Mdc
LM356	LM356	Mdc
Toxoplasma	Toxoplasm	Npmsg
gondii	gondii	Agpmsny
–	–	Agpmsny
LIKVOR	likvor	Ncmsn
+	+	Z
serum	serum	Ncmsn
1	1	Mdc
X2	x2	Agpmsny
marker	marker	Ncmsn
1,92	1,92	Mdc
422,40	422,40	Mdc
LM357	LM357	Mdc
Toxoplasma	Toxoplasm	Npmsg
gondii	gondii	Agpmsny
–	–	Agpmsny
LIKVOR	likvor	Ncmsn
+	+	Z
serum	serum	Ncmsn
2	2	Mdc
X2	i	Agpmsgy
markera	marker	Ncmsg
3,85	3,85	Mdc
847,00	847,00	Mdc
LM358	LM358	Mdc
Toxoplasma	Toxoplasm	Npmsg
gondii	gondii	Agpmsny
–	–	Agpmsny
LIKVOR	likvor	Ncmsn
+	+	Z
serum	serum	Ncmsn
3	3	Mdc
X2	i	Agpmsgy
markera	marker	Ncmsg
5,77	5,77	Mdc
1.269,40	1.269,40	Mdc
LM359	LM359	Mdc
Protein	protein	Ncmsn
14	14	Mdc
-	-	Z
3	3	Mdc
-	-	Z
3	3	Mdc
1,92	1,92	Mdc
422,40	422,40	Mdc
LM360	LM360	Mdc
HEV	HEV	Npmsn
IgM	IgM	Npmsn
1,92	1,92	Mdc
422,40	422,40	Mdc
LM361	LM361	Mdc
HEV	HEV	Npmsn
IgG	IgG	Npmsn
1,92	1,92	Mdc
422,40	422,40	Mdc
LM362	LM362	Mdc
HEV	hev	Aspmsnn
IgM	igm	Agpmsny
imunobot	imunoban	Agpmsny
potvrdni	potvrdan	Agpmsny
test	test	Ncmsn
1,92	1,92	Mdc
422,40	422,40	Mdc
LM363	LM363	Mdc
HEV	hev	Aspmsnn
IgG	igg	Agpmsny
imunobot	imunoban	Agpmsny
potvrdni	potvrdan	Agpmsny
test	test	Ncmsn
1,92	1,92	Mdc
422,40	422,40	Mdc
LM364	LM364	Mdc
HHV	hhv	Ncmsn
6	6	Mdc
IgG	IgG	Npmsn
1,92	1,92	Mdc
422,40	422,40	Mdc
LM365	LM365	Mdc
Stolica	stolica	Ncfpg
nakon	nakon	Sg
salinične	saliničan	Agpfsgy
provokacije	provokacija	Ncfsg
/	/	Z
lavaže	lavazati	Vmr3s
4,88	4,88	Mdc
1.073,60	1.073,60	Mdc
LM366	LM366	Mdc
Duodenalni	duodenalni	Agpmsny
/	/	Z
želučani	želučan	Agpmsny
sok	sok	Ncmsn
(	(	Z
aspiracija	aspiracija	Ncfsn
/	/	Z
kapsula	kapsula	Ncfsn
)	)	Z
(	(	Z
11	11	Mdc
)	)	Z
Ne	ne	Qz
uključuje	uključivati	Vmr3s
duodenalnu	duodenalni	Agpfsay
kapsulu	kapsula	Ncfsa
4,56	4,56	Mdc
1.003,20	1.003,20	Mdc
LM367	LM367	Mdc
Punktat	punktai	Agpfsgy
hidatidne	hidatidan	Agpfsgy
ciste	cista	Ncfsg
(	(	Z
nativno	nativni	Agpnsny
i	i	Cc
kultivacija	kultivacija	Ncfsn
)	)	Z
6,04	6,04	Mdc
1.328,80	1.328,80	Mdc
LM368	LM368	Sa
Krv	krv	Ncfsa
/	/	Z
serum	serum	Ncmsan
Plasm	Plasm	Npmsn
.	.	Z
spp	spp	Qr
.	.	Z
i	i	Cc
Plasm	Plasm	Npmsn
.	.	Z

Falciparum	Falciparum	Npmsn
1,62	1,62	Mdc
356,40	356,40	Mdc
LM369	LM369	Mdo
Stolica	stolica	Ncfsn
-	-	Z
Isospora	Isospora	Npfsn
belli	belli	Vaa3s
(	(	Z
stolica	stolica	Ncfsn
parazitološki	parazitološki	Agpmpny
i	i	Cc
bojani	bojati	Agpmsayn
preparat	preparat	Ncmsan
)	)	Z
2,89	2,89	Mdc
635,80	635,80	Mdc
LM370	LM370	Mdo
Stolica	stolica	Ncfsn
-	-	Z
Microsporidia	Microsporidia	Npfsn
(	(	Z
složeno	složiti	Appnsny
trikromno	trikroman	Agpnsny
bojanje	bojanje	Ncnsn
)	)	Z
3,87	3,87	Mdc
851,40	851,40	Mdc
LM371	LM371	Mdo
Identifikacija	identifikacija	Ncfsn
artropoda	artropod	Ncmpg
4,43	4,43	Mdc
974,60	974,60	Mdc
LM372	LM372	Mdc
Mikroskopska	mikroskopski	Agpfsny
identifikacija	identifikacija	Ncfsn
parazita	parazit	Ncmpg
iz	iz	Sg
PHD	PH	Npmsg
preparata	preparat	Ncmsg
7,21	7,21	Mdc
1.586,20	1.586,20	Mdc
LM373	LM373	Mdc
Stolica	stolica	Ncfpg
na	na	Sa
leukocite	leukocit	Ncmpa
–	–	Z
nativno	nativno	Rgp
0,65	0,65	Mdc
143,00	143,00	Mdc
LM374	LM374	Mdo
Detekcija	detekcija	Ncfsn
virusa	virus	Ncmpg
iz	iz	Sg
respiratornih	respiratoran	Agpmpgy
uzoraka	uzorak	Ncmpg
(	(	Z
bris	bris	Ncmsn
/	/	Z
aspirat	aspirat	Ncmsn
)	)	Z
imunokromatografskim	imunokromatografski	Agpmsiy
testom	test	Ncmsi
1,01	1,01	Mdc
222,20	222,20	Mdc
LM375	LM375	Mdc
Clostridium	Clostridium	Npmsn
difficile	difficivati	Vmr3s
kvalitativna	kvalitativan	Agpfsny
detekcija	detekcija	Ncfsn
toksina	toksin	Ncmsg
A	a	Cc
i	i	Qo
/	/	Z
ili	ili	Cc
B	b	Agpmsiy
imunokromatografskim	imunokromatografski	Agpmsiy
testom	test	Ncmsi
1,38	1,38	Mdc
303,60	303,60	Mdc
LP001	lp001	Agpmsny
Pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
razine	razina	Ncfsg
složenosti	složenost	Ncfsg
2	2	Mdc
,	,	Z
s	sa	Si
1	1	Mdc
ili	ili	Cc
više	mnogo	Rgc
blokova	blok	Ncmpg
tkiva	tkivo	Ncnsg
Uključuje	uključivati	Vmr3s
:	:	Z
disekciju	disekcija	Ncfsa
uzorka	uzorak	Ncmsg
,	,	Z
potpunu	potpun	Agpfsay
obradu	obrada	Ncfsa
tkiva	tkivo	Ncnsg
,	,	Z
bojenje	bojenje	Ncnsn
HE	HE	Npfsg
,	,	Z
svjetlosni	svjetlosni	Agpmsny
mikroskop	mikroskop	Ncmsn
3,80	3,80	Mdc
836,00	836,00	Mdc
LP002	lp002	Agpmsny
Pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
razine	razina	Ncfsg
složenosti	složenost	Ncfsg
3	3	Mdc
,	,	Z
s	sa	Si
do	do	Sg
3	3	Mdc
bloka	blok	Ncmsg
tkiva	tkivo	Ncnsg
Uključuje	uključivati	Vmr3s
:	:	Z
disekciju	disekcija	Ncfsa
uzorka	uzorak	Ncmsg
,	,	Z
potpunu	potpun	Agpfsay
obradu	obrada	Ncfsa
tkiva	tkivo	Ncnsg
,	,	Z
bojenje	bojenje	Ncnsn
HE	HE	Npfsg
,	,	Z
svjetlosni	svjetlosni	Agpmsny
mikroskop	mikroskop	Ncmsn
5,35	5,35	Mdc
1.177,00	1.177,00	Mdc
LP003	lp003	Agpmsny
Pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
razine	razina	Ncfsg
složenosti	složenost	Ncfsg
3	3	Mdc
,	,	Z
s	sa	Si
4	4	Mdc
ili	ili	Cc
više	mnogo	Rgc
blokova	blok	Ncmpg
tkiva	tkivo	Ncnsg
Uključuje	uključivati	Vmr3s
:	:	Z
disekciju	disekcija	Ncfsa
uzorka	uzorak	Ncmsg
,	,	Z
potpunu	potpun	Agpfsay
obradu	obrada	Ncfsa
tkiva	tkivo	Ncnsg
,	,	Z
bojenje	bojenje	Ncnsn
HE	HE	Npfsg
,	,	Z
svjetlosni	svjetlosni	Agpmsny
mikroskop	mikroskop	Ncmsn
6,16	6,16	Mdc
1.355,20	1.355,20	Mdc
LP004	lp004	Agpmsny
Pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
razine	razina	Ncfsg
složenosti	složenost	Ncfsg
4	4	Mdc
,	,	Z
s	sa	Si
3	3	Mdc
bloka	blok	Ncmsg
tkiva	tkivo	Ncnsg
Uključuje	uključivati	Vmr3s
:	:	Z
disekciju	disekcija	Ncfsa
uzorka	uzorak	Ncmsg
,	,	Z
potpunu	potpun	Agpfsay
obradu	obrada	Ncfsa
tkiva	tkivo	Ncnsg
,	,	Z
bojenje	bojenje	Ncnsn
HE	HE	Npfsg
,	,	Z
svjetlosni	svjetlosni	Agpmsny
mikroskop	mikroskop	Ncmsn
7,63	7,63	Mdc
1.678,60	1.678,60	Mdc
LP005	lp005	Agpmsny
Pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
razine	razina	Ncfsg
složenosti	složenost	Ncfsg
4	4	Mdc
,	,	Z
s	sa	Si
4	4	Mdc
ili	ili	Cc
više	mnogo	Rgc
blokova	blok	Ncmpg
tkiva	tkivo	Ncnsg
Uključuje	uključivati	Vmr3s
:	:	Z
disekciju	disekcija	Ncfsa
uzorka	uzorak	Ncmsg
,	,	Z
potpunu	potpun	Agpfsay
obradu	obrada	Ncfsa
tkiva	tkivo	Ncnsg
,	,	Z
bojenje	bojenje	Ncnsn
HE	HE	Npfsg
,	,	Z
svjetlosni	svjetlosni	Agpmsny
mikroskop	mikroskop	Ncmsn
9,37	9,37	Mdc
2.061,40	2.061,40	Mdc
LP006	lp006	Agpmsny
Pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
razine	razina	Ncfsg
složenosti	složenost	Ncfsg
5	5	Mdc
,	,	Z
s	sa	Si
do	do	Sg
4	4	Mdc
bloka	blok	Ncmsg
tkiva	tkivo	Ncnsg
Uključuje	uključivati	Vmr3s
:	:	Z
disekciju	disekcija	Ncfsa
uzorka	uzorak	Ncmsg
,	,	Z
potpunu	potpun	Agpfsay
obradu	obrada	Ncfsa
tkiva	tkivo	Ncnsg
,	,	Z
bojenje	bojenje	Ncnsn
HE	HE	Npfsg
,	,	Z
svjetlosni	svjetlosni	Agpmsny
mikroskop	mikroskop	Ncmsn
10,80	10,80	Mdc
2.376,00	2.376,00	Mdc
LP007	lp007	Agpmsny
Pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
razine	razina	Ncfsg
složenosti	složenost	Ncfsg
5	5	Mdc
,	,	Z
s	sa	Si
5	5	Mdc
ili	ili	Cc
više	mnogo	Rgc
blokova	blok	Ncmpg
tkiva	tkivo	Ncnsg
Uključuje	uključivati	Vmr3s
:	:	Z
disekciju	disekcija	Ncfsa
uzorka	uzorak	Ncmsg
,	,	Z
potpunu	potpun	Agpfsay
obradu	obrada	Ncfsa
tkiva	tkivo	Ncnsg
,	,	Z
bojenje	bojenje	Ncnsn
HE	HE	Npfsg
,	,	Z
svjetlosni	svjetlosni	Agpmsny
mikroskop	mikroskop	Ncmsn
12,09	12,09	Mdc
2.659,80	2.659,80	Mdc
LP008	lp008	Agpmsny
Pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
razine	razina	Ncfsg
složenosti	složenost	Ncfsg
6	6	Mdc
,	,	Z
s	sa	Si
do	do	Sg
12	12	Mdc
blokova	blok	Ncmpg
tkiva	tkivo	Ncnsg
Uključuje	uključivati	Vmr3s
:	:	Z
disekciju	disekcija	Ncfsa
uzorka	uzorak	Ncmsg
,	,	Z
potpunu	potpun	Agpfsay
obradu	obrada	Ncfsa
tkiva	tkivo	Ncnsg
,	,	Z
bojenje	bojenje	Ncnsn
HE	HE	Npfsg
,	,	Z
svjetlosni	svjetlosni	Agpmsny
mikroskop	mikroskop	Ncmsn
17,06	17,06	Mdc
3.753,20	3.753,20	Mdc
LP009	lp009	Agpmsny
Pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
razine	razina	Ncfsg
složenosti	složenost	Ncfsg
6	6	Mdc
,	,	Z
s	sa	Si
13	13	Mdc
ili	ili	Cc
više	mnogo	Rgc
blokova	blok	Ncmpg
tkiva	tkivo	Ncnsg
Uključuje	uključivati	Vmr3s
:	:	Z
disekciju	disekcija	Ncfsa
uzorka	uzorak	Ncmsg
,	,	Z
potpunu	potpun	Agpfsay
obradu	obrada	Ncfsa
tkiva	tkivo	Ncnsg
,	,	Z
bojenje	bojenje	Ncnsn
HE	HE	Npfsg
,	,	Z
svjetlosni	svjetlosni	Agpmsny
mikroskop	mikroskop	Ncmsn
23,02	23,02	Mdc
5.064,40	5.064,40	Mdc
LP010	LP010	Mdc
Imunohistokemijski	imunohistokemijski	Agpmsny
pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
,	,	Z
do	do	Sg
3	3	Mdc
preparata	preparat	Ncmpg
Uključeni	uključiti	Appmpny
:	:	Z
tumorski	tumorski	Agpmpny
receptori	receptor	Ncmpn
;	;	Z
hormonski	hormonski	Agpmpny
receptori	receptor	Ncmpn
;	;	Z
antitijela	antitijelo	Ncnpn
za	za	Sa
tkivne	tkivni	Agpmpay
antigene	antigen	Ncmpa
;	;	Z
biljezi	biljeg	Ncmpn
mijelo	mijela	Ncfsg
i	i	Cc
limfoproliferativnih	limfoproliferativan	Agpfpgy
bolesti	bolest	Ncfpg
4,68	4,68	Mdc
1.029,60	1.029,60	Mdc
LP011	lp011	Agpmsny
Imunohistokemijski	imunohistokemijski	Agpmsny
pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
,	,	Z
4	4	Mdc
ili	ili	Cc
5	5	Mdc
preparata	preparat	Ncmpg
Uključeni	uključiti	Appmpny
:	:	Z
tumorski	tumorski	Agpmpny
receptori	receptor	Ncmpn
;	;	Z
hormonski	hormonski	Agpmpny
receptori	receptor	Ncmpn
;	;	Z
antitijela	antitijelo	Ncnpn
za	za	Sa
tkivne	tkivni	Agpmpay
antigene	antigen	Ncmpa
;	;	Z
biljezi	biljeg	Ncmpn
mijelo	mijela	Ncfsg
i	i	Cc
limfoproliferativnih	limfoproliferativan	Agpfpgy
bolesti	bolest	Ncfpg
7,41	7,41	Mdc
1.630,20	1.630,20	Mdc
LP012	lp012	Agpmsny
Imunohistokemijski	imunohistokemijski	Agpmsny
pregled	pregled	Ncmsn
uzoraka	uzorak	Ncmpg
biopsije	biopsija	Ncfsg
,	,	Z
6	6	Mdc
i	i	Cc
više	mnogo	Rgc
preparata	preparat	Ncmpg
Uključeni	uključiti	Appmpny
:	:	Z
tumorski	tumorski	Agpmpny
receptori	receptor	Ncmpn
;	;	Z

