gore	zlo	Rgp
se	sebe	Px--sa
na	na	Sa
obveze	obveza	Ncfpa
zdravstvenog	zdravstven	Agpnsgy
osiguranja	osiguranje	Ncnsg
Obuhvaća	obuhvaćati	Vmr3s
rizike	rizik	Ncmpa
iz	iz	Sg
linija	linija	Ncfpg
poslovanja	poslovanje	Ncnsg
4	4	Mdc
,	,	Z
5	5	Mdc
,	,	Z
6	6	Mdc
i	i	Cc
8.	8.	Mdo
34.	34.	Mdo

Rente	renta	Ncfpn
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
neživotnom	neživotan	Agpnsly
osiguranju	osiguranje	Ncnsl
i	i	Cc
odnose	odnositi	Vmr3p
se	sebe	Px--sa
na	na	Sa
obveze	obveza	Ncfpa
osiguranja	osiguranje	Ncnsg
osim	osim	Sg
onih	onaj	Agpnsgy
zdravstvenog	zdravstven	Agpnsgy
osiguranja	osiguranje	Ncnsg
Obuhvaća	obuhvaćati	Vmr3s
rizike	rizik	Ncmpa
iz	iz	Sg
linija	linija	Ncfpg
poslovanja	poslovanje	Ncnsg
4	4	Mdc
,	,	Z
5	5	Mdc
,	,	Z
6	6	Mdc
i	i	Cc
8.	8.	Mdo
E.	E.	Y
Obveze	obveza	Ncfpa
životnog	životan	Agpnsgy
reosiguranja	reosiguranje	Ncnsg
35.	35.	Mdo

Zdravstveno	zdravstven	Agpnsny
reosiguranje	reosiguranje	Ncnsn
Obveze	obveza	Ncfsg
reosiguranja	reosiguranje	Ncnsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
obveze	obveza	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
linijom	linija	Ncfsi
poslovanja	poslovanje	Ncnsg
29	29	Mdc
i	i	Cc
33.	33.	Mdo
36.	36.	Mdo

Životno	životan	Agpnsny
reosiguranje	reosiguranje	Ncnsn
Obveze	obveza	Ncfsg
reosiguranja	reosiguranje	Ncnsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
obveze	obveza	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
linijom	linija	Ncfsi
poslovanja	poslovanje	Ncnsg
od	od	Sg
30	30	Mdc
do	do	Sg
32	32	Mdc
i	i	Cc
34.	34.	Mdo

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
društvo	društvo	Ncnsa
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosni	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
može	moći	Vmr3s
primjenjivati	primjenjivati	Vmn
drugačiju	drugačiji	Agpfsay
raspodjelu	raspodjela	Ncfsa
rizika	rizik	Ncmsg
prema	prema	Sl
linijama	linija	Ncfpl
poslovanja	poslovanje	Ncnsg
i	i	Cc
to	to	Qo
u	u	Sl
slučaju	slučaj	Ncmsl
određivanja	određivanje	Ncnsg
(	(	Z
segmentacije	segmentacija	Ncfsg
)	)	Z
osigurateljnih	osigurateljni	Agpfpgy
obveza	obveza	Ncfpg
životnih	životan	Agpfpgy
odnosno	odnosno	Rgp
neživotnih	neživotan	Agpnpgy
osiguranja	osiguranje	Ncnpg
prema	prema	Sl
stvarnoj	stvaran	Agpfsly
prirodi	priroda	Ncfsl
osnovnog	osnovan	Agpmsgy
rizika	rizik	Ncmsg
.	.	Z

VRSTE	vrsta	Ncfpn
OSIGURANJA	osiguranje	Ncnsg

Članak	članak	Ncmsn
5.	5.	Mdo

Vrste	vrsta	Ncfpn
osiguranja	osiguranje	Ncnsg
unutar	unutar	Sg
Skupine	skupina	Ncfsg
neživotnih	neživotan	Agpnpgy
osiguranja	osiguranje	Ncnpg
dijele	dijeliti	Vmr3p
se	sebe	Px--sa
na	na	Sa
:	:	Z

01.	01.	Mdo
osiguranje	osiguranje	Ncnsa
od	od	Sg
nezgode	nezgoda	Ncfsg
,	,	Z

02.	02.	Mdo
zdravstveno	zdravstven	Agpnsny
osiguranje	osiguranje	Ncnsn
,	,	Z

03.	03.	Mdo
osiguranje	osiguranje	Ncnsa
cestovnih	cestovan	Agpnpgy
vozila	vozilo	Ncnpg

04.	04.	Mdo
osiguranje	osiguranje	Ncnsa
tračnih	tračni	Agpnpgy
vozila	vozilo	Ncnpg
,	,	Z

05.	05.	Mdo
osiguranje	osiguranje	Ncnsa
zračnih	zračan	Agpfpgy
letjelica	letjelica	Ncfpg
,	,	Z

06.	06.	Mdo
osiguranje	osiguranje	Ncnsa
plovila	plovilo	Ncnsg
,	,	Z

07.	07.	Mdo
osiguranje	osiguranje	Ncnsa
robe	roba	Ncfsg
u	u	Sl
prijevozu	prijevoz	Ncmsl
,	,	Z

08.	08.	Mdo
osiguranje	osiguranje	Ncnsa
od	od	Sg
požara	požar	Ncmsg
i	i	Cc
elementarnih	elementaran	Agpfpgy
šteta	šteta	Ncfpg
,	,	Z

09.	09.	Mdo
ostala	ostali	Ncmsg
osiguranja	osiguranje	Ncnpn
imovine	imovina	Ncfsg
,	,	Z

10.	10.	Mdo
osiguranje	osiguranje	Ncnsa
od	od	Sg
odgovornosti	odgovornost	Ncfsg
za	za	Sa
upotrebu	upotreba	Ncfsa
motornih	motoran	Agpnpgy
vozila	vozilo	Ncnpg
,	,	Z

11.	11.	Mdo
osiguranje	osiguranje	Ncnsa
od	od	Sg
odgovornosti	odgovornost	Ncfsg
za	za	Sa
upotrebu	upotreba	Ncfsa
zračnih	zračan	Agpfpgy
letjelica	letjelica	Ncfpg
,	,	Z

12.	12.	Mdo
osiguranje	osiguranje	Ncnsa
od	od	Sg
odgovornosti	odgovornost	Ncfsg
za	za	Sa
upotrebu	upotreba	Ncfsa
plovila	plovilo	Ncnpg
,	,	Z
13.	13.	Mdo
ostala	ostali	Agpnpay
osiguranja	osiguranje	Ncnpa
od	od	Sg
odgovornosti	odgovornost	Ncfsg
,	,	Z

14.	14.	Mdo
osiguranje	osiguranje	Ncnsa
kredita	kredit	Ncmpg
,	,	Z

15.	15i	Agpnsny
osiguranje	osiguranje	Ncnsn
jamstava	jamstvo	Ncnpg
,	,	Z

16.	16.	Mdo
osiguranje	osiguranje	Ncnsa
raznih	razni	Agpmpgy
financijskih	financijski	Agpmpgy
gubitaka	gubitak	Ncmpg
,	,	Z

17.	17.	Mdo
osiguranje	osiguranje	Ncnsa
troškova	trošak	Ncmpg
pravne	pravni	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z

18.	18.	Mdo
osiguranje	osiguranje	Ncnsa
pomoći	pomoć	Ncfsg
(	(	Z
asistencija	asistencija	Ncfpg
)	)	Z
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

Vrste	vrsta	Ncfpn
osiguranja	osiguranje	Ncnsg
unutar	unutar	Sg
Skupine	skupina	Ncfsg
životnih	životan	Agpnpgy
osiguranja	osiguranje	Ncnpg
dijele	dijeliti	Vmr3p
se	sebe	Px--sa
na	na	Sa
:	:	Z

19.	19.	Mdo
životna	životan	Agpnpay
osiguranja	osiguranje	Ncnpa
,	,	Z

20.	20.	Mdo
rentno	rentno	Rgp

