ispunjeni	ispuniti	Appmpny
upravno-kaznenih	upravno-kaznen	Agpfpgy
mjera	mjera	Ncfpg
u	u	Sl
navedenim	naveden	Agpmply
iznosima	iznos	Ncmpl
postići	postići	Vmn
cilj	cilj	Ncmsan
primjerenog	primjeren	Agpnsgy
kažnjavanja	kažnjavanje	Ncnsg
Kraša	Kraš	Npmsg
i	i	Cc
NTL-a	NTL	Npmsg
,	,	Z
odvraćanja	odvraćanje	Ncnsg
Kraša	Kraš	Npmsg
i	i	Cc
NTL-a	NTL	Npmsg
od	od	Sg
budućih	budući	Agpnpgy
postupanja	postupanje	Ncnpg
kojima	koji	Pi-npi
se	sebe	Px--sa
narušava	narušavati	Vmr3s
tržišno	tržišni	Agpnsny
natjecanje	natjecanje	Ncnsn
,	,	Z
kao	kao	Cs
i	i	Cc
odvraćanja	odvraćanje	Ncnsg
drugih	drugi	Mlompg
poduzetnika	poduzetnik	Ncmpg
od	od	Sg
narušavanja	narušavanje	Ncnsg
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
sklapanjem	sklapanje	Ncnsi
zabranjenih	zabranjen	Agpmpgy
sporazuma	sporazum	Ncmpg
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
Agencija	agencija	Ncfsn
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
odluke	odluka	Ncfsg
Vijeća	vijeće	Ncnsg
,	,	Z
odlučila	odlučiti	Vmp-sf
kao	kao	Cs
u	u	Sl
točkama	točka	Ncfpl
III	III	Mrc
.	.	Z
i	i	Cc
IV	IV	Mrc
.	.	Z
izreke	izreka	Ncfpa
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
.	.	Z

11.	11.	Mdo

Izvršenje	izvršenje	Ncnsn
upravno-kaznene	upravno-kaznen	Agpfsgy
mjere	mjera	Ncfsg

Sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
70.	70.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
ZZTN-a	zztn-	Ncmsg
,	,	Z
upravno-kaznena	upravno-kaznen	Agpfsny
mjera	mjera	Ncfsn
uplaćuje	uplaćivati	Vmr3s
se	sebe	Px--sa
po	po	Sa
izvršnosti	izvršnost	Ncfsl
rješenja	rješenje	Ncnsg
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
nije	biti	Var3s
uložena	uložiti	Appfsny
tužba	tužba	Ncfsn
,	,	Z
odnosno	odnosno	Rgp
po	po	Sl
pravomoćnosti	pravomoćnost	Ncfsl
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
u	u	Sa
iznos	iznos	Ncmsan
upravno-kaznene	upravno-kaznen	Agpfsgy
mjere	mjera	Ncfsg
uračunavaju	uračunavati	Vmr3p
i	i	Cc
zakonske	zakonski	Agpfsgy
zatezne	zatezni	Agpfsgy
kamate	kamata	Ncfsg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
rješenja	rješenje	Ncnsg
Agencije	agencija	Ncfsg
stranci	stranac	Ncmpn
do	do	Sg
dana	dan	Ncmpg
plaćanja	plaćanje	Ncnsg
.	.	Z

Izrečeni	izreći	Agpmsny
iznos	iznos	Ncmsn
uplaćuje	uplaćivati	Vmr3s
se	sebe	Px--sa
u	u	Sa
korist	korist	Ncfsa
Državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
na	na	Sa
račun	račun	Ncmsan
broj	broj	Ncmsan
:	:	Z
HR1210010051863000160	HR1210010051863000160	Mds
,	,	Z
model	model	Ncmsn
HR64	HR64	X
,	,	Z
poziv	poziv	Ncmsan
na	na	Sa
broj	broj	Ncmsan
odobrenja	odobrenje	Ncnsg
:	:	Z
6092	6092	Mdc
-	-	Z
20833	20833	Mdc
-	-	Z
(	(	Z
OIB	oib	Ncmsn
uplatitelja	uplatitelj	Ncmpg
)	)	Z
.	.	Z

Nakon	nakon	Sg
izvršene	izvršen	Agpfsgy
uplate	uplata	Ncfsg
,	,	Z
obveznik	obveznik	Ncmsn
uplate	uplata	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
uplatnicu	uplatnica	Ncfsa
,	,	Z
kao	kao	Cs
dokaz	dokaz	Ncmsn
o	o	Sl
obavljenoj	obaviti	Agpfsly
uplati	uplata	Ncfsl
upravno-kaznene	upravno-kaznen	Agpfpay
mjere	mjera	Ncfpa
,	,	Z
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsl
žurno	žurno	Rgp
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
po	po	Sl
isteku	istek	Ncmsl
roka	rok	Ncmsg
od	od	Sg
15	15	Mdc
(	(	Z
petnaest	petnaest	Mlc
)	)	Z
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
pravomoćnosti	pravomoćnost	Ncfsg
rješenja	rješenje	Ncnsg
,	,	Z
s	sa	Si
pozivom	poziv	Ncmsi
na	na	Sa
broj	broj	Ncmsan
klase	klasa	Ncfsg
:	:	Z
UP	up	Ncmsn
/	/	Z
I	i	Cc
034	034	Mdc
-	-	Z
03/13	03/13	Mdc
-	-	Z
01/016.	01/016.	Mds

Sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
70.	70.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
ako	ako	Cs
poduzetnik	poduzetnik	Ncmsn
u	u	Sl
roku	rok	Ncmsl
ne	ne	Qz
uplati	uplatiti	Vmr3s
upravno-kaznenu	upravno-kaznen	Agpfsay
mjeru	mjera	Ncfsa
,	,	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
obavijestiti	obavijestiti	Vmn
Područni	područni	Agpmsny
ured	ured	Ncmsn
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
Ministarstva	ministarstvo	Ncnsg
financija	financije	Ncfpg
na	na	Sl
čijem	čiji	Pi-nsl
je	biti	Var3s
području	područje	Ncnsl
njegovo	njegov	Ps3nsn
sjedište	sjedište	Ncnsn
,	,	Z
radi	raditi	Vmr3s
naplate	naplata	Ncfpa
upravno-kaznene	upravno-kaznen	Agpfpay
mjere	mjera	Ncfpa
prisilnim	prisilan	Agpmsiy
putem	put	Ncmsi
prema	prema	Sl
propisima	propis	Ncmpl
o	o	Sl
prisilnoj	prisilan	Agpfsly
naplati	naplata	Ncfsl
poreza	porez	Ncmsg
.	.	Z

Upravno-kaznena	upravno-kaznen	Agpfsny
mjera	mjera	Ncfsn
koju	koji	Pi-fsa
na	na	Sa
zahtjev	zahtjev	Ncmsan
Agencije	agencija	Ncfsg
prisilno	prisilno	Rgp
naplaćuje	naplaćivati	Vmr3s
Porezna	porezni	Agpfsny
uprava	uprava	Ncfsn
uplaćuje	uplaćivati	Vmr3s
se	sebe	Px--sa
izravno	izravno	Rgp
u	u	Sa
korist	korist	Ncfsa
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
Agencija	agencija	Ncfsn
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
odluke	odluka	Ncfsg
Vijeća	vijeće	Ncnsg
,	,	Z
odlučila	odlučiti	Vmp-sf
kao	kao	Cs
u	u	Sl
točki	točka	Ncfsl
V.	vi	Agpfpay
izreke	izreka	Ncfpa
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
.	.	Z

12.	12.	Mdo

Objava	objava	Ncfsn
rješenja	rješenje	Ncnsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z

Sukladno	sukladno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
59.	59.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
58.	58.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
točkom	točka	Ncfsi
1.	1.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
ovo	ovaj	Pd-nsn
rješenje	rješenje	Ncnsn
bit	biti	Van
će	htjeti	Var3s
objavljeno	objaviti	Appnsny
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
dok	dok	Cs
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
59.	59.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ZZTN-a	ZZTN	Npmsg
tekst	tekst	Ncmsan
rješenja	rješenje	Ncnsg
objaviti	objaviti	Vmn
i	i	Cc
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
Agencije	agencija	Ncfsg
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
Agencija	agencija	Ncfsn
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
odluke	odluka	Ncfsg
Vijeća	vijeće	Ncnsg
,	,	Z
odlučila	odlučiti	Vmp-sf
kao	kao	Cs
u	u	Sl
točki	točka	Ncfsl
VI	VI	Mrc
.	.	Z
izreke	izreka	Ncfpa
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
.	.	Z

UPUTA	uputa	Ncfsn
O	o	Sl
PRAVNOM	pravni	Agpmsly
LIJEKU	lijek	Ncmsl

Protiv	protiv	Sg
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
žalba	žalba	Ncfpg
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
,	,	Z
ali	ali	Cc
nezadovoljna	nezadovoljan	Agpfsny
stranka	stranka	Ncfsn
može	moći	Vmr3s
pokrenuti	pokrenuti	Vmn
upravni	upravan	Agpmsayn
spor	spor	Ncmsan
pred	pred	Si
Visokim	visok	Agpmsiy
upravnim	upravan	Agpmsiy
sudom	sud	Ncmsi
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
(	(	Z
trideset	trideset	Mlc
)	)	Z
dana	dan	Ncmpg
,	,	Z
računajući	računati	Rr
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I	i	Cc
034	034	Mdc
-	-	Z
03/13	03/13	Mdc
-	-	Z
01/016	01/016	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
580	580	Mdc
-	-	Z
10/70	10/70	Mdc
-	-	Z
2014	2014	Mdc
-	-	Z
048	048	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
3.	3.	Mdo
prosinca	prosinac	Ncmsg
2014.	2014.	Mdo

Predsjednik	predsjednik	Ncmsn
Vijeća	vijeće	Ncnsg
za	za	Sa
zaštitu	zaštita	Ncfsa
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
Mladen	Mladen	Npmsn
Cerovac	Cerovac	Npmsn
,	,	Z
mag.	mag.	Y
iur.	iur.	Y
,	,	Z
v.	v.	Y
r.	r.	Y

[	[	Z
1	1	Mdc
]	]	Z
Sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
53.	53.	Mdo

ZZTN-a	ZZTN	Npmsg
,	,	Z
podaci	podatak	Ncmpn
koji	koji	Pi-mpn
predstavljaju	predstavljati	Vmr3p
poslovnu	poslovan	Agpfsay
tajnu	tajna	Ncfsa
izuzeti	izuzeti	Vmn
su	biti	Var3p
od	od	Sg
objavljivanja	objavljivanje	Ncnsg
te	te	Cc
su	biti	Var3p
u	u	Sl
tekstu	tekst	Ncmsl
označeni	označiti	Appmpny
sa	sa	Si
[		Ncmpi
…	…	Z
]	]	Z
,	,	Z
odnosno	odnosno	Rgp
koriste	koristiti	Vmr3p
se	sebe	Px--sa
skraćenice	skraćenica	Ncfpa
naziva	naziv	Ncmpg
te	te	Cc
postoci	postotak	Ncmpn
i	i	Cc
podaci	podatak	Ncmpn
u	u	Sl
rasponu	raspon	Ncmsl
.	.	Z

