sredstvima	sredstvo	Ncnpl
ovog	ovaj	Pd-msg
Ugovora	ugovor	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Kriteriji	kriterij	Ncmpn
za	za	Sa
stimulaciju	stimulacija	Ncfsa
ne	ne	Qz
moraju	morati	Vmr3p
biti	biti	Van
kvantificirani	kvantificirati	Appmpny
,	,	Z
ali	ali	Cc
radnik	radnik	Ncmsn
mora	morati	Vmr3s
znati	znati	Vmn
na	na	Sa
osnovu	osnova	Ncfsa
čega	što	Pi3n-g
će	htjeti	Var3s
moći	moći	Vmn
ostvariti	ostvariti	Vmn
stimulaciju	stimulacija	Ncfsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Visinu	visina	Ncfsa
stimulativnog	stimulativan	Agpmsgy
dijela	dio	Ncmsg
plaće	plaća	Ncfsg
utvrđuje	utvrđivati	Vmr3s
Poslodavac	Poslodavac	Npmsn
.	.	Z

Obrazloženi	obrazložiti	Appmpny
pisani	pisan	Agpmsayn
prijedlog	prijedlog	Ncmsan
stimulacije	stimulacija	Ncfsg
podnosi	podnositi	Vmr3s
čelnik	čelnik	Ncmsn
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
Upravi	uprava	Ncfsl
Poslodavca	poslodavac	Ncmsg
.	.	Z

U	u	Sl
obrazloženju	obrazloženje	Ncnsl
rješenja	rješenje	Ncnsg
o	o	Sl
stimulaciji	stimulacija	Ncfsl
ukratko	ukratko	Rgp
se	sebe	Px--sa
navode	navoditi	Vmr3p
razlozi	razlog	Ncmpn
njegova	njegov	Ps3nsg
donošenja	donošenje	Ncnsg
,	,	Z
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
kvalitetu	kvaliteta	Ncfsa
rada	rad	Ncmsg
te	te	Cc
ostvarenje	ostvarenje	Ncnsn
ciljeva	cilj	Ncmpg
i	i	Cc
rezultata	rezultat	Ncmpg
.	.	Z

Naknada	naknada	Ncfsn
plaće	plaća	Ncfsg

Članak	članak	Ncmsn
71.	71.	Mdo

Radnik	radnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
plaće	plaća	Ncfsg
kao	kao	Cs
da	da	Cs
je	biti	Var3s
radio	raditi	Vmp-sm
isključivo	isključivo	Rgp
u	u	Sl
sljedećim	sljedeći	Agpmply
slučajevima	slučaj	Ncmpl
:	:	Z

–	–	Z
plaćenog	platiti	Agpmsgy
dopusta	dopust	Ncmsg
,	,	Z

–	–	Pd-mpg
blagdana	blagdan	Ncmpg
i	i	Cc
neradnih	neradan	Agpmpgy
dana	dan	Ncmpg
utvrđenih	utvrditi	Appmpgy
zakonom	zakon	Ncmsi
,	,	Z

–	i	Agpnsgy
obnašanja	obnašanje	Ncnsg
zadaće	zadaća	Ncfsg
člana	član	Ncmsg
Radničkog	radnički	Agpnsgy
vijeća	vijeće	Ncnsg
ili	ili	Cc
sindikalnog	sindikalni	Agpmsgy
povjerenika	povjerenik	Ncmsg
,	,	Z

–	i	Agpnsgy
obrazovanja	obrazovanje	Ncnsg
ili	ili	Cc
osposobljavanja	osposobljavanje	Ncnsg
prema	prema	Sl
potrebama	potreba	Ncfpl
Poslodavca	Poslodavc	Npmsg
,	,	Z

–	i	Agpfpny
vježbe	vježba	Ncfpn
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
i	i	Cc
vježbe	vježba	Ncfpn
Civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z

–		Agsnsny
ako	ako	Cs
odbije	odbiti	Vmr3s
raditi	raditi	Vmn
jer	jer	Cs
nisu	biti	Var3p
provedene	provesti	Appfpny
mjere	mjera	Ncfpn
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
uslijed	uslijed	Sg
čega	što	Pi3n-g
mu	on	Pp3msd
prijeti	prijetiti	Vmr3s
opasnost	opasnost	Ncfsa
za	za	Sa
život	život	Ncmsan
i	i	Cc
zdravlje	zdravlje	Ncnsa
,	,	Z

–	–	Pq3n-n
ako	ako	Cs
dođe	doći	Vmr3s
na	na	Sa
posao	posao	Ncmsan
,	,	Z
a	a	Cc
prethodnog	prethodan	Agpmsgy
dana	dan	Ncmsg
ili	ili	Cc
ranije	rano	Rgc
nije	biti	Var3s
obaviješten	obavijestiti	Appmsnn
da	da	Cs
se	sebe	Px--sa
toga	toga	Ncfsn
dana	dan	Ncmsg
neće	htjeti	Var3s
raditi	raditi	Vmn
,	,	Z

–	–	Pq3n-n
ako	ako	Cs
dođe	doći	Vmr3s
do	do	Sg
prekida	prekid	Ncmsg
rada	rad	Ncmsg
,	,	Z
ali	ali	Cc
ne	ne	Qz
krivnjom	krivnja	Ncfsi
radnika	radnik	Ncmpg
,	,	Z

–	i	Agpnsgy
obavljanja	obavljanje	Ncnsg
zadataka	zadatak	Ncmpg
povjerenika	povjerenik	Ncmpg
radnika	radnik	Ncmpg
za	za	Sa
zaštitu	zaštita	Ncfsa
na	na	Sl
radu	rad	Ncmsl
,	,	Z

–	i	Agpfpay
sindikalne	sindikalni	Agpfpay
aktivnosti	aktivnost	Ncfpa
.	.	Z

Naknada	naknada	Ncfsn
za	za	Sa
vrijeme	vrijeme	Ncnsa
bolovanja	bolovanje	Ncnsg

Članak	članak	Ncmsn
72.	72.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Naknada	naknada	Ncfsn
plaće	plaća	Ncfsg
u	u	Sl
visini	visina	Ncfsl
100	100	Mdc
%	%	Z
osnovice	osnovica	Ncfsg
za	za	Sa
obračun	obračun	Ncmsan
pripada	pripadati	Vmr3s
radniku	radnik	Ncmsd
u	u	Sl
slučaju	slučaj	Ncmsl
bolovanja	bolovanje	Ncnsg
do	do	Sg
42	42	Mdc
dana	dan	Ncmpg
zbog	zbog	Sg
liječenja	liječenje	Ncnsg
uslijed	uslijed	Sg
ozljede	ozljeda	Ncfsg
na	na	Sl
radu	rad	Ncmsl
,	,	Z
čuvanja	čuvanje	Ncnsg
trudnoće	trudnoća	Ncfsg
ili	ili	Cc
zbog	zbog	Sg
profesionalnog	profesionalan	Agpnsgy
oboljenja	oboljenje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
odsutnosti	odsutnost	Ncfsg
s	sa	Sg
rada	rad	Ncmsg
do	do	Sg
42	42	Mdc
dana	dan	Ncmpg
zbog	zbog	Sg
privremene	privremen	Agpfsgy
nesposobnosti	nesposobnost	Ncfsg
za	za	Sa
rad	rad	Ncmsan
prouzročene	prouzročiti	Appmpay
bolešću	bolest	Ncfsi
,	,	Z
radniku	radnik	Ncmsl
pripada	pripadati	Vmr3s
naknada	naknada	Ncfsn
plaće	plaća	Ncfsg
u	u	Sl
visini	visina	Ncfsl
90	90	Mdc
%	%	Z
osnovne	osnovan	Agpfsgy
plaće	plaća	Ncfsg
radnika	radnik	Ncmpg
.	.	Z

Naknada	naknada	Ncfsn
plaće	plaća	Ncfsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
bolovanja	bolovanje	Ncnsg
na	na	Sa
teret	teret	Ncmsan
HZZO	HZZO	Npmsn

Članak	članak	Ncmsn
73.	73.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kada	kada	Cs
radnik	radnik	Ncmsn
ne	ne	Qz
radi	raditi	Vmr3s
zbog	zbog	Sg
privremene	privremen	Agpfsgy
spriječenosti	spriječenost	Ncfsg
za	za	Sa
rad	rad	Ncmsan
uzrokovane	uzrokovati	Agpfsgy
bolešću	bolest	Ncfsi
,	,	Z
a	a	Cc
naknadu	naknada	Ncfsa
isplaćuje	isplaćivati	Vmr3s
HZZO	HZZO	Npmsn
,	,	Z
radnik	radnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
plaće	plaća	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
određuje	određivati	Vmr3s
prema	prema	Sl
propisima	propis	Ncmpl
o	o	Sl
zdravstvenom	zdravstven	Agpnsly
osiguranju	osiguranje	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kada	kada	Cs
radnik	radnik	Ncmsn
ne	ne	Qz
radi	raditi	Vmr3s
zbog	zbog	Sg
:	:	Z

a	a	Cc
)	)	Z
privremene	privremen	Agpfsgy
spriječenosti	spriječenost	Ncfsg
za	za	Sa
rad	rad	Ncmsan
uzrokovane	uzrokovati	Appfpny
sljedećim	sljedeći	Agpfpiy
bolestima	bolest	Ncfpi
:	:	Z
kancerogene	kancerogen	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
srčanog	srčan	Agpmsgy
infarkta	infarkt	Ncmsg
,	,	Z
moždanog	moždan	Agpmsgy
udara	udar	Ncmsg
,	,	Z
operacije	operacija	Ncfsg
srca	srce	Ncnsg
,	,	Z
transplantacije	transplantacija	Ncfsg
organa	organ	Ncmpg
,	,	Z
operacije	operacija	Ncfsg
kičmenog	kičmen	Agpmsgy
stupa	stup	Ncmsg
;	;	Z

b	b	I
)	)	Z
njege	njega	Ncfsg
djeteta	dijete	Ncnsg
uzrokovane	uzrokovati	Appfpny
sljedećim	sljedeći	Agpfpiy
bolestima	bolest	Ncfpi
djeteta	dijete	Ncnsg
:	:	Z
kancerogene	kancerogen	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
operacija	operacija	Ncfsn
srca	srce	Ncnsg
,	,	Z
transplantacije	transplantacija	Ncfsg
organa	organ	Ncmpg
i	i	Cc
operacije	operacija	Ncfsg
kičmenog	kičmen	Agpmsgy
stupa	stup	Ncmsg
;	;	Z

a	a	Cc
naknadu	naknada	Ncfsa
isplaćuje	isplaćivati	Vmr3s
HZZO	HZZO	Npmsn
,	,	Z
Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
radniku	radnik	Ncmsd
isplatiti	isplatiti	Vmn
razliku	razlika	Ncfsa
plaće	plaća	Ncfsg
između	između	Sg
naknade	naknada	Ncfsg
koju	koji	Pi-fsa
isplaćuje	isplaćivati	Vmr3s
HZZO	HZZO	Cs
i	i	Cc
neto	neto	Agpfpny
plaće	plaća	Ncfpn
isplaćene	isplatiti	Appfpny
radniku	radnik	Ncmsd
u	u	Sl
tromjesečju	tromjesečje	Ncnsl
koje	koji	Pi-nsn
je	biti	Var3s
prethodilo	prethoditi	Vmp-sn
bolovanju	bolovanje	Ncnsd
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Poslodavac	poslodavac	Ncmsn
može	moći	Vmr3s
svojom	svoj	Px-fsi
Odlukom	odluka	Ncfsi
isplatiti	isplatiti	Vmn
razliku	razlika	Ncfsa
plaće	plaća	Ncfsg
i	i	Cc
u	u	Sl
slučajevima	slučaj	Ncmpl
drugih	drugi	Mlompg
teško	teško	Rgp
životno	životno	Rgp
opasnih	opasan	Agpfpgy
bolesti	bolest	Ncfpg
,	,	Z
osim	osim	Cs
naprijed	naprijed	Rgp
navedenima	naveden	Agpmpiy
.	.	Z

IX	IX	Mrc
.	.	Z

OSTALA	ostali	Agpnpay
MATERIJALNA	materijalan	Agpnpay
PRAVA	pravo	Ncnpa
RADNIKA	radnik	Ncmpg

Jednokratni	jednokratan	Agpmpny
dodaci	dodatak	Ncmpn
na	na	Sa
plaću	plaća	Ncfsa

Članak	članak	Ncmsn
74.	74.	Mdo

(	(	Z
1	1	Mdc
)	)	Z

