dopune	dopuniti	Vmr3p
PRIHODI	prihod	Ncmpn
:	:	Z
1.	1.	Mdo
Prihodi	prihod	Ncmpn
Županije	županija	Ncfsg
/	/	Z
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
za	za	Sa
dec.	dec.	Y
u	u	Sl
zdravstvu	zdravstvo	Ncnsl
2.	2.	Mdo
UKUPNI	ukupan	Agpmpny
PRIHODI	prihod	Ncmpn
RASHODI	rashod	Ncmpn
:	:	Z
3.	3.	Mdo
Rashodi	rashod	Ncmpn
poslovanja	poslovanje	Ncnsg
za	za	Sa
tekuće	tekući	Agpnsay
i	i	Cc
investicijsko	investicijski	Agpnsny
održavanje	održavanje	Ncnsn
4.	4.	Mdo
Rashodi	rashod	Ncmpn
za	za	Sa
nabavku	nabavka	Ncfsa
nefinancijske	nefinancijski	Agpfsgy
imovine	imovina	Ncfsg
5.	5.	Mdo
Iznos	iznos	Ncmsn
sredstava	sredstvo	Ncnpg
za	za	Sa
otplate	otplata	Ncfpa
kredita	kredit	Ncmsg
6.	6.	Mdo
UKUPNI	ukupan	Agpmpny
RASHODI	rashod	Ncmpn
(	(	Z
r.	r.	Y
br.	br.	Y
3	3	Mdc
+	+	Z
4	4	Mdc
+	+	Z
5	5	Mdc
)	)	Z
7.	7.	Mdo
VIŠAK	višak	Ncmsan
PRIHODA	prihod	Ncmpg
(	(	Z
r.	r.	Y
br.	br.	Y
2	2	Mdc
–	–	Z
r.	r.	Y
br.	br.	Y
6	6	Mdc
)	)	Z
8.	8.	Mdo
MANJAK	manjak	Ncmsan
PRIHODA	prihod	Ncmpg
(	(	Z
r.	r.	Y
br.	br.	Y
6	6	Mdc
–	–	Z
r.	r.	Y
br.	br.	Y
2	2	Mdc
)	)	Z
9.	9.	Mdo
Višak	višak	Ncmsan
prihoda	prihod	Ncmpg
iz	iz	Sg
ranijih	raniji	Agpfpgy
godina	godina	Ncfpg
–	–	Z
preneseni	prenijeti	Appmpny
10.	10.	Mdo

Manjak	manjak	Ncmsn
prihoda	prihod	Ncmpg
iz	iz	Sg
ranijih	raniji	Agpfpgy
godina	godina	Ncfpg
–	–	Z
preneseni	prenijeti	Appmpny
11.	11.	Mdo

Višak	višak	Ncmsn
prihoda	prihod	Ncmpg
raspoloživ	raspoloživ	Agpmsnn
u	u	Sl
sljedećem	sljedeći	Agpnsly
razdoblju	razdoblje	Ncnsl
(	(	Z
r.	r.	Y
br.	br.	Y
7	7	Mdc
–	–	Z
8	8	Mdc
+	+	Z
9	9	Mdc
–	–	Z
10	10	Mdc
)	)	Z
12.	12.	Mdo

Manjak	manjak	Ncmsn
prihoda	prihod	Ncmpg
za	za	Sa
pokriće	pokriće	Ncnsa
u	u	Sl
sljedećem	sljedeći	Agpnsly
razdoblju	razdoblje	Ncnsl
(	(	Z
r.	r.	Y
br.	br.	Y
8	8	Mdc
–	–	Z
7	7	Mdc
+	+	Z
10	10	Mdc
–	–	Z
9	9	Mdc
)	)	Z

ŽUPANIJA	županija	Ncfsn
:	:	Z
IZVJEŠTAJ	izvještaj	Ncmsn
O	o	Sl
OSTVARENIM	ostvariti	Agpmply
PRIHODIMA	prihod	Ncmpl
I	i	Cc
RASHODIMA	rashod	Ncmpi
JEDINICA	jedinica	Ncfpg
LOKALNE	lokalan	Agpfsgy
I	i	Cc
PODRUČNE	područni	Agpfsgy
(	(	Z
REGIONALNE	regionalan	Agpfpay
)	)	Z
SAMOUPRAVE	samouprava	Ncfsg
(	(	Z
Odluka	odluka	Ncfsn
o	o	Sl
minimalnim	minimalan	Agpmply
financijskim	financijski	Agpmply
standardima	standard	Ncmpl
za	za	Sa
decentralizirane	decentraliziran	Agpfpay
funkcije	funkcija	Ncfpa
za	za	Sa
zdravstvene	zdravstven	Agpfpay
ustanove	ustanova	Ncfpa
u	u	Sl
2016.	2016.	Mdo
godini	godina	Ncfsl
)	)	Z
Obračun	obračun	Ncmsan
županija	županija	Ncfpg
TABLICA	tablica	Ncfsn
:	:	Z
Z-2	Z-2	Mdc
R.	R.	Y
br.	br.	Y

Naziv	naziv	Ncmsn
Ostvarenje	ostvarenje	Ncnsn
1.	1.	Mdo
Ostvareni	ostvariti	Appmpny
prihodi	prihod	Ncmpn
iz	iz	Sg
dodatnog	dodatan	Agpmsgy
udjela	udjel	Ncmsg
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
2.	2.	Mdo
Ostvareni	ostvariti	Appmpny
prihodi	prihod	Ncmpn
iz	iz	Sg
pomoći	pomoć	Ncfsg
izravnanja	izravnanje	Ncnsg
3.	3.	Mdo
UKUPNI	ukupan	Agpmpny
PRIHODI	prihod	Ncmpn
4.	4.	Mdo
UKUPNI	ukupan	Agpmpny
RASHODI	rashod	Ncmpn
5.	5.	Mdo
Doznaka	doznaka	Ncfsn
Županija	Županija	Npfsn
/	/	Z
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
ustanovama	ustanova	Ncfpi
6.	6.	Mdo
Manje	malo	Rgc
doznačeno	doznačiti	Appnsny
prema	prema	Sl
iskazanim	iskazati	Agpmply
rashodima	rashod	Ncmpl
(	(	Z
r.	r.	Y
br.	br.	Y
4	4	Mdc
–	–	Z
r.	r.	Y
br.	br.	Y
5	5	Mdc
)	)	Z
7.	7.	Mdo
Više	mnogo	Rgc
doznačeno	doznačiti	Appnsny
prema	prema	Sl
iskazanim	iskazati	Agpmply
rashodima	rashod	Ncmpl
(	(	Z
r.	r.	Y
br.	br.	Y
5	5	Mdc
–	–	Z
r.	r.	Y
br.	br.	Y
4	4	Mdc
)	)	Z
8.	8.	Mdo
VIŠAK	višak	Ncmsan
PRIHODA	prihod	Ncmpg
(	(	Z
r.	r.	Y
br.	br.	Y
3	3	Mdc
–	–	Z
r.	r.	Y
br.	br.	Y
4	4	Mdc
)	)	Z
9.	9.	Mdo
MANJAK	manjak	Ncmsan
PRIHODA	prihod	Ncmpg
(	(	Z
r.	r.	Y
br.	br.	Y
4	4	Mdc
–	–	Z
r.	r.	Y
br.	br.	Y
3	3	Mdc
)	)	Z
10.	10.	Mdo

Višak	višak	Ncmsn
prihoda	prihod	Ncmpg
iz	iz	Sg
ranijih	raniji	Agpfpgy
godina	godina	Ncfpg
–	–	Z
preneseni	prenijeti	Appmpny
11.	11.	Mdo

Manjak	manjak	Ncmsn
prihoda	prihod	Ncmpg
iz	iz	Sg
ranijih	raniji	Agpfpgy
godina	godina	Ncfpg
–	–	Z
preneseni	prenijeti	Appmpny
12.	12.	Mdo

Višak	višak	Ncmsn
prihoda	prihod	Ncmpg
raspoloživ	raspoloživ	Agpmsnn
u	u	Sl
sljedećem	sljedeći	Agpnsly
razdoblju	razdoblje	Ncnsl
(	(	Z
r.	r.	Y
br.	br.	Y
8	8	Mdc
–	–	Z
9	9	Mdc
+	+	Z
10	10	Mdc
–	–	Z
11	11	Mdc
)	)	Z
+	+	Z
(	(	Z
r.	r.	Y
br.	br.	Y
6	6	Mdc
)	)	Z
13.	13.	Mdo

Manjak	manjak	Ncmsn
prihoda	prihod	Ncmpg
za	za	Sa
pokriće	pokriće	Ncnsa
u	u	Sl
sljedećem	sljedeći	Agpnsly
razdoblju	razdoblje	Ncnsl
(	(	Z
r.	r.	Y
br.	br.	Y
9	9	Mdc
–	–	Z
8	8	Mdc
+	+	Z
11	11	Mdc
–	–	Z
10	10	Mdc
)	)	Z
+	+	Z
(	(	Z
r.	r.	Y
br.	br.	Y
7	7	Mdc
)	)	Z

