zbroj	zbroj	Ncmsn
ne	ne	Qz
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
:	:	Z

a	a	Cc
)	)	Z
depozite	depozit	Ncmpa
i	i	Cc

b	b	I
)	)	Z
transakcije	transakcija	Ncfpa
s	sa	Si
OTC	o	Agpfpiy
izvedenicama	izvedenica	Ncfpi
sklopljene	sklopiti	Appfpny
s	sa	Si
drugim	drugi	Mlofpi
ugovornim	ugovoran	Agpfpiy
stranama	strana	Ncfpi
iz	iz	Sg
članka	članak	Ncmsg
252.	252.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
5.	5.	Mdo
podtočke	podtočka	Ncfsg
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

5.	5.	Mdo
neovisno	neovisan	Agpnsny
o	o	Sl
pojedinačnim	pojedinačan	Agpnply
ograničenjima	ograničenje	Ncnpl
propisanim	propisati	Agpfply
točkama	točka	Ncfpl
1.	1.	Mdo
do	do	Sg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
ista	isti	Agpfsny
se	sebe	Px--sa
neće	htjeti	Var3s
kombinirati	kombinirati	Vmn
te	te	Cc
se	sebe	Px--sa
najviše	mnogo	Rgs
20	20	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
smije	smjeti	Vmr3s
uložiti	uložiti	Vmn
u	u	Sl
:	:	Z

a	a	Cc
)	)	Z
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
ili	ili	Cc
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
čiji	čiji	Pi-msn
je	biti	Var3s
izdavatelj	izdavatelj	Ncmsn
jedna	jedan	Mlcfsn
te	te	Cc
ista	isti	Agpfsny
osoba	osoba	Ncfsn

b	b	Npmsn
)	)	Z
depozit	depozit	Ncmsan
kod	kod	Sg
te	taj	Pd-fsg
osobe	osoba	Ncfsg
i	i	Cc

c	C	Ncmsn
)	)	Z
izloženosti	izloženost	Ncfpa
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
transakcije	transakcija	Ncfsg
s	sa	Si
OTC	o	Agpfpiy
izvedenicama	izvedenica	Ncfpi
sklopljenih	sklopiti	Agpmpgy
s	sa	Si
tom	taj	Agpfsiy
osobom	osoba	Ncfsi

6.	6.	Mdo
iznimno	iznimno	Rgp
od	od	Sg
ograničenja	ograničenje	Ncnsg
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
najviše	mnogo	Rgs
35	35	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
može	moći	Vmr3s
biti	biti	Van
uloženo	uložiti	Appnsny
u	u	Sa
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
ili	ili	Cc
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
čiji	čiji	Pi-msn
je	biti	Var3s
izdavatelj	izdavatelj	Ncmsn
ili	ili	Cc
za	za	Sa
koje	koji	Pi-mpa
jamči	jamčiti	Vmr3s
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
ili	ili	Cc
jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
druga	drugi	Mlofsn
država	država	Ncfsn
članica	članica	Ncfpg
ili	ili	Cc
jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
države	država	Ncfsg
članice	članica	Ncfsg
,	,	Z
treća	treći	Mlofsn
država	država	Ncfsn
ili	ili	Cc
javno	javno	Rgp
međunarodno	međunarodni	Agpnsny
tijelo	tijelo	Ncnsn
kojemu	koji	Pi-nsl
pripadaju	pripadati	Vmr3p
jedna	jedan	Mlcfsn
ili	ili	Cc
više	mnogo	Rgc
država	država	Ncfpg
članica	članica	Ncfpg

7.	7.	Mdo
iznimno	iznimno	Rgp
od	od	Sg
ograničenja	ograničenje	Ncnsg
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
najviše	mnogo	Rgs
25	25	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
može	moći	Vmr3s
biti	biti	Van
uloženo	uložiti	Appnsny
u	u	Sa
pokrivene	pokriti	Agpfpay
obveznice	obveznica	Ncfpa
koje	koji	Pi-fpn
izdaju	izdati	Vmr3p
kreditne	kreditan	Agpfpay
institucije	institucija	Ncfpa
koje	koji	Pi-fpn
imaju	imati	Vmr3p
registrirano	registriran	Agpnsay
sjedište	sjedište	Ncnsa
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
ili	ili	Cc
drugoj	drugi	Mlofsl
državi	država	Ncfsl
članici	članica	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
na	na	Sl
temelju	temelj	Ncmsl
posebnog	poseban	Agpmsgy
zakona	zakon	Ncmsg
predmetom	predmet	Ncmsi
posebnoga	poseban	Agpmsgy
javnog	javan	Agpmsgy
nadzora	nadzor	Ncmsg
sa	sa	Si
svrhom	svrha	Ncfsi
zaštite	zaštita	Ncfsg
ulagatelja	ulagatelj	Ncmpg
u	u	Sa
te	taj	Pd-fpa
obveznice	obveznica	Ncfpa
.	.	Z

Sredstva	sredstvo	Ncnpn
od	od	Sg
izdavanja	izdavanje	Ncnsg
takvih	takav	Pd-fpg
obveznica	obveznica	Ncfpg
moraju	morati	Vmr3p
biti	biti	Van
uložena	uložiti	Appfsny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmsiy
zakonom	zakon	Ncmsi
u	u	Sa
imovinu	imovina	Ncfsa
koja	koji	Pi-fsn
će	htjeti	Var3s
do	do	Sg
dospijeća	dospijeće	Ncnsg
obveznica	obveznica	Ncfpg
omogućiti	omogućiti	Vmn
ispunjenje	ispunjenje	Ncnsa
obveza	obveza	Ncfpg
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
obveznica	obveznica	Ncfpg
i	i	Cc
koja	koji	Pi-fsn
bi	biti	Vaa3s
se	sebe	Px--sa
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
neispunjenja	neispunjenje	Ncnsg
obveza	obveza	Ncfpg
izdavatelja	izdavatelj	Ncmpg
,	,	Z
ponajprije	ponajprije	Rgp
iskoristila	iskoristiti	Vmp-sf
za	za	Sa
isplatu	isplata	Ncfsa
glavnice	glavnica	Ncfsg
i	i	Cc
stečenih	steći	Agpfpgy
kamata	kamata	Ncfpg
iz	iz	Sg
tih	taj	Pd-fpg
obveznica	obveznica	Ncfpg
.	.	Z

Ako	ako	Cs
je	biti	Var3s
više	mnogo	Rgc
od	od	Sg
5	5	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
uloženo	uložiti	Appnsny
u	u	Sa
takve	takav	Agpfpay
obveznice	obveznica	Ncfpa
jednog	jedan	Mlcmsg
izdavatelja	izdavatelj	Ncmsg
,	,	Z
ukupna	ukupan	Agpfsny
vrijednost	vrijednost	Ncfsn
takvih	takav	Pd-npg
ulaganja	ulaganje	Ncnpg
koja	koji	Pi-npn
čine	činiti	Vmr3p
više	mnogo	Rgc
od	od	Sg
5	5	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
ne	ne	Qz
smije	smjeti	Vmr3s
prijeći	prijeći	Vmn
80	80	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg

8.	8.	Mdo
prenosivi	prenosiv	Agpmpny
vrijednosni	vrijednosan	Agpmpny
papiri	papir	Ncmpn
i	i	Cc
instrumenti	instrument	Ncmpn
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
iz	iz	Sg
točaka	točka	Ncfpg
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
ne	ne	Qz
uključuju	uključivati	Vmr3p
se	sebe	Px--sa
u	u	Sa
izračun	izračun	Ncmsan
ograničenja	ograničenje	Ncnsg
od	od	Sg
40	40	Mdc
%	%	Z
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg

9.	9.	Mdo
ograničenja	ograničenje	Ncnsg
ulaganja	ulaganje	Ncnsg
iz	iz	Sg
točaka	točka	Ncfpg
1.	1.	Mdo
do	do	Sg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
neće	htjeti	Var3s
se	sebe	Px--sa
kombinirati	kombinirati	Vmn
i	i	Cc
prema	prema	Sl
tome	taj	Pd-nsl
,	,	Z
kada	kada	Cs
se	sebe	Px--sa
imovina	imovina	Ncfsn
fonda	fond	Ncmsg
ulaže	ulagati	Vmr3s
u	u	Sa
imovinu	imovina	Ncfsa
navedenu	navesti	Appfsay
u	u	Sl
točkama	točka	Ncfpl
1.	1.	Mdo
do	do	Sg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
,	,	Z
najviše	mnogo	Rgs
35	35	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
smije	smjeti	Vmr3s
se	sebe	Px--sa
uložiti	uložiti	Vmn
u	u	Sl
:	:	Z

a	a	Cc
)	)	Z
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
ili	ili	Cc
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
čiji	čiji	Pi-msn
je	biti	Var3s
izdavatelj	izdavatelj	Ncmsn
jedna	jedan	Mlcfsn
te	te	Cc
ista	isti	Agpfsny
osoba	osoba	Ncfsn

b	b	Agpmpay
)	)	Z
depozite	depozit	Ncmpa
kod	kod	Sg
te	taj	Pd-fsg
osobe	osoba	Ncfsg
i	i	Cc

c	C	Npmsn
)	)	Z
financijske	financijski	Agpfpny
izvedenice	izvedenica	Ncfpn
sklopljene	sklopiti	Appfpny
s	sa	Si
tom	taj	Pd-fsi
osobom	osoba	Ncfsi
uključujući	uključivati	Rr
i	i	Cc
OTC	oti	Agpfpay
izvedenice	izvedenica	Ncfpa
.	.	Z

10.	10.	Mdo
najviše	mnogo	Rgs
20	20	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
fonda	fond	Ncmsg
može	moći	Vmr3s
biti	biti	Van
uloženo	uložiti	Appnsny
u	u	Sa
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
i	i	Cc
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
čiji	čiji	Pi-mpn
su	biti	Var3p
izdavatelji	izdavatelj	Ncmpn
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
čine	činiti	Vmr3p
povezana	povezan	Agpnpny
društva	društvo	Ncnpn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
zakona	zakon	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
osnivanje	osnivanje	Ncnsa
i	i	Cc
poslovanje	poslovanje	Ncnsa
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
propisima	propis	Ncmpi
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
računovodstvo	računovodstvo	Ncnsa
poduzetnika	poduzetnik	Ncmpg
i	i	Cc
primjenu	primjena	Ncfsa
standarda	standard	Ncmsg
financijskog	financijski	Agpnsgy
izvještavanja	izvještavanje	Ncnsg
,	,	Z
te	te	Cc
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
u	u	Sl
odnosu	odnos	Ncmsl
uske	uzak	Agpfsgy
povezanosti	povezanost	Ncfsg
.	.	Z

Navedene	naveden	Agpfpny
osobe	osoba	Ncfpn
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
jednom	jedan	Mlcfsi
osobom	osoba	Ncfsi
u	u	Sl
smislu	smisao	Ncmsl
izračuna	izračun	Ncmsg
ograničenja	ograničenje	Ncnsg
iz	iz	Sg
točaka	točka	Ncfpg
5.	5.	Mdo
i	i	Cc
9.	9.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
dostaviti	dostaviti	Vmn
ESMA-i	ESMA	Npfsl
i	i	Cc
Europskoj	europski	Agpfsly
komisiji	komisija	Ncfsl
popis	popis	Ncmsn
pokrivenih	pokriti	Agpfpgy
obveznica	obveznica	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
7.	7.	Mdo
ovoga	ovaj	Ncmsg
članka	članak	Ncmsg
kojem	koji	Pi-msd
će	htjeti	Var3s

