VI	VI	Mrc
mjestu	mjesto	Ncnsl
podrijetla	podrijetlo	Ncnsg
pozitivne	pozitivan	Agpfsgy
životinje	životinja	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Radi	radi	Sg
praćenja	praćenje	Ncnsg
proširenosti	proširenost	Ncfsg
ehinokokoze	ehinokokoza	Ncfsg
u	u	Sl
populaciji	populacija	Ncfsl
divljih	divlji	Agpfpgy
životinja	životinja	Ncfpg
određuje	određivati	Vmr3s
se	sebe	Px--sa
pretraživanje	pretraživanje	Ncnsn
uzoraka	uzorak	Ncmpg
prikupljenih	prikupiti	Agpfpgy
lešina	lešina	Ncfpg
lisica	lisica	Ncfpg
pristiglih	pristigao	Agpmpgy
radi	radi	Sg
kontrole	kontrola	Ncfsg
provedbe	provedba	Ncfsg
oralne	oralan	Agpfsgy
vakcinacije	vakcinacija	Ncfsg
lisica	lisica	Ncfpg
s	sa	Sg
područja	područje	Ncnsg
Bjelovarsko-bilogorske	bjelovarsko-bilogorski	Agpfsgy
,	,	Z
Brodsko-posavske	brodsko-posavski	Agpfpay
,	,	Z
Karlovačke	karlovački	Agpfsgy
,	,	Z
Koprivničko	koprivnički	Agpnsny
--	--	Z
križevačke	križevački	Agpfpay
,	,	Z
Krapinsko-zagorske	krapinsko-zagorski	Agpfpay
,	,	Z
Ličko-senjske	ličko-senjski	Agpfpay
,	,	Z
Međimurske	Međimurska	Npfsg
,	,	Z
Osječko-baranjske	osječko-baranjski	Agpfpay
,	,	Z
Požeško-slavonske	požeško-slavonski	Agpfpay
,	,	Z
Sisačko-moslavačke	sisačko-moslavački	Agpfpay
,	,	Z
Varaždinske	Varaždinska	Npfsg
,	,	Z
Virovitičko-podravske	virovitičko-podravski	Agpmpay
,	,	Z
Vukovarsko-srijemske	vukovarsko-srijemski	Agpfsgy
i	i	Cc
Zagrebačke	zagrebački	Agpfsgy
županije	županija	Ncfsg
.	.	Z

Pretraživanje	pretraživanje	Ncnsn
uzoraka	uzorak	Ncmpg
sukladno	sukladno	Rgp
uputi	uputiti	Vmr3s
Uprave	uprava	Ncfsg
za	za	Sa
veterinarstvo	veterinarstvo	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsn
hrane	hrana	Ncfsg
provodi	provoditi	Vmr3s
Odjel	odjel	Ncmsan
za	za	Sa
bakteriologiju	bakteriologija	Ncfsa
i	i	Cc
parazitologiju	parazitologija	Ncfsa
Hrvatskog	hrvatski	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
instituta	institut	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

2.	2.	Mdo
Trihineloza	trihineloza	Ncfsn

(	(	Z
1	1	Mdc
)	)	Z
Radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
proširenosti	proširenost	Ncfsg
i	i	Cc
suzbijanja	suzbijanje	Ncnsg
trihineloze	trihineloza	Ncfsg
lovoovlaštenici	lovoovlaštenik	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
dostaviti	dostaviti	Vmn
uzorak	uzorak	Ncmsan
svake	svaki	Pi-fsg
odstrijeljene	odstrijeliti	Agpfsgy
divlje	divlji	Agpfsgy
svinje	svinja	Ncfsg
radi	raditi	Vmr3s
pretrage	pretraga	Ncfpa
na	na	Sa
trihinelozu	trihineloza	Ncfsa
metodom	metoda	Ncfsi
propisanom	propisati	Agpfsny
Uredba	uredba	Ncfsn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
2015/1375	2015/1375	Mdc
i	i	Cc
provesti	provesti	Vmn
mjere	mjera	Ncfpa
iskorjenjivanja	iskorjenjivanje	Ncnsg
bolesti	bolest	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
mjerama	mjera	Ncfpl
za	za	Sa
suzbijanje	suzbijanje	Ncnsa
i	i	Cc
iskorjenjivanje	iskorjenjivanje	Ncnsa
trihineloze	trihineloza	Ncfsg
svinja	svinja	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Radi	radi	Sg
praćenja	praćenje	Ncnsg
proširenosti	proširenost	Ncfsg
trihineloze	trihineloza	Ncfsg
u	u	Sl
populaciji	populacija	Ncfsl
divljih	divlji	Agpfpgy
životinja	životinja	Ncfpg
određuje	određivati	Vmr3s
se	sebe	Px--sa
pretraživanje	pretraživanje	Ncnsn
uzoraka	uzorak	Ncmpg
prikupljenih	prikupiti	Agpfpgy
lešina	lešina	Ncfpg
lisica	lisica	Ncfpg
pristiglih	pristigao	Agpmpgy
radi	radi	Sg
kontrole	kontrola	Ncfsg
provedbe	provedba	Ncfsg
oralne	oralan	Agpfsgy
vakcinacije	vakcinacija	Ncfsg
lisica	lisica	Ncfpg
s	sa	Sg
područja	područje	Ncnsg
Bjelovarsko-bilogorske	bjelovarsko-bilogorski	Agpfsgy
,	,	Z
Brodsko-posavske	brodsko-posavski	Agpfpay
,	,	Z
Karlovačke	karlovački	Agpfsgy
,	,	Z
Koprivničko-križevačke	koprivničko-križevački	Agpfpay
,	,	Z
Krapinsko-zagorske	krapinsko-zagorski	Agpfpay
,	,	Z
Ličko-senjske	ličko-senjski	Agpfpay
,	,	Z
Međimurske	Međimurska	Npfsg
,	,	Z
Osječko-baranjske	osječko-baranjski	Agpfpay
,	,	Z
Požeško-slavonske	požeško-slavonski	Agpfpay
,	,	Z
Sisačko-moslavačke	sisačko-moslavački	Agpfpay
,	,	Z
Varaždinske	Varaždinska	Npfsg
,	,	Z
Virovitičko-podravske	virovitičko-podravski	Agpmpay
,	,	Z
Vukovarsko-srijemske	vukovarsko-srijemski	Agpfsgy
i	i	Cc
Zagrebačke	zagrebački	Agpfsgy
županije	županija	Ncfsg
.	.	Z

Pretraživanje	pretraživanje	Ncnsn
uzoraka	uzorak	Ncmpg
sukladno	sukladno	Rgp
uputi	uputiti	Vmr3s
Uprave	uprava	Ncfsg
za	za	Sa
veterinarstvo	veterinarstvo	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsn
hrane	hrana	Ncfsg
provodi	provoditi	Vmr3s
Odjel	odjel	Ncmsan
za	za	Sa
bakteriologiju	bakteriologija	Ncfsa
i	i	Cc
parazitologiju	parazitologija	Ncfsa
Hrvatskog	hrvatski	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
instituta	institut	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Troškove	trošak	Ncmpa
obavljanja	obavljanje	Ncnsg
pretraga	pretraga	Ncfpg
na	na	Sa
nazočnost	nazočnost	Ncfsa
Trichinella	trichinello	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
u	u	Sl
uzorku	uzorak	Ncmsl
mesa	meso	Ncnsg
snosi	snositi	Vmr3s
lovoovlaštenik	lovoovlaštenik	Ncmsan
ili	ili	Cc
posjednik	posjednik	Ncmsn
životinje	životinja	Ncfsg
,	,	Z
a	a	Cc
troškovi	trošak	Ncmpn
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
lovoovlaštenici	lovoovlaštenik	Ncmpn
dostavljaju	dostavljati	Vmr3p
uzorke	uzorak	Ncmpa
uzete	uzet	Agpmpay
od	od	Sg
odstrijeljene	odstrijeliti	Agpfsgy
divlje	divlji	Agpfsgy
svinje	svinja	Ncfsg
u	u	Sa
svrhu	svrha	Ncfsa
provedbe	provedba	Ncfsg
mjera	mjera	Ncfpg
propisanih	propisati	Appfpgy
Programom	program	Ncmsi
nadziranja	nadziranje	Ncnsg
klasične	klasičan	Agpfsgy
svinjske	svinjski	Agpfsgy
kuge	kuga	Ncfsg
u	u	Sa
divljih	divlji	Agpfpgy
svinja	svinja	Ncfpg
u	u	Sl
2016/2017.	2016/2017.	Mdo
godini	godina	Ncfsl
(	(	Z
klasa	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
01/1103	01/1103	Mdc
)	)	Z
troškovi	trošak	Ncmpn
obavljanja	obavljanje	Ncnsg
pretraga	pretraga	Ncfpg
na	na	Sa
trihinelozu	trihineloza	Ncfsa
podmiruju	podmirivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

VII	vii	Mrc
.	.	Z

UZORKOVANJE	uzorkovanje	Ncnsn
I	i	Cc
IZVJEŠĆIVANJE	izvješćivanje	Ncnsn

(	(	Z
1	1	Mdc
)	)	Z
Uzorke	uzorak	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
uzimaju	uzimati	Vmr3p
u	u	Sl
okviru	okvir	Ncmsl
provedbe	provedba	Ncfsg
ove	ovaj	Pd-fsg
Naredbe	naredba	Ncfsg
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
dužan	dužan	Agpmsann
je	biti	Var3s
uzeti	uzeti	Vmn
,	,	Z
čuvati	čuvati	Vmn
i	i	Cc
dostaviti	dostaviti	Vmn
u	u	Sa
službeni	služben	Agpmsayn
laboratorij	laboratorij	Ncmsan
na	na	Sl
odgovarajućoj	odgovarajući	Agpfsly
temperaturi	temperatura	Ncfsl
i	i	Cc
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
spriječi	spriječiti	Vmr3s
kontaminacija	kontaminacija	Ncfsn
i	i	Cc
razlijevanje	razlijevanje	Ncnsa
te	te	Cc
očuva	očuvati	Vmr3s
integritet	integritet	Ncmsan
uzorka	uzorak	Ncmsg
kako	kako	Cs
bi	biti	Vaa3s
uzorak	uzorak	Ncmsn
bio	biti	Vap-sm
prikladan	prikladan	Agpmsnn
za	za	Sa
laboratorijsku	laboratorijski	Agpfsay
pretragu	pretraga	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
osigurati	osigurati	Vmn
da	da	Cs
uzorci	uzorak	Ncmpn
budu	biti	Var3p
poslani	poslati	Appmpny
u	u	Sa
službeni	služben	Agpmsayn
laboratorij	laboratorij	Ncmsan
što	što	Pi3n-n
je	biti	Var3s
prije	prije	Rgp
moguće	moguć	Agpnsny
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
48	48	Mdc
sati	sat	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
uz	uz	Sa
uzorak	uzorak	Ncmsan
poslati	poslati	Vmn
čitko	čitko	Rgp
ispisan	ispisati	Appmsnn
Obrazac	obrazac	Ncmsn
za	za	Sa
dostavu	dostava	Ncfsa
uzoraka	uzorak	Ncmpg
na	na	Sa
laboratorijsko	laboratorijski	Agpnsay
pretraživanje	pretraživanje	Ncnsa
iz	iz	Sg
Dodatka	dodatak	Ncmsg
II	ii	Mrc
.	.	Z
ove	ovaj	Pd-fsg
Naredbe	naredba	Ncfsg
,	,	Z
s	sa	Si
detaljno	detaljno	Rgp
unesenim	unijeti	Agpmpiy
podacima	podatak	Ncmpi
u	u	Sl
svim	sav	Agpnply
relevantnim	relevantan	Agpnply
poljima	polje	Ncnpl
Obrasca	obrazac	Ncmsg
,	,	Z
čime	što	Pi3n-i
jamči	jamčiti	Vmr3s
sljedivost	sljedivost	Ncfsa
svakog	svaki	Pi-msg
pojedinog	pojedini	Agpmsgy
uzorka	uzorak	Ncmsg
,	,	Z
a	a	Cc
za	za	Sa
svaki	svaki	Pi-msan
uzorak	uzorak	Ncmsan
uzet	uzet	Ncmsan
od	od	Sg
goveda	govedo	Ncnsg
te	te	Cc
ostalih	ostali	Agpfpgy
životinja	životinja	Ncfpg
s	sa	Si
individualnom	individualan	Agpfsiy
identifikacijskom	identifikacijski	Agpfsiy
oznakom	oznaka	Ncfsi
mora	morati	Vmr3s
čitko	čitak	Agpnsny
i	i	Cc
precizno	precizno	Rgp
navesti	navesti	Vmn
broj	broj	Ncmsan
ušne	ušni	Agpfsgy
markice	markica	Ncfsg
goveda	govedo	Ncnsg
ili	ili	Cc
individualne	individualan	Agpfsgy
identifikacijske	identifikacijski	Agpfsgy
oznake	oznaka	Ncfsg
ostalih	ostali	Agpfpgy
životinja	životinja	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Prilikom	prilikom	Sg
uzorkovanja	uzorkovanje	Ncnsg
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
jednu	jedan	Mlcfsa
kopiju	kopija	Ncfsa
propisno	propisno	Rgp
ispunjenog	ispunjen	Agpnsgy
i	i	Cc

