njegov	njegov	Ps3msan
glavnom	glavni	Agpmsly
cestovnom	cestovan	Agpmsly
pravcu	pravac	Ncmsl
(	(	Z
tipovi	tip	Ncmpn
linkova	link	Ncmpg
3	3	Mdc
–	–	Z
9	9	Mdc
)	)	Z
,	,	Z
nemaju	nemati	Vmr3p
redni	redni	Agpmsayn
broj	broj	Ncmsan
,	,	Z
već	već	Rgp
se	sebe	Px--sa
preko	preko	Sg
nadređenog	nadrediti	Agpmsgy
linka	link	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
glavnom	glavni	Agpmsly
pravcu	pravac	Ncmsl
može	moći	Vmr3s
saznati	saznati	Vmn
pozicija	pozicija	Ncfsn
unutar	unutar	Sg
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
.	.	Z

Kod	kod	Sg
određivanja	određivanje	Ncnsg
nadređenog	nadrediti	Agpmsgy
linka	link	Ncmsg
nekom	neki	Pi-msl
linku	link	Ncmsl
koji	koji	Pi-msn
nije	biti	Var3s
u	u	Sl
glavnom	glavni	Agpmsly
cestovnom	cestovan	Agpmsly
pravcu	pravac	Ncmsl
gleda	gledati	Vmr3s
se	sebe	Px--sa
po	po	Sl
prioritetu	prioritet	Ncmsl
:	:	Z

a	a	Cc
)	)	Z
Pripadnost	pripadnost	Ncfsn
linka	link	Ncmsg
određenom	određen	Agpmsly
cestovnom	cestovan	Agpmsly
pravcu	pravac	Ncmsl
.	.	Z

b	b	Npmsn
)	)	Z
Čvor	čvor	Ncmsn
iz	iz	Sg
kojeg	koji	Pi-msg
se	sebe	Px--sa
granaju	granati	Vmr3p
ili	ili	Cc
čvor	čvor	Ncmsn
u	u	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
spajaju	spajati	Vmr3p
link	link	Ncmsan
i	i	Cc
nadređeni	nadrediti	Appmpny
mu	on	Pp3msd
link	link	Ncmsan
,	,	Z
gledano	gledati	Appnsny
u	u	Sl
smjeru	smjer	Ncmsl
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
,	,	Z

c	C	Npmsn
)	)	Z
U	u	Sl
slučajevima	slučaj	Ncmpl
kada	kada	Rgp
dolazi	dolaziti	Vmr3s
do	do	Sg
pojave	pojava	Ncfsg
višestrukog	višestruk	Agpnsgy
grananja	grananje	Ncnsg
(	(	Z
nizanja	nizanje	Ncnsg
)	)	Z
podređenih	podrediti	Appmpgy
linkova	link	Ncmpg
,	,	Z
svima	sav	Agpmpdy
njima	oni	Ncmpd
za	za	Sa
nadređeni	nadrediti	Agpmsayn
link	link	Ncmsan
uzima	uzimati	Vmr3s
se	sebe	Px--sa
onaj	onaj	Pd-msn
link	link	Ncmsn
u	u	Sl
glavnom	glavni	Agpmsly
pravcu	pravac	Ncmsl
od	od	Sg
kojeg	koji	Pi-msg
je	biti	Var3s
započelo	započeti	Vmp-sn
ili	ili	Cc
u	u	Sl
kojem	koji	Pi-msl
završava	završavati	Vmr3s
grananje	grananje	Ncnsa
,	,	Z
gledano	gledati	Appnsny
u	u	Sl
smjeru	smjer	Ncmsl
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
.	.	Z

8.	8.	Mdo
Dionice	dionica	Ncfsg

8.1	8.i	Agpfsny
Definicija	definicija	Ncfsn
dionice	dionica	Ncfsg

Dionica	dionica	Ncfsn
je	biti	Var3s
osnovni	osnovan	Agpmsny
nositelj	nositelj	Ncmsn
sustava	sustav	Ncmsg
označavanja	označavanje	Ncnsg
za	za	Sa
korisnika	korisnik	Ncmpg
.	.	Z

U	u	Sl
poslovno-financijskom	poslovno-financijski	Agpmsly
smislu	smisao	Ncmsl
ona	on	Pp3fsn
predstavlja	predstavljati	Vmr3s
mjesto	mjesto	Ncnsa
troška	trošak	Ncmsg
preko	preko	Sg
kojeg	koji	Pi-nsg
je	biti	Var3s
moguće	moguć	Agpnsny
pratiti	pratiti	Vmn
stanje	stanje	Ncnsa
poslovno	poslovno	Rgp
financijskih	financijski	Agpmpgy
parametara	parametar	Ncmpg
.	.	Z

Definirana	definirati	Appfsny
je	biti	Var3s
kao	kao	Cs
skup	skup	Ncmsan
linkova	link	Ncmpg
i	i	Cc
jednoznačno	jednoznačno	Rgp
je	biti	Var3s
određena	odrediti	Appfsny
identifikacijskom	identifikacijski	Agpfsiy
oznakom	oznaka	Ncfsi
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
i	i	Cc
rednim	redni	Agpmsiy
brojem	broj	Ncmsi
dionice	dionica	Ncfsg
unutar	unutar	Sg
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
kojem	koji	Pi-msd
pripada	pripadati	Vmr3s
.	.	Z

Dionica	dionica	Ncfsn
je	biti	Var3s
sastavljena	sastaviti	Appfsny
od	od	Sg
jednog	jedan	Mlcmsg
ili	ili	Cc
više	mnogo	Rgc
linkova	link	Ncmpg
,	,	Z
a	a	Cc
početna	početan	Agpfsny
i	i	Cc
završna	završan	Agpfsny
točka	točka	Ncfsn
dionice	dionica	Ncfsg
su	biti	Var3p
određene	odrediti	Appfpny
stacionažom	stacionažoa	Ncfpn
početnog	početan	Agpmsgy
i	i	Cc
stacionažom	stacionaža	Ncfsi
završnog	završan	Agpmsgy
linka	link	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
.	.	Z

Uvođenjem	uvođenje	Ncnsi
dionica	dionica	Ncfpg
,	,	Z
svim	sav	Agpmpdy
korisnicima	korisnik	Ncmpd
cestovne	cestovan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
,	,	Z
bilo	bilo	Qo
da	da	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
korištenju	korištenje	Ncnsl
ili	ili	Cc
održavanju	održavanje	Ncnsl
cesta	cesta	Ncfpg
,	,	Z
želi	željeti	Vmr3s
se	sebe	Px--sa
olakšati	olakšati	Vmn
snalaženje	snalaženje	Ncnsa
te	te	Cc
točnije	točno	Rgc
referenciranje	referenciranje	Ncnsa
na	na	Sl
cestovnoj	cestovan	Agpfsly
mreži	mreža	Ncfsl
.	.	Z

Link	link	Ncmsn
kao	kao	Cs
osnovni	osnovan	Agpmsny
element	element	Ncmsn
adresnog	adresni	Agpmsgy
sustava	sustav	Ncmsg
je	biti	Var3s
neophodan	neophodan	Agpmsnn
za	za	Sa
zapisivanje	zapisivanje	Ncnsa
podataka	podatak	Ncmpg
u	u	Sa
bazu	baza	Ncfsa
,	,	Z
ali	ali	Cc
za	za	Sa
potrebe	potreba	Ncfpa
prikupljanja	prikupljanje	Ncnsg
cestovnih	cestovan	Agpmpgy
podataka	podatak	Ncmpg
ili	ili	Cc
u	u	Sl
cilju	cilj	Ncmsl
lakšeg	lak	Agcmsgy
referenciranja	referenciranj	Ncmsg
na	na	Sl
cestovnoj	cestovan	Agpfsly
mreži	mreža	Ncfsl
korisniku	korisnik	Ncmsl
je	biti	Var3s
prihvatljiviji	prihvatljiv	Agcmsny
pojam	pojam	Ncmsn
dionice	dionica	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
kao	kao	Cs
takva	takav	Pd-fsn
i	i	Cc
označava	označavati	Vmr3s
na	na	Sl
terenu	teren	Ncmsl
odgovarajućim	odgovarajući	Agpmsiy
prometnim	prometan	Agpmsiy
znakom	znak	Ncmsi
obavijesti	obavijest	Ncfsg
.	.	Z

8.2	8.i	Agpfsny
Identifikacijska	identifikacijski	Agpfsny
oznaka	oznaka	Ncfsn
dionice	dionica	Ncfsg

Identifikacijske	identifikacijski	Agpfpny
oznake	oznaka	Ncfpn
dionica	dionica	Ncfpg
u	u	Sl
smjeru	smjer	Ncmsl
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
sastoje	sastojati	Vmr3p
se	sebe	Px--sa
od	od	Sg
tri	tri	Mlc
znamenke	znamenka	Ncfsg
,	,	Z
počinju	počinjati	Vmr3p
od	od	Sg
broja	broj	Ncmsg
»	»	Z
1	1	Mdc
«	«	Z
na	na	Sa
više	mnogo	Rgc
,	,	Z
s	sa	Si
naznačenim	naznačen	Agpfpiy
vodećim	vodeći	Agpfpiy
nulama	nula	Ncfpi
.	.	Z

Ujedno	ujedno	Rgp
predstavljaju	predstavljati	Vmr3p
i	i	Qo
redni	redni	Agpmsayn
broj	broj	Ncmsan
dionice	dionica	Ncfsg
u	u	Sl
cestovnom	cestovan	Agpmsly
pravcu	pravac	Ncmsl
.	.	Z

Identifikacijske	identifikacijski	Agpfpny
oznake	oznaka	Ncfpn
dionica	dionica	Ncfpg
u	u	Sl
smjeru	smjer	Ncmsl
obrnutom	obrnuti	Appmsly
od	od	Sg
smjera	smjer	Ncmsg
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
sastoje	sastojati	Vmr3p
se	sebe	Px--sa
od	od	Sg
tri	tri	Mlc
znamenke	znamenka	Ncfsg
.	.	Z

Prva	prvi	Mlofsn
znamenka	znamenka	Ncfsn
prikazuje	prikazivati	Vmr3s
broj	broj	Ncmsan
dionice	dionica	Ncfsg
u	u	Sl
smjeru	smjer	Ncmsl
obrnutom	obrnuti	Appmsly
od	od	Sg
smjera	smjer	Ncmsg
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
,	,	Z
a	a	Cc
druga	drugi	Mlofsn
i	i	Cc
treća	treći	Mlofsn
znamenka	znamenka	Ncfsn
prikazuju	prikazivati	Vmr3p
broj	broj	Ncmsan
dionice	dionica	Ncfsg
u	u	Sl
smjeru	smjer	Ncmsl
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
ova	ovaj	Pd-fsn
dionica	dionica	Ncfsn
»	»	Z
kontra	kontra	Ncfsn
smjera	smjer	Ncmsg
«	«	Z
odnosi	odnositi	Vmr3s
.	.	Z

8.3	8.3	Mdc
Mjerila	mjerilo	Ncnpg
za	za	Sa
uspostavu	uspostava	Ncfsa
dionica	dionica	Ncfpg
javnih	javan	Agpfpgy
cesta	cesta	Ncfpg

Obzirom	obzir	Ncmsi
da	da	Cs
su	biti	Var3p
kod	kod	Sg
javnih	javan	Agpfpgy
cesta	cesta	Ncfpg
,	,	Z
gledano	gledati	Appnsny
građevinski	građevinski	Agpmpny
,	,	Z
kolnici	kolnik	Ncmpn
na	na	Sl
pojedinim	pojedini	Agpnply
mjestima	mjesto	Ncnpl
razdvojeni	razdvojiti	Appmpny
,	,	Z
dionice	dionica	Ncfpn
se	sebe	Px--sa
uspostavljaju	uspostavljati	Vmr3p
,	,	Z
kako	kako	Cs
u	u	Sl
smjeru	smjer	Ncmsl
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
(	(	Z
osnovne	osnovan	Agpfsgy
dionice	dionica	Ncfsg
)	)	Z
,	,	Z
tako	tako	Rgp
i	i	Qo
u	u	Sl
smjeru	smjer	Ncmsl
obrnutom	obrnuti	Appmsly
od	od	Sg
smjera	smjer	Ncmsg
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
(	(	Z
suprotne	suprotan	Agpfpny
dionice	dionica	Ncfpn
)	)	Z
.	.	Z

Svrha	svrha	Ncfsn
takvog	takav	Pd-msg
načina	način	Ncmsg
uspostavljanja	uspostavljanje	Ncnsg
dionica	dionica	Ncfpg
je	biti	Var3s
jednoznačno	jednoznačan	Agpnsny
i	i	Cc
postojano	postojan	Agpnsny
određivanje	određivanje	Ncnsn
elemenata	element	Ncmpg
adresnog	adresni	Agpmsgy
sustava	sustav	Ncmsg
i	i	Cc
njihove	njihov	Ps3fsg
pripadnosti	pripadnost	Ncfsg
,	,	Z
te	te	Cc
jednostavnijeg	jednostavan	Agcmsgy
i	i	Cc
točnijeg	točan	Agcnsgy
mjerenja	mjerenje	Ncnsg
i	i	Cc
prikupljanja	prikupljanje	Ncnsg
podataka	podatak	Ncmpg
po	po	Sl
dionicama	dionica	Ncfpl
na	na	Sl
samom	sam	Agpmsly
terenu	teren	Ncmsl
.	.	Z

Javna	javan	Agpfsny
cesta	cesta	Ncfsn
može	moći	Vmr3s
imati	imati	Vmn
jednu	jedan	Mlcfsa
ili	ili	Cc
više	mnogo	Rgc
dionica	dionica	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
međusobno	međusobno	Rgp
razgraničene	razgraničiti	Appfpny
križanjem	križanje	Ncnsi
s	sa	Si
drugom	drugi	Mlofsi
javnom	javan	Agpfsiy
cestom	cesta	Ncfsi
veće	veliko	Rgc
ili	ili	Cc
iste	isti	Agpfsgy
kategorije	kategorija	Ncfsg
.	.	Z

Iznimno	iznimno	Rgp
,	,	Z
dionica	dionica	Ncfsn
javne	javan	Agpfsgy
ceste	cesta	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
uspostaviti	uspostaviti	Vmn
do	do	Sg
križanja	križanje	Ncnsg
sa	sa	Si
javnom	javan	Agpfsiy
cestom	cesta	Ncfsi
niže	nizati	Vmr3s
kategorije	kategorija	Ncfpa
kako	kako	Cs
bi	biti	Vaa3p
se	sebe	Px--sa
izbjegle	izbjegao	Agpfpny
predugačke	predugačak	Agpfpny
dionice	dionica	Ncfpn
.	.	Z

Iznimno	iznimno	Rgp
,	,	Z
početak	početak	Ncmsan
prve	prvi	Mlofsg
ili	ili	Cc
kraj	kraj	Ncmsn
zadnje	zadnji	Agpfsgy
dionice	dionica	Ncfsg
može	moći	Vmr3s
biti	biti	Van
određen	odrediti	Appmsnn
državnom	državni	Agpfsiy
granicom	granica	Ncfsi
,	,	Z
obalnom	obalni	Agpfsiy
crtom	crta	Ncfsi
ili	ili	Cc
javnom	javan	Agpfsiy
cestom	cesta	Ncfsi
niže	nizati	Vmr3s
kategorije	kategorija	Ncfpa
.	.	Z

Dionica	dionica	Ncfsn
u	u	Sl
smjeru	smjer	Ncmsl
cestovnog	cestovan	Agpmsgy
pravca	pravac	Ncmsg
(	(	Z
osnovna	osnovan	Agpfsny
dionica	dionica	Ncfsn
)	)	Z
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
kraća	kratak	Agcfsny
od	od	Sg
100	100	Mdc
m	m	Y
,	,	Z
izuzev	izuzev	Rgp

