ovog	ovaj	Pd-msg
posao	posao	Ncmsan
i	i	Cc
s	sa	Sg
posla	posao	Ncmsg
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
visini	visina	Ncfsl
cijene	cijena	Ncfsg
prijevoza	prijevoz	Ncmsg
koja	koji	Pi-fsn
je	biti	Var3s
utvrđena	utvrditi	Appfsny
na	na	Sa
približno	približno	Rgp
jednakim	jednak	Agpfply
udaljenostima	udaljenost	Ncfpl
na	na	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
organiziran	organizirati	Appmsnn
prijevoz	prijevoz	Ncmsn
(	(	Z
primijeniti	primijeniti	Vmn
visine	visina	Ncfpa
i	i	Cc
zone	zona	Ncfsg
u	u	Sl
matičnoj	matičan	Agpfsly
organizacijskoj	organizacijski	Agpfsly
jedinici	jedinica	Ncfsl
)	)	Z
.	.	Z

Naknada	naknada	Ncfsn
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
na	na	Sa
posao	posao	Ncmsan
i	i	Cc
s	sa	Sg
posla	posao	Ncmsg
isplaćuje	isplaćivati	Vmr3s
se	sebe	Px--sa
unatrag	unatrag	Rgp
i	i	Cc
isplaćivat	isplaćivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
za	za	Sa
11	11	Mdc
mjeseci	mjesec	Ncmpg
u	u	Sl
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
plaćom	plaća	Ncfsi
i	i	Cc
iskazuje	iskazivati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
posebna	poseban	Agpfsny
stavka	stavka	Ncfsn
na	na	Sl
obračunskoj	obračunski	Agpfsly
listi	lista	Ncfsl
.	.	Z

U	u	Sl
mjesecu	mjesec	Ncmsl
kolovozu	kolovoz	Ncmsl
radniku	radnik	Ncmsl
neće	htjeti	Var3s
biti	biti	Van
isplaćena	isplatiti	Appfsny
naknada	naknada	Ncfsn
za	za	Sa
prijevoz	prijevoz	Ncmsan
.	.	Z

Radnik	radnik	Ncmsn
kojemu	koji	Pi-msd
je	biti	Var3s
prebivalište	prebivalište	Ncnsn
izvan	izvan	Sg
mjesta	mjesto	Ncnsg
rada	rad	Ncmsg
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
prijevoza	prijevoz	Ncmsg
prema	prema	Sl
cijeni	cijena	Ncfsl
mjesečne	mjesečan	Agpfsgy
karte	karta	Ncfsg
u	u	Sl
međumjesnom	međumjesni	Agpmsly
prijevozu	prijevoz	Ncmsl
i	i	Cc
na	na	Sa
naknadu	naknada	Ncfsa
prema	prema	Sl
cijeni	cijena	Ncfsl
mjesečne	mjesečan	Agpfsgy
karte	karta	Ncfsg
u	u	Sl
mjesnom	mjesni	Agpmsly
prijevozu	prijevoz	Ncmsl
u	u	Sl
mjestu	mjesto	Ncnsl
rada	rad	Ncmsg
.	.	Z

Iznimno	iznimno	Rgp
,	,	Z
ukoliko	ukoliko	Cs
su	biti	Var3p
mjesečnom	mjesečan	Agpfsiy
ili	ili	Cc
godišnjom	godišnji	Agpfsiy
kartom	karta	Ncfsi
pokriveni	pokriti	Appmpny
mjesni	mjesni	Agpmpny
i	i	Cc
međumjesni	međumjesni	Agpmsny
javni	javan	Agpmsny
prijevoz	prijevoz	Ncmsn
(	(	Z
tzv.	tzv.	Y

