zabilježena	zabilježiti	Appfsny
javnih	javan	Agpfpgy
i	i	Cc
fiskalnih	fiskalan	Agpmpgy
prihoda	prihod	Ncmpg
,	,	Z
posebnu	poseban	Agpfsay
brigu	briga	Ncfsa
je	biti	Var3s
potrebno	potreban	Agpnsny
voditi	voditi	Vmn
o	o	Sl
nužnosti	nužnost	Ncfsl
da	da	Cs
opseg	opseg	Ncmsn
i	i	Cc
visina	visina	Ncfsn
njihovih	njihov	Ps3npg
prava	pravo	Ncnpg
bude	biti	Var3s
ujednačena	ujednačiti	Agpfsny
.	.	Z

Budući	budući	Cs
da	da	Cs
se	sebe	Px--sa
ni	ni	Qo
do	do	Sg
kraja	kraj	Ncmsg
ove	ovaj	Pd-fsg
godine	godina	Ncfsg
ne	ne	Qz
očekuje	očekivati	Vmr3s
rast	rast	Ncmsan
bruto	bruan	Agpmsgn
domaćeg	domaći	Agpmsgy
proizvoda	proizvod	Ncmsg
,	,	Z
nužno	nužan	Agpnsny
je	biti	Var3s
i	i	Qo
u	u	Sl
državnim	državni	Agpfply
i	i	Cc
svim	sav	Agpfply
javnim	javan	Agpfply
službama	služba	Ncfpl
,	,	Z
uskratiti	uskratiti	Vmn
isplatu	isplata	Ncfsa
povećanja	povećanje	Ncnsg
plaća	plaća	Ncfpg
,	,	Z
koje	koji	Pi-fpn
se	sebe	Px--sa
ostvaruje	ostvarivati	Vmr3s
temeljem	temelj	Ncmsi
broja	broj	Ncmsg
ostvarenih	ostvariti	Agpfpgy
godina	godina	Ncfpg
radnog	radni	Agpmsgy
staža	staž	Ncmsg
.	.	Z

Plaće	plaća	Ncfpn
zaposlenih	zaposlen	Agpmpgy
u	u	Sl
državnoj	državni	Agpfsly
i	i	Cc
javnim	javan	Agpfply
službama	služba	Ncfpl
obračunavaju	obračunavati	Vmr3p
se	sebe	Px--sa
kao	kao	Cs
umnožak	umnožak	Ncmsn
osnovice	osnovica	Ncfsg
za	za	Sa
izračun	izračun	Ncmsan
plaće	plaća	Ncfsg
i	i	Cc
0,5	0,5	Mdc
%	%	Z
za	za	Sa
svaku	svaki	Pi-fsa
navršenu	navršiti	Agpfsay
godinu	godina	Ncfsa
rada	rad	Ncmsg
.	.	Z

(...)	(...)	Ncfsn

S	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
se	sebe	Px--sa
na	na	Sa
dohodak	dohodak	Ncmsan
od	od	Sg
0,5	0,5	Mdc
%	%	Z
za	za	Sa
svaku	svaki	Pi-fsa
navršenu	navršiti	Agpfsay
godinu	godina	Ncfsa
rada	rad	Ncmsg
još	još	Rgp
dodaje	dodavati	Vmr3s
kolektivnim	kolektivan	Agpmpiy
ugovorima	ugovor	Ncmpi
ugovoreno	ugovoriti	Agpnsny
uvećanje	uvećanje	Ncnsn
plaće	plaća	Ncfsg
za	za	Sa
4	4	Mdc
,	,	Z
8	8	Mdc
i	i	Cc
10	10	Mdc
%	%	Z
po	po	Sl
istoj	isti	Agpfsly
osnovi	osnova	Ncfsl
,	,	Z
u	u	Sl
uvjetima	uvjet	Ncmpl
gospodarske	gospodarski	Agpfsgy
krize	kriza	Ncfsg
i	i	Cc
prekomjernog	prekomjeran	Agpmsgy
deficita	deficit	Ncmsg
,	,	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
opravdanim	opravdati	Vmr3s
da	da	Cs
se	sebe	Px--sa
zbog	zbog	Sg
fiskalne	fiskalan	Agpfsgy
održivosti	održivost	Ncfsg
i	i	Cc
očuvanja	očuvanje	Ncnsg
zaposlenosti	zaposlenost	Ncfsg
,	,	Z
za	za	Sa
2014.	2014.	Mdo
godinu	godina	Ncfsa
uskrati	uskratiti	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
predmetno	predmetni	Agpnsay
dvostruko	dvostruk	Agpnsay
uvećanje	uvećanje	Ncnsa
plaće	plaća	Ncfsg
po	po	Sl
istoj	isti	Agpfsly
pravnoj	pravni	Agpfsly
osnovi	osnova	Ncfsl
.	.	Z

Uskratom	Uskratom	Sg
prava	pravo	Ncnpg
na	na	Sa
uvećanje	uvećanje	Ncnsa
koeficijenta	koeficijent	Ncmsg
složenosti	složenost	Ncfsg
poslova	posao	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
plaća	plaćati	Vmr3s
zaposlenima	zaposlen	Agpmpdy
u	u	Sl
državnim	državni	Agpfply
i	i	Cc
javnim	javan	Agpfply
službama	služba	Ncfpl
u	u	Sl
2014.	2014.	Mdo
godini	godina	Ncfsl
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
obveza	obveza	Ncfsn
proizlazi	proizlaziti	Vmr3s
samo	samo	Rgp
i	i	Cc
isključivo	isključivo	Rgp
iz	iz	Sg
ugovorenih	ugovoriti	Agpfpgy
obveza	obveza	Ncfpg
,	,	Z
a	a	Cc
ne	ne	Qz
iz	iz	Sg
zakona	zakon	Ncmpg
i	i	Cc
drugih	drugi	Mlompg
propisa	propis	Ncmpg
,	,	Z
ostvarit	ostvariti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
odgovarajući	odgovarajući	Agpmsny
dio	dio	Ncmsn
potrebnih	potreban	Agpfpgy
ušteda	ušteda	Ncfpg
u	u	Sl
državnom	državni	Agpmsly
proračunu	proračun	Ncmsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z
«	«	Z

13.	13.	Mdo

ZUPUP	ZUPUP	Npmsn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
1.	1.	Mdo

Ovim	ovaj	Pd-msi
se	sebe	Px--sa
Zakonom	zakon	Ncmsi
uskraćuje	uskraćivati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
uvećanje	uvećanje	Ncnsa
plaće	plaća	Ncfsg
po	po	Sl
osnovi	osnova	Ncfsl
ostvarenih	ostvariti	Agpfpgy
godina	godina	Ncfpg
radnog	radni	Agpmsgy
staža	staž	Ncmsg
,	,	Z
koje	koji	Pi-mpa
je	biti	Var3s
kolektivnim	kolektivan	Agpmpiy
ugovorima	ugovor	Ncmpi
ugovoreno	ugovoriti	Appnsny
u	u	Sl
visini	visina	Ncfsl
od	od	Sg
4	4	Mdc
,	,	Z
8	8	Mdc
i	i	Cc
10	10	Mdc
posto	posto	Rgp
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

1.	1.	Mdo
za	za	Sa
zaposlene	zaposlen	Agpmpay
u	u	Sl
državnim	državni	Agpfply
službama	služba	Ncfpl
kao	kao	Cs
uvećanje	uvećanje	Ncnsn
koeficijenta	koeficijent	Ncmsg
složenosti	složenost	Ncfsg
poslova	posao	Ncmpg
radnog	radni	Agpnsgy
mjesta	mjesto	Ncnsg

2.	2.	Mdo
za	za	Sa
zaposlene	zaposlen	Agpmpay
u	u	Sl
javnim	javan	Agpfply
službama	služba	Ncfpl
kao	kao	Cs
uvećanje	uvećanje	Ncnsn
koeficijenta	koeficijent	Ncmsg
složenosti	složenost	Ncfsg
poslova	posao	Ncmpg
radnog	radni	Agpnsgy
mjesta	mjesto	Ncnsg
ili	ili	Cc
kao	kao	Cs
uvećanje	uvećanje	Ncnsn
osnovice	osnovica	Ncfsg
za	za	Sa
izračun	izračun	Ncmsan
plaće	plaća	Ncfsg
ili	ili	Cc
kao	kao	Cs
uvećanje	uvećanje	Ncnsa
plaće	plaća	Ncfsg
izračunate	izračunati	Vmr2p
kao	kao	Cs
umnožak	umnožak	Ncmsan
plaće	plaća	Ncfsg
i	i	Cc
dodataka	dodatak	Ncmpg
s	sa	Sg
osnova	osnova	Ncfpg
uvjeta	uvjet	Ncmpg
rada	rad	Ncmsg
.	.	Z

Članak	članak	Ncmsn
2.	2.	Mdo

Pravo	pravo	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
Zakona	zakon	Ncmsg
uskraćuje	uskraćivati	Vmr3s
se	sebe	Px--sa
od	od	Sg
1.	1.	Mdo
travnja	travanj	Ncmsg
2014.	2014.	Mdo
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2014.	2014.	Mdo

Članak	članak	Ncmsn
3.	3.	Mdo

Na	na	Sa
prava	pravo	Ncnpa
iz	iz	Sg
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
odredba	odredba	Ncfsn
članka	članak	Ncmsg
7.	7.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
radu	rad	Ncmsl
(	(	Z
'	'	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
'	'	Z
br.	br.	Y
149/09.	149/09.	Mds
,	,	Z
61/11.	61/11.	Mds
,	,	Z
82/12.	82/12.	Mds
i	i	Cc
73/13.	73/13.	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo

Ovaj	ovaj	Pd-msn
Zakon	zakon	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
'	'	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
'	'	Z
.	.	Z
«	«	Z

2	2	Mdc
)	)	Z
Donošenje	donošenje	Ncnsn
i	i	Cc
sadržaj	sadržaj	Ncmsn
Uredbe	uredba	Ncfsg
/	/	Z
I-ZUPUP-a	i-zupup-	Ncmsg

14.	14.	Mdo

Vlada	vlada	Ncfsn
je	biti	Var3s
Uredbu	uredba	Ncfsa
/	/	Z
I-ZUPUP-a	i-zupup-	Ncmsg
donijela	donijeti	Vmp-sf
na	na	Sl
temelju	temelj	Ncmsl
zakonske	zakonski	Agpfsgy
ovlasti	ovlast	Ncfsg
da	da	Cs
uredbama	uredba	Ncfpd
uređuje	uređivati	Vmr3s
pojedina	pojedini	Agpnpay
pitanja	pitanje	Ncnpa
iz	iz	Sg
djelokruga	djelokrug	Ncmsg
Hrvatskog	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
.	.	Z

Donošenje	donošenje	Ncnsn
Uredbe	uredba	Ncfsg
/	/	Z
I-ZUPUP-a	i-zupup-i	Agpfsny
Vlada	Vlada	Npfsn
je	biti	Var3s
obrazložila	obrazložiti	Vmp-sf
ovako	ovako	Rgp
:	:	Z

»	»	Z
Na	na	Sl
području	područje	Ncnsl
rada	rad	Ncmsg
državnih	državni	Agpfpgy
službi	služba	Ncfpg
te	te	Cc
pojedinih	pojedini	Agpmpgy
javnih	javan	Agpmpgy

