Ekg	Ekg	Npmsn
skupine	skupina	Ncfsg
)	)	Z
kardiolog	kardiolog	Ncmsn
akreditiran	akreditirati	Appmsnn
za	za	Sa
izvođenje	izvođenje	Ncnsa
kompleksnih	kompleksan	Agpfpgy
pretraga	pretraga	Ncfpg
od	od	Sg
strane	strana	Ncfsg
stručnog	stručan	Agpnsgy
društva	društvo	Ncnsg
(	(	Z
nacionalne	nacionalan	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
ili	ili	Cc
europskog	europski	Agpnsgy
udruženja	udruženje	Ncnsg
za	za	Sa
ehokardiografiju	ehokardiografija	Ncfsa
)	)	Z
.	.	Z
8,09	8,09	Mdc
1.779,80	1.779,80	Mdc
KD011	KD011	Mdc
Hemodinamska	hemodinamski	Agpfsny
studija	studija	Ncfsn
Pretragu	Pretragu	Npmsn
može	moći	Vmr3s
izvoditi	izvoditi	Vmn
kardiolog	kardiolog	Ncmsn
u	u	Sl
Referentnom	referentan	Agpmsly
centru	centar	Ncmsl
za	za	Sa
ehokardiografiju	ehokardiografija	Ncfsa
ili	ili	Cc
akreditiranom	akreditiran	Agpmsly
ehokardiografskom	ehokardiografski	Agpmsly
laboratoriju	laboratorij	Ncmsl
od	od	Sg
strane	strana	Ncfsg
stručnog	stručan	Agpnsgy
društva	društvo	Ncnsg
(	(	Z
nacionalne	nacionalan	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
)	)	Z
kardiolog	kardiolog	Ncmsn
akreditiran	akreditirati	Appmsnn
za	za	Sa
izvođenje	izvođenje	Ncnsa
kompleksnih	kompleksan	Agpfpgy
pretraga	pretraga	Ncfpg
od	od	Sg
strane	strana	Ncfsg
stručnog	stručan	Agpnsgy
društva	društvo	Ncnsg
(	(	Z
nacionalne	nacionalan	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
ili	ili	Cc
europskog	europski	Agpnsgy
udruženja	udruženje	Ncnsg
za	za	Sa
ehokardiografiju	ehokardiografija	Ncfsa
)	)	Z
.	.	Z
8,11	8,11	Mdc
1.784,20	1.784,20	Mdc
KD012	KD012	Mdc
Hemodinamska	hemodinamski	Agpfsny
optimatizacija	optimatizacija	Ncfsn
resinkronizacijskog	resinkronizacijski	Agpmsgy
ili	ili	Cc
drugog	drugi	Mlomsg
uređaja	uređaj	Ncmsg
Pretragu	pretraga	Ncfsa
može	moći	Vmr3s
izvoditi	izvoditi	Vmn
kardiolog	kardiolog	Ncmsn
u	u	Sl
Referentnom	referentan	Agpmsly
centru	centar	Ncmsl
za	za	Sa
ehokardiografiju	ehokardiografija	Ncfsa
ili	ili	Cc
akreditiranom	akreditiran	Agpmsly
ehokardiografskom	ehokardiografski	Agpmsly
laboratoriju	laboratorij	Ncmsl
od	od	Sg
strane	strana	Ncfsg
stručnog	stručan	Agpnsgy
društva	društvo	Ncnsg
(	(	Z
nacionalne	nacionalan	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
)	)	Z
kardiolog	kardiolog	Ncmsn
akreditiran	akreditirati	Appmsnn
za	za	Sa
izvođenje	izvođenje	Ncnsa
kompleksnih	kompleksan	Agpfpgy
pretraga	pretraga	Ncfpg
od	od	Sg
strane	strana	Ncfsg
stručnog	stručan	Agpnsgy
društva	društvo	Ncnsg
(	(	Z
nacionalne	nacionalan	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
ili	ili	Cc
europskog	europski	Agpnsgy
udruženja	udruženje	Ncnsg
za	za	Sa
ehokardiografiju	ehokardiografija	Ncfsa
)	)	Z
.	.	Z
12,09	12,09	Mdc
2.659,80	2.659,80	Mdc
KD013	kd01i	Agpnsny
Ispitivanje	ispitivanje	Ncnsn
koronarne	koronarni	Agpfsgy
rezerve	rezerva	Ncfsg
Pretragu	pretraga	Ncfsa
može	moći	Vmr3s
izvoditi	izvoditi	Vmn
kardiolog	kardiolog	Ncmsn
u	u	Sl
Referentnom	referentan	Agpmsly
centru	centar	Ncmsl
za	za	Sa
ehokardiografiju	ehokardiografija	Ncfsa
ili	ili	Cc
akreditiranom	akreditiran	Agpmsly
ehokardiografskom	ehokardiografski	Agpmsly
laboratoriju	laboratorij	Ncmsl
od	od	Sg
strane	strana	Ncfsg
stručnog	stručan	Agpnsgy
društva	društvo	Ncnsg
(	(	Z
nacionalne	nacionalan	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
)	)	Z
kardiolog	kardiolog	Ncmsn
akreditiran	akreditirati	Appmsnn
za	za	Sa
izvođenje	izvođenje	Ncnsa
kompleksnih	kompleksan	Agpfpgy
pretraga	pretraga	Ncfpg
od	od	Sg
strane	strana	Ncfsg
stručnog	stručan	Agpnsgy
društva	društvo	Ncnsg
(	(	Z
nacionalne	nacionalan	Agpfsgy
radne	radni	Agpfsgy
skupine	skupina	Ncfsg
ili	ili	Cc
europskog	europski	Agpnsgy
udruženja	udruženje	Ncnsg
za	za	Sa
ehokardiografiju	ehokardiografija	Ncfsa
)	)	Z
.	.	Z
14,75	14,75	Mdc
3.245,00	3.245,00	Mdc
KD014	kd01i	Agpnsny
Testiranje	testiranje	Ncnsn
Pace-makera	pace-maker	Ncmpg
2,17	2,17	Mdc
477,40	477,40	Mdc
KD015	KD015	Mdc
Kardioverzija	Kardioverzija	Npfsn
Ne	ne	Qz
uključuje	uključivati	Vmr3s
trošak	trošak	Ncmsan
dnevno	dnevno	Rgp
bolničke	bolnički	Agpfsgy
opskrbe	opskrba	Ncfsg
7,22	7,22	Mdc
1.588,40	1.588,40	Mdc
KD016	kd01	Aspfsny
Kontrola	kontrola	Ncfsn
rada	rad	Ncmsg
elektrostimulatora	elektrostimulator	Ncmsg
i	i	Cc
kardiovertera	kardioverter	Ncmpg
Uključujući	uključivati	Rr
i	i	Cc
resinhronizacijske	resinhronizacijski	Agpmpay
uređaje	uređaj	Ncmpa
CRT	CRT	Npmsan
B	b	X
i	i	Cc
V	V	Mrc
2,42	2,42	Mdc
532,40	532,40	Mdc
KD017	KD017	Mdo
Koronarografija	koronarografija	Ncfsn
(	(	Z
2	2	Mdc
)	)	Z
Uključuje	uključivati	Vmr3s
sve	sav	Agpmpay
troškove	trošak	Ncmpa
dijagnostičko-terapijskih	dijagnostičko-terapijski	Agpmpgy
postupaka	postupak	Ncmpg
,	,	Z
lijekove	lijek	Ncmpa
,	,	Z
materijale	materijal	Ncmpa
i	i	Cc
dnevnu	dnevni	Agpfsay
bolnicu	bolnica	Ncfsa
.	.	Z
162,98	162,98	Mdc
35.855,60	35.855,60	Mdc
KD018	KD018	Pi-fsn
Koronarografija	koronarografija	Ncfsn
s	sa	Si
ventrikulografijom	ventrikulografija	Ncfsi
33,27	33,27	Mdc
7.319,40	7.319,40	Mdc
KD019	KD019	X
Perkutana	perkutan	Agpfsny
koronarna	koronarni	Agpfsny
intervencija	intervencija	Ncfsn
(	(	Z
PCI	PC	Npmpn
)	)	Z
203,12	203,12	Mdc
44.686,40	44.686,40	Mdc
KD020	kd02	Aspfsny
Biopsija	biopsija	Ncfsn
miokarda	miokard	Ncmsg
Ne	ne	Qz
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
posttransplantacijsku	posttransplantacijski	Agpfsay
biopsiju	biopsija	Ncfsa
19,52	19,52	Mdc
4.294,40	4.294,40	Mdc
KD021	KD021	Mdo
Kateterizacija	kateterizacija	Ncfsn
desnog	desni	Agpnsgy
srca	srce	Ncnsg
18,34	18,34	Mdc
4.034,80	4.034,80	Mdc
KD022	KD022	Mdo
Kontrola	kontrola	Ncfsn
bolesnika	bolesnik	Ncmpg
s	sa	Si
LVAD-om	LVAD	Npmsi
(	(	Z
Left	Left	Npmsn
Ventrcular	Ventrcular	Npmsn
Assist	Assist	Npmsn
Device	Device	Npmsn
)	)	Z
3,24	3,24	Mdc
712,80	712,80	Mdc
KG001	kg00i	Agpnsny
Razrješenje	razrješenje	Ncnsn
sinehija	sinehij	Ncmpg
u	u	Sl
nosu	nos	Ncmsl
Uključuje	uključivati	Vmr3s
lokalnu	lokalan	Agpfsay
anesteziju	anestezija	Ncfsa
2,21	2,21	Mdc
486,20	486,20	Mdc
KG002	kg00i	Agpnsny
Zaustavljanje	zaustavljanje	Ncnsn
krvarenja	krvarenje	Ncnsg
iz	iz	Sg
nosa	nos	Ncmsg
Prednja	prednji	Agpfsny
,	,	Z
po	po	Sl
Belloequeu	Belloeque	Npmsl
1,86	1,86	Mdc
409,20	409,20	Mdc
KG003	KG003	Mdc
Zatvorena	zatvoriti	Appfsny
repozicija	repozicija	Ncfsn
prijeloma	prijelom	Ncmsg
nosnih	nosni	Agpfpgy
kostiju	kost	Ncfpg
Uključuje	uključivati	Vmr3s
lokalnu	lokalan	Agpfsay
anesteziju	anestezija	Ncfsa
i	i	Cc
previjanje	previjanje	Ncnsa
2,56	2,56	Mdc
563,20	563,20	Mdc
KG004	kg00i	Agpnsny
Zbrinjavanje	zbrinjavanje	Ncnsn
ozljede	ozljeda	Ncfsg
vanjskog	vanjski	Agpnsgy
uha	uho	Ncnsg
2,75	2,75	Mdc
605,00	605,00	Mdc
KG005	KG005	Mdc
Repozicija	Repozici	Npmsg
luksacije	luksacija	Ncfsg
temporomandibularnog	temporomandibularan	Agpmsgy
zgloba	zglob	Ncmsg
0,72	0,72	Mdc
158,40	158,40	Mdc
KG006	KG006	Mdc
Kirurška	kirurški	Agpfsny
obrada	obrada	Ncfsn
mekih	mek	Agpnpgy
tkiva	tkivo	Ncnpg
glave	glava	Ncfsg
i	i	Cc
vrata	vrat	Ncmsg
Uključuje	uključivati	Vmr3s
pregled	pregled	Ncmsan
,	,	Z
lokalnu	lokalan	Agpfsay
anesteziju	anestezija	Ncfsa
,	,	Z
šivanje	šivanje	Ncnsa
i	i	Cc
previjanje	previjanje	Ncnsa
4,35	4,35	Mdc
957,00	957,00	Mdc
KG007	KG007	Mdc
Kirurško	kirurški	Agpnsny
liječenje	liječenje	Ncnsn
mekih	mek	Agpnpgy
tkiva	tkivo	Ncnpg
čeljusti	čeljust	Ncfsg
i	i	Cc
usta	usta	Ncnpa
Uključuje	uključivati	Vmr3s
pregled	pregled	Ncmsan
,	,	Z
lokalnu	lokalan	Agpfsay
anesteziju	anestezija	Ncfsa
,	,	Z
šivanje	šivanje	Ncnsa
i	i	Cc
previjanje	previjanje	Ncnsa
3,27	3,27	Mdc
719,40	719,40	Mdc
KG008	KG008	Mdc
Vestibuloplastika	Vestibuloplastika	Npfsn
25,00	25,00	Mdc
5.500,00	5.500,00	Mdc
KG009	KG009	Mdc
Frenulektomija	Frenulektomija	Npfsn
(	(	Z
usni	usni	Agpmpny
,	,	Z
jezični	jezični	Agpmsayn
frenulum	frenulum	Ncmsan
ili	ili	Cc
bukalna	bukalan	Agpfsny
plika	plik	Ncmsg
)	)	Z
1,07	1,07	Mdc
235,40	235,40	Mdc
KG010	KG010	Y
Režanj	režanj	Ncmsn
za	za	Sa
rekonstrukciju	rekonstrukcija	Ncfsa
u	u	Sl
usnoj	usni	Agpfsly
šupljini	šupljina	Ncfsl
Jezični	jezični	Agpmsny
,	,	Z
nepčani	nepčan	Agpmsny
5,47	5,47	Mdc
1.203,40	1.203,40	Mdc
KG011	KG011	Mdc
Regionalni	regionalan	Agpmsny
kožni	kožni	Agpmsny
režanj	režanj	Ncmsn
na	na	Sl
glavi	glava	Ncfsl
Rotacijski	rotacijski	Agpmsny
,	,	Z
tubulirani	tubulirana	Ncfsl
6,44	6,44	Mdc
1.416,80	1.416,80	Mdc
KG012	KG012	Mdo
Ekscizija	ekscizija	Ncfsn
i	i	Cc
plastika	plastika	Ncfsn
kožnih	kožni	Agpmpgy
(	(	Z
odontogenih	odontogen	Agpmpgy
i	i	Cc
drugih	drugi	Mlofpg
)	)	Z
fistula	fistula	Ncfsn
Uključuje	uključivati	Vmr3s
lokalnu	lokalan	Agpfsay
anesteziju	anestezija	Ncfsa
5,27	5,27	Mdc
1.159,40	1.159,40	Mdc
KG013	KG013	Mdc
Ekscizija	ekscizija	Ncfsn
malih	mali	Agpmpgy
tumora	tumor	Ncmpg
sluznica	sluznica	Ncfpg
usne	usni	Agpfsgy
šupljine	šupljina	Ncfsg
Uključuje	uključivati	Vmr3s
lokalnu	lokalan	Agpfsay
anesteziju	anestezija	Ncfsa
4,10	4,10	Mdc
902,00	902,00	Mdc
KG014	KG014	Mdc
Ekshaireze	Ekshaireza	Npfsg
trigeminusovih	trigeminusov	Agpfpgy
grana	grana	Ncfpg
5,03	5,03	Mdc
1.106,60	1.106,60	Mdc
KG015	KG015	Mdc
Šav	šav	Ncmsn
živca	živac	Ncmsg

