palamidare	palamidari	Agpnsny
oližnice	oližnica	Ncfsg
je	biti	Var3s
18	18	Mdc
milimetara	milimetar	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Maksimalna	maksimalan	Agpfsny
duljina	duljina	Ncfsn
plivarice	plivarica	Ncfsg
oližnice	oližnica	Ncfsg
je	biti	Var3s
200	200	Mdc
metara	metar	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Za	za	Sa
vrijeme	vrijeme	Ncnsa
obavljanja	obavljanje	Ncnsg
ribolova	ribolov	Ncmsg
plivaricom	plivarica	Ncfsi
oližnicom	oližnicoa	Ncfsg
dozvoljeno	dozvoliti	Appnsny
je	biti	Var3s
korištenje	korištenje	Ncnsn
umjetne	umjetan	Agpfsgy
rasvjete	rasvjeta	Ncfsg
maksimalne	maksimalan	Agpfsgy
snage	snaga	Ncfsg
do	do	Sg
4	4	Mdc
000	000	Mdc
W.	W.	Y

(	(	Z
6	6	Mdc
)	)	Z
Zabranjen	zabraniti	Appmsnn
je	biti	Var3s
ribolov	ribolov	Ncmsn
plivaricom	plivarica	Ncfsi
oližnicom	oližnici	Agpnsly
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
1.	1.	Mdo
svibnja	svibanj	Ncmsg
do	do	Sg
30.	30.	Mdo
lipnja	lipanj	Ncmsg
.	.	Z

Zajedničke	zajednički	Agpfpny
odredbe	odredba	Ncfpn

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pod	pod	Si
namjenskim	namjenski	Agpnsiy
korištenjem	korištenje	Ncnsi
malih	mali	Agpfpgy
plivarica	plivarica	Ncfpg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
ribolov	ribolov	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
udjel	udjel	Ncmsn
riba	riba	Ncfsn
i	i	Cc
drugih	drugi	Mlompg
morskih	morski	Agpmpgy
organizama	organizam	Ncmpg
čiji	čiji	Pi-msn
ulov	ulov	Ncmsn
nije	biti	Var3s
propisan	propisati	Appmsnn
za	za	Sa
pojedini	pojedini	Agpmsayn
alat	alat	Ncmsan
ne	ne	Qz
prelazi	prelaziti	Vmr3s
30	30	Mdc
%	%	Z
(	(	Z
trideset	trideset	Mlc
posto	posto	Rgp
)	)	Z
ukupne	ukupan	Agpfsgy
mase	masa	Ncfsg
ulova	ulov	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ukupan	ukupan	Agpmsnn
udio	udjel	Ncmsn
inćuna	inćun	Ncmsg
(	(	Z
Engraulis	Engraulis	Npmsn
encrasicolus	encrasicolus	Xf
)	)	Z
i	i	Cc
srdele	srdela	Ncfpa
(	(	Z
Sardina	sardina	Ncfsn
pilchardus	pilchardua	Ncfsg
)	)	Z
u	u	Sl
ulovu	ulov	Ncmsl
na	na	Sl
plovilu	plovilo	Ncnsl
kod	kod	Sg
ribolova	ribolov	Ncmpg
malim	mali	Agpfpdy
plivaricama	plivarica	Ncfpd
je	on	Pp3fsa
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
veći	velik	Agcmsny
od	od	Sg
20	20	Mdc
%	%	Z
od	od	Sg
ukupnog	ukupan	Agpmsgy
ulova	ulov	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ribolov	ribolov	Ncmsn
se	sebe	Px--sa
mora	morati	Vmr3s
prekinuti	prekinuti	Vmn
te	te	Cc
plovilo	plovilo	Ncnsa
mora	morati	Vmr3s
promijeniti	promijeniti	Vmn
područje	područje	Ncnsa
ribolova	ribolov	Ncmpg
prije	prija	Cs
nego	nego	Cs
nastave	nastaviti	Vmr3p
ribolov	ribolov	Ncmsan
:	:	Z

–	ti	Rr
ukoliko	ukoliko	Cs
je	biti	Var3s
u	u	Sl
pojedinačnom	pojedinačan	Agpmsly
ulovu	ulov	Ncmsl
masa	masa	Ncfsn
nedoraslih	nedorasl	Agpmpgy
organizama	organizam	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
organizama	organizam	Ncmpg
u	u	Sl
lovostaju	lovostaj	Ncmsl
veća	velik	Agcfsny
od	od	Sg
20	20	Mdc
%	%	Z
(	(	Z
dvadeset	dvadeset	Mlc
posto	posto	Rgp
)	)	Z
i	i	Cc

–	–	Z
ukoliko	ukoliko	Cs
udjel	udjel	Ncmsn
vrsta	vrsta	Ncfpg
riba	riba	Ncfpg
i	i	Cc
drugih	drugi	Mlompg
morskih	morski	Agpmpgy
organizama	organizam	Ncmpg
čiji	čiji	Pi-msn
ulov	ulov	Ncmsn
nije	biti	Var3s
propisan	propisati	Appmsnn
za	za	Sa
pojedini	pojedini	Agpmsayn
ribolovni	ribolovan	Agpmsayn
alat	alat	Ncmsan
prelazi	prelaziti	Vmr3s
30	30	Mdc
%	%	Z
(	(	Z
trideset	trideset	Mlc
posto	posto	Rgp
)	)	Z
ukupne	ukupan	Agpfsgy
mase	masa	Ncfsg
ulova	ulov	Ncmsg
.	.	Z

Posebne	poseban	Agpfpny
odredbe	odredba	Ncfpn
o	o	Sl
uvjetima	uvjet	Ncmpl
i	i	Cc
načinu	način	Ncmsl
upisa	upis	Ncmsg
plivarice	plivarica	Ncfsg
lokardare	lokardara	Ncfsg
u	u	Sa
povlasticu	povlastica	Ncfsa
za	za	Sa
gospodarski	gospodarski	Agpmsayn
ribolov	ribolov	Ncmsan

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Vlasnicima	vlasnik	Ncmpi
plovila	plovilo	Ncnsg
će	htjeti	Var3s
se	sebe	Px--sa
odobriti	odobriti	Vmn
i	i	Cc
izvršiti	izvršiti	Vmn
upis	upis	Ncmsan
ribolovnog	ribolovan	Agpmsgy
alata	alat	Ncmsg
»	»	Z
plivarica	plivarica	Ncfsn
lokardara	lokardara	Ncfpg
«	«	Z
samo	samo	Rgp
radi	raditi	Vmr3s
zamjene	zamjena	Ncfpa
za	za	Sa
pojedine	pojedini	Agpmpay
aktivne	aktivan	Agpmpay
ribolovne	ribolovan	Agpmpay
alate	alat	Ncmpa
,	,	Z
skupine	skupina	Ncfsg
ribolovnih	ribolovan	Agpmpgy
alata	alat	Ncmpg
ili	ili	Cc
načina	način	Ncmpg
ribolova	ribolov	Ncmsg
i	i	Cc
njihova	njihov	Ps3nsg
brisanja	brisanje	Ncnsg
iz	iz	Sg
povlastice	povlastica	Ncfsg
za	za	Sa
gospodarski	gospodarski	Agpmsayn
ribolov	ribolov	Ncmsan
na	na	Sl
moru	more	Ncnsl
i	i	Cc
to	to	Qo
za	za	Sa
:	:	Z

–	–	Z
»	»	Z
plivaricu	plivarica	Ncfsa
srdelaru	srdelar	Ncmsd
«	«	Z
ukoliko	ukoliko	Cs
im	oni	Pp3-pd
je	biti	Var3s
izdano	izdan	Agpnsny
Odobrenje	odobrenje	Ncnsn
za	za	Sa
gospodarski	gospodarski	Agpmsayn
ribolov	ribolov	Ncmsan
na	na	Sl
moru	more	Ncnsl
plivaricom	plivarica	Ncfsi
srdelarom	srdelaromti	Vmr3s
sukladno	sukladno	Rgp
Pravilniku	pravilnik	Ncmsd
o	o	Sl
obavljanju	obavljanje	Ncnsl
gospodarskog	gospodarski	Agpmsgy
ribolova	ribolov	Ncmsg
na	na	Sl
moru	more	Ncnsl
okružujućom	okružujući	Agpfsiy
mrežom	mreža	Ncfsi
plivaricom-srdelarom	plivaricom-srdelar	Ncmsi
ili	ili	Cc
nisu	biti	Var3p
podnijeli	podnijeti	Vmp-pm
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
istog	isti	Agpmsgy
,	,	Z
a	a	Cc
udovoljavaju	udovoljavati	Vmr3p
uvjetima	uvjet	Ncmpi
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
;	;	Z

–	–	Z
»	»	Z
plivaricu	plivarica	Ncfsa
igličaru	igličar	Ncmsd
«	«	Z
;	;	Z

–	–	Z
»	»	Z
plivaricu	plivarica	Ncfsa
oližnicu	oližnica	Ncfsa
«	«	Z

–	i	Agpfpay
obalne	obalni	Agpfpay
mreže	mreža	Ncfpa
potegače	potegača	Ncfsg
(	(	Z
oližnica	oližnica	Ncfpg
,	,	Z
migavica	migavica	Ncfsn
,	,	Z
girarica	girarica	Ncfsn
,	,	Z
srdelara	srdelar	Ncmpg
i	i	Cc
šabakun	šabakun	Ncmsan
)	)	Z
i	i	Cc

–	–	Z
tramatu	tramat	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pod	pod	Si
aktivnim	aktivan	Agpmsiy
ribolovnim	ribolovan	Agpmsiy
alatom	alat	Ncmsi
,	,	Z
skupinama	skupina	Ncfpl
ribolovnih	ribolovan	Agpmpgy
alata	alat	Ncmpg
ili	ili	Cc
načina	način	Ncmpg
ribolova	ribolov	Ncmpg
podrazumijeva	podrazumijevati	Vmr3s
se	sebe	Px--sa
da	da	Cs
se	sebe	Px--sa
ribolov	ribolov	Ncmsn
obavljao	obavljati	Vmp-sm
najmanje	malo	Rgs
20	20	Mdc
ribolovnih	ribolovan	Agpmpgy
dana	dan	Ncmpg
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
1.	1.	Mdo
srpnja	srpanj	Ncmsg
2009.	2009.	Mdo
godine	godina	Ncfsg
do	do	Sg
30.	30.	Mdo
lipnja	lipanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
,	,	Z
a	a	Cc
ukoliko	ukoliko	Cs
su	biti	Var3p
za	za	Sa
određene	određen	Agpmpay
alate	alat	Ncmpa
i	i	Cc
načine	način	Ncmpa
ribolova	ribolov	Ncmsg
bile	biti	Vap-pf
propisana	propisati	Agpnpay
vremenska	vremenski	Agpnpay
ograničenja	ograničenje	Ncnpa
ili	ili	Cc
je	biti	Var3s
povlastica	povlastica	Ncfsn
bila	biti	Vap-sf
u	u	Sl
pohrani	pohrana	Ncfsl
broj	broj	Ncmsan
ribolovnih	ribolovan	Agpmpgy
dana	dan	Ncmpg
se	sebe	Px--sa
razmjerno	razmjerno	Rgp
tome	taj	Pd-nsd

