upisa	upis	Ncmsg
82/14.	82/14.	Mds
)	)	Z

4.	4.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
integriranoj	integrirati	Agpfsly
proizvodnji	proizvodnja	Ncfsl
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
137/12.	137/12.	Mds
i	i	Cc
59/14.	59/14.	Mds
)	)	Z

5.	5.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
sustavu	sustav	Ncmsl
poljoprivrednih	poljoprivredni	Agpmpgy
knjigovodstvenih	knjigovodstven	Agpmpgy
podataka	podatak	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
70/13.	70/13.	Mds
)	)	Z
.	.	Z

Propisi	propis	Ncmpn
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
potpori	potpora	Ncfsl
poljoprivredi	poljoprivreda	Ncfsl
i	i	Cc
ruralnom	ruralan	Agpmsly
razvoju	razvoj	Ncmsl

Članak	članak	Ncmsn
177.	177.	Mdo

Do	do	Sg
donošenja	donošenje	Ncnsg
propisa	propis	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
174.	174.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ostaju	ostajati	Vmr3p
na	na	Sl
snazi	snaga	Ncfsl
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nisu	biti	Var3p
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
propisi	propis	Ncmpn
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
potpori	potpora	Ncfsl
poljoprivredi	poljoprivreda	Ncfsl
i	i	Cc
ruralnom	ruralan	Agpmsly
razvoju	razvoj	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
120/12.	120/12.	Mds
i	i	Cc
136/12.	136/12.	Mds
)	)	Z
i	i	Cc
Zakona	zakon	Ncmsg
o	o	Sl
potpori	potpora	Ncfsl
poljoprivredi	poljoprivreda	Ncfsl
i	i	Cc
ruralnom	ruralan	Agpmsly
razvoju	razvoj	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
80/13.	80/13.	Mds
,	,	Z
41/14.	41/14.	Mds
i	i	Cc
107/14.	107/14.	Mds
)	)	Z
:	:	Z

1.	1.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
državnim	državni	Agpfply
potporama	potpora	Ncfpl
poljoprivredi	poljoprivreda	Ncfsl
i	i	Cc
ruralnom	ruralan	Agpmsly
razvoju	razvoj	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
101/13.	101/13.	Mds
)	)	Z

2.	2.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
provedbi	provedba	Ncfsl
mjere	mjera	Ncfsg
potpore	potpora	Ncfsg
za	za	Sa
organizaciju	organizacija	Ncfsa
manifestacija	manifestacija	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
20/13.	20/13.	Mds
)	)	Z

3.	3.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
potpori	potpora	Ncfsl
za	za	Sa
kapitalna	kapitalan	Agpnpay
ulaganja	ulaganje	Ncnpa
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
46/11.	46/11.	Mds
i	i	Cc
103/11.	103/11.	Mds
)	)	Z

4.	4.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
provedbi	provedba	Ncfsl
mjere	mjera	Ncfsg
potpore	potpora	Ncfsg
dohotku	dohodak	Ncmsd
poljoprivrednih	poljoprivredni	Agpnpgy
gospodarstava	gospodarstvo	Ncnpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
33/12.	33/12.	Mds
)	)	Z

5.	5.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
prava	pravo	Ncnsg
na	na	Sa
potporu	potpora	Ncfsa
osiguranja	osiguranje	Ncnsg
od	od	Sg
mogućih	moguć	Agpfpgy
šteta	šteta	Ncfpg
proizvodnji	proizvodnja	Ncfsl
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
33/12.	33/12.	Mds
)	)	Z

6.	6.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
evidenciji	evidencija	Ncfsl
uporabe	uporaba	Ncfsg
poljoprivrednog	poljoprivredni	Agpnsgy
zemljišta	zemljište	Ncnsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
149/11.	149/11.	Mds
,	,	Z
131/12.	131/12.	Mds
,	,	Z
24/13.	24/13.	Mds
i	i	Cc
9/14.	9/14.	Mdo
)	)	Z

7.	7.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
područjima	područje	Ncnpl
s	sa	Si
težim	težak	Agpmpiy
uvjetima	uvjet	Ncmpi
gospodarenja	gospodarenje	Ncnsg
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
44/11.	44/11.	Mds
)	)	Z

8.	8.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
višestrukoj	višestruk	Agpfsly
sukladnosti	sukladnost	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
27/14.	27/14.	Mds
)	)	Z

9.	9.	Mdo
Pravilnik	pravilnik	Ncmsn
o	o	Sl
sustavu	sustav	Ncmsl
savjetovanja	savjetovanje	Ncnsg
poljoprivrednika	poljoprivrednik	Ncmpg
vezano	vezano	Rgp
uz	uz	Sa
višestruku	višestruk	Agpfsay
sukladnost	sukladnost	Ncfsa
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
22/10.	22/10.	Mds
)	)	Z

10.	10.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
provedbi	provedba	Ncfsl
mjere	mjera	Ncfsg
M05	M05	X
»	»	Z
Obnavljanje	obnavljanje	Ncnsn
poljoprivrednog	poljoprivredni	Agpmsgy
proizvodnog	proizvodni	Agpmsgy
potencijala	potencijal	Ncmsg
narušenog	narušiti	Appmsgy
elementarnim	elementaran	Agpfpiy
nepogodama	nepogoda	Ncfpi
i	i	Cc
katastrofalnim	katastrofalan	Agpmply
događajima	događaj	Ncmpl
te	te	Cc
uvođenje	uvođenje	Ncnsa
odgovarajućih	odgovarajući	Agpfpgy
preventivnih	preventivan	Agpfpgy
aktivnosti	aktivnost	Ncfpg
«	«	Z
,	,	Z
Podmjere	Podmjera	Npfsg
5.2.	5.2.	Mds

»	»	Z
Potpora	potpora	Ncfsn
za	za	Sa
ulaganja	ulaganje	Ncnpa
u	u	Sa
obnovu	obnova	Ncfsa
poljoprivrednog	poljoprivredni	Agpnsgy
zemljišta	zemljište	Ncnsg
i	i	Cc
proizvodnog	proizvodni	Agpmsgy
potencijala	potencijal	Ncmsg
narušenog	narušiti	Appmsgy
elementarnim	elementaran	Agpfpiy
nepogodama	nepogoda	Ncfpi
,	,	Z
nepovoljnim	nepovoljan	Agpfply
klimatskim	klimatski	Agpfply
prilikama	prilika	Ncfpl
i	i	Cc
katastrofalnim	katastrofalan	Agpmply
događajima	događaj	Ncmpl
«	«	Z
iz	iz	Sg
Programa	program	Ncmsg
ruralnog	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
2014.	2014.	Mdo
–	–	Z
2020.	2020.	Mdo
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
112/14.	112/14.	Mds
)	)	Z

11.	11.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
provedbi	provedba	Ncfsl
programa	program	Ncmsg
izravne	izravan	Agpfsgy
potpore	potpora	Ncfsg
i	i	Cc
pojedinih	pojedini	Agpfpgy
mjera	mjera	Ncfpg
državne	državni	Agpfsgy
potpore	potpora	Ncfsg
poljoprivredi	poljoprivreda	Ncfpg
u	u	Sl
2014.	2014.	Mdo
godini	godina	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
27/14.	27/14.	Mds
,	,	Z
40/14.	40/14.	Mds
i	i	Cc
66/14.	66/14.	Mds
)	)	Z

12.	12.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
Mreži	mreža	Ncfsl
za	za	Sa
ruralni	ruralan	Agpmsayn
razvoj	razvoj	Ncmsan
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
86/11.	86/11.	Mds
,	,	Z
114/11.	114/11.	Mds
i	i	Cc
96/12.	96/12.	Mds
)	)	Z

13.	13.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
provedbi	provedba	Ncfsl
Mjere	mjera	Ncfsg
M04	m0	Agpnpgy
»	»	Z
Ulaganja	ulaganje	Ncnsg
u	u	Sa
fizičku	fizički	Agpfsay
imovinu	imovina	Ncfsa
«	«	Z
,	,	Z
Podmjere	Podmjera	Npfsg
4.1.	4.1.	Mds

»	»	Z
Potpora	potpora	Ncfsn
za	za	Sa
ulaganja	ulaganje	Ncnpa
u	u	Sa
poljoprivredna	poljoprivredni	Agpnpay
gospodarstva	gospodarstvo	Ncnpa
«	«	Z
iz	iz	Sg
Programa	program	Ncmsg
ruralnog	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
2014.	2014.	Mdo
–	–	Z
2020.	2020.	Mdo
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
7/15.	7/15.	Mds
)	)	Z

14.	14.	Mdo

Pravilnik	pravilnik	Ncmsn
o	o	Sl
provedbi	provedba	Ncfsl
Mjere	mjera	Ncfsg
M04	m0	Agpnpgy
»	»	Z
Ulaganja	ulaganje	Ncnsg
u	u	Sa
fizičku	fizički	Agpfsay
imovinu	imovina	Ncfsa
«	«	Z
,	,	Z
Podmjere	Podmjera	Npfsg
4.2.	4.2.	Mds

»	»	Z
Potpora	potpora	Ncfsn
za	za	Sa
ulaganja	ulaganje	Ncnpa
u	u	Sa
preradu	prerada	Ncfsa
,	,	Z
marketing	marketing	Ncmsan
i	i	Cc
/	/	Z
ili	ili	Cc
razvoj	razvoj	Ncmsan
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg
«	«	Z
iz	iz	Sg
Programa	program	Ncmsg
ruralnog	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
razdoblje	razdoblje	Ncnsa
2014.	2014.	Mdo
–	–	Z
2020.	2020.	Mdo
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
7/15.	7/15.	Mds
)	)	Z
.	.	Z

Propisi	propis	Ncmpn
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
uređenju	uređenje	Ncnsl
tržišta	tržište	Ncnsg
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg

Članak	članak	Ncmsn
178.	178.	Mdo

Do	do	Sg
donošenja	donošenje	Ncnsg
propisa	propis	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
174.	174.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ostaju	ostajati	Vmr3p
na	na	Sl
snazi	snaga	Ncfsl
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nisu	biti	Var3p
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
propisi	propis	Ncmpn
doneseni	donijeti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
uređenju	uređenje	Ncnsl
tržišta	tržište	Ncnsg
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
149/09.	149/09.	Mds
,	,	Z
22/11.	22/11.	Mds
i	i	Cc
120/12.	120/12.	Mdo
)	)	Z
i	i	Cc
Zakona	Zakon	Npmsg
o	o	Sl
zajedničkoj	zajednički	Agpfsly
organizaciji	organizacija	Ncfsl
tržišta	tržište	Ncnsg
poljoprivrednih	poljoprivredni	Agpmpgy
proizvoda	proizvod	Ncmpg
i	i	Cc
posebnim	poseban	Agpfpiy
mjerama	mjera	Ncfpi
i	i	Cc
pravilima	pravilo	Ncnpl
vezanim	vezan	Agpmsiy
za	za	Sa
tržište	tržište	Ncnsa
poljoprivrednih	poljoprivredni	Agpmpgy

