kontekstu	kontekst	Ncmsd
3	3	Mdc
godine	godina	Ncfsg
330	330	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.1.8.	1.1.8.	Mds

Rekonstrukcija	rekonstrukcija	Ncfsn
kolodvora	kolodvor	Ncmsg
Rijeka	Rijeka	Npfsn
2010.	2010.	Mdo
–	a	Ncfsg
2011.	2011.	Mdo
izrada	izrada	Ncfsn
dokumentacije	dokumentacija	Ncfsg
nije	biti	Var3s
realizirano	realizirati	Appnsny
-	-	Z
1.1.9.	1.1.9.	Mds

Rekonstrukcija	rekonstrukcija	Ncfsn
električne	električan	Agpfsgy
kontaktne	kontaktan	Agpfsgy
mreže	mreža	Ncfsg
u	u	Sl
kolodvorima	kolodvor	Ncmpl
na	na	Sl
dionici	dionica	Ncfsl
Zagreb	Zagreb	Npmsn
GK	GK	Npmsn
–	–	Z
Moravice	Moravica	Npfsg
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
-	-	Z
-	-	Z
-	-	Z
-	-	Z
1.2.	1.2.	Mds

Osuvremenjivanje	osuvremenjivanje	Ncnsn
pruga	pruga	Ncfpg
na	na	Sl
ogranku	ogranak	Ncmsl
V.	v	Ncmsg
c		Npmsg
koridora	koridor	Ncmsg
1.2.1.	1.2.1.	Mdo

Rekonstrukcija	rekonstrukcija	Ncfsn
dijelova	dio	Ncmpg
pruge	pruga	Ncfsg
Osijek	osijek	Ncmsn
–	–	Z
Strizivojna	Strizivojn	Npmsg
–	–	Z
Vrpolje	vrpoljiti	Vmr3p
kraj	kraj	Ncmsan
2010.	2010.	Mdo
10/2013.	10/2013.	Mdo
krenulo	krenuti	Vmp-sn
se	sebe	Px--sa
s	sa	Si
pripremom	priprema	Ncfsi
dokumentacije	dokumentacija	Ncfsg
nije	biti	Var3s
realizirano	realizirati	Appnsny
1.2.2.	1.2.2.	Mdo

Rekonstrukcija	rekonstrukcija	Ncfsn
elektroenergetskih	elektroenergetski	Agpnpgy
postrojenja	postrojenje	Ncnpg
na	na	Sl
pruzi	pruga	Ncfsl
Strizivojna	Strizivojn	Npmsg
–	–	Z
Vrpolje	vrpoljiti	Vmr3p
–	–	Z
Slavonski	Slavonski	Npmsn
Šamac	Šamac	Npmsn
–	–	Z
DG	dg	Agpmsayn
kraj	kraj	Ncmsan
2009.	2009.	Mdo
realizirano	realizirati	Appnsny
na	na	Sl
dionici	dionica	Ncfsl
Vrpolje	vrpoljiti	Vmr3p
–	–	Z
Slavonski	Slavonski	Npmsn
Šamac	Šamac	Npmsn
–	–	Z
DG	DG	Npmsn
1.3.	1.3.	Mds

Osuvremenjivanje	osuvremenjivanje	Ncnsn
pruga	pruga	Ncfpg
na	na	Sl
X.	xi	Agpmsly
koridoru	koridor	Ncmsl
1.3.1.	1.3.1.	Mdo

Cjelovito	cjelovit	Agpnsny
osuvremenjivanje	osuvremenjivanje	Ncnsn
infrastrukture	infrastruktura	Ncfsg
na	na	Sl
dvokolosiječnoj	dvokolosiječan	Agpfsly
dionici	dionica	Ncfsl
Vinkovci	Vinkovca	Npfsl
–	–	Z
Tovarnik	tovarnik	Ncmsn
kraj	kraj	Ncmsn
2011.	2011.	Mdo
5/2008.	5/2008.	Mdo
12/2012.	12/2012.	Mdo
1	1	Mdc
godina	godina	Ncfpg
457,52	457,52	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.3.2.	1.3.2.	Mds

Cjelovito	cjelovit	Agpnsny
osuvremenjivanje	osuvremenjivanje	Ncnsn
infrastrukture	infrastruktura	Ncfsg
na	na	Sl
dvokolosiječnoj	dvokolosiječan	Agpfsly
dionici	dionica	Ncfsl
Novska	Novska	Npfsn
–	–	Z
Okučani	Okučani	Npmsn
2009.	2009.	Mdo
–	–	Z
2011.	2011.	Mdo
7/2012.	7/2012.	Mdo
u	u	Sl
tijeku	tijek	Ncmsl
197	197	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.3.3.	1.3.3.	Mds

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Savski	savski	Agpmsny
Marof	Marof	Npmsn
–	–	Z
Zagreb	Zagreb	Npmsn
GK	GK	Npmsn
2011.	2011.	Mdo
–	–	Z
2012.	2012.	Mdo
nije	biti	Var3s
realizirano	realizirati	Appnsny
1.3.4.	1.3.4.	Mdo

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Zagreb	Zagreb	Npmsn
Borongaj	Borongaj	Npmsn
–	–	Z
Dugo	dug	Agpnsny
Selo	selo	Ncnsn
–	–	Z
Moslavačka	moslavački	Agpfsny
Gračenica	Gračenica	Npfsn
2010.	2010.	Mdo
–	–	Z
2012.	2012.	Mdo
9/2013.	9/2013.	Mdo
8/2014.	8/2014.	Mdo
samo	samo	Rgp
dionica	dionica	Ncfsn
Zagreb	Zagreb	Npmsn
Borongaj	Borongaj	Npmsn
–	–	Z
Dugo	dug	Agpnsny
Selo	selo	Ncnsn
3	3	Mdc
godine	godina	Ncfsg
228	228	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.3.5.	1.3.5.	Mds

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Zagreb	Zagreb	Npmsn
GK	GK	Npmsn
–	–	Z
Zagreb	Zagreb	Npmsn
Klara	Klara	Npfsn
2009.	2009.	Mdo
–	–	Z
2010.	2010.	Mdo
3/2013.	3/2013.	Mdo
4/2014.	4/2014.	Mdo
3	3	Mdc
godine	godina	Ncfsg
80	80	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.3.6.	1.3.6.	Mds

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Velika	velik	Agpfsny
Gorica	gorica	Ncfsn
–	–	Z
Sunja	Sunja	Npfsn
2011.	2011.	Mdo
–	–	Z
2012.	2012.	Mdo
7/2013.	7/2013.	Mdo
6/2014.	6/2014.	Mdo
samo	samo	Rgp
dionica	dionica	Ncfsn
Velika	velik	Agpfsny
Gorica	gorica	Ncfsn
–	–	Z
Turopolje	Turopolja	Npfsg
2	2	Mdc
godine	godina	Ncfsg
109	109	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.3.7.	1.3.7.	Mds

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Sibinj	Sibinj	Npfsg
–	–	Z
Slavonski	slavonski	Agpmsny
Brod	brod	Ncmsn
2011.	2011.	Mdo
–	–	Z
2012.	2012.	Mdo
nije	biti	Var3s
realizirano	realizirati	Appnsny
1.3.8.	1.3.8.	Mdo

Rekonstrukcija	rekonstrukcija	Ncfsn
kolodvora	kolodvor	Ncmsg
Sisak	Sisak	Npfsn
2008.	2008.	Mdo
–	–	Z
2009.	2009.	Mdo
4/2013.	4/2013.	Mdo
u	u	Sl
tijeku	tijek	Ncmsl
40	40	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
1.3.9.	1.3.9.	Mds

Obnova	obnova	Ncfsn
pružnoga	pružni	Agpmsgy
telekomunikacijskog	telekomunikacijski	Agpmsgy
kabela	kabel	Ncmsg
na	na	Sl
pruzi	pruga	Ncfsl
Zagreb	Zagreb	Npmsn
GK	GK	Npmsn
–	–	Z
Sisak	Sisak	Npmsn
–	–	Z
Novska	novski	Agpfsny
2009.	2009.	Mdo
–	–	Z
2012.	2012.	Mdo
-	-	Z
-	-	Z
-	-	Z
-	-	Z
2.	2.	Mdo
Program	program	Ncmsn
obnove	obnova	Ncfsg
i	i	Cc
osuvremenjivanje	osuvremenjivanje	Ncnsa
pruga	pruga	Ncfpg
značajnih	značajan	Agpfpgy
za	za	Sa
regionalni	regionalan	Agpmsayn
promet	promet	Ncmsan
2.1.	2.1.	Mds

Osuvremenjivanje	osuvremenjivanje	Ncnsn
i	i	Cc
elektrifikacija	elektrifikacija	Ncfsn
dionice	dionica	Ncfsg
Zaprešić	Zaprešić	Npfsn
–	–	Z
Zabok	Zabok	Npmsn
2008.	2008.	Mdo
–	–	Z
2012.	2012.	Mdo
krenulo	krenuti	Vmp-sn
se	sebe	Px--sa
s	sa	Si
pripremom	priprema	Ncfsi
dokumentacije	dokumentacija	Ncfsg
nije	biti	Var3s
realizirano	realizirati	Appnsny
2.2.	2.2.	Mds

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Sunja	sunje	Ncnsg
–	–	Z
Graboštani	Graboštani	Npmsn
2010.	2010.	Mdo
nije	biti	Var3s
realizirano	realizirati	Appnsny
2.3.	2.3.	Mdo

Remont	remont	Ncmsn
i	i	Cc
sanacija	sanacija	Ncfsn
kolosijeka	kolosijek	Ncmsg
na	na	Sl
dionici	dionica	Ncfsl
Slatina	slatina	Ncfsn
–	–	Z
Zdenci	zdenac	Ncmpn
–	–	Z
Orahovica	Orahovica	Npfsn
nije	biti	Var3s
realizirano	realizirati	Appnsny
3.	3.	Mdo
Program	program	Ncmsn
obnove	obnova	Ncfsg
i	i	Cc
osuvremenjivanja	osuvremenjivanje	Ncnsg
pruga	pruga	Ncfpg
značajnih	značajan	Agpfpgy
za	za	Sa
lokalni	lokalan	Agpmsayn
promet	promet	Ncmsan
3.1.	3.1.	Mds

Obnova	obnova	Ncfsn
pruge	pruga	Ncfsg
Vinkovci	Vinkovc	Npmpn
–	–	Z
Osijek	osijek	Ncmsn
kraj	kraj	Ncmsn
2009.	2009.	Mdo
5/2007.	5/2007.	Mdo
kraj	kraj	Ncmsn
2009.	2009.	Mdo
realizirano	realizirati	Appnsny
90	90	Mdc

