okolnostima	okolnost	Ncfpi
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
01/105	01/105	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
524	524	Mdc
-	-	Z
03	03	Mdc
-	-	Z
01	01	Mdc
-	-	Z
01/1	01/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
13	13	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
12.	12.	Mdo
kolovoza	kolovoz	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
Mirando	Mirando	Npfsn
Mrsić	Mrsić	Npfsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
1.	1.	Mdo

FIZIKALNE	fizikalan	Agpfpny
,	,	Z
BIOLOŠKE	biološki	Agpfpay
I	i	Cc
KEMIJSKE	kemijski	Agpfsgy
ŠTETNOSTI	štetnost	Ncfsg

1.	1.	Mdo
Fizikalne	fizikalan	Agpfsgy
štetnosti	štetnost	Ncfsg

1.1.	1.1.	Mdo

Ionizirajuće	ionizirajući	Agpnsny
zračenje	zračenje	Ncnsn

1.2.	1.2.	Mdo

Atmosfera	atmosfera	Ncfsn
visokog	visok	Agpmsgy
tlaka	tlak	Ncmsg
(	(	Z
poslovi	posao	Ncmpn
u	u	Sl
posudama	posuda	Ncfpl
pod	pod	Si
tlakom	tlaka	Ncfsi
,	,	Z
ronjenje	ronjenje	Ncnsn
i	i	Cc
slično	sličan	Agpnsny
)	)	Z

2.	2.	Mdo
Biološke	biološki	Agpfsgy
štetnosti	štetnost	Ncfsg
(	(	Z
agensi	agens	Ncmpn
)	)	Z

Biološki	biološki	Agpmpny
agensi	agens	Ncmpn
rizičnih	rizičan	Agpfpgy
skupina	skupina	Ncfpg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
prema	prema	Sl
Pravilniku	pravilnik	Ncmsl
o	o	Sl
zaštiti	zaštita	Ncfsl
radnika	radnik	Ncmpg
od	od	Sg
rizika	rizik	Ncmsg
zbog	zbog	Sg
izloženosti	izloženost	Ncfsg
biološkim	biološki	Agpmpdy
agensima	agens	Ncmpd
pri	pri	Sl
radu	rad	Ncmsl
:	:	Z

2.1.	2.1.	Mdo

Biološki	biološki	Agpmpny
agensi	agens	Ncmpn
iz	iz	Sg
skupine	skupina	Ncfsg
3.	3.	Mdo
su	biti	Var3p
oni	onaj	Pd-mpn
koji	koji	Pi-mpn
mogu	moći	Vmr3p
izazvati	izazvati	Vmn
teške	težak	Agpfpay
bolesti	bolest	Ncfpa
i	i	Cc
opasnost	opasnost	Ncfsn
za	za	Sa
radnike	radnik	Ncmpa
te	te	Cc
mogu	moći	Vmr3p
predstavljati	predstavljati	Vmn
opasnost	opasnost	Ncfsa
širenja	širenje	Ncnsg
na	na	Sa
društvo	društvo	Ncnsa
,	,	Z
a	a	Cc
obično	obično	Rgp
nema	nemati	Vmr3s
učinkovite	učinkovit	Agpfpay
prevencije	prevencija	Ncfpa
niti	niti	Cc
liječenja	liječenje	Ncnsg
.	.	Z

2.2.	2.2.	Mdo

Biološki	biološki	Agpmpny
agensi	agens	Ncmpn
iz	iz	Sg
skupine	skupina	Ncfsg
4.	4.	Mdo
su	biti	Var3p
oni	onaj	Pd-mpn
koji	koji	Pi-mpn
uzrokuju	uzrokovati	Vmr3p
teške	težak	Agpfpay
bolesti	bolest	Ncfpa
i	i	Cc
opasnost	opasnost	Ncfsn
za	za	Sa
radnike	radnik	Ncmpa
te	te	Cc
mogu	moći	Vmr3p
predstavljati	predstavljati	Vmn
opasnost	opasnost	Ncfsa
širenja	širenje	Ncnsg
na	na	Sa
društvo	društvo	Ncnsa
,	,	Z
a	a	Cc
obično	obično	Rgp
nema	nemati	Vmr3s
učinkovite	učinkovit	Agpfpay
prevencije	prevencija	Ncfpa
niti	niti	Cc
liječenja	liječenje	Ncnsg
.	.	Z

3.	3.	Mdo
Kemijske	kemijski	Agpfsgy
štetnosti	štetnost	Ncfsg
(	(	Z
opasne	opasan	Agpfpny
kemikalije	kemikalija	Ncfpn
)	)	Z

3.1.	3.1.	Mdo

Tvari	tvar	Ncfpn
i	i	Cc
smjese	smjesa	Ncfsg
koje	koji	Pi-fpn
udovoljavaju	udovoljavati	Vmr3p
kriterijima	kriterij	Ncmpd
za	za	Sa
razvrstavanje	razvrstavanje	Ncnsa
utvrđenima	utvrditi	Ncmpi
Uredbom	uredba	Ncfsi
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1272/2008	1272/2008	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
u	u	Sl
jednom	jedan	Mlcmsl
ili	ili	Cc
više	mnogo	Rgc
sljedećih	sljedeći	Agpmpgy
razreda	razred	Ncmpg
i	i	Cc
kategorija	kategorija	Ncfpg
opasnosti	opasnost	Ncfsg
s	sa	Si
jednom	jednom	Rgp
ili	ili	Cc
više	mnogo	Rgc
sljedećih	sljedeći	Agpfpgy
oznaka	oznaka	Ncfpg
upozorenja	upozorenje	Ncnsg
:	:	Z

–	–	Z
akutna	akutan	Agpfsny
toksičnost	toksičnost	Ncfsn
,	,	Z
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
ili	ili	Cc
3.	3.	Mdo
kategorija	kategorija	Ncfsn
(	(	Z
H300	H300	Npmsn
,	,	Z
H310	h31i	Agpnsny
,	,	Z
H330	H330	Mdm
,	,	Z
H301	H301	Mdm
,	,	Z
H311	H311	Npmsn
,	,	Z
H331	H331	Npmsn
)	)	Z
,	,	Z

–	i	Agpnsny
nadraživanje	nadraživanje	Ncnsn
kože	koža	Ncfsg
,	,	Z
kategorija	kategorija	Ncfsn
1.	1.	Mdo
A	a	X
,	,	Z
1.	1.	Mdo
B	b	X
ili	ili	Cc
1.	1.	Mdo
C	C	X
(	(	Z
H314	H314	Npmsn
)	)	Z
,	,	Z

–	–	Z
zapaljivi	zapaljiv	Agpmsny
plin	plin	Ncmsn
,	,	Z
1.	1.	Mdo
ili	ili	Cc
2.	2.	Mdo
kategorija	kategorija	Ncfsn
(	(	Z
H220	H220	Npmsn
,	,	Z
H221	H221	Npmsn
)	)	Z
;	;	Z

–	–	Pd-mpn
zapaljivi	zapaljiv	Agpmpny
aerosoli	aerosol	Ncmpn
,	,	Z
1.	1.	Mdo
kategorija	kategorija	Ncfsn
(	(	Z
H222	H222	Npmsn
)	)	Z
;	;	Z

–	–	Z
zapaljiva	zapaljiv	Agpfsny
tekućina	tekućina	Ncfsn
,	,	Z
1.	1.	Mdo
ili	ili	Cc
2.	2.	Mdo
kategorija	kategorija	Ncfsn
(	(	Z
H224	H224	Npmsn
,	,	Z
H225	H225	Npmsn
)	)	Z
;	;	Z

–	–	Agpmpny
eksplozivi	eksploziv	Ncmpn
,	,	Z
kategorije	kategorija	Ncfpn
»	»	Z
nestabilnih	nestabilan	Agpmpgy
eksploziva	eksploziv	Ncmpg
«	«	Z
ili	ili	Cc
eksplozivi	eksploziv	Ncmpn
podrazreda	podrazred	Ncmsg
1.1.	1.1.	Mds
,	,	Z
1.2.	1.2.	Mds
,	,	Z
1.3.	1.3.	Mds
,	,	Z
1.4.	1.4.	Mds
,	,	Z
1.5.	1.5.	Mds
(	(	Z
H200	H200	Npmsn
,	,	Z
H201	h20i	Agpnsny
,	,	Z
H202	H202	Mdm
,	,	Z
H203	H203	Mdm
,	,	Z
H204	H204	Npmsn
,	,	Z
H205	H205	Npmsn
)	)	Z
,	,	Z

–	–	Z
samoreagirajuće	samoreagirajući	Agpfpay
tvari	tvar	Ncfpa
i	i	Cc
smjese	smjesa	Ncfsg
vrste	vrsta	Ncfsg
A	a	Cc
,	,	Z
B	b	X
,	,	Z
C	C	Xf
ili	ili	Cc
D	D	X
(	(	Z
H240	H240	Npmsn
,	,	Z
H241	H241	Mds
,	,	Z
H242	H242	Npmsn
)	)	Z
,	,	Z

–	–	Pd-mpn
organski	organski	Agpmpny
peroksidi	peroksid	Ncmpn
vrste	vrsta	Ncfsg
A	a	Cc
ili	ili	Cc
B	b	X
(	(	Z
H240	H240	Mds
,	,	Z
H241	H241	Npmsn
)	)	Z
,	,	Z

–	–	Z
specifična	specifičan	Agpfsny
toksičnost	toksičnost	Ncfsn
za	za	Sa
ciljne	ciljan	Agpmpay
organe	organ	Ncmpa
nakon	nakon	Sg
jednokratnog	jednokratan	Agpnsgy
izlaganja	izlaganje	Ncnsg
,	,	Z
1.	1.	Mdo
ili	ili	Cc
2.	2.	Mdo
kategorija	kategorija	Ncfsn
(	(	Z
H370	H370	Npmsn
,	,	Z
H371	H371	Npmsn
)	)	Z
,	,	Z

–	–	Z
specifična	specifičan	Agpfsny
toksičnost	toksičnost	Ncfsn
za	za	Sa
ciljne	ciljan	Agpmpay
organe	organ	Ncmpa
nakon	nakon	Sg
ponavljanog	ponavljati	Agpnsgy
izlaganja	izlaganje	Ncnsg
,	,	Z
1.	1.	Mdo
ili	ili	Cc
2.	2.	Mdo
kategorija	kategorija	Ncfsn
(	(	Z
H372	H372	Npmsn
,	,	Z
H373	H373	Npmsn
)	)	Z
,	,	Z

–	–	Sa
preosjetljivost	preosjetljivost	Ncfsa
dišnih	dišni	Agpmpgy
putova	put	Ncmpg
,	,	Z
1.	1.	Mdo
kategorija	kategorija	Ncfsn
,	,	Z
potkategorija	potkategorija	Ncfsn
1.	1.	Mdo
A	a	X
ili	ili	Cc
1.	1.	Mdo
B	b	X
(	(	Z
H334	H334	Npmsn
)	)	Z
,	,	Z

–	–	Sa
preosjetljivost	preosjetljivost	Ncfsa
kože	koža	Ncfsg
,	,	Z
1.	1.	Mdo
kategorija	kategorija	Ncfsn
,	,	Z
potkategorija	potkategorija	Ncfsn
1.	1.	Mdo
A	a	X
ili	ili	Cc
1.	1.	Mdo
B	b	X
(	(	Z
H317	H317	Npmsn
)	)	Z
,	,	Z

–	–	Z
karcinogenost	karcinogenost	Ncfsn
,	,	Z
kategorija	kategorija	Ncfsn
1.	1.	Mdo
A	a	X
,	,	Z
1.	1.	Mdo
B	b	X
ili	ili	Cc
2.	2.	Mdo
(	(	Z
H350	H350	Npmsn
,	,	Z
H350i	h350a	Ncfsl
,	,	Z
H351	H351	Npmsn
)	)	Z
,	,	Z

–	–	Pd-mpn
mutageni	mutagen	Ncmpn
učinak	učinak	Ncmsan
na	na	Sa
zametne	zametnuti	Agpfpay
stanice	stanica	Ncfpa
,	,	Z
kategorija	kategorija	Ncfsn
1.	1.	Mdo
A	a	X
,	,	Z
1.	1.	Mdo
B	b	X
ili	ili	Cc
2.	2.	Mdo
(	(	Z
H340	H340	Npmsn
,	,	Z
H341	H341	Npmsn
)	)	Z
,	,	Z

–	–	Z
reproduktivna	reproduktivan	Agpfsny
toksičnost	toksičnost	Ncfsn
kategorije	kategorija	Ncfsg
1.	1.	Mdo
A	a	X
ili	ili	Cc
1.	1.	Mdo
B	b	X
(	(	Z
H360	h36i	Agpnsny
,	,	Z
H360F	h360i	Agpnsny
,	,	Z
H360FD	h360fi	Agpnsny
,	,	Z
H360Fd	h360fi	Agpnsny
,	,	Z
H360D	h360i	Agpnsny
,	,	Z
H360Df	H360Df	Npmsn
)	)	Z
.	.	Z

3.2.	3.2.	Mdo

Tvari	tvar	Ncfpn
i	i	Cc
smjese	smjesa	Ncfsg
iz	iz	Sg
Priloga	prilog	Ncmsg
I.	i	Aspmsgn
Pravilnika	pravilnik	Ncmsg
o	o	Sl
zaštiti	zaštita	Ncfsl
radnika	radnik	Ncmpg
od	od	Sg
rizika	rizik	Ncmsg
zbog	zbog	Sg
izloženosti	izloženost	Ncfsg
karcinogenima	karcinogen	Agpfpiy
i	i	Cc
/	/	Z
ili	ili	Cc
mutagenima	mutagen	Ncmpi
;	;	Z

3.3.	3.3.	Mdo

Olovo	olovo	Ncnsn
i	i	Cc
njegovi	njegov	Ps3mpn
spojevi	spoj	Ncmpn
ukoliko	ukoliko	Cs
ljudski	ljudski	Agpmsny
organizam	organizam	Ncmsn
može	moći	Vmr3s
apsorbirati	apsorbirati	Vmn
sredstva	sredstvo	Ncnpa
o	o	Sl
kojima	koji	Pi-npl
je	biti	Var3s
riječ	riječ	Ncfsn
,	,	Z

3.4.	3.4.	Mdo

Azbest	azbest	Ncmsn
.	.	Z

PRILOG	prilog	Ncmsn
2.	2.	Mdo

POSLOVI	posao	Ncmpn
,	,	Z
POSTUPCI	postupak	Ncmpn
I	i	Cc
RAD	rad	Ncmsn

1.	1.	Mdo
Postupci	postupak	Ncmpn
na	na	Sl
radu	rad	Ncmsl
iz	iz	Sg
Priloga	prilog	Ncmsg
I.	i	Aspmsgn
Pravilnika	pravilnik	Ncmsg
o	o	Sl
zaštiti	zaštita	Ncfsl
radnika	radnik	Ncmpg
od	od	Sg
rizika	rizik	Ncmsg
zbog	zbog	Sg
izloženosti	izloženost	Ncfsg
karcinogenima	karcinogen	Agpfpiy
i	i	Cc
/	/	Z
ili	ili	Cc
mutagenima	mutagen	Ncmpi
;	;	Z

2.	2.	Mdo
Poslovi	posao	Ncmpn
proizvodnje	proizvodnja	Ncfsg
i	i	Cc
rukovanja	rukovanje	Ncnsg
napravama	naprava	Ncfpl
,	,	Z
pirotehničkim	pirotehnički	Agpnpiy
sredstvima	sredstvo	Ncnpi
i	i	Cc
drugim	drugi	Mlompi
predmetima	predmet	Ncmpi
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
eksplozive	eksploziv	Ncmpa
.	.	Z

3.	3.	Mdo
Poslovi	posao	Ncmpn
koji	koji	Pi-mpn
uključuju	uključivati	Vmr3p
rad	rad	Ncmsan
s	sa	Si
divljim	divlji	Agpfpiy
,	,	Z
bijesnim	bijesan	Agpnsiy
,	,	Z
otrovanim	otrovati	Appfply
i	i	Cc
otrovnim	otrovan	Agpfply
životinjama	životinja	Ncfpl
.	.	Z

4.	4.	Mdo
Poslovi	posao	Ncmpn
klanja	klanje	Ncnsg
životinja	životinja	Ncfpg
u	u	Sl
industrijskim	industrijski	Agpmply
razmjerima	razmjer	Ncmpl
.	.	Z

5.	5.	Mdo
Poslovi	posao	Ncmpn
koji	koji	Pi-mpn
obuhvaćaju	obuhvaćati	Vmr3p
rukovanje	rukovanje	Ncnsa
opremom	oprema	Ncfsi
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
,	,	Z
skladištenje	skladištenje	Ncnsa
ili	ili	Cc
korištenje	korištenje	Ncnsn
stlačenih	stlačiti	Agpmpgy
,	,	Z
tekućih	tekući	Agpmpgy
ili	ili	Cc
otopljenih	otopljen	Agpmpgy
plinova	plin	Ncmpg
.	.	Z

6.	6.	Mdo
Poslovi	posao	Ncmpn
koji	koji	Pi-mpn
uključuju	uključivati	Vmr3p
rad	rad	Ncmsan
s	sa	Si
bačvama	bačva	Ncfpi
,	,	Z
cisternama	cisterna	Ncfpi
,	,	Z
rezervoarima	rezervoar	Ncmpi
ili	ili	Cc
staklenkama	staklenka	Ncfpl
koje	koji	Pi-fpn
sadrže	sadržati	Vmr3p
opasne	opasan	Agpfpny
kemikalije	kemikalija	Ncfpn
navedene	navesti	Appfpny
u	u	Sl
Prilogu	prilog	Ncmsl
1.	1.	Mdo
točka	točka	Ncfsn
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

7.	7.	Mdo
Poslovi	posao	Ncmpn
kod	kod	Sg
kojih	koji	Pi-mpg
postoji	postojati	Vmr3s
opasnost	opasnost	Ncfsn
od	od	Sg
rušenja	rušenje	Ncnsg
građevina	građevina	Ncfpg
.	.	Z

8.	8.	Mdo
Poslovi	posao	Ncmpn
kod	kod	Sg
kojih	koji	Pi-mpg

