pogrebničkoj	pogrebničkoj	Agpfpay
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
ispitnih	ispitan	Agpnpgy
područja	područje	Ncnpg
iz	iz	Sg
pravnih	pravni	Agpmpgy
propisa	propis	Ncmpg
i	i	Cc
gospodarstva	gospodarstvo	Ncnsg
.	.	Z

Posebni	poseban	Agpmsny
dio	dio	Ncmsn
ispita	ispit	Ncmpg
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
ispitnih	ispitan	Agpnpgy
područja	područje	Ncnpg
iz	iz	Sg
stručno-teorijskih	stručno-teorijski	Agpnpgy
znanja	znanje	Ncnpg
i	i	Cc
praktičnih	praktičan	Agpnpgy
znanja	znanje	Ncnpg
u	u	Sl
struci	struka	Ncfsl
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ispit	ispit	Ncmsn
se	sebe	Px--sa
sastoji	sastojati	Vmr3s
od	od	Sg
dva	dva	Mlc
dijela	dio	Ncmsg
,	,	Z
pisanog	pisan	Agpnsgy
i	i	Cc
usmenog	usmen	Agpmsgy
dijela	dio	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sl
pisanom	pisan	Agpmsly
dijelu	dio	Ncmsl
polažu	polagati	Vmr3p
se	sebe	Px--sa
područja	područje	Ncnsg
stručno-teorijskih	stručno-teorijski	Agpnpgy
znanja	znanje	Ncnpg
,	,	Z
pravni	pravni	Agpmpny
propisi	propis	Ncmpn
i	i	Cc
gospodarstvo	gospodarstvo	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Usmeno	usmeno	Rgp
se	sebe	Px--sa
polaže	polagati	Vmr3s
područje	područje	Ncnsa
praktičnih	praktičan	Agpnpgy
znanja	znanje	Ncnpg
u	u	Sl
struci	struka	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ispitna	ispitan	Agpnpny
pitanja	pitanje	Ncnpn
i	i	Cc
zadaće	zadaća	Ncfsg
za	za	Sa
dijelove	dio	Ncmpa
ispita	ispit	Ncmpg
određuje	određivati	Vmr3s
predsjednik	predsjednik	Ncmsn
komisije	komisija	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
programom	program	Ncmsi
ispita	ispit	Ncmsg
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pisani	pisan	Agpmsny
dio	dio	Ncmsn
ispita	ispit	Ncmsg
nadzire	nadzirati	Vmr3s
najmanje	malo	Rgs
jedan	jedan	Mlcmsn
član	član	Ncmsn
komisije	komisija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Članovi	član	Ncmpn
komisije	komisija	Ncfsg
pregledavaju	pregledavati	Vmr3p
i	i	Cc
ocjenjuju	ocjenjivati	Vmr3p
pisane	pisan	Agpfpay
zadaće	zadaća	Ncfpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Znanje	znanje	Ncnsn
kandidata	kandidat	Ncmpg
na	na	Sl
usmenom	usmen	Agpmsly
dijelu	dio	Ncmsl
ispita	ispit	Ncmsg
provjeravaju	provjeravati	Vmr3p
svi	sav	Agpmpny
članovi	član	Ncmpn
komisije	komisija	Ncfsg
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pisani	pisan	Agpmsny
dio	dio	Ncmsn
ispita	ispit	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
15.	15.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
trajati	trajati	Vmn
duže	dugo	Rgc
od	od	Sg
2	2	Mdc
sata	sat	Ncmsg
,	,	Z
dok	dok	Cs
usmeni	usmen	Agpmsny
dio	dio	Ncmsn
ispita	ispit	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
15.	15.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
trajati	trajati	Vmn
duže	dugo	Rgc
od	od	Sg
30	30	Mdc
minuta	minuta	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
služi	služiti	Vmr3s
nedopuštenim	nedopušten	Agpnpiy
sredstvima	sredstvo	Ncnpi
ili	ili	Cc
ometa	ometati	Vmr3s
druge	drugi	Mlompa
kandidate	kandidat	Ncmpa
tijekom	tijekom	Sg
ispita	ispit	Ncmpg
udaljuje	udaljivati	Vmr3s
se	sebe	Px--sa
i	i	Cc
zaključuje	zaključivati	Vmr3s
mu	on	Pp3msd
se	sebe	Px--sa
ocjena	ocjena	Ncfsn
»	»	Z
nije	biti	Var3s
položio	položiti	Vmp-sm
«	«	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
kandidat	kandidat	Ncmsn
spriječen	spriječiti	Appmsnn
pristupiti	pristupiti	Vmn
ispitu	ispit	Ncmsd
,	,	Z
o	o	Sl
tome	taj	Pd-nsl
mora	morati	Vmr3s
obavijestiti	obavijestiti	Vmn
Hrvatsku	hrvatski	Agpfsay
obrtničku	obrtnički	Agpfsay
komoru	komora	Ncfsa
najkasnije	kasno	Rgs
48	48	Mdc
sati	sat	Ncmpg
prije	prije	Sg
početka	početak	Ncmsg
ispita	ispit	Ncmpg
uz	uz	Sa
predočenje	predočenje	Ncnsa
dokaza	dokaz	Ncmpg
o	o	Sl
spriječenosti	spriječenost	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kandidatu	kandidat	Ncmsl
koji	koji	Pi-msn
neopravdano	neopravdano	Rgp
ne	ne	Qz
pristupi	pristupiti	Vmr3s
ispitu	ispit	Ncmsd
ili	ili	Cc
u	u	Sl
tijeku	tijek	Ncmsl
ispita	ispit	Ncmpg
odustane	odustati	Vmr3s
od	od	Sg
polaganja	polaganje	Ncnsg
,	,	Z
zaključuje	zaključivati	Vmr3s
se	sebe	Px--sa
ocjena	ocjena	Ncfsn
»	»	Z
nije	biti	Var3s
položio	položiti	Vmp-sm
«	«	Z
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ocjena	ocjena	Ncfsn
pisanog	pisan	Agpmsgy
dijela	dio	Ncmsg
ispita	ispit	Ncmsg
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
sljedećim	sljedeći	Agpmply
kriterijima	kriterij	Ncmpl
:	:	Z

–	–	Agpmsny
pisani	pisan	Agpmsny
dio	dio	Ncmsn
ispita	ispit	Ncmsg
položio	položiti	Vmp-sm
je	biti	Var3s
kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
na	na	Sl
ispitu	ispit	Ncmsl
postigne	postići	Vmr3s
najmanje	malo	Rgs
60	60	Mdc
%	%	Z
mogućih	moguć	Agpmpgy
bodova	bod	Ncmpg

–	–	Agpmsny
kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
na	na	Sl
pisanom	pisan	Agpmsly
dijelu	dio	Ncmsl
ispita	ispit	Ncmsg
postigne	postići	Vmr3s
od	od	Sg
30	30	Mdc
%	%	Z
do	do	Sg
60	60	Mdc
%	%	Z
mogućih	moguć	Agpmpgy
bodova	bod	Ncmpg
pristupa	pristup	Ncmsg
dodatnoj	dodatan	Agpfsly
usmenoj	usmen	Agpfsly
provjeri	provjera	Ncfsl
znanja	znanje	Ncnsg
iz	iz	Sg
područja	područje	Ncnsg
obuhvaćenih	obuhvatiti	Agpmsiy
pisanim	pisan	Agpmsiy
dijelom	dio	Ncmsi
ispita	ispit	Ncmpg
te	te	Cc
ukoliko	ukoliko	Cs
položi	položiti	Vmr3s
dodatnu	dodatan	Agpfsay
provjeru	provjera	Ncfsa
znanja	znanje	Ncnsg
pristupa	pristup	Ncmsg
usmenom	usmen	Agpmsdy
dijelu	dio	Ncmsd
ispita	ispit	Ncmsg

–	–	Agpmsny
kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
na	na	Sl
pisanom	pisan	Agpmsly
ispitu	ispit	Ncmsl
postigne	postići	Vmr3s
manje	malo	Rgc
od	od	Sg
30	30	Mdc
%	%	Z
mogućih	moguć	Agpmpgy
bodova	bod	Ncmpg

