brojnom	brojan	Agpnsly
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kao	kao	Cs
i	i	Qo
za	za	Sa
konzumni	konzumni	Agpmsayn
šećer	šećer	Ncmsan
može	moći	Vmr3s
se	sebe	Px--sa
ostvariti	ostvariti	Vmn
samo	samo	Rgp
ako	ako	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
zatražio	zatražiti	Vmp-sm
i	i	Cc
ostvaruje	ostvarivati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
potporu	potpora	Ncfsa
za	za	Sa
VMP	VMP	Npmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Maksimalni	maksimalan	Agpmsny
iznos	iznos	Ncmsn
potpore	potpora	Ncfsg
po	po	Sl
pčelinjoj	pčelinji	Agpfsly
zajednici	zajednica	Ncfsl
iznosi	iznositi	Vmr3s
:	:	Z

a	a	Cc
)	)	Z
25,00	25,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
konvencionalne	konvencionalan	Agpmpay
pčelare	pčelar	Ncmpa
i	i	Cc

b	b	Npmsn
)	)	Z
50,00	50,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
ekološke	ekološki	Agpmpay
pčelare	pčelar	Ncmpa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Maksimalni	maksimalan	Agpmsny
iznos	iznos	Ncmsn
potpore	potpora	Ncfsg
za	za	Sa
kiseline	kiselina	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
za	za	Sa
konzumni	konzumni	Agpmsayn
šećer	šećer	Ncmsan
može	moći	Vmr3s
činiti	činiti	Vmn
najviše	mnogo	Rgs
50	50	Mdc
%	%	Z
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
veći	velik	Agcmsayn
od	od	Sg
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
ostvario	ostvariti	Vmp-sm
za	za	Sa
VMP	VMP	Npmsan
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
ostvario	ostvariti	Vmp-sm
manje	malo	Rgc
od	od	Sg
50	50	Mdc
%	%	Z
maksimalnog	maksimalan	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
za	za	Sa
VMP	VMP	Npmsan
,	,	Z
u	u	Sl
istom	isti	Agpmsly
omjeru	omjer	Ncmsl
ostvaruje	ostvarivati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
potpore	potpora	Ncfpa
za	za	Sa
kiseline	kiselina	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
konzumni	konzumni	Agpmsayn
šećer	šećer	Ncmsan
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Osnova	osnova	Ncfsn
za	za	Sa
izračun	izračun	Ncmsan
potpore	potpora	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
je	biti	Var3s
broj	broj	Ncmsn
pčelinjih	pčelinji	Agpfpgy
zajednica	zajednica	Ncfpg
korisnika	korisnik	Ncmpg
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
travnja	travanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
,	,	Z
upisan	upisati	Appmsnn
u	u	Sa
Evidenciju	evidencija	Ncfsa
zaključno	zaključno	Rgp
s	sa	Sg
19.	19.	Mdo
svibnja	svibanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
potpore	potpora	Ncfsg
za	za	Sa
mjeru	mjera	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
na	na	Sl
obrascu	obrazac	Ncmsl
iz	iz	Sg
Priloga	prilog	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
do	do	Sg
20.	20.	Mdo
svibnja	svibanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjevu	Zahtjevu	Npmsn
se	sebe	Px--sa
prilaže	prilagati	Vmr3s
preslika	preslika	Ncfsn
originalnog	originalan	Agpmsgy
računa	račun	Ncmsg
i	i	Cc
dokaz	dokaz	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
izdani	izdan	Agpmpny
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
1.	1.	Mdo
rujna	rujan	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
do	do	Sg
20.	20.	Mdo
svibnja	svibanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
koji	koji	Pi-mpn
moraju	morati	Vmr3p
sadržavati	sadržavati	Vmn
podatke	podatak	Ncmpa
da	da	Cs
je	biti	Var3s
kupljen	kupiti	Appmsnn
VMP	vmp	Ncmsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
podnio	podnijeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
koji	koji	Pi-msn
uključuje	uključivati	Vmr3s
i	i	Qo
potporu	potpora	Ncfsa
za	za	Sa
nabavu	nabava	Ncfsa
kiseline	kiselina	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
za	za	Sa
konzumni	konzumni	Agpmsayn
šećer	šećer	Ncmsan
,	,	Z
zahtjevu	zahtjev	Ncmsl
se	sebe	Px--sa
prilaže	prilagati	Vmr3s
preslika	preslika	Ncfsn
originalnog	originalan	Agpmsgy
računa	račun	Ncmsg
i	i	Cc
dokaz	dokaz	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
izdani	izdan	Agpmpny
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
1.	1.	Mdo
rujna	rujan	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
do	do	Sg
20.	20.	Mdo
svibnja	svibanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
koji	koji	Pi-mpn
moraju	morati	Vmr3p
sadržavati	sadržavati	Vmn
podatke	podatak	Ncmpa
da	da	Cs
su	biti	Var3p
kupljene	kupiti	Appfpny
kiseline	kiselina	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
konzumni	konzumni	Agpmsayn
šećer	šećer	Ncmsan
.	.	Z

2.	2.	Mdo
Kontrola	kontrola	Ncfsn
kvalitete	kvaliteta	Ncfsg
meda	med	Ncmsg

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Mjerom	mjera	Ncfsi
Kontrola	kontrola	Ncfsn
kvalitete	kvaliteta	Ncfsg
meda	med	Ncmsg
sufinancira	sufinancirati	Vmr3s
se	sebe	Px--sa
ispitivanje	ispitivanje	Ncnsn
kvalitete	kvaliteta	Ncfsg
meda	med	Ncmsg
utvrđivanjem	utvrđivanje	Ncnsi
kvalitete	kvaliteta	Ncfsg
i	i	Cc
botaničkog	botanički	Agpnsgy
podrijetla	podrijetlo	Ncnsg
meda	med	Ncmsg
prema	prema	Sl
sljedećim	sljedeći	Agpmply
kriterijima	kriterij	Ncmpl
:	:	Z

a	a	Cc
)	)	Z
udio	udjel	Ncmsan
vode	voda	Ncfsg

b	b	Npfsn
)	)	Z
električna	električan	Agpfsny
vodljivost	vodljivost	Ncfsn

c	C	Npmsn
)	)	Z
količina	količina	Ncfsn
hidroksimetilfurfurala	hidroksimetilfurfural	Ncmpg
(	(	Z
HMF	HMF	Npmsn
)	)	Z

d	d	Npmsv
)	)	Z
aktivnost	aktivnost	Ncfsn
dijastaze	dijastaza	Ncfsg

e	e	I
)	)	Z
melisopalinološka	melisopalinološki	Agpfsny
i	i	Cc

f	f	Npmsn
)	)	Z
senzorska	senzorski	Agpfsny
analiza	analiza	Ncfsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Korisnici	korisnik	Ncmpn
mjere	mjera	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
su	biti	Var3p
pčelari	pčelar	Ncmpn
upisani	upisati	Appmpny
u	u	Sa
Evidenciju	evidencija	Ncfsa
i	i	Cc
Upisnik	upisnik	Ncmsn
poljoprivrednih	poljoprivredni	Agpnpgy
gospodarstava	gospodarstvo	Ncnpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Korisnici	korisnik	Ncmpn
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
sufinanciranje	sufinanciranje	Ncnsa
ispitivanja	ispitivanje	Ncnsg
tri	tri	Mlc
uzorka	uzorak	Ncmsg
meda	med	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Mjerom	mjera	Ncfsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sufinancira	sufinancirati	Vmr3s
se	sebe	Px--sa
do	do	Sg
90	90	Mdc
%	%	Z
prihvatljivog	prihvatljiv	Agpmsgy
troška	trošak	Ncmsg
ispitivanja	ispitivanje	Ncnsg
po	po	Sl
uzorku	uzorak	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ispitivanje	ispitivanje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
izvršiti	izvršiti	Vmn
isključivo	isključivo	Rgp
u	u	Sl
jednom	jedan	Mlcmsl
od	od	Sg
akreditiranih	akreditiran	Agpmpgy
laboratorija	laboratorij	Ncmpg
sukladno	sukladno	Rgp
Normi	norma	Ncfpg
HRN	HRN	Npmsn
EN	EN	Npmsn
ISO	ISO	Npmsn
/	/	Z
IEC	IEC	Npmsn
17025.	17025.	Mdo

(	(	Z
6	6	Mdc
)	)	Z
Iznos	iznos	Ncmsn
sufinanciranja	sufinanciranje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
veći	velik	Agcmsny
od	od	Sg
500,00	500,00	Mdc
kuna	kuna	Ncfpg
po	po	Sl
uzorku	uzorak	Ncmsl
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
potpore	potpora	Ncfsg
za	za	Sa
mjeru	mjera	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
12.	12.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
na	na	Sl
obrascu	obrazac	Ncmsl
iz	iz	Sg
Priloga	prilog	Ncmsg
II	ii	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
do	do	Sg
15.	15.	Mdo
srpnja	srpanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjevu	zahtjev	Ncmsl
se	sebe	Px--sa
prilaže	prilagati	Vmr3s
:	:	Z

a	a	Cc
)	)	Z
preslika	preslika	Ncfsn
originala	original	Ncmsg
računa	račun	Ncmsg
i	i	Cc
dokaz	dokaz	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
izdani	izdan	Agpmpny
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
1.	1.	Mdo
rujna	rujan	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
do	do	Sg
15.	15.	Mdo
srpnja	srpanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
koji	koji	Pi-mpn
moraju	morati	Vmr3p
sadržavati	sadržavati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
broju	broj	Ncmsl
uzoraka	uzorak	Ncmpg
na	na	Sl
kojima	koji	Pi-mpl
je	biti	Var3s
obavljeno	obaviti	Appnsny
ispitivanje	ispitivanje	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
12.	12.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc

b	b	Npmsn
)	)	Z
nalaz	nalaz	Ncmsan
/	/	Z
izvještaj	izvještaj	Ncmsan
ispitivanja	ispitivanje	Ncnsg
koji	koji	Pi-msan
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
podatke	podatak	Ncmpa
/	i	Agpmpay
rezultate	rezultat	Ncmpa
obavljenih	obaviti	Agpnpgy
ispitivanja	ispitivanje	Ncnpg
iz	iz	Sg
članka	članak	Ncmsg
12.	12.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo

