izbivanjima	izbivanje	Ncnpl
Osobni	osoban	Agpmsny
list	list	Ncmsn
korisnika	korisnik	Ncmpg
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
osnovne	osnovan	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
korisniku	korisnik	Ncmsl
i	i	Cc
usluzi	usluga	Ncfsl
:	:	Z

1.	1.	Mdo
Osobno	osoban	Agpnsay
ime	ime	Ncnsa
,	,	Z
ime	ime	Ncnsa
oca	oac	Ncmsg
/	/	Z
majke	majka	Ncfsg
,	,	Z
osobni	osoban	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
(	(	Z
OIB	OIB	Npmsn
)	)	Z
,	,	Z

2.	2.	Mdo
datum	datum	Ncmsan
i	i	Cc
mjesto	mjesto	Ncnsa
rođenja	rođenje	Ncnsg
,	,	Z

3.	3.	Mdo
spol	spol	Ncmsan
,	,	Z

4.	4.	Mdo
državljanstvo	državljanstvo	Ncnsa
,	,	Z

5.	5.	Mdo
prebivalište	prebivalište	Ncnsa
/	/	Z
boravište	boravište	Ncnsn
,	,	Z

6.	6.	Mdo
datum	datum	Ncmsan
početka	početak	Ncmsg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
,	,	Z

7.	7.	Mdo
pravni	pravni	Agpmsny
temelj	temelj	Ncmsn
priznavanja	priznavanje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
uslugu	usluga	Ncfsa
(	(	Z
Zakon	zakon	Ncmsan
o	o	Sl
socijalnoj	socijalan	Agpfsly
skrbi	skrb	Ncfsl
)	)	Z
,	,	Z

8.	8.	Mdo
rješenje	rješenje	Ncnsa
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
priznatoj	priznati	Agpfsly
usluzi	usluga	Ncfsl
(	(	Z
klasa	klasa	Ncfsn
,	,	Z
urudžbeni	urudžbeni	Agpmsny
broj	broj	Ncmsn
i	i	Cc
datum	datum	Ncmsan
)	)	Z
,	,	Z

9.	9.	Mdo
vrstu	vrsta	Ncfsa
usluge	usluga	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
pruža	pružati	Vmr3s
korisniku	korisnik	Ncmsd
,	,	Z

10.	10.	Mdo
obveznik	obveznik	Ncmsn
plaćanja	plaćanje	Ncnsg
usluge	usluga	Ncfsg
,	,	Z

11.	11.	Mdo
nadležni	nadležan	Agpmsny
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
(	(	Z
naziv	naziv	Ncmsn
i	i	Cc
sjedište	sjedište	Ncnsn
)	)	Z
,	,	Z

12.	12.	Mdo
stručni	stručan	Agpmsny
radnik	radnik	Ncmsn

