njihovu	njihov	Ps3fsa
posebnog	poseban	Agpmsgy
skrbnika	skrbnik	Ncmsg
koji	koji	Pi-msn
nije	biti	Var3s
zaposlenik	zaposlenik	Ncmsn
Centra	centar	Ncmsg
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
263.	263.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
naknade	naknada	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Odgovornost	odgovornost	Ncfsn
skrbnika	skrbnik	Ncmpg

Članak	članak	Ncmsn
265.	265.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Skrbnik	skrbnik	Ncmsn
odgovara	odgovarati	Vmr3s
za	za	Sa
štetu	šteta	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
skrivio	skriviti	Vmp-sm
u	u	Sl
obavljanju	obavljanje	Ncnsl
svojih	svoj	Px-fpg
dužnosti	dužnost	Ncfpg
ili	ili	Cc
zloupotrebom	zloupotreba	Ncfsi
položaja	položaj	Ncmsg
i	i	Cc
ovlasti	ovlast	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
procijenit	procijeniti	Vmn
će	htjeti	Var3s
iznos	iznos	Ncmsan
štete	šteta	Ncfsg
i	i	Cc
pozvati	pozvati	Vmn
skrbnika	skrbnik	Ncmsay
da	da	Cs
je	biti	Var3s
u	u	Sl
određenom	određen	Agpmsly
roku	rok	Ncmsl
naknadi	naknada	Ncfsl
te	te	Cc
istodobno	istodobno	Rgp
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
sudu	sud	Ncmsd
da	da	Cs
se	sebe	Px--sa
štićenikova	štićenikov	Aspfsny
tražbina	tražbina	Ncfsn
osigura	osigurati	Vmr3s
na	na	Sl
imovini	imovina	Ncfsl
skrbnika	skrbnik	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
skrbnik	skrbnik	Ncmsn
u	u	Sl
određenom	određen	Agpmsly
roku	rok	Ncmsl
ne	ne	Qz
naknadi	naknaditi	Vmr3s
štetu	šteta	Ncfsa
,	,	Z
štićenik	štićenik	Ncmsn
,	,	Z
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
ili	ili	Cc
posebni	poseban	Agpmsny
skrbnik	skrbnik	Ncmsn
u	u	Sa
ime	ime	Ncnsa
štićenika	štićenik	Ncmpg
podnijet	podnijeti	Vmn
će	htjeti	Var3p
tužbu	tužba	Ncfsa
radi	raditi	Vmr3s
naknadu	naknada	Ncfsa
štete	šteta	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Radi	radi	Sg
zaštite	zaštita	Ncfsg
štićenikovih	štićenikov	Agpnpgy
prava	pravo	Ncnpg
koja	koji	Pi-npn
su	biti	Var3p
povrijeđena	povrijediti	Appnpny
nepravilnim	nepravilan	Agpmsiy
skrbnikovim	skrbnikov	Aspmsiy
radom	rad	Ncmsi
ili	ili	Cc
zloupotrebom	zloupotreba	Ncfsi
položaja	položaj	Ncmsg
i	i	Cc
ovlasti	ovlast	Ncfsl
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
dužan	dužan	Agpmsnn
je	biti	Var3s
prema	prema	Sl
skrbniku	skrbnik	Ncmsl
poduzeti	poduzeti	Vmn
i	i	Cc
druge	drugi	Mlofpa
mjere	mjera	Ncfpa
propisane	propisati	Agpfpay
zakonom	zakon	Ncmsi
.	.	Z

Imenovanje	imenovanje	Ncnsn
novog	nov	Agpmsgy
skrbnika	skrbnik	Ncmsg

Članak	članak	Ncmsn
266.	266.	Mdo

Ako	ako	Cs
skrbnik	skrbnik	Ncmsn
umre	umrijeti	Vmr3s
ili	ili	Cc
samovoljno	samovoljno	Rgp
prestane	prestati	Vmr3s
obavljati	obavljati	Vmn
svoju	svoj	Px-fsa
dužnost	dužnost	Ncfsa
ili	ili	Cc
ako	ako	Cs
nastanu	nastati	Vmr3p
okolnosti	okolnost	Ncfpa
koje	koji	Pi-fpn
sprječavaju	sprječavati	Vmr3p
skrbnika	skrbnik	Ncmsay
da	da	Cs
obavlja	obavljati	Vmr3s
svoju	svoj	Px-fsa
dužnost	dužnost	Ncfsa
,	,	Z
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
će	htjeti	Var3p
bez	bez	Sg
odgode	odgoda	Ncfsg
štićeniku	štićenik	Ncmsd
imenovati	imenovati	Vmn
novog	nov	Agpmsayy
skrbnika	skrbnik	Ncmsay
.	.	Z

Razrješenje	razrješenje	Ncnsn
dužnosti	dužnost	Ncfsg
skrbnika	skrbnik	Ncmpg

Članak	članak	Ncmsn
267.	267.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
rješenjem	rješenje	Ncnsi
će	htjeti	Var3s
razriješiti	razriješiti	Vmn
skrbnika	skrbnik	Ncmpg
dužnosti	dužnost	Ncfsg
ako	ako	Cs
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
obavljanju	obavljanje	Ncnsl
dužnosti	dužnost	Ncfsg
nemaran	nemaran	Agpmsnn
,	,	Z
da	da	Cs
ugrožava	ugrožavati	Vmr3s
štićenikove	štićenikov	Agpmpay
interese	interes	Ncmpa
,	,	Z
da	da	Cs
zloupotrebljava	zloupotrebljavati	Vmr3s
svoje	svoj	Px-fpa
ovlasti	ovlast	Ncfpa
ili	ili	Cc
ako	ako	Cs
procijeni	procijeniti	Vmr3s
da	da	Cs
bi	biti	Vaa3s
za	za	Sa
štićenika	štićenik	Ncmsay
bilo	biti	Vap-sn
korisnije	korisno	Rgc
da	da	Cs
mu	on	Pp3msd
se	sebe	Px--sa
imenuje	imenovati	Vmr3s
drugi	drugi	Mlomsn
skrbnik	skrbnik	Ncmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
zatražit	zatražiti	Vmn
će	htjeti	Var3s
štićenikovo	štićenikov	Agpnsay
mišljenje	mišljenje	Ncnsa
o	o	Sl
razrješenju	razrješenje	Ncnsl
njegova	njegov	Ps3msg
skrbnika	skrbnik	Ncmsg
te	te	Cc
o	o	Sl
tome	taj	Pd-nsl
sastaviti	sastaviti	Vmn
zapisnik	zapisnik	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
razriješit	razriješiti	Vmn
će	htjeti	Var3s
skrbnika	skrbnik	Ncmsay
dužnosti	dužnost	Ncfsg
kad	kad	Cs
on	on	Pp3msn
to	taj	Pd-nsa
zatraži	zatražiti	Vmr3s
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
dva	dva	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
će	htjeti	Var3s
,	,	Z
bez	bez	Sg
odgode	odgoda	Ncfsg
,	,	Z
štićeniku	štićenik	Ncmsd
imenovati	imenovati	Vmn
novog	nov	Agpmsgy
skrbnika	skrbnik	Ncmsg
.	.	Z

Promjena	promjena	Ncfsn
skrbnika	skrbnik	Ncmpg
i	i	Cc
primopredaja	primopredaja	Ncfsn
skrbničke	skrbnički	Agpfsgy
dužnosti	dužnost	Ncfsg

Članak	članak	Ncmsn
268.	268.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjene	promjena	Ncfsg
skrbnika	skrbnik	Ncmpg
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
će	htjeti	Var3s
zatražiti	zatražiti	Vmn
izvješće	izvješće	Ncnsa
dosadašnjeg	dosadašnji	Agpmsgy
skrbnika	skrbnik	Ncmsg
i	i	Cc
odrediti	odrediti	Vmn
rok	rok	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
ima	imati	Vmr3s
obaviti	obaviti	Vmn
primopredaju	primopredaja	Ncfsa
dužnosti	dužnost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
O	o	Sl
primopredaji	primopredaja	Ncfsl
se	sebe	Px--sa
sastavlja	sastavljati	Vmr3s
zapisnik	zapisnik	Ncmsn
u	u	Sl
nazočnosti	nazočnost	Ncfsl
službenika	službenik	Ncmpg
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
,	,	Z
obaju	oba	Ncfsa
skrbnika	skrbnik	Ncmpg
i	i	Cc
štićenika	štićenik	Ncmpg
,	,	Z
osim	osim	Cs
ako	ako	Cs
se	sebe	Px--sa
sa	sa	Si
štićenikom	štićenik	Ncmsi
ne	ne	Qz
može	moći	Vmr3s
komunicirati	komunicirati	Vmn
ni	ni	Qo
uz	uz	Sa
pomoć	pomoć	Ncfsa
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
dosadašnji	dosadašnji	Agpmsny
skrbnik	skrbnik	Ncmsn
nije	biti	Var3s
u	u	Sl
mogućnosti	mogućnost	Ncfsl
podnijeti	podnijeti	Vmn
izvješće	izvješće	Ncnsa
ili	ili	Cc
biti	biti	Van
nazočan	nazočan	Agpmsnn
na	na	Sl
primopredaji	primopredaja	Ncfsl
dužnosti	dužnost	Ncfsg
,	,	Z
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
upoznat	upoznati	Vmn
će	htjeti	Var3s
novog	nov	Agpmsayy
skrbnika	skrbnik	Ncmsay
s	sa	Si
osobnim	osoban	Agpmsiy
i	i	Cc
imovinskim	imovinski	Agpnsiy
stanjem	stanje	Ncnsi
štićenika	štićenik	Ncmpg
.	.	Z

Dužnosti	dužnost	Ncfpn
skrbnika	skrbnik	Ncmpg
za	za	Sa
slučaj	slučaj	Ncmsan
prestanka	prestanak	Ncmsg
skrbništva	skrbništvo	Ncnsg

Članak	članak	Ncmsn
269.	269.	Mdo

U	u	Sl
slučaju	slučaj	Ncmsl
prestanka	prestanak	Ncmsg

