Luminex	Luminex	Si
5.269,00	5.269,00	Mdc
LG132	LG132	Mdc
Molekularna	molekularan	Agpfsny
analiza	analiza	Ncfsn
gena	gen	Ncmsg
GJB2	GJB2	Mdc
kod	kod	Sg
nesindromskog	nesindromski	Agpnsgy
oštećenja	oštećenje	Ncnsg
sluha	sluh	Ncmsg
(	(	Z
sekvenciranje	sekvenciranje	Ncnsn
kodirajuće	kodirajući	Agpfsgy
regije	regija	Ncfsg
–	–	Z
egzon	egzon	Ncmsn
2	2	Mdc
)	)	Z
41,23	41,23	Mdc
9.070,60	9.070,60	Mdc
LG133	LG133	Mdc
Molekularna	molekularan	Agpfsny
analiza	analiza	Ncfsn
MECP2	MECP2	Mdc
gena	gen	Ncmpg
kod	kod	Sg
Rett	reta	Ncfsg
sindroma	sindrom	Ncmsg
(	(	Z
sekvenciranje	sekvenciranje	Ncnsn
kodirajuće	kodirajući	Agpfsgy
regije	regija	Ncfsg
–	–	Z
egzoni	egzon	Ncmpn
3	3	Mdc
i	i	Cc
4	4	Mdc
)	)	Z
79,12	79,12	Mdc
17.406,40	17.406,40	Mdc
LG134	LG134	Mdc
Molekularna	molekularan	Agpfsny
analiza	analiza	Ncfsn
gena	gen	Ncmsg
FGFR3	FGFR3	Mdc
kod	kod	Sg
ahondroplazije	ahondroplazija	Ncfsg
(	(	Z
PCR	PCR	Npmsn
/	/	Z
RFLP	rfli	Agpfsny
metoda	metoda	Ncfsn
analize	analiza	Ncfsg
p.	pi	Agpfsgy
G380R	g380i	Agpfsgy
mutacije	mutacija	Ncfsg
)	)	Z
16,82	16,82	Mdc
3.700,40	3.700,40	Mdc
LG135	LG135	Mdc
Molekularna	molekularan	Agpfsny
analiza	analiza	Ncfsn
gena	gen	Ncmsg
FGFR3	FGFR3	Mdc
kod	kod	Sg
hipohondroplazije	hipohondroplazija	Ncfsg
(	(	Z
ciljana	ciljati	Appfsny
analiza	analiza	Ncfsn
mutacije	mutacija	Ncfsg
p.	p.	Y
N540K	n540	Agpnsiy
sekvenciranjem	sekvenciranje	Ncnsi
egzona	egzonati	Vmr3s
12	12	Mdc
i	i	Cc
13	13	Mdc
)	)	Z
23,79	23,79	Mdc
5.233,80	5.233,80	Mdc
LG136	LG136	Mdc
MLPA	mlp	Ncmpg
–	–	Z
postnatalno	postnatalan	Agpnsay
probiranje	probiranje	Ncnsa
(	(	Z
subtelomere	subtelomera	Ncfpn
,	,	Z
mikrodelecije	mikrodelecija	Ncfpn
)	)	Z
i	i	Cc
ciljani	ciljati	Appmpny
segmenti	segment	Ncmpn
genoma	genom	Ncmsg
)	)	Z
21,14	21,14	Mdc
4.650,80	4.650,80	Mdc
LG137	LG137	Mdc
MS-MLPA	ms-mlpi	Agpfsny
analiza	analiza	Ncfsn
31,67	31,67	Mdc
6.967,40	6.967,40	Mdc
LG138	LG138	Mdc
Molekularna	molekularan	Agpfsny
analiza	analiza	Ncfsn
cistične	cističan	Agpfsgy
fibroze	fibroza	Ncfsg
56,00	56,00	Mdc
12.320,00	12.320,00	Mdc
LG139	LG139	Mdc
Cistična	cističan	Agpfsny
fibroza	fibroza	Ncfsn
(	(	Z
sekvencioniranje	sekvencioniranje	Ncnsn
)	)	Z
252,62	252,62	Mdc
55.576,40	55.576,40	Mdc
LG140	LG140	Pi-fsn
Izolacija	izolacija	Ncfsn
genomske	genomski	Agpfsgy
DNA	DNA	Npfsg
3,93	3,93	Mdc
864,60	864,60	Mdc
LG141	lg14i	Agpnsny
Izdvajanje	izdvajanje	Ncnsn
RNA	RN	Npmsg
/	/	Z
DNA	dno	Ncnpn

