Svaki	svaki	Pi-msn
pašnjaka	pašnjak	Ncmsg
iz	iz	Sg
javnog	javan	Agpmsgy
poziva	poziv	Ncmsg
,	,	Z
pravo	pravo	Ncnsa
na	na	Sa
zakup	zakup	Ncmsan
dijela	dio	Ncmsg
površine	površina	Ncfsg
zajedničkog	zajednički	Agpmsgy
pašnjaka	pašnjak	Ncmsg
proporcionalno	proporcionalno	Rgp
se	sebe	Px--sa
smanjuje	smanjivati	Vmr3s
do	do	Sg
tog	taj	Pd-msg
utvrđenog	utvrditi	Agpmsgy
maksimalnog	maksimalan	Agpmsgy
broja	broj	Ncmsg
svim	sav	Agpmpiy
ponuditeljima	ponuditelj	Ncmpi
osim	osim	Sg
onima	onaj	Pd-mpd
koji	koji	Pi-mpn
su	biti	Var3p
podnijeli	podnijeti	Vmp-pm
zahtjev	zahtjev	Ncmsan
za	za	Sa
manje	malo	Rgc
od	od	Sg
20	20	Mdc
uvjetnih	uvjetan	Agpnpgy
grla	grlo	Ncnpg
stoke	stoka	Ncfsg
i	i	Cc
peradi	perad	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Obračun	obračun	Ncmsan
broja	broj	Ncmsg
uvjetnih	uvjetan	Agpnpgy
grla	grlo	Ncnpg
stoke	stoka	Ncfsg
i	i	Cc
peradi	perad	Ncfsg
obavlja	obavljati	Vmr3s
se	sebe	Px--sa
sukladno	sukladno	Rgp
tablici	tablica	Ncfsd
koja	koji	Pi-fsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
prilogu	prilog	Ncmsl
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
čini	činiti	Vmr3s
njegov	njegov	Ps3msn
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
(	(	Z
Prilog	prilog	Ncmsn
3	3	Mdc
)	)	Z
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

Zakupnina	zakupnina	Ncfsn
za	za	Sa
korištenje	korištenje	Ncnsa
zajedničkog	zajednički	Agpmsgy
pašnjaka	pašnjak	Ncmsg
određuje	određivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
visini	visina	Ncfsl
početne	početan	Agpfsgy
zakupnine	zakupnina	Ncfsg
sukladno	sukladno	Rgp
Pravilniku	pravilnik	Ncmsd
o	o	Sl
početnoj	početan	Agpfsly
zakupnini	zakupnina	Ncfsl
poljoprivrednog	poljoprivredni	Agpnsgy
zemljišta	zemljište	Ncnsg
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
zakup	zakup	Ncmsan
i	i	Cc
zakup	zakup	Ncmsan
za	za	Sa
ribnjake	ribnjak	Ncmpa
te	te	Cc
naknadi	naknada	Ncfsl
za	za	Sa
vodu	voda	Ncfsa
za	za	Sa
ribnjake	ribnjak	Ncmpa
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
107/13	107/13	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Agencija	agencija	Ncfsn
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
o	o	Sl
dodjeli	dodjela	Ncfsl
u	u	Sa
zakup	zakup	Ncmsan
zajedničkog	zajednički	Agpmsgy
pašnjaka	pašnjak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sl
osnovi	osnova	Ncfsl
odluke	odluka	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ravnatelj	ravnatelj	Ncmsn
Agencije	agencija	Ncfsg
i	i	Cc
podnositelj	podnositelj	Ncmsn
ponude	ponuda	Ncfsg
sklapaju	sklapati	Vmr3p
ugovor	ugovor	Ncmsan
o	o	Sl
zakupu	zakup	Ncmsl
zajedničkog	zajednički	Agpmsgy
pašnjaka	pašnjak	Ncmsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
ugovor	ugovor	Ncmsn
)	)	Z
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Promjena	promjena	Ncfsn
broja	broj	Ncmsg
uvjetnih	uvjetan	Agpnpgy
grla	grlo	Ncnpg
nakon	nakon	Sg
sklapanja	sklapanje	Ncnsg
ugovora	ugovor	Ncmsg
dopuštena	dopustiti	Appfsny
je	biti	Var3s
ukoliko	ukoliko	Cs
je	biti	Var3s
uvjetovana	uvjetovati	Appfsny
prirodnim	prirodan	Agpmsiy
prirastom	prirast	Ncmsi
teladi	tele	Ncnsg
,	,	Z
ždrebadi	ždrebe	Ncnpi
,	,	Z
janjadi	janje	Ncnsg
,	,	Z
jaradi	jare	Ncnpg
i	i	Cc
odojaka	odojak	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zakupnici	zakupnik	Ncmpn
zajedničkog	zajednički	Agpmsgy
pašnjaka	pašnjak	Ncmsg
obvezni	obvezan	Agpmpny
su	biti	Var3p
sklopiti	sklopiti	Vmn
sporazum	sporazum	Ncmsan
o	o	Sl
korištenju	korištenje	Ncnsl
zajedničkog	zajednički	Agpmsgy
pašnjaka	pašnjak	Ncmsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
sporazum	sporazum	Ncmsn
)	)	Z
koji	koji	Pi-msn
im	oni	Pp3-pd
je	biti	Var3s
dan	dan	Ncmsan
u	u	Sa
zakup	zakup	Ncmsan
,	,	Z
u	u	Sl
roku	rok	Ncmsl
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
sklapanja	sklapanje	Ncnsg
ugovora	ugovor	Ncmsg
,	,	Z
radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
međusobnih	međusoban	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
obveza	obveza	Ncfsn
zakupnika	zakupnik	Ncmsg
koja	koji	Pi-fsn
proizlaze	proizlaziti	Vmr3p
s	sa	Si
osnova	osnova	Ncfpg
korištenja	korištenje	Ncnsg
zajedničkog	zajednički	Agpmsgy
pašnjaka	pašnjak	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Obvezni	obvezan	Agpmsny
sadržaj	sadržaj	Ncmsn
sporazuma	sporazum	Ncmsg
Agencija	agencija	Ncfsn
objavljuje	objavljivati	Vmr3s
u	u	Sl
javnom	javan	Agpmsly
pozivu	poziv	Ncmsl
,	,	Z
prema	prema	Sl
tekstu	tekst	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
prilogu	prilog	Ncmsl
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
čini	činiti	Vmr3s
njegov	njegov	Ps3msn
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
(	(	Z
Prilog	prilog	Ncmsn
4.	4.	Mdo
)	)	Z
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ugovor	ugovor	Ncmsn
se	sebe	Px--sa
raskida	raskidati	Vmr3s
ukoliko	ukoliko	Cs
zakupnici	zakupnik	Ncmpn
zajedničkog	zajednički	Agpmsgy
pašnjaka	pašnjak	Ncmsg
ne	ne	Qz
sklope	sklopiti	Vmr3p
sporazum	sporazum	Ncmsan
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Sklopljeni	sklopiti	Appmsayn
sporazum	sporazum	Ncmsan
te	te	Cc
godišnje	godišnji	Agpnsay
izvješće	izvješće	Ncnsa
o	o	Sl
njegovoj	njegov	Ps3fsl
provedbi	provedba	Ncfsl
dostavljaju	dostavljati	Vmr3p
se	sebe	Px--sa
Agenciji	Agencija	Npfsl
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
uvjetima	uvjet	Ncmpl
za	za	Sa
podnošenje	podnošenje	Ncnsa
zahtjeva	zahtjev	Ncmpg
i	i	Cc
kriterijima	kriterij	Ncmpl
za	za	Sa
dodjelu	dodjela	Ncfsa
zajedničkih	zajednički	Agpmpgy
pašnjaka	pašnjak	Ncmpg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
135/2011	135/2011	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvog	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/13	01/13	Mdc
-	-	Z
01/69	01/69	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
07/0363	07/0363	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
10.	10.	Mdo
lipnja	lipanj	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
Tihomir	Tihomir	Npmsn
Jakovina	Jakovina	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
1.	1.	Mdo

Obrazac	obrazac	Ncmsn
izvoda	izvod	Ncmsg
iz	iz	Sg
Jedinstvenog	jedinstven	Agpmsgy
registra	registar	Ncmsg
domaćih	domaći	Agpfpgy
životinja	životinja	Ncfpg
(	(	Z
JRDŽ	JRDŽ	Npmsn
)	)	Z

HRVATSKA	hrvatski	Agpfsny
POLJOPRIVREDNA	poljoprivredni	Agpfsny
AGENCIJA	agencija	Ncfsn

48260	48260	Mdc
Križevci	Križevca	Npfsl
,	,	Z
Poljana	poljana	Ncfsn
Križevačka	križevački	Agpfsny
185	185	Mdc

PODRUČNI	područni	Agpmsny
URED__________	URED__________	Npmsn

IZVOD	izvod	Ncmsn
IZ	iz	Sg
JEDINSTVENOG	jedinstven	Agpmsgy
REGISTRA	registar	Ncmsg
DOMAĆIH	domaći	Agpmpgy
ŽIVOTNJA	životnj	Ncmpg

Na	na	Sa
zahtjev	zahtjev	Ncmsan

Ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
/	/	Z
Naziv	naziv	Ncmsn

____________________	____________________	Npmsn
IKG	IKG	Npmsn

____________________	____________________	Ncfsn

MIBPG	MIBPG	Npmsn

____________________	___________________i	Agpnsny
Mjesto	mjesto	Ncnsn
stanovanja	stanovanje	Ncnsg
/	/	Z
Sjedište	sjedište	Ncnsn

____________________	___________________i	Agpfsny
Ulica	ulica	Ncfsn
i	i	Cc
kućni	kućni	Agpmsny
broj	broj	Ncmsn

____________________	_________________	Agcmsny
Broj	broj	Ncmsn
pošte	pošta	Ncfsg
i	i	Cc
poštanski	poštanski	Agpmsny
ured	ured	Ncmsn

____________________	____________________	Npmsn
JIBG	JIBG	Npmsn

____________________	____________________	Pi-fsn
Adresa	adresa	Ncfsn
gospodarstva	gospodarstvo	Ncnsg
mjesto	mjesto	Ncnsn
i	i	Cc
općina	općina	Ncfsn
/	/	Z
grad	grad	Ncmsn

____________________	____________________	Ncfsn

STANJE	stanje	Ncnsn
JRDŽ	JRDŽ	Npfsg
NA	na	Sa
DAN	dan	Ncmsan
:	:	Z

ili	ili	Cc

PROSJEČAN	prosječan	Agpmsnn
BROJ	broj	Ncmsn
GRLA	grlo	Ncnsg
NA	na	Sl
GOSPODARSTVU	gospodarstvo	Ncnsl
TIJEKOM	tijekom	Sg
PROTEKLE	protekao	Agpfsgy
GODINE	godina	Ncfsg

Vrste	vrsta	Ncfpn
i	i	Cc
kategorije	kategorija	Ncfsg
domaćih	domaći	Agpfpgy
životinja	životinja	Ncfpg
Pripadajući	pripadajući	Agpmsny
iznos	iznos	Ncmsn
uvjetnih	uvjetan	Agpnpgy
grla	grlo	Ncnpg
po	po	Sl
domaćoj	domaći	Agpfsly
životinji	životinja	Ncfsl
Brojno	brojan	Agpnsny
stanje	stanje	Ncnsn
grla	grlo	Ncnsg
stoke	stoka	Ncfsg
u	u	Sl
Registru	registar	Ncmsl
Broj	broj	Ncmsn
uvjetnih	uvjetan	Agpnpgy
grla	grlo	Ncnpg
po	po	Sl
kategorijama	kategorija	Ncfpl
domaćih	domaći	Agpfpgy
životinja	životinja	Ncfpg
1	1	Mdc
2	2	Mdc
3	3	Mdc
4	4	Mdc
(	(	Z
2	2	Mdc
x3	xa	Ncfsg
)	)	Z
Goveda	govedo	Ncnpn
:	:	Z
Odrasla	odrastao	Agpnpny
goveda	govedo	Ncnpn
starija	star	Agcfsny
od	od	Sg
24	24	Mdc
mjeseca	mjesec	Ncmsg
1	1	Mdc
Goveda	govedo	Ncnsg
starosti	starost	Ncfsg
od	od	Sg
12	12	Mdc
do	do	Sg
24	24	Mdc
mjeseca	mjesec	Ncmsg
0,6	0,6	Mdc
Goveda	govedo	Ncnsg
starosti	starost	Ncfsg
od	od	Sg
6	6	Mdc
do	do	Sg
12	12	Mdc
mjeseca	mjesec	Ncmsg
0,3	0,3	Mdc
Rasplodni	rasplodni	Agpmpny
bikovi	bik	Ncmpn
1,4	1,4	Mdc
Telad	tele	Ncnpn
0,15	0,15	Mdc
Konji	konj	Ncmpn
:	:	Z
Konji	konj	Ncmpn
1,2	1,2	Mdc
Ždrebad	ždrebe	Ncnpn
0,5	0,5	Mdc
Magarci	magarac	Ncmpn
:	:	Z
1,0	1,0	Mdc
Ovce	ovca	Ncfpn
i	i	Cc
koze	koza	Ncfsg
:	:	Z
Ovce	ovca	Ncfpn
0,1	0,1	Mdc
Koze	koza	Ncfsg
0,1	0,1	Mdc
Janjad	janje	Xf
0,05	0,05	Mdc
Jarad	jare	Xf
0,05	0,05	Mdc
Svinje	svinja	Ncfsg
:	:	Z
Krmače	krmača	Ncfpn
0,3	0,3	Mdc
Nerasti	nerast	Ncmpn
0,4	0,4	Mdc
Svinje	svinja	Ncfpn
u	u	Sl
tovu	tov	Ncmsl
od	od	Sg
25	25	Mdc
do	do	Sg
130	130	Mdc
kg	kg	Y
0,15	0,15	Mdc

