svaki	svaki	Pi-msn
za	za	Sa
područja	područje	Ncnpa
općina	općina	Ncfpg
i	i	Cc
gradova	grad	Ncmpg
moraju	morati	Vmr3p
biti	biti	Van
usvojene	usvojiti	Appfpny
do	do	Sg
kraja	kraj	Ncmsg
ožujka	ožujak	Ncmsg
2018.	2018.	Mdo
godine	godina	Ncfsg
,	,	Z
a	a	Cc
za	za	Sa
područja	područje	Ncnpa
županija	županija	Ncfpg
i	i	Cc
Grada	Grad	Npmsg
Zagreba	Zagreb	Npmsg
do	do	Sg
početka	početak	Ncmsg
rujna	rujan	Ncmsg
2018.	2018.	Mdo
godine	godina	Ncfsg
.	.	Z

Procjene	procjena	Ncfpn
rizika	rizik	Ncmpg
od	od	Sg
velikih	velik	Agpfpgy
nesreća	nesreća	Ncfpg
za	za	Sa
područja	područje	Ncnpa
županija	županija	Ncfpg
izrađuju	izrađivati	Vmr3p
se	sebe	Px--sa
po	po	Sl
izradi	izrada	Ncfsl
i	i	Cc
na	na	Sl
temelju	temelj	Ncmsl
rezultata	rezultat	Ncmpg
procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
s	sa	Sg
njihovog	njihov	Ps3nsg
područja	područje	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
od	od	Sg
katastrofa	katastrofa	Ncfpg
za	za	Sa
područje	područje	Ncnsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
izrađuje	izrađivati	Vmr3s
se	sebe	Px--sa
jednom	jednom	Rgp
u	u	Sa
tri	tri	Mlc
godine	godina	Ncfsg
,	,	Z
a	a	Cc
može	moći	Vmr3s
se	sebe	Px--sa
izrađivati	izrađivati	Vmn
i	i	Qo
češće	često	Rgc
,	,	Z
ukoliko	ukoliko	Cs
u	u	Sl
trogodišnjem	trogodišnji	Agpmsly
periodu	period	Ncmsl
nastupi	nastupiti	Vmr3s
značajna	značajan	Agpfsny
promjena	promjena	Ncfsn
ulaznih	ulazan	Agpmpgy
parametara	parametar	Ncmpg
u	u	Sl
korištenim	koristiti	Agpmply
scenarijima	scenarij	Ncmpl
i	i	Cc
postupcima	postupak	Ncmpi
analiziranja	analiziranje	Ncnsg
rizika	rizik	Ncmsg
ili	ili	Cc
se	sebe	Px--sa
prepozna	prepoznati	Vmr3s
nova	nov	Agpfsny
prijetnja	prijetnja	Ncfsn
.	.	Z

V.	V.	Y
PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Smjernice	smjernica	Ncfpn
za	za	Sa
izradu	izrada	Ncfsa
Procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
od	od	Sg
katastrofa	katastrofa	Ncfpg
za	za	Sa
područje	područje	Ncnsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
kao	kao	Cs
i	i	Cc
sve	sav	Agpfpay
izmjene	izmjena	Ncfpa
i	i	Cc
dopune	dopuna	Ncfsg
smjernica	smjernica	Ncfpg
,	,	Z
objavljuju	objavljivati	Vmr3p
se	sebe	Px--sa
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
poslove	posao	Ncmpa
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kriteriji	kriterij	Ncmpn
za	za	Sa
izradu	izrada	Ncfsa
smjernica	smjernica	Ncfpg
za	za	Sa
procjene	procjena	Ncfpa
rizika	rizik	Ncmsg
od	od	Sg

