dobiven	dobiven	Npfsn
upotrjebljenih	upotrjebljeni	Ncfpg
u	u	Sl
proizvodnji	proizvodnja	Ncfsl
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ostale	ostali	Agpfpny
vrste	vrsta	Ncfpn
tijesta	tijesto	Ncnsg
su	biti	Var3p
proizvodi	proizvod	Ncmpn
od	od	Sg
mlinskih	mlinski	Agpfpgy
ili	ili	Cc
drugih	drugi	Mlompg
proizvoda	proizvod	Ncmpg
od	od	Sg
žitarica	žitarica	Ncfpg
,	,	Z
soje	soja	Ncfsg
i	i	Cc
drugih	drugi	Mlompg
sastojaka	sastojak	Ncmpg
,	,	Z
vode	voda	Ncfsg
ili	ili	Cc
druge	drugi	Mlofpn
dopuštene	dopustiti	Appfpay
tekućine	tekućina	Ncfpa
.	.	Z

Naziv	naziv	Ncmsn
tijesta	tijesto	Ncnsg
se	sebe	Px--sa
određuje	određivati	Vmr3s
prema	prema	Sl
sastojku	sastojak	Ncmsl
koji	koji	Pi-msn
prevladava	prevladavati	Vmr3s
u	u	Sl
tijestu	tijesto	Ncnsl
.	.	Z

Članak	članak	Ncmsn
39.	39.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Proizvodi	proizvod	Ncmpn
od	od	Sg
tijesta	tijesto	Ncnsg
se	sebe	Px--sa
po	po	Sl
načinu	način	Ncmsl
i	i	Cc
stupnju	stupanj	Ncmsl
obrade	obrada	Ncfsg
razvrstavaju	razvrstavati	Vmr3p
na	na	Sa
:	:	Z

a	a	Cc
)	)	Z
brzo	brzo	Rgp
smrznute	smrznut	Agpmpay
proizvode	proizvod	Ncmpa
od	od	Sg
tijesta	tijesto	Ncnsg

b	b	Npmsn
)	)	Z
svježe	svjež	Agpmpay
proizvode	proizvod	Ncmpa
od	od	Sg
tijesta	tijesto	Ncnsg

c	C	Npmsn
)	)	Z
gotove	gotov	Agpmpay
proizvode	proizvod	Ncmpa
od	od	Sg
tijesta	tijesto	Ncnpg
spremne	spreman	Agpfsgy
za	za	Sa
konzumaciju	konzumacija	Ncfsa
i	i	Cc

d	d	Npmsn
)	)	Z
polupečene	polupečena	Ncfpa
(	(	Z
djelomično	djelomično	Rgp
pečene	peći	Appfpny
)	)	Z
proizvode	proizvod	Ncmpa
od	od	Sg
tijesta	tijesto	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Proizvodi	proizvod	Ncmpn
od	od	Sg
tijesta	tijesto	Ncnpg
sa	sa	Si
slanim	slan	Agpmpiy
ili	ili	Cc
slatkim	sladak	Agpmsiy
nadjevom	nadjev	Ncmsi
,	,	Z
izuzev	izuzev	Sg
proizvoda	proizvod	Ncmpg
navedenih	navesti	Appmpgy
u	u	Sl
članku	članak	Ncmsl
34.	34.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
moraju	morati	Vmr3p
sadržavati	sadržavati	Vmn
više	mnogo	Rgc
od	od	Sg
5	5	Mdc
%	%	Z
nadjeva	nadjev	Ncmsg
od	od	Sg
voćne	voćni	Agpfsgy
prerađevine	prerađevina	Ncfsg
ili	ili	Cc
najmanje	malo	Rgs
15	15	Mdc
%	%	Z
drugog	drugi	Mlomsg
slatkog	sladak	Agpmsgy
ili	ili	Cc
slanog	slan	Agpmsgy
nadjeva	nadjev	Ncmsg
računato	računat	Agpnsny
na	na	Sa
ukupnu	ukupan	Agpfsay
masu	masa	Ncfsa
svih	sav	Agpmpgy
sastojaka	sastojak	Ncmpg
upotrjebljenih	upotrjebljeni	Ncfpg
u	u	Sl
proizvodnji	proizvodnja	Ncfsl
.	.	Z

2.5.	2.5.	Mdo

Fini	fin	Agpmsny
pekarski	pekarski	Agpmsny
i	i	Cc
srodni	srodan	Agpmpny
proizvodi	proizvod	Ncmpn

Članak	članak	Ncmsn
40.	40.	Mdo

Fini	fin	Agpmpny
pekarski	pekarski	Agpmpny
proizvodi	proizvod	Ncmpn
su	biti	Var3p
proizvodi	proizvod	Ncmpn
specifičnih	specifičan	Agpmpgy
senzorskih	senzorski	Agpnpgy
svojstava	svojstvo	Ncnpg
proizvedeni	proizvesti	Appmpny
različitim	različit	Agpmpiy
tehnološkim	tehnološki	Agpmpiy
procesima	proces	Ncmpi
,	,	Z
a	a	Cc
sastoje	sastojati	Vmr3p
se	sebe	Px--sa
od	od	Sg
mlinskih	mlinski	Agpmpgy
proizvoda	proizvod	Ncmpg
,	,	Z
šećera	šećer	Ncmsg
,	,	Z
masti	mast	Ncfsg
ili	ili	Cc
ulja	ulje	Ncnsg
i	i	Cc
drugih	drugi	Mlompg
sastojaka	sastojak	Ncmpg
kojima	koji	Pi-mpi
se	sebe	Px--sa
ističe	isticati	Vmr3s
njihova	njihov	Ps3fsn
specifičnost	specifičnost	Ncfsn
.	.	Z

Članak	članak	Ncmsn
41.	41.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Fini	fin	Agpmsny
pekarski	pekarski	Agpmsny
i	i	Cc
srodni	srodan	Agpmpny
proizvodi	proizvod	Ncmpn
stavljaju	stavljati	Vmr3p
se	sebe	Px--sa
na	na	Sa
tržište	tržište	Ncnsa
pod	pod	Si
nazivima	naziv	Ncmpi
:	:	Z

a	a	Cc
)	)	Z
keks	keks	Ncmsan

b	b	Npmsn
)	)	Z
kreker	kreker	Ncmsan

c	C	Npmsn
)	)	Z
trajno	trajno	Rgp
slano	slan	Agpnsny
pecivo	pecivo	Ncnsn

d	d	Qr
)	)	Z
čajno	čajni	Agpnsny
pecivo	pecivo	Ncnsn

e	e	I
)	)	Z
vafel	vafel	Agpmsny
list	list	Ncmsn

f	f	Npmsn
)	)	Z
vafel	vafel	Agpmsny
proizvod	proizvod	Ncmsn

g	g	Npmsn
)	)	Z
medenjak	medenjak	Ncmsan

h	h	Npmsn
)	)	Z
kolač	kolač	Ncmsan

i	i	Cc
)	)	Z
paprenjak	paprenjak	Ncmsan

j	j	Npmsn
)	)	Z
makronen	makroniti	Appmsnn

k	k	Qr
)	)	Z
biskvit	biskvit	Ncmsan
i	i	Cc

l	l	Npmsn
)	)	Z
piškota	piškota	Ncfsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Proizvodi	proizvod	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
definiraju	definirati	Vmr3p
se	sebe	Px--sa
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

–	–	Agpmsny
keks	keks	Ncmsn
je	biti	Var3s
proizvod	proizvod	Ncmsn
dobiven	dobiti	Appmsnn
pečenjem	pečenje	Ncnsi
oblikovanog	oblikovan	Agpnsgy
tijesta	tijesto	Ncnsg
,	,	Z
a	a	Cc
sadrži	sadržati	Vmr3s
najmanje	malo	Rgs
6	6	Mdc
%	%	Z
masti	mast	Ncfsg
ili	ili	Cc
ulja	ulje	Ncnsg
,	,	Z
računato	računat	Agpnsny
na	na	Sa
ukupnu	ukupan	Agpfsay
masu	masa	Ncfsa
gotovog	gotov	Agpmsgy
proizvoda	proizvod	Ncmsg
i	i	Cc
sadrži	sadržati	Vmr3s
najviše	mnogo	Rgs
5	5	Mdc
%	%	Z
vode	voda	Ncfsg

–	–	Agpmsny
kreker	kreker	Ncmsn
je	biti	Var3s
proizvod	proizvod	Ncmsn
dobiven	dobian	Agpnsiy
pečenjem	pečenje	Ncnsi
tijesta	tijesto	Ncnsg
,	,	Z
karakteristične	karakterističan	Agpfsgy
lisnate	lisnat	Agpfsgy
/	/	Z
hrskave	hrskav	Agpfsgy
strukture	struktura	Ncfsg
,	,	Z
a	a	Cc
sadrži	sadržati	Vmr3s
najmanje	malo	Rgs
10	10	Mdc
%	%	Z
masti	mast	Ncfpg
ili	ili	Cc
ulja	ulje	Ncnsg
,	,	Z
računato	računat	Agpnsny
na	na	Sa
ukupnu	ukupan	Agpfsay
masu	masa	Ncfsa
gotovog	gotov	Agpmsgy
proizvoda	proizvod	Ncmsg
i	i	Cc
sadrži	sadržati	Vmr3s
najviše	mnogo	Rgs
5	5	Mdc
%	%	Z
vode	voda	Ncfsg

–	–	Npfsl
trajno	trajno	Rgp
slano	slan	Agpnsny
pecivo	pecivo	Ncnsn
je	biti	Var3s
hrskavi	hrskav	Agpmsny
proizvod	proizvod	Ncmsn
dobiven	dobiti	Appmsnn
pečenjem	pečenje	Ncnsi
tijesta	tijesto	Ncnpg
u	u	Sl
obliku	oblik	Ncmsl
štapića	štapić	Ncmpg
,	,	Z
pereca	perec	Ncmsg
,	,	Z
prutića	prutić	Ncmsg
ili	ili	Cc
drugih	drugi	Mlompg
oblika	oblik	Ncmpg
te	te	Cc
čija	čiji	Pi-fsn
se	sebe	Px--sa
površina	površina	Ncfsn
tijesta	tijesto	Ncnsg
prije	prije	Sg
pečenja	pečenje	Ncnsg
može	moći	Vmr3s
obraditi	obraditi	Vmn
vodenom	voden	Agpfsiy
otopinom	otopina	Ncfsi
natrijevog	natrijev	Aspmsgy
hidroksida	hidroksid	Ncmsg

–	–	Z
čajno	čajni	Agpnsny
pecivo	pecivo	Ncnsn
je	biti	Var3s
proizvod	proizvod	Ncmsn
dobiven	dobiti	Appmsnn
pečenjem	pečenje	Ncnsi
oblikovanog	oblikovan	Agpnsgy
tijesta	tijesto	Ncnsg
,	,	Z
a	a	Cc
sadrži	sadržati	Vmr3s
najmanje	malo	Rgs
10	10	Mdc
%	%	Z
masti	mast	Ncfpg
ili	ili	Cc
ulja	ulje	Ncnsg
i	i	Cc
najviše	mnogo	Rgs
5	5	Mdc
%	%	Z
vode	voda	Ncfsg
,	,	Z
računato	računat	Agpnsny
na	na	Sa
ukupnu	ukupan	Agpfsay
masu	masa	Ncfsa
gotovog	gotov	Agpmsgy
proizvoda	proizvod	Ncmsg

–	–	Agpmsny
vafel	vafel	Agpmsny
list	list	Ncmsn
je	biti	Var3s
proizvod	proizvod	Ncmsn
dobiven	dobiti	Appmsnn
pečenjem	pečenje	Ncnsi
tekućeg	tekući	Agpnsgy
tijesta	tijesto	Ncnsg
.	.	Z

Prema	prema	Sl
strukturi	struktura	Ncfsl
može	moći	Vmr3s
biti	biti	Van
hrskav	hrskav	Agpmsnn
ili	ili	Cc
mekan	mekan	Agpmsnn
,	,	Z
a	a	Cc
po	po	Sl
obliku	oblik	Ncmsl
može	moći	Vmr3s
biti	biti	Van
ravan	ravan	Agpmsnn
,	,	Z
reljefni	reljefan	Agpmsny
,	,	Z
cjevasti	cjevast	Agpmpny
ili	ili	Cc
drugih	drugi	Mlompg
oblika	oblik	Ncmpg
.	.	Z

Mekani	mekan	Agpmsny
vafel	vafel	Agpmsny
list	list	Ncmsn
sadrži	sadržati	Vmr3s
najmanje	malo	Rgs
10	10	Mdc
%	%	Z
vode	voda	Ncfsg
.	.	Z

–	–	Agpmsny
vafel	vafel	Agpmsny
proizvod	proizvod	Ncmsn
je	biti	Var3s
proizvod	proizvod	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
sastoji	sastojati	Vmr3s
od	od	Sg
vafel	vafe	Npmpg
listova	list	Ncmpg
i	i	Cc
punjenja	punjenje	Ncnsg
,	,	Z
a	a	Cc
po	po	Sl
obliku	oblik	Ncmsl
može	moći	Vmr3s
biti	biti	Van
ravan	ravan	Agpmsnn
,	,	Z
reljefni	reljefan	Agpmsny
,	,	Z
cjevasti	cjevast	Agpmpny
ili	ili	Cc
drugih	drugi	Mlompg
oblika	oblik	Ncmpg

–	–	Agpmsny
medenjak	medenjak	Ncmsn
je	biti	Var3s
proizvod	proizvod	Ncmsn
dobiven	dobiti	Appmsnn
od	od	Sg
mlinskih	mlinski	Agpmpgy
proizvoda	proizvod	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
škroba	škrob	Ncmsg
,	,	Z
šećera	šećer	Ncmsg
,	,	Z
meda	med	Ncmsg
,	,	Z
škrobnog	škrobni	Agpmsgy
sirupa	sirup	Ncmsg
,	,	Z
masti	mast	Ncfsg
ili	ili	Cc
ulja	ulje	Ncnsg
,	,	Z
začina	začin	Ncmpg
i	i	Cc
aditiva	aditiv	Ncmpg

–	–	Agpmsny
kolač	kolač	Ncmsn
je	biti	Var3s
proizvod	proizvod	Ncmsn
dobiven	dobian	Agpnsiy
miješanjem	miješanje	Ncnsi
,	,	Z
oblikovanjem	oblikovanje	Ncnsi
,	,	Z
pečenjem	pečenje	Ncnsi
ili	ili	Cc
drugim	drugi	Mlomsi
odgovarajućim	odgovarajući	Agpmpiy
postupcima	postupak	Ncmpi
obrade	obrada	Ncfsg
smjese	smjesa	Ncfsg
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
sastojaka	sastojak	Ncmpg
kao	kao	Cs
što	što	Cs
su	biti	Var3p
mlinski	mlinski	Agpmpny
proizvodi	proizvod	Ncmpn
,	,	Z
šećeri	šećeriti	Vmr3s
i	i	Cc
drugi	drugi	Mlompn
zaslađivači	zaslađivač	Ncmpn
,	,	Z
masti	mast	Ncfpn
ili	ili	Cc
ulja	ulje	Ncnsg
i	i	Cc
drugi	drugi	Mlompn
sastojci	sastojak	Ncmpn
,	,	Z
čime	što	Pi3n-i
se	sebe	Px--sa
postižu	postizati	Vmr3p
karakteristična	karakterističan	Agpnpay
senzorska	senzorski	Agpnpay
svojstva	svojstvo	Ncnpa
proizvoda	proizvod	Ncmpg
.	.	Z

Može	moći	Vmr3s
biti	biti	Van
punjen	puniti	Appmsnn
ili	ili	Cc
preliven	preliti	Appmsnn
voćnim	voćni	Agpmpiy
,	,	Z
čokoladnim	čokoladni	Agpfply
i	i	Cc
drugim	drugi	Mlonpl
punilima	punilo	Ncnpl
ili	ili	Cc
preljevima	preljev	Ncmpl
.	.	Z

–	–	Agpmsny
paprenjak	paprenjak	Ncmsn
je	biti	Var3s
proizvod	proizvod	Ncmsn
dobiven	dobiti	Appmsnn
od	od	Sg
mlinskih	mlinski	Agpmpgy
proizvoda	proizvod	Ncmpg
,	,	Z
šećera	šećer	Ncmsg
,	,	Z
škrobnog	škrobni	Agpmsgy
sirupa	sirup	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
meda	med	Ncmsg
,	,	Z
masti	mast	Ncfpg
ili	ili	Cc
ulja	ulje	Ncnsg
,	,	Z
jaja	jaje	Ncnpg
,	,	Z
papra	papar	Ncmsg
,	,	Z
začina	začin	Ncmsg
i	i	Cc
aditiva	aditiv	Ncmpg
,	,	Z
sa	sa	Si
sadržajem	sadržaj	Ncmsi
od	od	Sg
najmanje	malo	Rgs
10	10	Mdc
%	%	Z
masti	mast	Ncfpg
ili	ili	Cc
ulja	ulje	Ncnsg
i	i	Cc
najviše	mnogo	Rgs
5	5	Mdc
%	%	Z
vode	voda	Ncfsg
,	,	Z
računato	računat	Agpnsny
na	na	Sa
ukupnu	ukupan	Agpfsay
masu	masa	Ncfsa
gotovog	gotov	Agpmsgy
proizvoda	proizvod	Ncmsg

–	–	Npmsn
makronen	makroniti	Appmsnn
je	biti	Var3s
proizvod	proizvod	Ncmsn
dobiven	dobiti	Appmsnn
od	od	Sg
bjelanjka	bjelanjak	Ncmsg
jaja	jaje	Ncnpg
(	(	Z
uz	uz	Sa
mogući	moguć	Agpmsayn
dodatak	dodatak	Ncmsan
žumanjka	žumanjak	Ncmsg
)	)	Z
i	i	Cc
šećera	šećer	Ncmsg
,	,	Z
sa	sa	Si
ili	ili	Cc
bez	bez	Sg
dodatka	dodatak	Ncmsg
orašastog	orašasti	Agpnsgy
voća	voće	Ncnsg
ili	ili	Cc
drugih	drugi	Mlofpg
sjemenki	sjemenka	Ncfpg
ili	ili	Cc
odgovarajućih	odgovarajući	Agpfpgy
sirovih	sirov	Agpfpgy
masa	masa	Ncfpg

