službenim	služben	Agpfpiy
omogućuje	omogućivati	Vmr3s
ugodan	ugodan	Agpmsann
cjelodnevni	cjelodnevan	Agpmsayn
boravak	boravak	Ncmsan
,	,	Z
te	te	Cc
neometan	neometan	Agpmsann
rad	rad	Ncmsan
svih	sav	Agpmpgy
sudionika	sudionik	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Oprema	oprema	Ncfsn
,	,	Z
uređaji	uređaj	Ncmpn
i	i	Cc
druga	drugi	Mlonpa
sredstva	sredstvo	Ncnpa
koja	koji	Pi-npa
se	sebe	Px--sa
koriste	koristiti	Vmr3p
za	za	Sa
provođenje	provođenje	Ncnsa
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
polazniku	polaznik	Ncmsd
moraju	morati	Vmr3p
osigurati	osigurati	Vmn
:	:	Z

a	a	Cc
)	)	Z
jasan	jasan	Agpmsann
i	i	Cc
potpun	potpun	Agpmsann
uvid	uvid	Ncmsan
u	u	Sa
programski	programski	Agpmsayn
sadržaj	sadržaj	Ncmsan
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg

b	b	Npmsn
)	)	Z
provedbu	provedba	Ncfsa
praktičnih	praktičan	Agpfpgy
vježbi	vježba	Ncfpg
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
sadržajno	sadržajno	Rgp
nadopunjuje	nadopunjivati	Vmr3s
teorijsku	teorijski	Agpfsay
nastavu	nastava	Ncfsa
te	te	Cc

c	C	Npmsn
)	)	Z
provedbu	provedba	Ncfsa
osposobljavanja	osposobljavanje	Ncnsg
na	na	Sl
radnom	radni	Agpnsly
mjestu	mjesto	Ncnsl
radi	radi	Sg
uspješnog	uspješan	Agpnsgy
svladavanja	svladavanje	Ncnsg
cjelokupnog	cjelokupan	Agpmsgy
sadržaja	sadržaj	Ncmsg
programa	program	Ncmsg
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
.	.	Z

Odgovarajuće	odgovarajući	Agpfpny
prostorije	prostorija	Ncfpn
za	za	Sa
smještaj	smještaj	Ncmsan
administrativnog	administrativan	Agpnsgy
osoblja	osoblje	Ncnsg
,	,	Z
instruktora	instruktor	Ncmsg
,	,	Z
arhive	arhiv	Ncmpa
i	i	Cc
biblioteke	biblioteka	Ncfpa

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Organizacija	organizacija	Ncfsn
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
mora	morati	Vmr3s
osigurati	osigurati	Vmn
prikladan	prikladan	Agpmsann
prostor	prostor	Ncmsan
za	za	Sa
rad	rad	Ncmsan
administrativnog	administrativan	Agpnsgy
osoblja	osoblje	Ncnsg
te	te	Cc
instruktora	instruktor	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Organizacija	organizacija	Ncfsn
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
mora	morati	Vmr3s
osigurati	osigurati	Vmn
prikladan	prikladan	Agpmsann
prostor	prostor	Ncmsan
za	za	Sa
smještaj	smještaj	Ncmsan
cjelokupne	cjelokupan	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
,	,	Z
arhive	arhiv	Ncmpa
i	i	Cc
stručne	stručan	Agpfsgy
biblioteke	biblioteka	Ncfsg
.	.	Z

Voditelj	voditelj	Ncmsn
organizacije	organizacija	Ncfsg
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Organizacijom	organizacija	Ncfsi
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
mora	morati	Vmr3s
upravljati	upravljati	Vmn
voditelj	voditelj	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
odgovoran	odgovoran	Agpmsnn
za	za	Sa
cjelokupni	cjelokupan	Agpmsayn
rad	rad	Ncmsan
organizacije	organizacija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Voditelj	voditelj	Ncmsn
organizacije	organizacija	Ncfsg
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
mora	morati	Vmr3s
imati	imati	Vmn
suglasnost	suglasnost	Ncfsa
Agencije	agencija	Ncfsg
.	.	Z

Zahtjev	zahtjev	Ncmsn
za	za	Sa
ishođenje	ishođenje	Ncnsa
suglasnosti	suglasnost	Ncfsg
podnosi	podnositi	Vmr3s
organizacija	organizacija	Ncfsn
za	za	Sa
osposobljavanje	osposobljavanje	Ncnsa
.	.	Z

Zahtjev	zahtjev	Ncmsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
životopis	životopis	Ncmsan
kandidata	kandidat	Ncmpg
,	,	Z
dokaze	dokaz	Ncmpa
o	o	Sl
završenoj	završen	Agpfsly
stručnoj	stručan	Agpfsly
spremi	sprema	Ncfsl
i	i	Cc
radnom	radni	Agpnsdy
iskustvu	iskustvo	Ncnsd
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Voditelj	voditelj	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
završen	završiti	Appmsnn
najmanje	malo	Rgs
dodiplomski	dodiplomski	Agpmsny
studij	studij	Ncmsn
i	i	Cc
najmanje	malo	Rgs
pet	pet	Mlc
godina	godina	Ncfpg
radnog	radni	Agpnsgy
iskustva	iskustvo	Ncnsg
na	na	Sl
poslovima	posao	Ncmpl
upravljanja	upravljanje	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Agencija	agencija	Ncfsn
utvrđuje	utvrđivati	Vmr3s
udovoljavanje	udovoljavanje	Ncnsa
uvjetima	uvjet	Ncmpi
propisanim	propisati	Agpfpiy
odredbama	odredba	Ncfpi
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
:	:	Z

a	a	Cc
)	)	Z
dostavljenih	dostaviti	Appmpgy
dokumenata	dokument	Ncmpg
kojim	koji	Pi-msi
se	sebe	Px--sa
dokazuje	dokazivati	Vmr3s
stručna	stručan	Agpfsny
sprema	sprema	Ncfsn
i	i	Cc
radno	radni	Agpnsay
iskustvo	iskustvo	Ncnsa
i	i	Cc

b	b	I
)	)	Z
provjere	provjera	Ncfpa
kandidata	kandidat	Ncmpg
od	od	Sg
strane	strana	Ncfsg
ovlaštenih	ovlašten	Agpmpgy
inspektora	inspektor	Ncmpg
Agencije	agencija	Ncfsg
,	,	Z
na	na	Sl
kojoj	koji	Pi-fsl
mora	morati	Vmr3s
pokazati	pokazati	Vmn
poznavanje	poznavanje	Ncnsa
:	:	Z

1.	1.	Mdo
osnova	osnova	Ncfsn
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
i	i	Cc

2.	2.	Mdo
zrakoplovnih	zrakoplovan	Agpmpgy
propisa	propis	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
dijelom	dio	Ncmsi
ili	ili	Cc
u	u	Sl
cijelosti	cijelost	Ncfsl
odnose	odnositi	Vmr3p
na	na	Sa
aerodrome	aerodrom	Ncmpa
i	i	Cc
pružanje	pružanje	Ncnsa
zemaljskih	zemaljski	Agpfpgy
usluga	usluga	Ncfpg
te	te	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
od	od	Sg
značaja	značaj	Ncmsg
za	za	Sa
sigurnost	sigurnost	Ncfsa
zračnog	zračan	Agpmsgy
prometa	promet	Ncmsg
na	na	Sl
aerodromu	aerodrom	Ncmsl
.	.	Z

Instruktori	instruktor	Ncmpn

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Organizacija	organizacija	Ncfsn
za	za	Sa
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
mora	morati	Vmr3s
osigurati	osigurati	Vmn
najmanje	malo	Rgs
jednog	jedan	Mlcmsg
instruktora	instruktor	Ncmsg
koji	koji	Pi-msn
udovoljava	udovoljavati	Vmr3s
uvjetima	uvjet	Ncmpi
propisanim	propisati	Appmsiy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
za	za	Sa
svaki	svaki	Pi-msan
pojedini	pojedini	Agpmsny
stručni	stručan	Agpmsny
predmet	predmet	Ncmsn
sadržan	sadržati	Appmsnn
u	u	Sl
odobrenom	odobren	Agpmsly
programu	program	Ncmsl
stručnog	stručan	Agpnsgy
osposobljavanja	osposobljavanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Instruktor	instruktor	Ncmsn
za	za	Sa
pojedini	pojedini	Agpmsayn
stručni	stručan	Agpmsayn
predmet	predmet	Ncmsan
mora	morati	Vmr3s
imati	imati	Vmn
:	:	Z

a	a	Cc
)	)	Z
završen	završiti	Appmsnn
tečaj	tečaj	Ncmsn
o	o	Sl
tehnikama	tehnika	Ncfpl
podučavanja	podučavanje	Ncnsg
i	i	Cc

b	b	Npmsn
)	)	Z
najmanje	malo	Rgs
tri	tri	Mlc
godine	godina	Ncfsg
radnog	radni	Agpnsgy
iskustva	iskustvo	Ncnsg
iz	iz	Sg
područja	područje	Ncnsg
za	za	Sa
koje	koji	Pi-mpa
provodi	provoditi	Vmr3s
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
i	i	Cc
važeću	važeći	Agpfsay
potvrdu	potvrda	Ncfsa
o	o	Sl
stručnoj	stručan	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
za	za	Sa
rad	rad	Ncmsan
na	na	Sl
poslovima	posao	Ncmpl
za	za	Sa
koje	koji	Pi-mpa
obavlja	obavljati	Vmr3s
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Instruktor	instruktor	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
suglasnost	suglasnost	Ncfsa
Agencije	agencija	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
instruktora	instruktor	Ncmpg
za	za	Sa
određeni	određen	Agpmsayn
stručni	stručan	Agpmsayn
predmet	predmet	Ncmsan
.	.	Z

