informacije	informacija	Ncfpa
podsustava	podsustav	Ncmsg
s	sa	Si
nacionalnim	nacionalan	Agpnpiy
pravilima	pravilo	Ncnpi
prijavljenima	prijaviti	Ncmpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
47.	47.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

3.2.	3.2.	Mdo

Potvrda	potvrda	Ncfsn
o	o	Sl
provjeri	provjera	Ncfsl

Imenovano	imenovati	Agpnsny
tijelo	tijelo	Ncnsn
sastavlja	sastavljati	Vmr3s
potvrdu	potvrda	Ncfsa
o	o	Sl
provjeri	provjera	Ncfsl
namijenjenu	namijenjen	Agpfsay
podnositelju	podnositelj	Ncfsa
zahtjeva	zahtjev	Ncmpg
.	.	Z

Potvrda	potvrda	Ncfsn
sadržava	sadržavati	Vmr3s
točnu	točan	Agpfsay
uputu	uputa	Ncfsa
na	na	Sa
nacionalna	nacionalan	Agpnpay
pravila	pravilo	Ncnpa
čiju	čiji	Pi-fsa
je	biti	Var3s
sukladnost	sukladnost	Ncfsn
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
provjere	provjera	Ncfsg
ocijenilo	ocijeniti	Vmp-sn
imenovano	imenovati	Agpnsay
tijelo	tijelo	Ncnsa
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
nacionalnih	nacionalan	Agpnpgy
pravila	pravilo	Ncnpg
povezanih	povezan	Agpfpgy
s	sa	Si
podsustavima	podsustav	Ncmpi
od	od	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
sastoji	sastojati	Vmr3s
vozilo	vozilo	Ncnsa
,	,	Z
imenovano	imenovati	Agpnsny
tijelo	tijelo	Ncnsn
dijeli	dijeliti	Vmr3s
potvrdu	potvrda	Ncfsa
na	na	Sa
dva	dva	Mlc
dijela	dio	Ncmsg
,	,	Z
gdje	gdje	Cs
je	biti	Var3s
u	u	Sl
prvom	prvi	Mlomsl
dijelu	dio	Ncmsl
navedeno	naveden	Agpnsny
upućivanje	upućivanje	Ncnsn
na	na	Sa
ona	onaj	Agpnpay
nacionalna	nacionalan	Agpnpay
pravila	pravilo	Ncnpa
koja	koji	Pi-npa
se	sebe	Px--sa
strogo	strogo	Rgp
odnose	odnositi	Vmr3p
na	na	Sa
tehničku	tehnički	Agpfsay
kompatibilnost	kompatibilnost	Ncfsa
između	između	Sg
vozila	vozilo	Ncnpg
i	i	Cc
dotične	dotičan	Agpfpay
mreže	mreža	Ncfpa
,	,	Z
a	a	Cc
u	u	Sl
drugom	drug	Ncfsl
upućivanje	upućivanje	Ncnsa
na	na	Sa
sva	sav	Agpnpay
ostala	ostali	Agpnpay
nacionalna	nacionalan	Agpnpay
pravila	pravilo	Ncnpa
.	.	Z

3.3.	3.3.	Mdo

Tehnička	tehnički	Agpfsny
dokumentacija	dokumentacija	Ncfsn

Tehnička	tehnički	Agpfsny
dokumentacija	dokumentacija	Ncfsn
koju	koji	Pi-fsa
je	biti	Var3s
sastavilo	sastaviti	Vmp-sn
imenovano	imenovati	Agpnsny
tijelo	tijelo	Ncnsn
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
se	sebe	Px--sa
prilaže	prilagati	Vmr3s
uz	uz	Sa
potvrdu	potvrda	Ncfsa
o	o	Sl
provjeri	provjera	Ncfsl
u	u	Sl
slučaju	slučaj	Ncmsl
nacionalnih	nacionalan	Agpnpgy
pravila	pravilo	Ncnpg
,	,	Z
mora	morati	Vmr3s
biti	biti	Van
uključena	uključen	Agpfsny
u	u	Sa
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
priloženoj	priložen	Agpfsly
»	»	Z
EZ	EZ	Npmsn
«	«	Z
izjavi	izjaviti	Vmr3s
o	o	Sl
provjeri	provjera	Ncfsl
iz	iz	Sg
točke	točka	Ncfsg
2.4.	2.4.	Mdo
i	i	Cc
sadržavati	sadržavati	Vmn
tehničke	tehnički	Agpmpay
podatke	podatak	Ncmpa
od	od	Sg
važnosti	važnost	Ncfsg
za	za	Sa
ocjenu	ocjena	Ncfsa
sukladnosti	sukladnost	Ncfsg
podsustava	podsustav	Ncmsg
s	sa	Si
nacionalnim	nacionalan	Agpnpiy
pravilima	pravilo	Ncnpi
.	.	Z

3.4.	3.4.	Mdo

Jezik	jezik	Ncmsn

Dokumentacija	dokumentacija	Ncfsn
i	i	Cc
dopisi	dopis	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
postupak	postupak	Ncmsan
»	»	Z
EZ	EZ	Npmsan
«	«	Z
provjere	provjera	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
sastavljeni	sastaviti	Appmpny
na	na	Sl
službenom	služben	Agpmsly
jeziku	jezik	Ncmsl
države	država	Ncfsg
članice	članica	Ncfsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
ima	imati	Vmr3s
poslovni	poslovan	Agpmsayn
nastan	nastan	Ncmsan
ili	ili	Cc
na	na	Sl
službenom	služben	Agpmsly
jeziku	jezik	Ncmsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
koji	koji	Pi-msn
prihvati	prihvatiti	Vmr3s
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
.	.	Z

4.	4.	Mdo
PROVJERA	provjera	Ncfsn
DIJELOVA	dio	Ncmpg
PODSUSTAVA	podsustav	Ncmsg

Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
Priloga	prilog	Ncmsg
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
i	i	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
izdaje	izdavati	Vmr3s
potvrdu	potvrda	Ncfsa
o	o	Sl
provjeri	provjera	Ncfsl
za	za	Sa
određene	određen	Agpmpay
dijelove	dio	Ncmpa
podsustava	podsustav	Ncmsg
.	.	Z
«	«	Z
.	.	Z

