koju	koji	Pi-fsa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
donijeti	donijeti	Vmn
odluku	odluka	Ncfsa
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
kako	kako	Cs
je	biti	Var3s
navedeno	navesti	Appnsny
u	u	Sl
članku	članak	Ncmsl
26.	26.	Mdo
i	i	Cc
27.	27.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
17	17	Mdc
)	)	Z
Nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
s	sa	Si
korisnikom	korisnik	Ncmsi
sklopiti	sklopiti	Vmn
ugovor	ugovor	Ncmsan
o	o	Sl
financiranju	financiranje	Ncnsl
.	.	Z

(	(	Z
18	18	Mdc
)	)	Z
Najviši	visok	Agpmsny
iznos	iznos	Ncmsn
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
koji	koji	Pi-msn
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
odlukom	odluka	Ncfsi
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
i	i	Cc
ugovorom	ugovor	Ncmsi
o	o	Sl
financiranju	financiranje	Ncnsl
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
veći	velik	Agcmsayn
od	od	Sg
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
za	za	Sa
dodjelu	dodjela	Ncfsa
traženog	tražen	Agpnsgy
u	u	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
19	19	Mdc
)	)	Z
Nakon	nakon	Sg
sklapanja	sklapanje	Ncnsg
ugovora	ugovor	Ncmsg
o	o	Sl
financiranju	financiranje	Ncnsl
korisnik	korisnik	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsd
za	za	Sa
plaćanje	plaćanje	Ncnsa
odabrane	odabrati	Agpfpay
ponude	ponuda	Ncfpa
i	i	Cc
račune	račun	Ncmpa
za	za	Sa
nastale	nastao	Agpmpay
opće	opći	Agpmpay
troškove	trošak	Ncmpa
,	,	Z
sukladno	sukladan	Agpnsay
članku	članak	Ncmsl
22.	22.	Mdo
i	i	Cc
23.	23.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
20	20	Mdc
)	)	Z
Ulaganja	ulaganje	Ncnsg
iz	iz	Sg
ponuda	ponuda	Ncfpg
i	i	Cc
računa	računati	Vmr3s
iz	iz	Sg
stavka	stavak	Ncmsg
19.	19.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
prihvatljiva	prihvatljiv	Agpfsny
sukladno	sukladan	Agpnsny
ovome	ovaj	Pd-msd
Pravilniku	pravilnik	Ncmsd
i	i	Cc
listi	lista	Ncfsl
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
kako	kako	Cs
bi	biti	Vaa3s
bila	biti	Vap-sf
predmet	predmet	Ncmsn
sufinanciranja	sufinanciranje	Ncnsg
iz	iz	Sg
EPFRR-a	EPFRR	Npmsg
.	.	Z

(	(	Z
21	21	Mdc
)	)	Z
Korisniku	korisnik	Ncmsl
će	htjeti	Var3p
nakon	nakon	Sg
završene	završen	Agpfsgy
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
biti	biti	Van
dodijeljen	dodijeliti	Appmsnn
iznos	iznos	Ncmsn
potpore	potpora	Ncfsg
temeljem	temelj	Ncmsi
odabranih	odabrati	Agpfpgy
ponuda	ponuda	Ncfpg
.	.	Z

Dodijeljeni	dodijeljen	Agpmsny
iznos	iznos	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
veći	velik	Agcmsny
od	od	Sg
traženog	tražen	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
korisniku	korisnik	Ncmsd
dodijeljen	dodijeliti	Appmsnn
odlukom	odluka	Ncfsi
o	o	Sl
prihvatljivosti	prihvatljivost	Ncfsl
i	i	Cc
ugovorom	ugovor	Ncmsi
o	o	Sl
financiranju	financiranje	Ncnsl
.	.	Z

Objava	objava	Ncfsn
poziva	pozivati	Vmr3s
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ponuda	ponuda	Ncfpg

Članak	članak	Ncmsn
22.	22.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obveze	obveza	Ncfpn
iz	iz	Sg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
korisnike	korisnik	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
obveznici	obveznik	Ncmpn
provedbe	provedba	Ncfsg
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
prema	prema	Sl
propisima	propis	Ncmpl
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
postupak	postupak	Ncmsan
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
provode	provoditi	Vmr3p
bagatelnu	bagatelan	Agpfsay
nabavu	nabava	Ncfsa
,	,	Z
te	te	Cc
na	na	Sa
troškove	trošak	Ncmpa
/	/	Z
nabave	nabava	Ncfpa
iz	iz	Sg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
8.5.1.	8.5.1a	Ncfsg
gdje	gdje	Cs
se	sebe	Px--sa
potpora	potpora	Ncfsn
dodjeljuje	dodjeljivati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
standardnih	standardan	Agpmpgy
troškova	trošak	Ncmpg
iz	iz	Sg
Priloga	Prili	Npmsg
II	ii	Mro
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn

