planirale	planirati	Vmp-pf
3.7.	3.7.	Mdo

Pristup	pristup	Ncmsn
imovini	imovina	Ncfsl
i	i	Cc
informacijama	informacija	Ncfpl

Ključni	ključan	Agpmpny
zahtjevi	zahtjev	Ncmpn
:	:	Z

3.7.1.	3.7.1.	Mdo

Definirana	definirati	Agpnpny
su	biti	Var3p
ograničenja	ograničenje	Ncnpn
za	za	Sa
pristup	pristup	Ncmsan
imovini	imovina	Ncfsl
i	i	Cc
informacijama	informacija	Ncfpl
radi	radi	Sg
smanjenja	smanjenje	Ncnsg
rizika	rizik	Ncmsg
od	od	Sg
njihovog	njihov	Ps3nsg
neadekvatnog	neadekvatan	Agpnsgy
korištenja	korištenje	Ncnsg
.	.	Z

3.7.2.	3.7.2.	Mdo

Vrsta	vrsta	Ncfsn
ograničenja	ograničenje	Ncnsg
određena	odrediti	Appfsny
je	biti	Var3s
ovisno	ovisno	Rgp
o	o	Sl
vrsti	vrsta	Ncfsl
imovine	imovina	Ncfsg
i	i	Cc
informacija	informacija	Ncfpg
te	te	Cc
procijenjenom	procijeniti	Agpmsly
riziku	rizik	Ncmsl
mogućih	moguć	Agpmpgy
gubitaka	gubitak	Ncmpg
,	,	Z
zlouporabe	zlouporaba	Ncfsg
i	i	Cc
neovlaštenog	neovlašten	Agpnsgy
otuđenja	otuđenje	Ncnsg
.	.	Z

3.7.3.	3.7.3.	Mdo

Provodi	provoditi	Vmr3s
se	sebe	Px--sa
godišnji	godišnji	Agpmsny
popis	popis	Ncmsn
imovine	imovina	Ncfsg
i	i	Cc
obveza	obveza	Ncfpg
.	.	Z

4.	4.	Mdo
INFORMACIJE	informacija	Ncfpn
I	i	Cc
KOMUNIKACIJA	komunikacija	Ncfsn

4.1.	4.1.	Mdo

Informacije	informacija	Ncfpn
i	i	Cc
komunikacija	komunikacija	Ncfsn

Ključni	ključan	Agpmpny
zahtjevi	zahtjev	Ncmpn
:	:	Z

4.1.1.	4.1.1.	Mdo

Uspostavljen	uspostaviti	Appmsnn
je	biti	Var3s
interni	interni	Agpmsny
sustav	sustav	Ncmsn
izvještavanja	izvještavanje	Ncnsg
kroz	kroz	Sa
koji	koji	Pi-mpn
se	sebe	Px--sa
osiguravaju	osiguravati	Vmr3p
pravovremeni	pravovremen	Agpmpny
,	,	Z
točni	točan	Agpmpny
i	i	Cc
potpuni	potpun	Agpmpny
podaci	podatak	Ncmpn
i	i	Cc
informacije	informacija	Ncfpa
te	te	Cc
njihova	njihov	Ps3fsn
razmjena	razmjena	Ncfsn
između	između	Sg
unutarnjih	unutarnji	Agpfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
za	za	Sa
potrebe	potreba	Ncfpa
planiranja	planiranje	Ncnsg
i	i	Cc
izvršenja	izvršenje	Ncnsg
proračuna	proračun	Ncmsg
odnosno	odnosno	Rgp
financijskog	financijski	Agpmsgy
plana	plan	Ncmsg
,	,	Z
provedbe	provedba	Ncfsg
programa	program	Ncmpg
,	,	Z
projekata	projekat	Ncmpg
i	i	Cc
aktivnosti	aktivnost	Ncfpg
,	,	Z
praćenja	praćenje	Ncnsg
realizacije	realizacija	Ncfsg
poslovnih	poslovan	Agpmpgy
ciljeva	cilj	Ncmpg
i	i	Cc
utrošenih	utrošiti	Appmpgy
financijskih	financijski	Agpnpgy
sredstava	sredstvo	Ncnpg
.	.	Z

4.1.2.	4.1.2.	Mdo

Poduzimaju	poduzimati	Vmr3p
se	sebe	Px--sa
aktivnosti	aktivnost	Ncfpn
vezane	vezan	Agpfsgy
uz	uz	Sa
razvoj	razvoj	Ncmsan
računovodstvenih	računovodstveni	Agpmpgy
sustava	sustav	Ncmpg
,	,	Z
uključujući	uključivati	Rr
troškovno	troškovan	Agpnsay
i	i	Cc
upravljačko	upravljački	Agpnsay
računovodstvo	računovodstvo	Ncnsa
te	te	Cc
drugih	drugi	Mlompg
sustava	sustav	Ncmpg
evidencija	evidencija	Ncfpg
i	i	Cc
baza	baza	Ncfpg
podataka	podatak	Ncmpg
o	o	Sl
ciljevima	cilj	Ncmpl
,	,	Z
rizicima	rizik	Ncmpl
te	te	Cc
drugim	drugi	Agpmsiy
financijskim	financijski	Agpmsiy
i	i	Cc
nefinancijskim	nefinancijski	Agpfply
informacijama	informacija	Ncfpl
ovisno	ovisno	Rgp
o	o	Sl
potrebama	potreba	Ncfpl
i	i	Cc
posebnostima	posebnost	Ncfpl
poslovanja	poslovanje	Ncnsg
.	.	Z

4.1.3.	4.1.3.	Mdo

Definiran	definirati	Appmsnn
je	biti	Var3s
postupak	postupak	Ncmsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dokumentima	dokument	Ncmpi
(	(	Z
organizirano	organiziran	Agpnsny
je	biti	Var3s
primanje	primanje	Ncnsn
i	i	Cc
slanje	slanje	Ncnsa
,	,	Z
evidentiranje	evidentiranje	Ncnsa
i	i	Cc
pohranjivanje	pohranjivanje	Ncnsa
dokumenata	dokument	Ncmpg
na	na	Sa
način	način	Ncmsan
da	da	Cs
su	biti	Var3p
dokumenti	dokument	Ncmpn
dostupni	dostupan	Agpmpny
rukovoditeljima	rukovoditelj	Ncmpi
i	i	Cc
zaposlenicima	zaposlenik	Ncmpi
,	,	Z
kao	kao	Cs
i	i	Qo
na	na	Sa
zahtjev	zahtjev	Ncmsan
trećih	treći	Mlofpg
strana	strana	Ncfpg
osim	osim	Cs
ako	ako	Cs
zakonom	zakon	Ncmsi
nije	biti	Var3s
drukčije	drugačije	Rgp
propisano	propisati	Appnsny
)	)	Z
te	te	Cc
je	biti	Var3s
njihovo	njihov	Ps3nsn
čuvanje	čuvanje	Ncnsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
regulatornim	regulatoran	Agpmsiy
okvirom	okvir	Ncmsi
i	i	Cc
internim	interni	Agpmpiy
aktima	akt	Ncmpi
.	.	Z

4.1.4.	4.1.4.	Mdo

Definiran	definirati	Appmsnn
je	biti	Var3s
način	način	Ncmsn
razmjene	razmjena	Ncfsg
informacija	informacija	Ncfsn
između	između	Sg
institucije	institucija	Ncfsg
i	i	Cc
institucija	institucija	Ncfpg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
.	.	Z

4.1.5.	4.1.5.	Mdo

Uspostavljen	uspostaviti	Appmsnn
je	biti	Var3s
sustav	sustav	Ncmsn
komunikacije	komunikacija	Ncfsg
s	sa	Si
građanima	građanin	Ncmpi
odnosno	odnosno	Rgp
s	sa	Si
korisnicima	korisnik	Ncmpi
usluga	usluga	Ncfpg
putem	put	Sg
kojeg	koji	Pi-msan
mogu	moći	Vmr3p
dati	dati	Vmn
prijedloge	prijedlog	Ncmpa
za	za	Sa
unapređenja	unapređenj	Ncfpa
u	u	Sl
pružanju	pružanje	Ncnsl
usluga	usluga	Ncfpg
.	.	Z

4.1.6.	4.1.6.	Mdo

Izrađen	izraditi	Appmsnn
je	biti	Var3s
i	i	Cc
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
postupak	postupak	Ncmsn
za	za	Sa
podnošenje	podnošenje	Ncnsa
pritužbe	pritužba	Ncfsg
(	(	Z
pisano	pisan	Agpnsny
izraženo	izraziti	Agpnsny
nezadovoljstvo	nezadovoljstvo	Ncnsn
)	)	Z
i	i	Cc
prigovora	prigovor	Ncmpg
(	(	Z
usmeno	usmeno	Rgp
izraženo	izraziti	Agpnsny
nezadovoljstvo	nezadovoljstvo	Ncnsn
)	)	Z
.	.	Z

4.1.7.	4.1.7.	Mdo

Postoji	postojati	Vmr3s
kontakt	kontakt	Ncmsan
adresa	adresa	Ncfpg
za	za	Sa
anonimne	anoniman	Agpfpay
prijave	prijava	Ncfpa
nepravilnosti	nepravilnost	Ncfsg
,	,	Z
pritužbe	pritužba	Ncfsg
i	i	Cc
slično	sličan	Agpnsny
.	.	Z

4.1.8.	4.1.8.	Mdo

Imenovana	imenovati	Appfsny
je	biti	Var3s
osoba	osoba	Ncfsn
za	za	Sa
nepravilnosti	nepravilnost	Ncfpa
,	,	Z
gdje	gdje	Rgp
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
.	.	Z

4.1.9.	4.1.9.	Mdo

Definiran	definirati	Appmsnn
je	biti	Var3s
način	način	Ncmsn
postupanja	postupanje	Ncnsg
po	po	Sl
prijavljenim	prijaviti	Agpfply
nepravilnostima	nepravilnost	Ncfpl
i	i	Cc
izvještavanja	izvještavanje	Ncnsg
o	o	Sl
uočenim	uočiti	Agpfply
nepravilnostima	nepravilnost	Ncfpl
u	u	Sl
poslovanju	poslovanje	Ncnsl
.	.	Z

4.1.10.	4.1.10.	Mdo

Zaposlenici	zaposlenik	Ncmpn
institucije	institucija	Ncfsg
i	i	Cc
institucija	institucija	Ncfpg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
upoznati	upoznati	Appmpny
su	biti	Var3p
s	sa	Si
načinom	način	Ncmsi
postupanja	postupanje	Ncnsg
u	u	Sl
slučaju	slučaj	Ncmsl
uočenih	uočiti	Appfpgy
nepravilnosti	nepravilnost	Ncfpg
.	.	Z

5.	5.	Mdo
PRAĆENJE	praćenje	Ncnsn
I	i	Cc
PROCJENA	procjena	Ncfsn
SUSTAVA	sustav	Ncmsg

5.1.	5.1.	Mdo

Stalno	stalan	Agpnsny
praćenje	praćenje	Ncnsn
i	i	Cc
samoprocjena	samoprocjena	Ncfpg

Ključni	ključan	Agpmpny
zahtjevi	zahtjev	Ncmpn
:	:	Z

5.1.1.	5.1.1.	Mdo

Aktivnosti	aktivnost	Ncfpn
stalnog	stalan	Agpnsgy
praćenja	praćenje	Ncnsg
se	sebe	Px--sa
odvijaju	odvijati	Vmr3p
tijekom	tijekom	Sg
poslovanja	poslovanje	Ncnsg
,	,	Z
a	a	Cc
uključuju	uključivati	Vmr3p
redovne	redovan	Agpfpny
upravljačke	upravljački	Agpfpny
i	i	Cc
nadzorne	nadzorni	Agpfsgy
aktivnosti	aktivnost	Ncfsg
te	te	Cc
druge	drugi	Mlofpn
radnje	radnja	Ncfpn
koje	koji	Pi-fpn
zaposlenici	zaposlenik	Ncmpn
poduzimaju	poduzimati	Vmr3p
pri	pri	Sl
obavljanju	obavljanje	Ncnsl
svojih	svoj	Px-fpg
dužnosti	dužnost	Ncfpg
.	.	Z

5.1.2.	5.1.2.	Mdo

Postupak	postupak	Ncmsn
samoprocjene	samoprocjena	Ncfsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
najmanje	malo	Rgs
jednom	jednom	Rgp
godišnje	godišnje	Rgp
sukladno	sukladno	Rgp
propisima	propis	Ncmpi
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
davanje	davanje	Ncnsa
Izjave	izjava	Ncfsg
o	o	Sl
fiskalnoj	fiskalan	Agpfsly
odgovornosti	odgovornost	Ncfsl
.	.	Z

5.1.3.	5.1.3.	Mdo

Izrađuje	izrađivati	Vmr3s
se	sebe	Px--sa
i	i	Cc
provodi	provoditi	Vmr3s
plan	plan	Ncmsn
otklanjanja	otklanjanje	Ncnsg
slabosti	slabost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
.	.	Z

5.1.4.	5.1.4.	Mdo

Prati	pratiti	Vmr3s
se	sebe	Px--sa
provedba	provedba	Ncfsn
plana	plan	Ncmsg
otklanjanja	otklanjanje	Ncnsg
slabosti	slabost	Ncfsg
i	i	Cc
nepravilnosti	nepravilnost	Ncfsg
u	u	Sl
instituciji	institucija	Ncfsl
i	i	Cc
u	u	Sl

