Acetaminofen	Acetaminofen	Npmsn
liječnika	liječnik	Ncmpg
specijalista	specijalist	Ncmpg
citologa	citolog	Ncmsg
.	.	Z

Odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
dodatne	dodatan	Agpmpay
citološke	citološki	Agpmpay
uzorke	uzorak	Ncmpa
tekućih	tekući	Agpmpgy
uzoraka	uzorak	Ncmpg
,	,	Z
urina	urin	Ncmsg
,	,	Z
sekreta	sekret	Ncmsg
dojke	dojka	Ncfsg
,	,	Z
sputuma	sputum	Ncmsg
i	i	Cc
sl.	sl.	Y
0,71	0,71	Mdc
156,20	156,20	Mdc
LC019	LC019	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
briseva	bris	Ncmpg
sluznice	sluznica	Ncfsg
/	/	Z
skarifikata	skarifikat	Ncmsg
kože	koža	Ncfsg
Uključuje	uključivati	Vmr3s

