Ovr-2977	Ovr-2977	X
vlasnik	vlasnik	Ncmsn
'	'	Z
(	(	Z
str.	str.	Y
5	5	Mdc
)	)	Z
u	u	Sl
gruboj	grub	Agpfsly
je	biti	Var3s
i	i	Qo
izravnoj	izravan	Agpfsly
suprotnosti	suprotnost	Ncfsl
s	sa	Si
izrekom	izreka	Ncfsi
pravomoćne	pravomoćan	Agpfsgy
presude	presuda	Ncfsg
P-710	P-710	Mdc
/	/	Z
08	08	Mdc
,	,	Z
kojom	koji	Pi-fsi
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
utvrđen	utvrditi	Appmsnn
upravo	upravo	Rgp
izvanknjižnim	izvanknjižni	Agpmsiy
vlasnikom	vlasnik	Ncmsi
.	.	Z

Osporena	osporiti	Appfsny
presuda	presuda	Ncfsn
jednostavno	jednostavno	Rgp
odbija	odbijati	Vmr3s
prihvatiti	prihvatiti	Vmn
da	da	Cs
postoji	postojati	Vmr3s
pravomoćna	pravomoćan	Agpfsny
presuda	presuda	Ncfsn
kojom	koji	Pi-fsi
je	biti	Var3s
vezan	vezan	Agpmsnn
.	.	Z

Time	taj	Pd-nsi
faktično	faktičan	Agpnsny
ukida	ukidati	Vmr3s
pravo	pravo	Ncnsa
vlasništva	vlasništvo	Ncnsg
podnositelja	podnositelj	Ncmpg
koje	koji	Pi-nsn
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
u	u	Sl
sudskom	sudski	Agpmsly
postupku	postupak	Ncmsl
pravomoćnom	pravomoćan	Agpfsiy
odlukom	odluka	Ncfsi
.	.	Z

Pobijana	pobijati	Appfsny
presuda	presuda	Ncfsn
potpuno	potpuno	Rgp
ignorira	ignorirati	Vmr3s
notorna	notoran	Agpnpay
procesna	procesni	Agpnpay
pravila	pravilo	Ncnpa
o	o	Sl
svojstvu	svojstvo	Ncnsl
i	i	Cc
utjecaju	utjecaj	Ncmsl
pravomoćnosti	pravomoćnost	Ncfsg
sudskih	sudski	Agpfpgy
odluka	odluka	Ncfpg
.	.	Z

Ta	taj	Pd-npn
pravila	pravilo	Ncnpn
u	u	Sl
cijelosti	cijelost	Ncfsl
isključuju	isključivati	Vmr3p
mogućnost	mogućnost	Ncfsa
ponovnog	ponovan	Agpmsgy
(	(	Z
a	a	Cc
pogotovo	pogotovo	Rgp
drugačijeg	drugačiji	Agpnsgy
)	)	Z
suđenja	suđenje	Ncnsg
o	o	Sl
postojanju	postojanje	Ncnsl
ili	ili	Cc
nepostojanju	nepostojanje	Ncnsl
nekog	neki	Pi-msg
pravnog	pravni	Agpmsgy
odnosa	odnos	Ncmsg
–	–	Z
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
prava	pravo	Ncnpg
(	(	Z
izvanknjižnog	izvanknjižni	Agpmsgy
)	)	Z
vlasništva	vlasništvo	Ncnsg
.	.	Z
...	...	Z

Izravna	izravan	Agpfsny
posljedica	posljedica	Ncfsn
osporene	osporiti	Agpfsgy
presude	presuda	Ncfsg
,	,	Z
ukoliko	ukoliko	Cs
ne	ne	Qz
bi	biti	Vaa3s
bila	biti	Vap-sf
ukinuta	ukinuti	Appfsny
,	,	Z
je	biti	Var3s
gubitak	gubitak	Ncmsn
valjano	valjano	Rgp
stečenog	steći	Agpnsgy
prava	pravo	Ncnsg
vlasništva	vlasništvo	Ncnsg
podnositelja	podnositelj	Ncmpg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
.	.	Z

Ovo	ovaj	Pd-nsn
tim	tim	Ncmsn
prije	prija	Cs
što	što	Cs
je	biti	Var3s
postupak	postupak	Ncmsn
ovrhe	ovrha	Ncfsg
nastavljen	nastaviti	Appmsnn
neovisno	neovisno	Rgp
o	o	Sl
parničnom	parnični	Agpmsly
postupku	postupak	Ncmsl
radi	radi	Sg
nedopuštenosti	nedopuštenost	Ncfsg
ovrhe	ovrha	Ncfsg
,	,	Z
pa	pa	Cc
je	biti	Var3s
tako	tako	Rgp
zaključkom	zaključak	Ncmsi
Općinskog	općinski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Opatiji	opatija	Ncfsl
broj	broj	Ncmsn
Ovr-215	Ovr-215	Mds
/	/	Z
12	12	Mdc
već	već	Rgp
za	za	Sa
20.7.2015.	20.7.2015.	Mdo
zakazano	zakazan	Agpnsay
ročište	ročište	Ncnsa
uza	uz	Sa
prodaju	prodaja	Ncfsa
predmetnog	predmetni	Agpmsgy
stana	stan	Ncmsg
podnositelja	podnositelj	Ncmpg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
.	.	Z

Nesumnjivo	nesumnjiv	Agpnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
osporena	osporiti	Appfsny
presuda	presuda	Ncfsn
donijeta	donijeti	Appfsny
uz	uz	Sa
najgrublju	grub	Agsfsay
povredu	povreda	Ncfsa
postupka	postupak	Ncmsg
.	.	Z

Opisane	opisati	Appfpny
procesne	procesni	Agpfpny
povrede	povreda	Ncfpn
su	biti	Var3p
takvog	takav	Pd-nsg
značenja	značenje	Ncnsg
da	da	Cs
sudski	sudski	Agpmsayn
postupak	postupak	Ncmsan
kao	kao	Cs
jedinstvenu	jedinstven	Agpfsay
cjelinu	cjelina	Ncfsa
čine	činiti	Vmr3p
posve	posve	Rgp
nepravičnim	nepravičan	Agpmsiy
za	za	Sa
podnositelja	podnositelj	Ncmsay
.	.	Z

Podnositelju	podnositelj	Ncmsl
tužbe	tužba	Ncfsg
sasvim	sasvim	Rgp
sigurno	siguran	Agpnsny
na	na	Sa
ovaj	ovaj	Pd-msan
način	način	Ncmsan
nije	biti	Var3s
osigurano	osigurati	Agpnsny
ustavno	ustavan	Agpnsny
jamstvo	jamstvo	Ncnsn
pravilnog	pravilan	Agpnsgy
suđenja	suđenje	Ncnsg
.	.	Z

Dapače	dapače	Rgp
,	,	Z
potpuno	potpuno	Rgp
mu	on	Pp3msd
je	biti	Var3s
uskraćena	uskratiti	Appfsny
djelotvorna	djelotvoran	Agpfsny
pravna	pravni	Agpfsny
zaštita	zaštita	Ncfsn
njegovog	njegov	Ps3msg
već	već	Rgp
ranije	rano	Rgc
stečenog	steći	Agpnsgy
prava	pravo	Ncnsg
vlasništva	vlasništvo	Ncnsg
.	.	Z

Time	taj	Pd-nsi
mu	on	Pp3msd
je	biti	Var3s
izvan	izvan	Sg
svake	svaki	Pi-fsg
sumnje	sumnja	Ncfsg
povrijeđeno	povrijeđen	Agpnsny
ustavno	ustavan	Agpnsny
pravo	pravo	Ncnsn
na	na	Sa
pravično	pravičan	Agpnsay
suđenje	suđenje	Ncnsa
iz	iz	Sg
čl.	čl.	Y
29.	29.	Mdo
st.	sta	Ncfsg
1.	1.	Mdo
Ustava	ustav	Ncmsg
RH	RH	Npfsg
.	.	Z

Budući	budući	Cs
da	da	Cs
je	biti	Var3s
učinak	učinak	Ncmsn
osporene	osporiti	Agpfsgy
presude	presuda	Ncfsg
takav	takav	Pd-msn
da	da	Cs
u	u	Sl
stvarnosti	stvarnost	Ncfsl
ukida	ukidati	Vmr3s
utvrđeno	utvrditi	Agpnsay
pravo	pravo	Ncnsa
vlasništva	vlasništvo	Ncnsg
,	,	Z
podnositelju	podnositelj	Ncmsl
tužbe	tužba	Ncfsg
povrijeđeno	povrijediti	Appnsny
je	biti	Var3s
ustavno	ustavan	Agpnsny
i	i	Cc
konvencijsko	konvencijski	Agpnsny
pravo	pravo	Ncnsn
na	na	Sa
nepovredivost	nepovredivost	Ncfsa
doma	dom	Ncmsg
iz	iz	Sg
čl.	čla	Ncfsg
34.	34.	Mdo
st.	sta	Ncfsg
1.	1.	Mdo
Ustava	ustav	Ncmsg
i	i	Cc
čl.	čl.	Y
8.	8.	Mdo
EKLJP	eklj	Ncmpg
te	te	Cc
ustavna	ustavan	Agpfsny
i	i	Cc
konvencijska	konvencijski	Agpnpay
prava	pravo	Ncnpa
kojima	koji	Pi-npi
se	sebe	Px--sa
jamči	jamčiti	Vmr3s
pravo	pravo	Ncnsa
vlasništva	vlasništvo	Ncnsg
(	(	Z
čl.	čl.	Y
48.	48.	Mdo
st.	st.	Y
1.	1.	Mdo
,	,	Z
čl.	čl.	Y
1.	1.	Mdo
prvog	prvi	Mlomsg
Protokola	protokol	Ncmsg
uz	uz	Sa
EKLJP	EKLJP	Npmsan
)	)	Z
i	i	Cc
priječi	priječiti	Vmr3s
nezakonito	nezakonit	Agpnsny
ograničavanje	ograničavanje	Ncnsn
ili	ili	Cc
oduzimanje	oduzimanje	Ncnsa
vlasništva	vlasništvo	Ncnsg
(	(	Z
čl.	čl.	Y
50.	50.	Mdo
st.	st.	Y
1.	1.	Mdo
)	)	Z
...	...	Z
«	«	Z

III	III	Mrc
.	.	Z

RAZLOZI	razlog	Ncmpn
PODNOSITELJA	podnositelj	Ncmpg
ZA	za	Sa
PREDLAGANJE	predlaganje	Ncnsa
ODGODE	odgoda	Ncfsg
IZVRŠENJA	izvršenje	Ncnsg
RJEŠENJA	rješenje	Ncnsg
I	i	Cc
ZAKLJUČKA	zaključak	Ncmsg
DONESENIH	donesen	Agpmpgy
U	u	Sl
OVRŠNOM	ovršni	Agpmsly
POSTUPKU	postupak	Ncmsl

4.	4.	Mdo
Podnositelj	podnositelj	Ncmsn
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
ističe	isticati	Vmr3s
:	:	Z

»	»	Z
...	...	Z

Primjenom	primjena	Ncfsi
metodologije	metodologija	Ncfsg
Europskog	europski	Agpmsgy
suda	sud	Ncmsg
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
o	o	Sl
opravdanosti	opravdanost	Ncfsl
miješanja	miješanje	Ncnsg
u	u	Sa
pravo	pravo	Ncnsa
na	na	Sa
dom	dom	Ncmsan
,	,	Z
nesporno	nesporno	Rgp
proizlazi	proizlaziti	Vmr3s
da	da	Cs
bi	biti	Vaa3s
provođenje	provođenje	Ncnsn
javne	javan	Agpfsgy
dražbe	dražba	Ncfsg
,	,	Z
sukladno	sukladno	Rgp
Zaključku	zaključak	Ncmsl
Općinskog	općinski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Opatiji	opatija	Ncfsl
broj	broj	Ncmsn
:	:	Z
Ovr-215	Ovr-215	Mds
/	/	Z
12	12	Mdc
od	od	Sg
6.	6.	Mdo
3.	3.	Mdo
2015.	2015.	Mdo
,	,	Z
kojim	koji	Pi-msi
je	biti	Var3s
zakazano	zakazan	Agpnsny
ročište	ročište	Ncnsn
za	za	Sa
prodaju	prodaja	Ncfsa
podnositeljevog	podnositeljev	Aspmsgy

