proračuna	proračun	Ncmsg
ograničen	ograničiti	Appmsnn
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
na	na	Sl
području	područje	Ncnsl
jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
koje	koji	Pi-fpn
izravno	izravno	Rgp
imaju	imati	Vmr3p
udjele	udjel	Ncmpa
odnosno	odnosno	Rgp
dionice	dionica	Ncfpa
u	u	Sl
temeljnom	temeljan	Agpmsly
kapitalu	kapital	Ncmsl
korisnika	korisnik	Ncmpg
ili	ili	Cc
su	biti	Var3p
osnivači	osnivač	Ncmpn
korisnika	korisnik	Ncmpg
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Po	po	Sl
istoj	isti	Agpfsly
jedinici	jedinica	Ncfsl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
isti	isti	Agpmsny
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
jedan	jedan	Mlcmsan
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
tijekom	tijekom	Sg
jednog	jedan	Mlcmsg
natječaja	natječaj	Ncmsg
za	za	Sa
tip	tip	Ncmsan
operacije	operacija	Ncfsg
7.2.1.	7.2.1.	Mds

(	(	Z
13	13	Mdc
)	)	Z
Tijekom	tijekom	Sg
jednog	jedan	Mlcmsg
natječaja	natječaj	Ncmsg
za	za	Sa
tip	tip	Ncmsan
operacije	operacija	Ncfsg
7.2.1.	7.2.1.	Agpmsny
isti	isti	Agpmsny
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
više	mnogo	Rgc
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
a	a	Cc
najviše	mnogo	Rgs
onoliko	onoliko	Rgp
koliki	koliki	Pi-msn
je	biti	Var3s
broj	broj	Ncmsn
jedinica	jedinica	Ncfsn
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
koje	koji	Pi-fpn
izravno	izravno	Rgp
imaju	imati	Vmr3p
udjele	udjel	Ncmpa
odnosno	odnosno	Rgp
dionice	dionica	Ncfpa
u	u	Sl
temeljnom	temeljan	Agpmsly
kapitalu	kapital	Ncmsl
korisnika	korisnik	Ncmpg
ili	ili	Cc
su	biti	Var3p
osnivači	osnivač	Ncmpn
korisnika	korisnik	Ncmpg
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
isti	isti	Agpmsny
korisnik	korisnik	Ncmsn
podnese	podnijeti	Vmr3s
više	mnogo	Rgc
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
unutar	unutar	Sg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
7.2.1.	7.2.1i	Agpnsny
po	po	Sl
istoj	isti	Agpfsly
jedinici	jedinica	Ncfsl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
tijekom	tijekom	Sg
jednog	jedan	Mlcmsg
natječaja	natječaj	Ncmsg
za	za	Sa
tip	tip	Ncmsan
operacije	operacija	Ncfsg
7.2.1.	7.2.1.	Mds
,	,	Z
u	u	Sa
obzir	obzir	Ncmsan
će	htjeti	Var3s
se	sebe	Px--sa
uzeti	uzeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
s	sa	Si
ranijim	raniji	Agpnsiy
vremenom	vrijeme	Ncnsi
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
dok	dok	Cs
će	htjeti	Var3s
se	sebe	Px--sa
za	za	Sa
ostale	ostali	Agpmpay
Zahtjeve	zahtjev	Ncmpa
za	za	Sa
potporu	potpora	Ncfsa
izdati	izdati	Vmn
odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
.	.	Z

(	(	Z
15	15	Mdc
)	)	Z
U	u	Sl
jednom	jedan	Mlcmsl
Zahtjevu	zahtjev	Ncmsl
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
potpora	potpora	Ncfsn
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
za	za	Sa
jedan	jedan	Mlcmsan
projekt	projekt	Ncmsan
/	/	Z
operaciju	operacija	Ncfsa
.	.	Z

(	(	Z
16	16	Mdc
)	)	Z
Temeljem	temelj	Ncmsi
jednog	jedan	Mlcmsg
projekta	projekt	Ncmsg
odnosno	odnosno	Rgp
jednog	jedan	Agpnsgy
idejnog	idejni	Agpnsgy
i	i	Cc
/	/	Z
ili	ili	Cc
glavnog	glavni	Agpmsgy
projekta	projekt	Ncmsg
za	za	Sa
istu	isti	Agpfsay
građevinu	građevina	Ncfsa
,	,	Z
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
podnijeti	podnijeti	Vmn
više	mnogo	Rgc
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
17	17	Mdc
)	)	Z
Sljedeći	sljedeći	Agpmsny
Zahtjev	zahtjev	Ncmsn
za	za	Sa
potporu	potpora	Ncfsa
unutar	unutar	Sg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
7.2.1.	7.2.1a	Ncfsg
za	za	Sa
projekt	projekt	Ncmsan
/	/	Z
operaciju	operacija	Ncfsa
na	na	Sa
područjeu	područjea	Ncfsa
iste	isti	Agpfsgy
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
isti	isti	Agpmsny
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
tek	tek	Rgp
nakon	nakon	Sg
izvršene	izvršen	Agpfsgy
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
potpore	potpora	Ncfsg
po	po	Sl
prethodnom	prethodan	Agpmsly
zahtjevu	zahtjev	Ncmsl
za	za	Sa
potporu	potpora	Ncfsa
za	za	Sa
projekt	projekt	Ncmsan
/	/	Z
operaciju	operacija	Ncfsa
na	na	Sl
području	područje	Ncnsl
iste	isti	Agpfsgy
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
.	.	Z

(	(	Z
18	18	Mdc
)	)	Z
Isplata	isplata	Ncfsn
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
može	moći	Vmr3s
biti	biti	Van
jednokratna	jednokratan	Agpfsny
ili	ili	Cc
najviše	mnogo	Rgs
u	u	Sa
tri	tri	Mlc
rate	rata	Ncfsg
.	.	Z

Prihvatljivi	prihvatljiv	Agpmpny
korisnici	korisnik	Ncmpn

Članak	članak	Ncmsn
10.	10.	Mdo

Korisnici	korisnik	Ncmpn
su	biti	Var3p
javni	javan	Agpmpny
isporučitelji	isporučitelj	Ncmpn
vodnih	vodni	Agpfpgy
usluga	usluga	Ncfpg
javne	javan	Agpfsgy
vodoopskrbe	vodoopskrba	Ncfsg
ili	ili	Cc
javne	javan	Agpfsgy
odvodnje	odvodnja	Ncfsg
.	.	Z

Prihvatljivi	prihvatljiv	Agpmpny
projekti	projekt	Ncmpn
/	/	Z
operacije	operacija	Ncfsg

Članak	članak	Ncmsn
11.	11.	Mdo

Prihvatljiv	prihvatljiv	Agpmsnn
projekt	projekt	Ncmsn
/	/	Z
operacija	operacija	Ncfsn
je	biti	Var3s
građenje	građenje	Ncnsn
i	i	Cc
/	/	Z
ili	ili	Cc
opremanje	opremanje	Ncnsa
javnog	javan	Agpmsgy
sustava	sustav	Ncmsg
za	za	Sa
vodoopskrbu	vodoopskrba	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
odvodnju	odvodnja	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
pročišćavanje	pročišćavanje	Ncnsa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
.	.	Z

Uvjeti	uvjet	Ncmpn
prihvatljivosti	prihvatljivost	Ncfsg

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Građenje	građenje	Ncnsn
i	i	Cc
/	/	Z
ili	ili	Cc
opremanje	opremanje	Ncnsa
javnog	javan	Agpmsgy
sustava	sustav	Ncmsg
za	za	Sa
vodoopskrbu	vodoopskrba	Ncfsa
odvodnju	odvodnja	Ncfsa
i	i	Cc
pročišćavanje	pročišćavanje	Ncnsa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
(	(	Z
isključujući	isključivati	Rr
3.	3.	Mdo
stupanj	stupanj	Ncmsan
pročišćavanja	pročišćavanje	Ncnsg
ukoliko	ukoliko	Cs
isti	isti	Agpmsny
nije	biti	Var3s
zakonska	zakonski	Agpfsny
obveza	obveza	Ncfsn
)	)	Z
je	biti	Var3s
prihvatljivo	prihvatljiv	Agpnsny
u	u	Sl
naselju	naselje	Ncnsl
s	sa	Si
najviše	mnogo	Rgs
2.000	2.000	Mdc
stanovnika	stanovnik	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
više	mnogo	Rgc
naselja	naselje	Ncnsg
povezuje	povezivati	Vmr3s
javnim	javan	Agpmsiy
sustavom	sustav	Ncmsi
za	za	Sa
vodoopskrbu	vodoopskrba	Ncfsa
,	,	Z
odvodnju	odvodnja	Ncfsa
i	i	Cc
pročišćavanje	pročišćavanje	Ncnsa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
,	,	Z
sva	sav	Agpnpay
naselja	naselje	Ncnpa
moraju	morati	Vmr3p
ispuniti	ispuniti	Vmn
uvjet	uvjet	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sa
svrhu	svrha	Ncfsa
funkcionalnosti	funkcionalnost	Ncfsg
/	/	Z
uporabe	uporaba	Ncfsg
prihvatljivo	prihvatljiv	Agpnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
javni	javan	Agpmsny
sustav	sustav	Ncmsn
za	za	Sa
vodoopskrbu	vodoopskrba	Ncfsa
,	,	Z
odvodnju	odvodnja	Ncfsa
i	i	Cc
pročišćavanje	pročišćavanje	Ncnsa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
priključi	priključiti	Vmr3s
na	na	Sa
postojeći	postojeći	Agpmsayn
sustav	sustav	Ncmsan
koji	koji	Pi-msn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
naselju	naselje	Ncnsl
s	sa	Si
više	mnogo	Rgc
od	od	Sg
2.000	2.000	Mdc
stanovnika	stanovnik	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Unutar	unutar	Sg
jednog	jedan	Mlcmsg
projekta	projekt	Ncmsg
/	/	Z
operacije	operacija	Ncfsg
prihvatljivo	prihvatljiv	Agpnsny
je	biti	Var3s
građenje	građenje	Ncnsn
i	i	Cc
/	/	Z
ili	ili	Cc
opremanje	opremanje	Ncnsa
jednog	jedan	Mlcmsg
javnog	javan	Agpmsgy
sustava	sustav	Ncmsg
za	za	Sa
vodoopskrbu	vodoopskrba	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
odvodnju	odvodnja	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
pročišćavanje	pročišćavanje	Ncnsa
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Prihvatljivo	prihvatljiv	Agpnsny
je	biti	Var3s
da	da	Cs
jedan	jedan	Mlcmsn
javni	javan	Agpmsny
sustav	sustav	Ncmsn
za	za	Sa
vodoopskrbu	vodoopskrba	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
odvodnju	odvodnja	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
pročišćavanje	pročišćavanje	Ncnsn
otpadnih	otpadni	Agpfpgy
voda	voda	Ncfpg
može	moći	Vmr3s
imati	imati	Vmn
jednu	jedan	Mlcfsa
ili	ili	Cc
više	mnogo	Rgc
građevinskih	građevinski	Agpfpgy
dozvola	dozvola	Ncfpg
ako	ako	Cs
projekt	projekt	Ncmsn
/	/	Z
operacija	operacija	Ncfsn
tog	taj	Pd-msg
sustava	sustav	Ncmsg
čini	činiti	Vmr3s
tehnološko-tehničku	tehnološko-tehnička	Ncfsa
povezanu	povezan	Agpfsay
cjelinu	cjelina	Ncfsa
te	te	Cc
ne	ne	Qz
prelazi	prelaziti	Vmr3s
propisani	propisati	Appmpny
najviši	visok	Agsmsny

