Hrvatska	Hrvatska	Npfsn
u	u	Sl
okviru	okvir	Ncmsl
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
;	;	Z
daje	davati	Vmr3s
prijedloge	prijedlog	Ncmpa
iz	iz	Sg
područja	područje	Ncnsg
upravljanja	upravljanje	Ncnsg
ljudskim	ljudski	Agpmpiy
potencijalima	potencijal	Ncmpi
i	i	Cc
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
provođenju	provođenje	Ncnsl
postupaka	postupak	Ncmpg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Službe	služba	Ncfsg
;	;	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izradi	izrada	Ncfsl
procesa	proces	Ncmsg
rada	rad	Ncmsg
i	i	Cc
prati	pratiti	Vmr3s
njihovu	njihov	Ps3fsa
provedbu	provedba	Ncfsa
;	;	Z
planira	planirati	Vmr3s
kratkoročne	kratkoročan	Agpfpay
i	i	Cc
srednjoročne	srednjoročni	Agpmpay
radne	radni	Agpmpay
zadatke	zadatak	Ncmpa
Službe	služba	Ncfsg
;	;	Z
izrađuje	izrađivati	Vmr3s
izvješća	izvješće	Ncnsg
iz	iz	Sg
područja	područje	Ncnsg
rada	rad	Ncmsg
te	te	Cc
postavlja	postavljati	Vmr3s
i	i	Cc
ostvaruje	ostvarivati	Vmr3s
ciljeve	cilj	Ncmpa
i	i	Cc
mjere	mjera	Ncfpa
iz	iz	Sg
svoje	svoj	Px-fsg
nadležnosti	nadležnost	Ncfsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
25.	25.	Mdo

Okvirni	okviran	Agpmsny
broj	broj	Ncmsn
potrebnih	potreban	Agpmpgy
državnih	državni	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
u	u	Sl
Ministarstvu	ministarstvo	Ncnsl
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
mladih	mlad	Agpmpgy
,	,	Z
prikazan	prikazati	Appmsnn
u	u	Sl
tablici	tablica	Ncfsl
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
Uredbe	uredba	Ncfsg
o	o	Sl
unutarnjem	unutarnji	Agpnsly
ustrojstvu	ustrojstvo	Ncnsl
Ministarstva	ministarstvo	Ncnsg
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
mladih	mlad	Agpmpgy
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
102/2013	102/2013	Mds
)	)	Z
,	,	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
Okvirnim	okviran	Agpmsiy
brojem	broj	Ncmsi
državnih	državni	Agpmpgy
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
koji	koji	Pi-msn
je	biti	Var3s
sadržan	sadržati	Appmsnn
u	u	Sl
tablici	tablica	Ncfsl
u	u	Sl
prilogu	prilog	Ncmsl
ove	ovaj	Pd-fsg
Uredbe	uredba	Ncfsg
i	i	Cc
njezin	njezin	Ps3msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

Članak	članak	Ncmsn
26.	26.	Mdo

Ministar	ministar	Ncmsn
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
mladih	mlad	Agpmpgy
će	htjeti	Var3s
,	,	Z
u	u	Sl
roku	rok	Ncmsl
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ove	ovaj	Pd-fsg
Uredbe	uredba	Ncfsg
,	,	Z
uz	uz	Sa
prethodnu	prethodan	Agpfsay
suglasnost	suglasnost	Ncfsa
središnjeg	središnji	Agpnsgy
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
službeničke	službenički	Agpmpay
odnose	odnos	Ncmpa
,	,	Z
donijeti	donijeti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
unutarnjem	unutarnji	Agpmsly
redu	red	Ncmsl
Ministarstva	ministarstvo	Ncnsg
usklađen	uskladiti	Appmsnn
s	sa	Si
ovom	ovaj	Pd-fsi
Uredbom	uredba	Ncfsi
.	.	Z

Članak	članak	Ncmsn
27.	27.	Mdo

Ova	ovaj	Pd-fsn
Uredba	uredba	Ncfsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
022	022	Mdc
-	-	Z
03/15	03/15	Mdc
-	-	Z
03/67	03/67	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
50301	50301	Mdc
-	-	Z
04/04	04/04	Mdc
-	-	Z
15	15	Mdc
-	-	Z
2	2	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
30.	30.	Mdo
srpnja	srpanj	Ncmsg
2015.	2015.	Mdo

Predsjednik	predsjednik	Ncmsn
Zoran	Zoran	Npmsn
Milanović	Milanović	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

OKVIRNI	okviran	Agpmsny
BROJ	broj	Ncmsn
DRŽAVNIH	državni	Agpmpgy
SLUŽBENIKA	službenik	Ncmpg
I	i	Cc
NAMJEŠTENIKA	namještenik	Ncmpg
U	u	Sl
MINISTARSTVU	ministarstvo	Ncnsl
SOCIJALNE	socijalan	Agpfsgy
POLITIKE	politika	Ncfsg
I	i	Cc
MLADIH	mlad	Agpmpgy

Redni	redni	Agpmsny
broj	broj	Ncmsn
Naziv	naziv	Ncmsn
unutarnje	unutarnji	Agpfsgy
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
Broj	broj	Ncmsn
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
1.	1.	Mdo
Kabinet	kabinet	Ncmsn
ministra	ministar	Ncmsg
10	10	Mdc
2.	2.	Mdo
Glavno	glavni	Agpnsny
tajništvo	tajništvo	Ncnsn
Ministarstva	ministarstvo	Ncnsg
1	1	Mdc
2.1.	2.1.	Mds

Služba	služba	Ncfsn
za	za	Sa
ljudske	ljudski	Agpmpay
potencijale	potencijal	Ncmpa
1	1	Mdc
2.1.1.	2.1.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
ljudskim	ljudski	Agpmpiy
potencijalima	potencijal	Ncmpi
5	5	Mdc
2.1.2.	2.1.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
radnopravne	radnopravni	Agpmpay
poslove	posao	Ncmpa
i	i	Cc
službeničke	službenički	Agpmpay
odnose	odnos	Ncmpa
5	5	Mdc
2.2.	2.2.	Mds

Služba	služba	Ncfsn
za	za	Sa
opće	opći	Agpmpay
poslove	posao	Ncmpa
1	1	Mdc
2.2.1.	2.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
opće	opći	Agpmpay
poslove	posao	Ncmpa
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Odjelu	odjel	Ncmsl
za	za	Sa
opće	opći	Agpmpay
poslove	posao	Ncmpa
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
2.2.1.1.	2.2.1.1.	Mdo

Pododsjek	pododsjek	Ncmsn
za	za	Sa
poslove	posao	Ncmpa
pisarnice	pisarnica	Ncfsg
7	7	Mdc
2.2.2.	2.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
sigurnosne	sigurnosni	Agpmpay
,	,	Z
tehničke	tehnički	Agpfpay
i	i	Cc
pomoćne	pomoćan	Agpmpay
poslove	posao	Ncmpa
1	1	Mdc
Neposredno	neposredan	Agpnsny
u	u	Sl
Odjelu	odjel	Ncmsl
za	za	Sa
sigurnosne	sigurnosni	Agpmpay
,	,	Z
tehničke	tehnički	Agpfpay
i	i	Cc
pomoćne	pomoćan	Agpmpay
poslove	posao	Ncmpa
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
2.2.2.1.	2.2.2.1.	Mdo

Pododsjek	pododsjek	Ncmsn
za	za	Sa
tehničke	tehnički	Agpmpay
i	i	Cc
pomoćne	pomoćan	Agpmpay
poslove	posao	Ncmpa
8	8	Mdc
2.3.	2.3.	Mds

Služba	služba	Ncfsn
za	za	Sa
javnu	javan	Agpfsay
nabavu	nabava	Ncfsa
1	1	Mdc
2.3.1.	2.3.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
javnu	javan	Agpfsay
nabavu	nabava	Ncfsa
i	i	Cc
praćenje	praćenje	Ncnsa
ugovornih	ugovoran	Agpfpgy
obveza	obveza	Ncfpg
5	5	Mdc
2.3.2.	2.3.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
objedinjenu	objediniti	Agpfsay
javnu	javan	Agpfsay
nabavu	nabava	Ncfsa
za	za	Sa
ustanove	ustanova	Ncfpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
5	5	Mdc
2.4.	2.4.	Mds

Služba	služba	Ncfsn
za	za	Sa
informatičku	informatički	Agpfsay
podršku	podrška	Ncfsa
6	6	Mdc
Glavno	glavni	Agpnsny
tajništvo	tajništvo	Ncnsn
–	–	Z
ukupno	ukupno	Rgp
49	49	Mdc
3.	3.	Mdo
Uprava	uprava	Ncfsn
za	za	Sa
socijalnu	socijalan	Agpfsay
politiku	politika	Ncfsa
,	,	Z
strategiju	strategija	Ncfsa
i	i	Cc
mlade	mlad	Agpmpay
3.1.	3.1.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
politiku	politika	Ncfsa
i	i	Cc
politike	politika	Ncfsg
za	za	Sa
djecu	dijete	Ncnpa
,	,	Z
mlade	mlad	Agpmpay
i	i	Cc
obitelj	obitelj	Ncfsn
1	1	Mdc
3.1.1.	3.1.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
socijalnu	socijalan	Agpfsay
politiku	politika	Ncfsa
8	8	Mdc
3.1.2.	3.1.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
djecu	dijete	Ncnpa
i	i	Cc
obitelj	obitelj	Ncfsn
8	8	Mdc
3.1.3	3.1.3	Y
Služba	služba	Ncfsn
za	za	Sa
mlade	mlad	Agpmpay
8	8	Mdc
3.2.	3.2.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
politike	politika	Ncfpa
za	za	Sa
osobe	osoba	Ncfpa
s	sa	Si
invaliditetom	invaliditet	Ncmsi
i	i	Cc
odrasle	odrastao	Agpfsgy
osobe	osoba	Ncfsg
1	1	Mdc
3.2.1.	3.2.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
stare	star	Agpmpay
i	i	Cc
nemoćne	nemoćan	Agpfpay
osobe	osoba	Ncfpa
,	,	Z
osobe	osoba	Ncfpa
s	sa	Si
problemima	problem	Ncmpi
ovisnosti	ovisnost	Ncfsg
i	i	Cc
azilante	azilant	Ncmpa
8	8	Mdc
3.2.2.	3.2.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
osobe	osoba	Ncfpa
s	sa	Si
invaliditetom	invaliditet	Ncmsi
8	8	Mdc
3.2.3.	3.2.3.	Mdo

Služba	služba	Ncfsn
za	za	Sa
beskućnike	beskućnik	Ncmpa
,	,	Z
žrtve	žrtva	Ncfpa
trgovanja	trgovanje	Ncnsg
ljudima	čovjek	Ncmpi
,	,	Z

