prestaju	prestajati	Vmr3p
trenutku	trenutak	Ncmsl
kada	kada	Cs
je	biti	Var3s
transakciji	transakcija	Ncfsd
dan	dan	Ncmsan
status	status	Ncmsan
»	»	Z
usklađeno	uskladiti	Appnsny
«	«	Z
na	na	Sl
platformi	platforma	Ncfsl
sustava	sustav	Ncmsg
T2S	T2S	X
ili	ili	Cc

(	(	Z
b	b	Npmsn
)	)	Z
kao	kao	Cs
iznimka	iznimka	Ncfsn
od	od	Sg
točke	točka	Ncfsg
(	(	Z
a	a	Cc
)	)	Z
ovog	ovaj	Pd-msg
stavka	stavak	Ncmsg
,	,	Z
za	za	Sa
transakcije	transakcija	Ncfpa
koje	koji	Pi-fpn
uključuju	uključivati	Vmr3p
jedan	jedan	Mlcmsn
sudjelujući	sudjelujući	Agpmsny
CSD	csd	Ncmsn
koji	koji	Pi-msn
ima	imati	Vmr3s
zasebne	zaseban	Agpfpay
komponente	komponenta	Ncfpa
usklađivanja	usklađivanje	Ncnsg
,	,	Z
kada	kada	Cs
su	biti	Var3p
nalozi	nalog	Ncmpn
za	za	Sa
plaćanje	plaćanje	Ncnsa
poslani	poslati	Appmpny
izravno	izravno	Rgp
tom	taj	Pd-fsi
sudjelujućem	sudjelujući	Ncfsi
CSD-u	CSD	Npmsd
radi	radi	Sg
usklađivanja	usklađivanje	Ncnsg
u	u	Sl
njegovoj	njegov	Ps3fsl
zasebnoj	zaseban	Agpfsly
komponenti	komponenta	Ncfsl
usklađivanja	usklađivanje	Ncnsg
,	,	Z
uzima	uzimati	Vmr3s
se	sebe	Px--sa
da	da	Cs
su	biti	Var3p
nalozi	nalog	Ncmpn
za	za	Sa
plaćanje	plaćanje	Ncnsa
prihvaćeni	prihvatiti	Appmpny
u	u	Sa
sustav	sustav	Ncmsan
TARGET2-HR	target2-	Agpmply
u	u	Sl
trenutku	trenutak	Ncmsl
kada	kada	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
su	biti	Var3p
usklađeni	uskladiti	Appmpny
s	sa	Si
tehničkim	tehnički	Agpnpiy
pravilima	pravilo	Ncnpi
sustava	sustav	Ncmsg
T2S	T2S	Npmsn
od	od	Sg
strane	strana	Ncfsg
tog	taj	Pd-msg
sudjelujućeg	sudjelujući	Agpmsgy
CSD-a	csd-	Ncmsg
i	i	Cc
neopozivi	neopoziv	Agpmpny
u	u	Sl
trenutku	trenutak	Ncmsl
kada	kada	Cs
je	biti	Var3s
transakciji	transakcija	Ncfsd
dan	dan	Ncmsan
status	status	Ncmsan
»	»	Z
usklađeno	uskladiti	Appnsny
«	«	Z
na	na	Sl
platformi	platforma	Ncfsl
sustava	sustav	Ncmsg
T2S	T2S	Npmsn
;	;	Z
popis	popis	Ncmsn
središnjih	središnji	Agpmpgy
depozitorija	depozitorij	Ncmpg
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
ova	ovaj	Pd-fsn
točka	točka	Ncfsn
(	(	Z
b	b	X
)	)	Z
dostupan	dostupan	Agpmsnn
je	biti	Var3s
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
ESB-a	ESB	Npmsg
.	.	Z

GLAVA	glava	Ncfsn
V.	V.	Mdo
SIGURNOSNI	sigurnosni	Agpmpny
ZAHTJEVI	zahtjev	Ncmpn
,	,	Z
NEPREDVIDIVI	nepredvidiv	Agpmpny
DOGAĐAJI	događaj	Ncmpn
I	i	Cc
KORISNIČKA	korisnički	Agpnpny
SUČELJA	sučelje	Ncnpn

Članak	članak	Ncmsn
17.	17.	Mdo

Postupak	postupak	Ncmsn
neprekinutog	neprekinut	Agpnsgy
poslovanja	poslovanje	Ncnsg
i	i	Cc
postupak	postupak	Ncmsan
pri	pri	Sl
nepredvidivim	nepredvidiv	Agpmply
događajima	događaj	Ncmpl

U	u	Sl
slučaju	slučaj	Ncmsl
neuobičajenog	neuobičajen	Agpmsgy
vanjskog	vanjski	Agpmsgy
događaja	događaj	Ncmsg
ili	ili	Cc
bilo	bilo	Qo
kojeg	koji	Pi-msg
drugog	drugi	Mlomsg
događaja	događaj	Ncmsg
koji	koji	Pi-msn
utječe	utjecati	Vmr3s
na	na	Sa
transakcije	transakcija	Ncfpa
na	na	Sl
namjenskim	namjenski	Agpmply
novčanim	novčan	Agpmply
računima	račun	Ncmpl
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
postupak	postupak	Ncmsn
neprekinutog	neprekinut	Agpnsgy
poslovanja	poslovanje	Ncnsg
i	i	Cc
postupak	postupak	Ncmsan
pri	pri	Sl
nepredvidivim	nepredvidiv	Agpmply
događajima	događaj	Ncmpl
,	,	Z
opisani	opisati	Appmpny
u	u	Sl
Dodatku	dodatak	Ncmsl
IV	IV	Mrc
.	.	Z
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

Sigurnosni	sigurnosni	Agpmpny
zahtjevi	zahtjev	Ncmpn

1.	1.	Mdo
Imatelji	imatelj	Ncmpn
DCA-a	DCA	Npmsg
dužni	dužan	Agpmpny
su	biti	Var3p
provoditi	provoditi	Vmn
odgovarajuće	odgovarajući	Agpfpny
sigurnosne	sigurnosni	Agpfpny
kontrole	kontrola	Ncfpn
radi	radi	Sg
zaštite	zaštita	Ncfsg
svojih	svoj	Px-mpg
sustava	sustav	Ncmpg
od	od	Sg
neovlaštenog	neovlašten	Agpmsgy
pristupa	pristup	Ncmsg
i	i	Cc
upotrebe	upotreba	Ncfsg
.	.	Z

Imatelji	imatelj	Ncmpn
DCA-a	DCA	Npmsg
isključivo	isključivo	Rgp
su	biti	Var3p
odgovorni	odgovoran	Agpmpny
za	za	Sa
primjerenu	primjeren	Agpfsay
zaštitu	zaštita	Ncfsa
povjerljivosti	povjerljivost	Ncfsg
,	,	Z
cjelovitosti	cjelovitost	Ncfsg
i	i	Cc
dostupnosti	dostupnost	Ncfsg
svojih	svoj	Px-mpg
sustava	sustav	Ncmpg
.	.	Z

2.	2.	Mdo
Imatelji	imatelj	Ncmpn
DCA-a	DCA	Npmsg
dužni	dužan	Agpmpny
su	biti	Var3p
obavijestiti	obavijestiti	Vmn
Hrvatsku	hrvatski	Agpfsay
narodnu	narodni	Agpfsay
banku	banka	Ncfsa
o	o	Sl
svakom	svaki	Pi-msl
sigurnosnom	sigurnosni	Agpmsly
incidentu	incident	Ncmsl
u	u	Sl
svojoj	svoj	Px-fsl
tehničkoj	tehnički	Agpfsly
infrastrukturi	infrastruktura	Ncfsl
i	i	Cc
,	,	Z
kada	kada	Rgp
je	biti	Var3s
primjereno	primjeriti	Appnsny
,	,	Z
sigurnosnim	sigurnosni	Agpmpiy
incidentima	incident	Ncmpi
koji	koji	Pi-mpn
se	sebe	Px--sa
događaju	događati	Vmr3p
u	u	Sl
tehničkoj	tehnički	Agpfsly
infrastrukturi	infrastruktura	Ncfsl
drugih	drugi	Mlompg
pružatelja	pružatelj	Ncmpg
.	.	Z

Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
može	moći	Vmr3s
zahtijevati	zahtijevati	Vmn
daljnje	daljnji	Agpfpay
informacije	informacija	Ncfpa
o	o	Sl
incidentu	incident	Ncmsl
i	i	Cc
tražiti	tražiti	Vmn
da	da	Cs
imatelji	imatelj	Ncmpn
DCA-a	DCA	Npmsg
poduzmu	poduzeti	Vmr3p
odgovarajuće	odgovarajući	Agpfpay
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3p
spriječili	spriječiti	Vmp-pm
ponavljanje	ponavljanje	Ncnsa
takvog	takav	Pd-msg
događaja	događaj	Ncmsg
.	.	Z

3.	3.	Mdo
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
može	moći	Vmr3s
odrediti	odrediti	Vmn
dodatne	dodatan	Agpmpay
sigurnosne	sigurnosni	Agpmpay
zahtjeve	zahtjev	Ncmpa
svim	sav	Agpmpdy
imateljima	imatelj	Ncmpd
DCA-a	DCA	Npmsg
i	i	Cc
/	/	Z
ili	ili	Cc
imateljima	imatelj	Ncmpi
DCA-a	DCA	Npmsg
koje	koji	Pi-mpa
smatra	smatrati	Vmr3s
kritičnima	kritičan	Agpfpiy
.	.	Z

Članak	članak	Ncmsn
19.	19.	Mdo

Korisnička	korisnički	Agpnpny
sučelja	sučelje	Ncnpn

1.	1.	Mdo
Imatelj	imatelj	Ncmsn
DCA-a	dca-	Ncmsg
ili	ili	Cc
imatelj	imatelj	Ncmsn
glavnog	glavni	Agpmsgy
PM	P	Npmsg
računa	račun	Ncmsg
koji	koji	Pi-msn
djeluje	djelovati	Vmr3s
za	za	Sa
račun	račun	Ncmsan
imatelja	imatelj	Ncmsg
DCA-a	DCA	Npmsg
koristi	koristiti	Vmr3s
se	sebe	Px--sa

