ovaj	ovaj	Pd-msn
činjenicama	činjenica	Ncfpl
zbog	zbog	Sg
čega	što	Pi3n-g
se	sebe	Px--sa
ista	isti	Agpfsny
ne	ne	Qz
može	moći	Vmr3s
ispitati	ispitati	Vmn
,	,	Z
odnosno	odnosno	Rgp
ne	ne	Qz
sadrži	sadržati	Vmr3s
propisane	propisati	Agpmpay
dijelove	dio	Ncmpa
iz	iz	Sg
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
98.	98.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
ZUP-a	zup-	Ncmsg
iz	iz	Sg
kojeg	koji	Pi-msg
razloga	razlog	Ncmsg
je	biti	Var3s
počinjena	počiniti	Appfsny
povreda	povreda	Ncfsn
odredaba	odredba	Ncfpg
upravnog	upravan	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

U	u	Sl
predmetnom	predmetni	Agpmsly
upravnom	upravan	Agpmsly
sporu	spor	Ncmsl
nije	biti	Var3s
sporno	sporan	Agpnsny
da	da	Cs
se	sebe	Px--sa
tužitelj	tužitelj	Ncmsn
po	po	Sl
zaprimljenim	zaprimiti	Agpmply
računima	račun	Ncmpl
za	za	Sa
mjesec	mjesec	Ncmsan
svibanj	svibanj	Ncmsan
,	,	Z
lipanj	lipanj	Ncmsn
,	,	Z
srpanj	srpanj	Ncmsn
i	i	Cc
kolovoza	kolovoz	Ncmsg
2013.	2013.	Mdo
obratio	obratiti	Vmp-sm
zainteresiranoj	zainteresiran	Agpfsdy
osobi	osoba	Ncfsd
i	i	Cc
tuženiku	tuženik	Ncmsl
vezano	vezan	Agpnsny
za	za	Sa
visinu	visina	Ncfsa
istih	isti	Agpmpgy
tvrdeći	tvrditi	Rr
da	da	Cs
je	biti	Var3s
potpisivanjem	potpisivanje	Ncnsi
zahtjeva	zahtjev	Ncmpg
za	za	Sa
H1	H1	Pd-fsa
uslugu	usluga	Ncfsa
sklopio	sklopiti	Vmp-sm
ugovor	ugovor	Ncmsan
o	o	Sl
pretplatničkom	pretplatnički	Agpmsly
odnosu	odnos	Ncmsl
za	za	Sa
uslugu	usluga	Ncfsa
pod	pod	Si
nazivima	naziv	Ncmpi
H1	H	Npmsg
Call	Cal	Npmsg
Plus	Plu	Npmsg
dana	dan	Ncmsg
13.	13.	Mdo
ožujka	ožujak	Ncmsg
2013.	2013.	Mdo
te	te	Cc
da	da	Cs
je	biti	Var3s
ukupna	ukupan	Agpfsny
mjesečna	mjesečan	Agpfsny
cijena	cijena	Ncfsn
navedene	naveden	Agpfsgy
usluge	usluga	Ncfsg
iznosila	iznositi	Vmp-sf
po	po	Sl
ugovoru	ugovor	Ncmsl
99,00	99,00	Mdc
kuna	kuna	Ncfpg
sa	sa	Si
uključenim	uključen	Agpmsiy
PDV-om	PDV	Npmsi
iz	iz	Sg
kojeg	koji	Pi-msg
razloga	razlog	Ncmsg
da	da	Cs
mu	on	Pp3msd
nije	biti	Var3s
jasno	jasno	Rgp
zbog	zbog	Sg
čega	što	Pi3n-g
su	biti	Var3p
računi	račun	Ncmpn
za	za	Sa
mjesec	mjesec	Ncmsan
svibanj	svibanj	Ncmsan
,	,	Z
lipanj	lipanj	Ncmsn
,	,	Z
srpanj	srpanj	Ncmsn
i	i	Cc
kolovoz	kolovoz	Ncmsan
2013.	2013.	Mdo
iznosili	iznositi	Vmp-pm
više	mnogo	Rgc
od	od	Sg
99,00	99,00	Mdc
kuna	kuna	Ncfpg
kada	kada	Cs
nije	biti	Var3s
premašio	premašiti	Vmp-sm
vrijeme	vrijeme	Ncnsa
od	od	Sg
1000	1000	Mdc
minuta	minuta	Ncfpg
besplatnih	besplatan	Agpmpgy
razgovora	razgovor	Ncmpg
prema	prema	Sl
nacionalnim	nacionalan	Agpfply
fiksnim	fiksan	Agpfply
mrežama	mreža	Ncfpl
te	te	Cc
kada	kada	Cs
nije	biti	Var3s
imao	imati	Vmp-sm
niti	niti	Qz
jedan	jedan	Mlcmsn
razgovor	razgovor	Ncmsn
prema	prema	Sl
zemlji	zemlja	Ncfsl
članici	članica	Ncfsl
EU	E	Npmsg
,	,	Z
zbog	zbog	Sg
čega	što	Pi3n-g
da	da	Cs
nije	biti	Var3s
dužan	dužan	Agpmsnn
platiti	platiti	Vmn
sporan	sporan	Agpmsann
račune	račun	Ncmpa
u	u	Sl
većem	velik	Agcmsly
iznosu	iznos	Ncmsl
od	od	Sg
ugovorenog	ugovoriti	Agpmsgy
iznosa	iznos	Ncmsg
od	od	Sg
99,00	99,00	Mdc
kuna	kuna	Ncfpg
mjesečno	mjesečno	Rgp
.	.	Z

O	o	Sl
navedenim	naveden	Agpfply
odlučnim	odlučan	Agpfply
činjenicama	činjenica	Ncfpl
bitnim	bitan	Agpfpiy
za	za	Sa
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
operatera	operater	Ncmpg
u	u	Sl
svezi	sveza	Ncfsl
sporne	sporan	Agpfsgy
visine	visina	Ncfsg
dostavljenih	dostaviti	Agpmpgy
računa	račun	Ncmpg
tužitelju	tužitelj	Ncmsl
,	,	Z
osporavana	osporavati	Appfsny
Odluka	odluka	Ncfsn
tuženika	tuženik	Ncmsg
ne	ne	Qz
sadrži	sadržati	Vmr3s
niti	niti	Cc
jednu	jedan	Mlcfsa
riječ	riječ	Ncfsa
,	,	Z
niti	niti	Cc
sadrži	sadržati	Vmr3s
činjenično	činjeničan	Agpnsny
stanje	stanje	Ncnsn
koje	koji	Pi-nsn
je	biti	Var3s
tuženik	tuženik	Ncmsn
utvrdio	utvrditi	Vmp-sm
u	u	Sl
postupku	postupak	Ncmsl
prije	prije	Sg
donošenja	donošenje	Ncnsg
same	sam	Agpfsgy
Odluke	odluka	Ncfsg
,	,	Z
a	a	Cc
niti	niti	Qo
je	biti	Var3s
obrazloženo	obrazložiti	Appnsny
tužitelju	tužitelj	Ncmsl
iz	iz	Sg
kojeg	koji	Pi-msg
razloga	razlog	Ncmsg
su	biti	Var3p
računi	račun	Ncmpn
koje	koji	Pi-mpa
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
zaprimio	zaprimiti	Vmp-sm
od	od	Sg
strane	strana	Ncfsg
zainteresirane	zainteresiran	Agpfsgy
osobe	osoba	Ncfsg
za	za	Sa
gore	gora	Ncfpa
navedene	navesti	Appmpay
mjesece	mjesec	Ncmpa
iznosili	iznositi	Vmp-pm
više	mnogo	Rgc
od	od	Sg
99,00	99,00	Mdc
kn	KN	Ncmpg
mjesečno	mjesečno	Rgp
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
u	u	Sl
svakom	svaki	Pi-msl
pojedinačnom	pojedinačan	Agpmsly
računu	račun	Ncmsl
zaračunato	zaračunati	Appnsny
tužitelju	tužitelj	Ncmsl
i	i	Cc
sukladno	sukladno	Rgp
čemu	što	Pi3n-l
(	(	Z
kojem	koji	Pi-msl
propisu	propis	Ncmsl
i	i	Cc
aktu	akt	Ncmsl
)	)	Z
,	,	Z
je	biti	Var3s
li	li	Qq
u	u	Sa
iznos	iznos	Ncmsan
od	od	Sg
99,00	99,00	Mdc
kuna	kuna	Ncfpg
uključen	uključiti	Appmsnn
PDV	PDV	Npmsan
ili	ili	Cc
nije	biti	Var3s
i	i	Cc
gdje	gdje	Cs
je	biti	Var3s
to	taj	Pd-nsn
bilo	biti	Vap-sn
označeno	označiti	Appnsny
u	u	Sl
prospektu	prospekt	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
kako	kako	Cs
je	biti	Var3s
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
obračunom	obračun	Ncmsi
došla	doći	Vmp-sf
do	do	Sg
pojedinačnih	pojedinačan	Agpmpgy
iznosa	iznos	Ncmpg
od	od	Sg
194,34	194,34	Mdc
kune	kuna	Ncfsg
za	za	Sa
mjesec	mjesec	Ncmsan
svibanj	svibanj	Ncmsan
2013.	2013.	Mdo
,	,	Z
156,19	156,19	Mdc
kuna	kuna	Ncfpg
za	za	Sa
mjesec	mjesec	Ncmsan
lipanj	lipanj	Ncmsan
2013.	2013.	Mdo
,	,	Z
116,10	116,10	Mdc
kuna	kuna	Ncfpg
za	za	Sa
mjesec	mjesec	Ncmsan
srpanj	srpanj	Ncmsan
2013.	2013.	Mdo
i	i	Cc
559,19	559,19	Mdc
kuna	kuna	Ncfpg
za	za	Sa
mjesec	mjesec	Ncmsan
kolovoz	kolovoz	Ncmsan
2013.	2013.	Mdo
,	,	Z
jesu	biti	Var3p
li	li	Qq
isti	isti	Agpmpny
tužitelju	tužitelj	Ncmsd
dobro	dobro	Rgp
obračunati	obračunati	Vmn
,	,	Z
obrazlažući	obrazlagati	Rr
tužitelju	tužitelj	Ncmsl
za	za	Sa
svaki	svaki	Pi-msan
pojedini	pojedini	Agpmsayn
račun	račun	Ncmsan
što	što	Cs
je	biti	Var3s
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
osnovano	osnovati	Appnsny
naplatila	naplatiti	Vmp-sf
tužitelja	tužitelj	Ncmpg
,	,	Z
a	a	Cc
što	što	Pi3n-n
nije	biti	Var3s
i	i	Cc
sukladno	sukladan	Agpnsny
kojem	koji	Pi-msl
aktu	akt	Ncmsl
ili	ili	Cc
propisu	propis	Ncmsl
,	,	Z
te	te	Cc
koliko	koliko	Rgp
je	biti	Var3s
preostalo	preostao	Agpnsny
dugovanje	dugovanje	Ncnsn
,	,	Z
sve	sav	Agpnsay
imajući	imati	Rr
u	u	Sl
vidu	vid	Ncmsl
da	da	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
podmirio	podmiriti	Vmp-sm
visinu	visina	Ncfsa
nekih	neki	Pi-mpg
računa	račun	Ncmpg
do	do	Sg
određenog	određen	Agpmsgy
iznosa	iznos	Ncmsg
(	(	Z
nespornog	nesporan	Agpmsgy
od	od	Sg
99,00	99,00	Mdc
kuna	kuna	Ncfpg
)	)	Z
i	i	Cc
to	taj	Pd-nsn
prema	prema	Sl
samoj	sam	Agpfsly
uputi	uputa	Ncfsl
tuženika	tuženik	Ncmpg
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
51.	51.	Mdo

ZEK-a	ZEK	Npmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
spora	spor	Ncmsg
između	između	Sg
krajnjeg	krajnji	Agpmsgy
korisnika	korisnik	Ncmsg
usluga	usluga	Ncfpg
i	i	Cc
operatora	operator	Ncmpg
javnih	javan	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
primanjem	primanje	Ncnsi
usluge	usluga	Ncfsg
iznosom	iznos	Ncmsi
kojim	koji	Pi-msi
je	biti	Var3s
za	za	Sa
pruženu	pružiti	Agpfsay
uslugu	usluga	Ncfsa
,	,	Z
kakvoćom	kakvoća	Ncfsi
usluge	usluga	Ncfsg
ili	ili	Cc
prigovorom	prigovor	Ncmsi
zbog	zbog	Sg
povrede	povreda	Ncfsg
odredaba	odredba	Ncfpg
pretplatničkog	pretplatnički	Agpmsgy
ugovora	ugovor	Ncmsg
krajnji	krajnji	Agpmsny
korisnik	korisnik	Ncmsn
usluga	usluga	Ncfpg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg
Agenciji	agencija	Ncfsd
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostavljanja	dostavljanje	Ncnsg
pisanog	pisan	Agpmsgy
odgovora	odgovor	Ncmsg
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
pritužbe	pritužba	Ncfpa
potrošača	potrošač	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
50.	50.	Mdo
stavka	stavak	Ncmsg
13.	13.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Zastara	zastara	Ncfsn
osporene	osporiti	Agpfsgy
tražbine	tražbina	Ncfsg
ne	ne	Qz
teče	teći	Vmr3s
za	za	Sa
vrijeme	vrijeme	Ncnsa
rješavanja	rješavanje	Ncnsg
spora	spor	Ncmsg
pred	pred	Si
Agencijom	agencija	Ncfsi
.	.	Z

Stoga	stoga	Rgp
za	za	Sa
sada	sada	Rgp
nije	biti	Var3s
bilo	biti	Vap-sn
moguće	moguć	Agpnsny
utvrditi	utvrditi	Vmn
bez	bez	Sg
utvrđenog	utvrditi	Agpnsgy
činjeničnog	činjeničan	Agpnsgy
stanja	stanje	Ncnsg
i	i	Cc
odlučnih	odlučan	Agpfpgy
činjenica	činjenica	Ncfpg
od	od	Sg
strane	strana	Ncfsg
tuženika	tuženik	Ncmsg
jesu	biti	Var3p
li	li	Qq
navodi	navod	Ncmpn
tuženika	tuženik	Ncmpg
i	i	Cc
zainteresirane	zainteresiran	Agpfpay
osobe	osoba	Ncfpa
iz	iz	Sg
odgovora	odgovor	Ncmsg
na	na	Sa
tužbu	tužba	Ncfsa
da	da	Cs
su	biti	Var3p
na	na	Sl
osporavanim	osporavati	Agpmply
računima	račun	Ncmpl
za	za	Sa
mjesec	mjesec	Ncmsan
svibanj	svibanj	Ncmsan
,	,	Z
lipanj	lipanj	Ncmsn
,	,	Z
srpanj	srpanj	Ncmsn
i	i	Cc
kolovoza	kolovoz	Ncmsg
2013.	2013.	Mdo
naknade	naknada	Ncfsg
pravilno	pravilno	Rgp
obračunate	obračunati	Vmr2p
i	i	Cc
naplaćene	naplatiti	Appfpny
sukladno	sukladno	Rgp
Cjeniku	cjenik	Ncmsd
tarifnog	tarifan	Agpmsgy
modela	model	Ncmsg
H1	H	Npmsg
Call	Cal	Npmsg
Plus	Plu	Npmsg
jer	jer	Cs
isto	isto	Rgp
nije	biti	Var3s
nigdje	nigdje	Rgp
obrazloženo	obrazložiti	Appnsny
,	,	Z
a	a	Cc
niti	niti	Qo
potkrijepljeno	potkrijepiti	Appnsny
dokazima	dokaz	Ncmpi
imajući	imati	Rr
u	u	Sl
vidu	vid	Ncmsl
da	da	Cs
tuženik	tuženik	Ncmsn
uopće	uopće	Rgp
nije	biti	Var3s
utvrđivao	utvrđivati	Vmp-sm
navedene	naveden	Agpfpay
činjenice	činjenica	Ncfpa
vezane	vezan	Agpfsgy
uz	uz	Sa
samu	sam	Agpfsay
visinu	visina	Ncfsa
zaprimljenih	zaprimiti	Agpmpgy
računa	račun	Ncmpg

