priložena	priložiti	Appfsny
Članak	članak	Ncmsn
7.	7.	Mdo

U	u	Sl
članku	članak	Ncmsl
9.	9.	Mdo
iza	iza	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
stavak	stavak	Ncmsn
2.	2.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
vozilo	vozilo	Ncnsn
se	sebe	Px--sa
može	moći	Vmr3s
registrirati	registrirati	Vmn
na	na	Sa
državno	državni	Agpnsay
tijelo	tijelo	Ncnsa
ili	ili	Cc
drugu	drugi	Mlofsa
osobu	osoba	Ncfsa
koja	koji	Pi-fsn
nije	biti	Var3s
vlasnik	vlasnik	Ncmsn
vozila	vozilo	Ncnsg
nego	nego	Cc
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
privremenom	privremen	Agpmsly
posjedu	posjed	Ncmsl
vozila	vozilo	Ncnpg
na	na	Sl
temelju	temelj	Ncmsl
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
o	o	Sl
određivanju	određivanje	Ncnsl
privremene	privremen	Agpfsgy
mjere	mjera	Ncfsg
,	,	Z
u	u	Sl
kojem	koji	Pi-msl
slučaju	slučaj	Ncmsl
sudska	sudski	Agpfsny
odluka	odluka	Ncfsn
zamjenjuje	zamjenjivati	Vmr3s
dokaz	dokaz	Ncmsan
o	o	Sl
vlasništvu	vlasništvo	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Dosadašnji	dosadašnji	Agpmpny
stavci	stavak	Ncmpn
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
postaju	postati	Vmr3p
stavci	stavak	Ncmpn
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo

Dosadašnji	dosadašnji	Agpmsny
stavak	stavak	Ncmsn
3.	3.	Mdo
koji	koji	Pi-msn
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
4.	4.	Mdo
,	,	Z
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Ako	ako	Cs
je	biti	Var3s
vlasnik	vlasnik	Ncmsn
vozila	vozilo	Ncnsg
leasing	leasing	Ncmsan
društvo	društvo	Ncnsa
ili	ili	Cc
pravna	pravni	Agpfsny
ili	ili	Cc
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
obrtnik	obrtnik	Ncmsn
koja	koji	Pi-fsn
vozilo	vozilo	Ncnsa
daje	davati	Vmr3s
u	u	Sa
najam	najam	Ncmsan
,	,	Z
u	u	Sa
prometnu	prometan	Agpfsay
dozvolu	dozvola	Ncfsa
se	sebe	Px--sa
uz	uz	Sa
vlasnika	vlasnik	Ncmpg
vozila	vozilo	Ncnsg
,	,	Z
u	u	Sa
prostor	prostor	Ncmsan
za	za	Sa
napomenu	napomena	Ncfsa
upisuje	upisivati	Vmr3s
i	i	Cc
korisnik	korisnik	Ncmsn
leasing	leasing	Ncmsan
vozila	vozilo	Ncnsg
ili	ili	Cc
korisnik	korisnik	Ncmsan
najma	najam	Ncmsg
vozila	vozilo	Ncnsg
.	.	Z

Kao	kao	Cs
korisnik	korisnik	Ncmsn
leasinga	leasing	Ncmsg
ili	ili	Cc
najma	najam	Ncmsg
vozila	vozilo	Ncnsg
može	moći	Vmr3s
se	sebe	Px--sa
upisati	upisati	Vmn
i	i	Qo
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
nema	nemati	Vmr3s
prebivalište	prebivalište	Ncnsa
,	,	Z
boravište	boravište	Ncnsa
,	,	Z
odobren	odobriti	Appmsnn
privremeni	privremen	Agpmsny
ili	ili	Cc
stalni	stalan	Agpmsayn
boravak	boravak	Ncmsan
ili	ili	Cc
sjedište	sjedište	Ncnsn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z
«	«	Z
.	.	Z

U	u	Sl
dosadašnjem	dosadašnji	Agpmsly
stavku	stavak	Ncmsl
4.	4.	Mdo
koji	koji	Pi-msn
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
5.	5.	Mdo
,	,	Z
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
obrt	obrt	Ncmsn
«	«	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
obrtnik	obrtnik	Ncmsn
«	«	Z
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

U	u	Sl
članku	članak	Ncmsl
31.	31.	Mdo
iza	iza	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
stavak	stavak	Ncmsn
6.	6.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
evidencije	evidencija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
su	biti	Var3p
dokazi	dokaz	Ncmpn
o	o	Sl
korištenju	korištenje	Ncnsl
prenosivih	prenosiv	Agpfpgy
pločica	pločica	Ncfpg
u	u	Sa
svrhe	svrha	Ncfpa
odobrene	odobren	Agpfsgy
rješenjem	rješenje	Ncnsi
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

U	u	Sl
članku	članak	Ncmsl
35.	35.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
osobnu	osoban	Agpfsay
iskaznicu	iskaznica	Ncfsa
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
dokaz	dokaz	Ncmsn
o	o	Sl
identitetu	identitet	Ncmsl
«	«	Z
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

U	u	Sl
članku	članak	Ncmsl
39.	39.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Vlasnik	vlasnik	Ncmsn
vozila	vozilo	Ncnsg
može	moći	Vmr3s
odjaviti	odjaviti	Vmn
vozilo	vozilo	Ncnsa
u	u	Sl
policijskoj	policijski	Agpfsly
upravi	uprava	Ncfsl
odnosno	odnosno	Rgp
policijskoj	policijski	Agpfsly
postaji	postaja	Ncfsl
.	.	Z
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
6.	6.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
policijska	policijski	Agpfsny
uprava	uprava	Ncfsn
odnosno	odnosno	Rgp
policijska	policijski	Agpfsny
postaja	postaja	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
izvršila	izvršiti	Vmp-sf
odjavu	odjava	Ncfsa
vozila	vozilo	Ncnsg
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
7.	7.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
kod	kod	Sg
kojeg	koji	Pi-msg
se	sebe	Px--sa
vozilo	vozilo	Ncnsn
vodi	voditi	Vmr3s
u	u	Sl
evidenciji	evidencija	Ncfsl
«	«	Z
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

U	u	Sl
članku	članak	Ncmsl
40.	40.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
u	u	Sl
nadležnom	nadležan	Agpnsly
tijelu	tijelo	Ncnsl
kod	kod	Sg
kojeg	koji	Pi-msg
se	sebe	Px--sa
vozilo	vozilo	Ncnsn
vodi	voditi	Vmr3s
u	u	Sl
evidenciji	evidencija	Ncfsl
«	«	Z
,	,	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
u	u	Sl
nadležnom	nadležan	Agpnsly
tijelu	tijelo	Ncnsl
prema	prema	Sl
mjestu	mjesto	Ncnsl
prebivališta	prebivalište	Ncnsg
ili	ili	Cc
sjedišta	sjedište	Ncnsg
kupca	kupac	Ncmsg
«	«	Z
,	,	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Broj	broj	Ncmsn
:	:	Z
511	511	Mdc
-	-	Z
01	01	Mdc
-	-	Z
152	152	Mdc
-	-	Z
24487	24487	Mdc
-	-	Z
2/2015.	2/2015.	Mdo

Zagreb	Zagreb	Npmsn
,	,	Z
30.	30.	Mdo
travnja	travanj	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
Ranko	Ranko	Npmsn
Ostojić	Ostojić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

