navedenog	naveden	Agpnsgy
odbora	odbor	Ncmsg
,	,	Z
gdje	gdje	Rgp
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Strateški	strateški	Agpmsny
plan	plan	Ncmsn
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
donosi	donositi	Vmr3s
se	sebe	Px--sa
do	do	Sg
konca	konac	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
sljedeće	sljedeći	Agpnsay
trogodišnje	trogodišnji	Agpnsay
razdoblje	razdoblje	Ncnsa
,	,	Z
a	a	Cc
godišnji	godišnji	Agpmsny
plan	plan	Ncmsn
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
donosi	donositi	Vmr3s
se	sebe	Px--sa
do	do	Sg
konca	konac	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
sljedeću	sljedeći	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Rukovoditelji	rukovoditelj	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
odgovorni	odgovoran	Agpmpny
za	za	Sa
sustav	sustav	Ncmsan
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
trebaju	trebati	Vmr3p
dati	dati	Vmn
podatke	podatak	Ncmpa
za	za	Sa
procjenu	procjena	Ncfsa
rizika	rizik	Ncmpg
koji	koji	Pi-mpn
utječu	utjecati	Vmr3p
na	na	Sa
poslovanje	poslovanje	Ncnsa
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
planovima	plan	Ncmpi
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obuhvatila	obuhvatiti	Vmp-sf
područja	područje	Ncnpa
s	sa	Si
potencijalno	potencijalno	Rgp
značajnim	značajan	Agpmsiy
rizikom	rizik	Ncmsi
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Za	za	Sa
svaku	svaki	Pi-fsa
pojedinačnu	pojedinačan	Agpfsay
reviziju	revizija	Ncfsa
izrađuje	izrađivati	Vmr3s
se	sebe	Px--sa
plan	plan	Ncmsn
koji	koji	Pi-msn
odobrava	odobravati	Vmr3s
rukovoditelj	rukovoditelj	Ncmsn
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
.	.	Z

Odgovornost	odgovornost	Ncfsa
za	za	Sa
provedbu	provedba	Ncfsa
i	i	Cc
praćenje	praćenje	Ncnsa
provedbe	provedba	Ncfsg
preporuka	preporuka	Ncfpg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg

Članak	članak	Ncmsn
34.	34.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
revidirane	revidirati	Agpfsgy
jedinice	jedinica	Ncfsg
odgovorna	odgovoran	Agpfsny
je	biti	Var3s
za	za	Sa
provedbu	provedba	Ncfsa
preporuka	preporuka	Ncfpg
iz	iz	Sg
plana	plan	Ncmsg
djelovanja	djelovanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
O	o	Sl
statusu	status	Ncmsl
provedbe	provedba	Ncfsg
preporuka	preporuka	Ncfsn
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
revidirane	revidirati	Agpfsgy
jedinice	jedinica	Ncfsg
obvezna	obvezan	Agpfsny
je	biti	Var3s
izvijestiti	izvijestiti	Vmn
rukovoditelja	rukovoditelj	Ncmsay
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
koji	koji	Pi-msn
prati	pratiti	Vmr3s
njihovu	njihov	Ps3fsa
provedbu	provedba	Ncfsa
i	i	Cc
izvještava	izvještavati	Vmr3s
o	o	Sl
provedbi	provedba	Ncfsl
preporuka	preporuka	Ncfpg
odgovornu	odgovoran	Agpfsay
osobu	osoba	Ncfsa
institucije	institucija	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
odbor	odbor	Ncmsan
,	,	Z
gdje	gdje	Rgp
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
.	.	Z

Mjere	mjera	Ncfpn
u	u	Sl
slučaju	slučaj	Ncmsl
neprovođenja	neprovođenje	Ncnsg
preporuka	preporuka	Ncfpg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg

Članak	članak	Ncmsn
35.	35.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
preporuke	preporuka	Ncfpn
nisu	biti	Var3p
provedene	provesti	Appfpny
prema	prema	Sl
planu	plan	Ncmsl
djelovanja	djelovanje	Ncnsg
,	,	Z
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
revidirane	revidirati	Agpfsgy
jedinice	jedinica	Ncfsg
obvezna	obvezan	Agpfsny
je	biti	Var3s
u	u	Sl
izvješću	izvješće	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
34.	34.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
obrazložiti	obrazložiti	Vmn
zašto	zašto	Rgp
preporuke	preporuka	Ncfpn
nisu	biti	Var3p
provedene	provesti	Appfpny
te	te	Cc
uz	uz	Sa
suglasnost	suglasnost	Ncfsa
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
institucije	institucija	Ncfsg
utvrditi	utvrditi	Vmn
novi	nov	Agpmsayn
rok	rok	Ncmsan
provedbe	provedba	Ncfsg
i	i	Cc
aktivnosti	aktivnost	Ncfpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Rok	rok	Ncmsn
provedbe	provedba	Ncfsg
preporuka	preporuka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
produžiti	produžiti	Vmn
samo	samo	Rgp
jednom	jednom	Rgp
,	,	Z
za	za	Sa
najviše	mnogo	Rgs
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
revidirane	revidirati	Appfsgy
jedinice	jedinica	Ncfsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
određene	određen	Agpfpny
preporuke	preporuka	Ncfpn
nisu	biti	Var3p
provedive	provediv	Agpfpny
,	,	Z
obvezna	obvezan	Agpfsny
je	biti	Var3s
u	u	Sl
izvješću	izvješće	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
34.	34.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
to	taj	Pd-nsa
izričito	izričito	Rgp
navesti	navesti	Vmn
te	te	Cc
detaljno	detaljno	Rgp
obrazložiti	obrazložiti	Vmn
zašto	zašto	Rgp
preporuke	preporuka	Ncfpn
nisu	biti	Var3p
provedive	provediv	Agpfpny
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Rukovoditelj	rukovoditelj	Ncmsn
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
izvješća	izvješće	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
34.	34.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
obavještava	obavještavati	Vmr3s
odgovornu	odgovoran	Agpfsay
osobu	osoba	Ncfsa
institucije	institucija	Ncfsg
o	o	Sl
provedbi	provedba	Ncfsl
preporuka	preporuka	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
institucije	institucija	Ncfsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
preporukama	preporuka	Ncfpi
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
a	a	Cc
na	na	Sa
prijedlog	prijedlog	Ncmsan
rukovoditelja	rukovoditelj	Ncmpg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
,	,	Z
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
o	o	Sl
:	:	Z

a	a	Cc
)	)	Z
neprovedivosti	neprovedivost	Ncfpn
preporuke	preporuka	Ncfsg
ili	ili	Cc

b	b	Npmsn
)	)	Z
ponovnom	ponovan	Agpnsly
obavljanju	obavljanje	Ncnsl
revizije	revizija	Ncfsg
u	u	Sl
roku	rok	Ncmsl
ne	ne	Qz
dužem	dug	Agcmsly
od	od	Sg
godine	godina	Ncfsg
dana	dan	Ncmpg
od	od	Sg
podnošenja	podnošenje	Ncnsg
izvješća	izvješće	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

ODGOVORNOST	odgovornost	Ncfsn
I	i	Cc
OBVEZE	obveza	Ncfpa
RUKOVODITELJA	rukovoditelj	Ncmpg
UNUTARNJE	unutarnji	Agpfsgy
REVIZIJE	revizija	Ncfsg

Članak	članak	Ncmsn
36.	36.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Rukovoditelj	rukovoditelj	Ncmsn
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
ima	imati	Vmr3s
odgovornost	odgovornost	Ncfsa
i	i	Cc
obvezu	obveza	Ncfsa
:	:	Z

a	a	Cc
)	)	Z
izrade	izrada	Ncfpa
strateškog	strateški	Agpmsgy
i	i	Cc
godišnjeg	godišnji	Agpmsgy
plana	plan	Ncmsg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
,	,	Z
a	a	Cc
u	u	Sl
suradnji	suradnja	Ncfsl
s	sa	Si
rukovoditeljima	rukovoditelj	Ncmpi

b	b	Npmsn
)	)	Z
osiguranja	osiguranje	Ncnsg
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Međunarodnim	međunarodni	Agpmsiy
okvirom	okvir	Ncmsi
profesionalnog	profesionalan	Agpnsgy
djelovanja	djelovanje	Ncnsg
te	te	Cc
propisima	propis	Ncmpi
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
unutarnja	unutarnji	Agpfsny
revizija	revizija	Ncfsn
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
uključujući	uključivati	Rr
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
njihovu	njihov	Ps3nsl
obavljanju	obavljanje	Ncnsl

c	C	Npmsn
)	)	Z
osiguranja	osiguranje	Ncnsg
praćenja	praćenje	Ncnsg
provedbe	provedba	Ncfsg
preporuka	preporuka	Ncfpg
,	,	Z
odnosno	odnosno	Rgp
provode	provoditi	Vmr3p
li	li	Cs
se	sebe	Px--sa
preporuke	preporuka	Ncfpn
sukladno	sukladno	Rgp
planu	plan	Ncmsl
djelovanja	djelovanje	Ncnsg

d	a	Ncfpn
)	)	Z
izrade	izrada	Ncfsg
pojedinačnih	pojedinačan	Agpnpgy
,	,	Z
periodičnih	periodičan	Agpfpgy
ili	ili	Cc
godišnjih	godišnji	Agpnpgy
izvješća	izvješće	Ncnpg
o	o	Sl
radu	rad	Ncmsl
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg

e	e	I
)	)	Z
ispunjenja	ispunjenje	Ncnsg
drugih	drugi	Mlofpg
obveza	obveza	Ncfpg
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
Međunarodnog	međunarodni	Agpmsgy
okvira	okvir	Ncmsg
profesionalnog	profesionalan	Agpnsgy
djelovanja	djelovanje	Ncnsg
te	te	Cc
propisa	propis	Ncmpg
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
unutarnja	unutarnji	Agpfsny
revizija	revizija	Ncfsn
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
obavljanje	obavljanje	Ncnsa
revizije	revizija	Ncfsg
posebnih	poseban	Agpnpgy
područja	područje	Ncnpg
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
institucije	institucija	Ncfsg
može	moći	Vmr3s
na	na	Sa
prijedlog	prijedlog	Ncmsan
rukovoditelja	rukovoditelj	Ncmpg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
angažirati	angažirati	Vmn
stručnjake	stručnjak	Ncmpa
sa	sa	Si
specijalističkim	specijalistički	Agpnpiy
znanjima	znanje	Ncnpi
radi	radi	Sg
pružanja	pružanje	Ncnsg
stručne	stručan	Agpfsgy

