iziskuju	iziskivati	Vmr3p
nejednako	nejednako	Rgp
raspoređeno	rasporediti	Appnsny
,	,	Z
ukupan	ukupan	Agpmsnn
fond	fond	Ncmsn
sati	sat	Ncmpg
radnika	radnik	Ncmpg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
prekovremeni	prekovremeni	Agpmsayn
rad	rad	Ncmsan
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
veći	velik	Agcmsny
od	od	Sg
prosječnih	prosječan	Agpfpgy
četrdeset	četrdeset	Mlc
pet	pet	Mlc
sati	sat	Ncmpg
tjedno	tjedno	Rgp
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
.	.	Z

Pod	pod	Si
pojmom	pojam	Ncmsi
»	»	Z
razdoblja	razdoblje	Ncnsg
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
«	«	Z
iz	iz	Sg
prethodnog	prethodan	Agpmsgy
stavka	stavak	Ncmsg
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
podrazumijeva	podrazumijevati	Vmr3s
se	sebe	Px--sa
kontinuirano	kontinuiran	Agpnsny
razdoblje	razdoblje	Ncnsn
rada	rad	Ncmsg
radnika	radnik	Ncmpg
koje	koji	Pi-nsn
nije	biti	Var3s
vezano	vezati	Appnsny
uz	uz	Sa
kalendarsku	kalendarski	Agpfsay
godinu	godina	Ncfsa
.	.	Z

Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
pri	pri	Sl
organizaciji	organizacija	Ncfsl
noćnog	noćni	Agpmsgy
rada	rad	Ncmsg
ili	ili	Cc
rada	rad	Ncmsg
u	u	Sl
smjeni	smjena	Ncfsl
voditi	voditi	Vmn
osobitu	osobit	Agpfsay
brigu	briga	Ncfsa
o	o	Sl
organizaciji	organizacija	Ncfsl
rada	rad	Ncmsg
prilagođenoj	prilagoditi	Sl
radniku	radnik	Ncmsl
te	te	Cc
o	o	Sl
sigurnosnim	sigurnosni	Agpfply
i	i	Cc
zdravstvenim	zdravstven	Agpmply
uvjetima	uvjet	Ncmpl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Sg
naravi	narav	Ncfsg
posla	posao	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
noću	noću	Rgp
ili	ili	Cc
u	u	Sl
smjeni	smjena	Ncfsl
.	.	Z

Radniku	radnik	Ncmsd
koji	koji	Pi-msn
rasporedom	raspored	Ncmsi
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
bude	biti	Var3s
određen	odrediti	Appmsnn
da	da	Cs
rad	rad	Ncmsn
obavlja	obavljati	Vmr3s
kao	kao	Cs
noćni	noćni	Agpmsny
radnik	radnik	Ncmsn
,	,	Z
prije	prije	Sg
započinjanja	započinjanje	Ncnsg
tog	taj	Pd-msg
rada	rad	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Cc
redovito	redovito	Rgp
tijekom	tijekom	Sg
trajanja	trajanje	Ncnsg
rada	rad	Ncmsg
noćnog	noćni	Agpmsgy
radnika	radnik	Ncmsg
,	,	Z
poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
omogućiti	omogućiti	Vmn
i	i	Cc
snositi	snositi	Vmn
troškove	trošak	Ncmpa
zdravstvenih	zdravstven	Agpmpgy
pregleda	pregled	Ncmpg
sukladno	sukladno	Rgp
posebnom	poseban	Agpmsly
propisu	propis	Ncmsl
.	.	Z

Članak	članak	Ncmsn
41.	41.	Mdo

U	u	Sl
slučaju	slučaj	Ncmsl
više	mnogo	Rgc
sile	sila	Ncfsg
,	,	Z
izvanrednog	izvanredan	Agpnsgy
povećanja	povećanje	Ncnsg
opsega	opseg	Ncmsg
poslova	posao	Ncmpg
i	i	Cc
u	u	Sl
drugim	drugi	Agpmply
sličnim	sličan	Agpmply
slučajevima	slučaj	Ncmpl
prijeke	prijek	Agpfsgy
potrebe	potreba	Ncfsg
,	,	Z
radnik	radnik	Ncmsn
je	biti	Var3s
na	na	Sa
pisani	pisan	Agpmsayn
zahtjev	zahtjev	Ncmsan
poslodavca	poslodavac	Ncmsg
dužan	dužan	Agpmsnn
raditi	raditi	Vmn
duže	dugo	Rgc
od	od	Sg
punog	pun	Agpnsgy
,	,	Z
odnosno	odnosno	Rgp
nepunog	nepun	Agpnsgy
radnog	radni	Agpnsgy
vremena	vrijeme	Ncnsg
(	(	Z
prekovremeni	prekovremeni	Agpmsny
rad	rad	Ncmsn
)	)	Z
.	.	Z

Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
priroda	priroda	Ncfsn
prijeke	prijek	Agpfsgy
potrebe	potreba	Ncfsg
onemogućava	onemogućavati	Vmr3s
poslodavca	poslodavac	Ncmsg
da	da	Cs
prije	prije	Sg
početka	početak	Ncmsg
prekovremenog	prekovremeni	Agpmsgy
rada	rad	Ncmsg
uruči	uručiti	Vmr3s
radniku	radnik	Ncmsd
pisani	pisan	Agpmsayn
zahtjev	zahtjev	Ncmsan
,	,	Z
usmeni	usmen	Agpmsny
zahtjev	zahtjev	Ncmsn
poslodavac	poslodavac	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
pisano	pisati	Appnsny
potvrditi	potvrditi	Vmn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
sedam	sedam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
je	biti	Var3s
prekovremeni	prekovremeni	Agpmsny
rad	rad	Ncmsn
naložen	naložiti	Appmsnn
.	.	Z

Ako	ako	Cs
radnik	radnik	Ncmsn
radi	raditi	Vmr3s
prekovremeno	prekovremeno	Rgp
,	,	Z
ukupno	ukupan	Agpnsny
trajanje	trajanje	Ncnsn

