poslovnog	poslovan	Agpmsgy
ili	ili	Cc
nepotpunim	nepotpun	Agpmply
podacima	podatak	Ncmpl
.	.	Z

9.	9.	Mdo
Troškovi	trošak	Ncmpn
izdavanja	izdavanje	Ncnsg
obvezujućeg	obvezujuć	Agpnsgy
mišljenja	mišljenje	Ncnsg

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Troškove	trošak	Ncmpa
izdavanja	izdavanje	Ncnsg
obvezujućeg	obvezujuć	Agpnsgy
mišljenja	mišljenje	Ncnsg
u	u	Sl
cijelosti	cijelost	Ncfsl
snosi	snositi	Vmr3s
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
izdavanja	izdavanje	Ncnsg
obvezujućeg	obvezujuć	Agpnsgy
mišljenja	mišljenje	Ncnsg
iznose	iznositi	Vmr3p
:	:	Z

1.	1.	Mdo
5.000,00	5.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
podnositelje	podnositelj	Ncmpa
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
prema	prema	Sl
posljednjoj	posljednji	Agpfsly
poreznoj	porezni	Agpfsly
prijavi	prijava	Ncfsl
ostvaruju	ostvarivati	Vmr3p
prihod	prihod	Ncmsan
do	do	Sg
3.000.000,00	3.000.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z

2.	2.	Mdo
7.000,00	7.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
podnositelje	podnositelj	Ncmpa
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
prema	prema	Sl
posljednjoj	posljednji	Agpfsly
poreznoj	porezni	Agpfsly
prijavi	prijava	Ncfsl
ostvaruju	ostvarivati	Vmr3p
prihod	prihod	Ncmsan
od	od	Sg
3.000.000,00	3.000.000,00	Mdc
kuna	kuna	Ncfpg
do	do	Sg
7.000.000,00	7.000.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z

3.	3.	Mdo
10.000,00	10.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
podnositelje	podnositelj	Ncmpa
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
prema	prema	Sl
posljednjoj	posljednji	Agpfsly
poreznoj	porezni	Agpfsly
prijavi	prijava	Ncfsl
ostvaruju	ostvarivati	Vmr3p
prihod	prihod	Ncmsan
od	od	Sg
7.000.000,00	7.000.000,00	Mdc
kuna	kuna	Ncfpg
do	do	Sg
10.000.000,00	10.000.000,00	Mdc
kuna	kuna	Ncfpg

4.	4.	Mdo
13.000,00	13.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
podnositelje	podnositelj	Ncmpa
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
prema	prema	Sl
posljednjoj	posljednji	Agpfsly
poreznoj	porezni	Agpfsly
prijavi	prijava	Ncfsl
ostvaruju	ostvarivati	Vmr3p
prihod	prihod	Ncmsan
od	od	Sg
10.000.000,00	10.000.000,00	Mdc
kuna	kuna	Ncfpg
do	do	Sg
20.000.000,00	20.000.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z

5.	5.	Mdo
15.000,00	15.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
podnositelje	podnositelj	Ncmpa
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
prema	prema	Sl
posljednjoj	posljednji	Agpfsly
poreznoj	porezni	Agpfsly
prijavi	prijava	Ncfsl
ostvaruju	ostvarivati	Vmr3p
prihod	prihod	Ncmsan
od	od	Sg
20.000.000,00	20.000.000,00	Mdc
kuna	kuna	Ncfpg
do	do	Sg
70.000.000,00	70.000.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z

6.	6.	Mdo
20.000,00	20.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
podnositelje	podnositelj	Ncmpa
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
prema	prema	Sl
posljednjoj	posljednji	Agpfsly
poreznoj	porezni	Agpfsly
prijavi	prijava	Ncfsl
ostvaruju	ostvarivati	Vmr3p
prihod	prihod	Ncmsan
od	od	Sg
70.000.000,00	70.000.000,00	Mdc
kuna	kuna	Ncfpg
do	do	Sg
110.000.000,00	110.000.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z

7.	7.	Mdo
25.000,00	25.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
podnositelje	podnositelj	Ncmpa
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
prema	prema	Sl
posljednjoj	posljednji	Agpfsly
poreznoj	porezni	Agpfsly
prijavi	prijava	Ncfsl
ostvaruju	ostvarivati	Vmr3p
prihod	prihod	Ncmsan
od	od	Sg
110.000.000,00	110.000.000,00	Mdc
kuna	kuna	Ncfpg
do	do	Sg
150.000.000,00	150.000.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z

8.	8.	Mdo
30.000,00	30.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
podnositelje	podnositelj	Ncmpa
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
prema	prema	Sl
posljednjoj	posljednji	Agpfsly
poreznoj	porezni	Agpfsly
prijavi	prijava	Ncfsl
ostvaruju	ostvarivati	Vmr3p
prihod	prihod	Ncmsan
veći	velik	Agcmsny
od	od	Sg
150.000.000,00	150.000.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z

9.	9.	Mdo
5.000,00	5.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
podnositelje	podnositelj	Ncmpa
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
započinju	započinjati	Vmr3p
ili	ili	Cc
su	biti	Var3p
započeli	započeti	Vmp-pm
poslovanje	poslovanje	Ncnsa
u	u	Sl
poreznom	porezni	Agpnsly
razdoblju	razdoblje	Ncnsl
u	u	Sl
kojem	koji	Pi-nsl
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
,	,	Z
za	za	Sa
porezne	porezni	Agpmpay
obveznike	obveznik	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
kada	kada	Cs
se	sebe	Px--sa
obvezujuće	obvezujuć	Agpnsny
mišljenje	mišljenje	Ncnsn
traži	tražiti	Vmr3s
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
investicijske	investicijski	Agpmpay
projekte	projekt	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
izdavanja	izdavanje	Ncnsg
obvezujućeg	obvezujuć	Agpnsgy
mišljenja	mišljenje	Ncnsg
uplaćuju	uplaćivati	Vmr3p
se	sebe	Px--sa
u	u	Sa
korist	korist	Ncfsa
računa	računati	Vmr3s
broj	broj	Ncmsan
HR1210010051863000160	HR1210010051863000160	Mds
–	–	Z
prihod	prihod	Ncmsan
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
od	od	Sg
obvezujućih	obvezujuć	Agpnpgy
mišljenja	mišljenje	Ncnpg
,	,	Z
uz	uz	Sa
obveznu	obvezan	Agpfsay
naznaku	naznaka	Ncfsa
modela	model	Ncmsg
„	„	Z
HR64	HR64	X
“	“	Z
te	te	Cc
brojčane	brojčani	Agpfsgy
oznake	oznaka	Ncfsg
(	(	Z
šifre	šifra	Ncfpn
)	)	Z
vrste	vrsta	Ncfsg
prihoda	prihod	Ncmpg
5673	5673	Mdc
-	-	Z
20181	20181	Mdc
i	i	Cc
osobnog	osoban	Agpmsgy
identifikacijskog	identifikacijski	Agpmsgy
broja	broj	Ncmsg
(	(	Z
OIB-a	OIB	Npmsg
)	)	Z
uplatitelja	uplatitelj	Ncmpg
(	(	Z
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
)	)	Z
u	u	Sl
pozivu	poziv	Ncmsl
na	na	Sa
broj	broj	Ncmsan
primatelja	primatelj	Ncmpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uplaćeni	uplatiti	Appmpny
troškovi	trošak	Ncmpn
izdavanja	izdavanje	Ncnsg
obvezujućeg	obvezujuć	Agpnsgy
mišljenja	mišljenje	Ncnsg
prihod	prihod	Ncmsan
su	biti	Var3p
Porezne	porezni	Agpfpny
uprave	uprava	Ncfpn
.	.	Z

DIO	dio	Ncmsn
DRUGI	drugi	Mlomsan
ISPRAVAK	ispravak	Ncmsan
PRIJAVE	prijava	Ncfsg
NA	na	Sa
POZIV	poziv	Ncmsan
POREZNOG	porezni	Agpnsgy
TIJELA	tijelo	Ncnsg

I.	I.	Y
OPĆA	opći	Agpfsny
ODREDBA	odredba	Ncfsn

Članak	članak	Ncmsn
14.	14.	Mdo

Dijelom	dio	Ncmsi
drugim	drugi	Agpmsiy
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
podrobnije	podrobno	Rgc
se	sebe	Px--sa
razrađuje	razrađivati	Vmr3s
provedba	provedba	Ncfsn
OPZ-a	OPZ	Npmsg
o	o	Sl
uvjetima	uvjet	Ncmpl
,	,	Z
načinu	način	Ncmsl
i	i	Cc
rokovima	rok	Ncmpl
ispravka	ispravak	Ncmsg
prijave	prijava	Ncfsg
na	na	Sa
poziv	poziv	Ncmsan
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

II	ii	Mrc
.	.	Z

UVJETI	uvjet	Ncmpn
I	i	Cc
ROK	rok	Ncmsn
ZA	za	Sa
ISPRAVAK	ispravak	Ncmsan
PRIJAVE	prijava	Ncfsg

Članak	članak	Ncmsn
15.	15.	Mdo

Porezna	porezni	Agpfsny
uprava	uprava	Ncfsn
može	moći	Vmr3s
,	,	Z
u	u	Sl
slučajevima	slučaj	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
to	taj	Pd-nsn
ocijeni	ocijeniti	Vmr3s
potrebnim	potreban	Agpnsiy
,	,	Z
do	do	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
zastare	zastara	Ncfsg
,	,	Z
pozvati	pozvati	Vmn
poreznog	porezni	Agpmsayy
obveznika	obveznik	Ncmsay
da	da	Cs
izvrši	izvršiti	Vmr3s
ispravak	ispravak	Ncmsan
prijave	prijava	Ncfsg
u	u	Sl
ostavljenom	ostaviti	Agpmsly
roku	rok	Ncmsl
koji	koji	Pi-msn
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
dulji	dug	Agcmsny
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
zaprimljenog	zaprimiti	Agpmsgy
poziva	poziv	Ncmsg
.	.	Z

Posljedice	posljedica	Ncfpn
neodazivanja	neodazivanje	Ncnsg
pozivu	poziv	Ncmsd
poreznog	porezni	Agpnsgy
tijela	tijelo	Ncnsg

Članak	članak	Ncmsn
16.	16.	Mdo

Ako	ako	Cs
se	sebe	Px--sa
porezni	porezni	Agpmsny
obveznik	obveznik	Ncmsn
ne	ne	Qz
odazove	odazvati	Vmr3s
pozivu	poziv	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
15.	15.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
Porezna	porezni	Agpfsny
uprava	uprava	Ncfsn
pokrenuti	pokrenuti	Vmn
će	htjeti	Var3s
postupak	postupak	Ncmsan
poreznog	porezni	Agpmsgy
nadzora	nadzor	Ncmsg
,	,	Z
a	a	Cc
radi	radi	Sg
detaljne	detaljan	Agpfsgy
provjere	provjera	Ncfsg
točnosti	točnost	Ncfsg
i	i	Cc
vjerodostojnosti	vjerodostojnost	Ncfsg
podataka	podatak	Ncmpg
i	i	Cc
knjigovodstvene	knjigovodstven	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
poreznog	porezni	Agpmsgy
obveznika	obveznik	Ncmsg
.	.	Z

DIO	dio	Ncmsn
TREĆI	treći	Mlomsn
STATISTIČKA	statistički	Agpnpay
IZVJEŠĆA	izvješće	Ncnpa
O	o	Sl
ČINJENICAMA	činjenica	Ncfpl
BITNIM	bitan	Agpfply
ZA	za	Sa
OPOREZIVANJE	oporezivanje	Ncnsa

I.	I.	Y
OPĆE	opći	Agpfsgy
ODREDBE	odredba	Ncfsg

Članak	članak	Ncmsn
17.	17.	Mdo

Dijelom	dio	Ncmsi
trećim	treći	Sg
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
podrobnije	podrobno	Rgc
se	sebe	Px--sa
razrađuje	razrađivati	Vmr3s
provedba	provedba	Ncfsn
OPZ-a	OPZ	Npmsg
o	o	Sl
vrsti	vrsta	Ncfsl
,	,	Z
oblicima	oblik	Ncmpl
,	,	Z
načinu	način	Ncmsl
i	i	Cc
rokovima	rok	Ncmpl
podnošenja	podnošenje	Ncnsg
statističkih	statistički	Agpnpgy
izvješća	izvješće	Ncnpg
Poreznoj	porezni	Agpfsly
upravi	uprava	Ncfsl
za	za	Sa
potrebe	potreba	Ncfpa
utvrđivanja	utvrđivanje	Ncnsg
činjenica	činjenica	Ncfpg
bitnih	bitan	Agpfpgy
za	za	Sa
oporezivanje	oporezivanje	Ncnsa
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

Obveznici	obveznik	Ncmpn
sastavljanja	sastavljanje	Ncnsg
statističkih	statistički	Agpnpgy
izvješća	izvješće	Ncnpg
dužni	dužan	Agpmpny
su	biti	Var3p
Poreznoj	porezni	Agpfsly
upravi	uprava	Ncfsl
dostavljati	dostavljati	Vmn
podatke	podatak	Ncmpa
na	na	Sa
način	način	Ncmsan
,	,	Z
u	u	Sl
obliku	oblik	Ncmsl
i	i	Cc
u	u	Sl
rokovima	rok	Ncmpl
propisanim	propisati	Appmply
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

II	ii	Mrc
.	.	Z

