naglašena	naglasiti	Appfsny
poredak	poredak	Ncmsn
,	,	Z
javni	javan	Agpmsny
moral	moral	Ncmsn
i	i	Cc
zdravlje	zdravlje	Ncnsa
koji	koji	Pi-msn
bi	biti	Vaa3s
opravdao	opravdati	Vmp-sm
isključenje	isključenje	Ncnsa
aktivnog	aktivan	Agpnsgy
i	i	Cc
pasivnog	pasivan	Agpnsgy
biračkog	birački	Agpnsgy
prava	pravo	Ncnsg
osobama	osoba	Ncfpd
s	sa	Si
invaliditetom	invaliditet	Ncmsi
.	.	Z

U	u	Sl
sudskoj	sudski	Agpfsly
praksi	praksa	Ncfsl
,	,	Z
mišljenje	mišljenje	Ncnsa
jednog	jedan	Mlcmsg
liječnika	liječnik	Ncmsg
psihijatra	psihijatar	Ncmsg
o	o	Sl
poslovnoj	poslovan	Agpfsly
nesposobnosti	nesposobnost	Ncfsl
neke	neki	Pi-fpa
osobe	osoba	Ncfpa
za	za	Sa
posljedicu	posljedica	Ncfsa
može	moći	Vmr3s
imati	imati	Vmn
njenu	njen	Agpfsay
potpunu	potpun	Agpfsay
nemogućnost	nemogućnost	Ncfsa
za	za	Sa
participaciju	participacija	Ncfsa
u	u	Sl
političkom	politički	Agpmsly
životu	život	Ncmsl
,	,	Z
a	a	Cc
ocjena	ocjena	Ncfsn
liječnika	liječnik	Ncmpg
psihijatra	psihijatar	Ncmsg
ne	ne	Qz
mora	morati	Vmr3s
imati	imati	Vmn
nikakve	nikakav	Pi-fsg
veze	veza	Ncfsg
sa	sa	Si
njegovim	njegov	Agpnsiy
razumijevanjem	razumijevanje	Ncnsi
pravnog	pravni	Agpmsgy
poretka	poredak	Ncmsg
,	,	Z
javnog	javan	Agpmsgy
morala	moral	Ncmsg
i	i	Cc
zdravlja	zdravlje	Ncnsg
već	već	Rgp
ima	imati	Vmr3s
veze	veza	Ncfsg
sa	sa	Si
standardiziranim	standardiziran	Agpmpiy
postupcima	postupak	Ncmpi
u	u	Sl
psihijatrijskoj	psihijatrijski	Agpfsly
praksi	praksa	Ncfsl
.	.	Z
«	«	Z

34.	34.	Mdo

Skupina	skupina	Ncfsn
predlagatelja	predlagatelj	Ncmpg
dalje	daleko	Rgc
smatra	smatrati	Vmr3s
da	da	Cs
članak	članak	Ncmsn
10.	10.	Mdo
točka	točka	Ncfsn
2.	2.	Mdo
ZIZHS-a	ZIZHS	Npmsg
ne	ne	Qz
može	moći	Vmr3s
proći	proći	Vmn
test	test	Ncmsan
razmjernosti	razmjernost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
16.	16.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Ustava	ustav	Ncmsg
zato	zato	Cs
što	što	Cs
se	sebe	Px--sa
taj	taj	Pd-msn
zakonski	zakonski	Agpmsny
članak	članak	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
ispitati	ispitati	Vmn
s	sa	Sg
aspekta	aspekt	Ncmsg
razmjera	razmjer	Ncmsg
potrebe	potreba	Ncfsg
za	za	Sa
ograničenjem	ograničenje	Ncnsi
prava	pravo	Ncnpg
u	u	Sl
svakom	svaki	Pi-msl
pojedinom	pojedini	Agpmsly
slučaju	slučaj	Ncmsl
.	.	Z

Navodi	navoditi	Vmr3s
da	da	Cs
je	biti	Var3s
zakonska	zakonski	Agpfsny
norma	norma	Ncfsn
lišenja	lišenje	Ncnsg
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
,	,	Z
kada	kada	Cs
je	biti	Var3s
to	taj	Pd-nsn
lišenje	lišenje	Ncnsn
potpuno	potpun	Agpnsny
,	,	Z
blanketna	blanketna	Ncfsn
i	i	Cc
automatski	automatski	Rgp
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
na	na	Sa
prava	pravo	Ncnpa
u	u	Sl
drugim	drugi	Agpmply
zakonima	zakon	Ncmpl
,	,	Z
ovdje	ovdje	Rgp
konkretno	konkretno	Rgp
na	na	Sa
biračka	birački	Agpnpay
i	i	Cc
druga	drugi	Mlonpa
prava	pravo	Ncnpa
uređena	uređen	Agpfsny
ZIZHS-om	zizhs-om	Ncfsn
.	.	Z

Zaključuje	zaključivati	Vmr3s
da	da	Cs
automatsko	automatski	Agpnsny
djelovanje	djelovanje	Ncnsn
pravne	pravni	Agpfsgy
norme	norma	Ncfsg
nije	biti	Var3s
nikada	nikada	Rgp
moguće	moguć	Agpnsny
ispitati	ispitati	Vmn
s	sa	Sg
aspekta	aspekt	Ncmsg
načela	načelo	Ncnsg
razmjernosti	razmjernost	Ncfsg
,	,	Z
tim	taj	Pd-nsi
više	mnogo	Rgc
što	što	Cs
ne	ne	Qz
postoji	postojati	Vmr3s
mogućnost	mogućnost	Ncfsn
sudskog	sudski	Agpnsgy
ispitivanja	ispitivanje	Ncnsg
ograničenja	ograničenje	Ncnsg
biračkog	birački	Agpnsgy
prava	pravo	Ncnsg
,	,	Z
neovisno	neovisno	Rgp
o	o	Sl
sudskom	sudski	Agpmsly
postupku	postupak	Ncmsl
za	za	Sa
lišenje	lišenje	Ncnsa
/	/	Z
vraćanje	vraćanje	Ncnsa
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
općenito	preopćenito	Rgp
.	.	Z

35.	35.	Mdo

Skupina	skupina	Ncfsn
predlagatelja	predlagatelj	Ncmpg
dalje	daleko	Rgc
skreće	skretati	Vmr3s
pažnju	pažnja	Ncfsa
na	na	Sa
praksu	praksa	Ncfsa
Europskog	europski	Agpmsgy
suda	sud	Ncmsg
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
ESLJP	ESLJP	Npmsn
)	)	Z
:	:	Z

»	»	Z
...	...	Z
(	(	Z
iz	iz	Sg
predmeta	predmet	Ncmsg
Kiss	Kiss	Npmsn
protiv	protiv	Sg
Mađarske	Mađarska	Npfsg
,	,	Z
§	§	Z
42	42	Mdc
)	)	Z
,	,	Z
koja	koji	Pi-fsn
ukazuje	ukazivati	Vmr3s
da	da	Cs
ako	ako	Cs
se	sebe	Px--sa
ograničenje	ograničenje	Ncnsn
fundamentalnih	fundamentalan	Agpnpgy
prava	pravo	Ncnpg
odnosi	odnositi	Vmr3s
na	na	Sa
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
u	u	Sl
povijesti	povijest	Ncfsl
bile	biti	Vap-pf
izložene	izložiti	Appfpny
značajnoj	značajan	Agpfsly
stigmi	stigma	Ncfsl
,	,	Z
kao	kao	Cs
i	i	Qo
one	onaj	Pd-fpn
sa	sa	Si
duševnim	duševan	Agpfpiy
smetnjama	smetnja	Ncfpi
ili	ili	Cc
intelektualnim	intelektualan	Agpfpiy
teškoćama	teškoća	Ncfpi
,	,	Z
margina	margina	Ncfsn
slobodne	slobodan	Agpfsgy
procjene	procjena	Ncfsg
neke	neki	Agpfsgy
države	država	Ncfsg
znatno	znatan	Agpnsny
je	biti	Var3s
uža	uzak	Agcfsny
i	i	Cc
za	za	Sa
svako	svaki	Pi-nsa
ograničenje	ograničenje	Ncnsa
moraju	morati	Vmr3p
postojati	postojati	Vmn
razmjerni	razmjeran	Agpmpny
razlozi	razlog	Ncmpn
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
razlog	razlog	Ncmsn
za	za	Sa
takav	takav	Pd-msan
pristup	pristup	Ncmsan
Europski	europski	Agpmsny
sud	sud	Ncmsn
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
nalazi	nalaziti	Vmr3s
upravo	upravo	Rgp
u	u	Sl
činjenici	činjenica	Ncfsl
da	da	Cs
su	biti	Var3p
takve	takav	Pd-fpn
grupacije	grupacija	Ncfpn
ljudi	čovjek	Ncmpg
u	u	Sl
povijesti	povijest	Ncfsl
bile	biti	Vap-pf
izložene	izložiti	Appfpny
predrasudama	predrasuda	Ncfpd
sa	sa	Si
dugotrajnim	dugotrajan	Agpfpiy
posljedicama	posljedica	Ncfpi
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
rezultiralo	rezultirati	Vmp-sn
njihovim	njihov	Ps3mpl
socijalnim	socijalan	Agpnsiy
isključivanjem	isključivanje	Ncnsi
.	.	Z

Upravo	upravo	Rgp
takve	takav	Pd-fpa
predrasude	predrasuda	Ncfpa
,	,	Z
navodi	navoditi	Vmr3s
Sud	sud	Ncmsn
,	,	Z
mogu	moći	Vmr3p
dovesti	dovesti	Vmn
do	do	Sg
zakonodavne	zakonodavan	Agpfsgy
stereotipizacije	stereotipizacija	Ncfsg
koja	koji	Pi-fsn
sprječava	sprječavati	Vmr3s
individualiziranu	individualizirati	Agpfsay
evaluaciju	evaluacija	Ncfsa
njihovih	njihov	Ps3mpg
kapaciteta	kapacitet	Ncmpg
i	i	Cc
potreba	potreba	Ncfpg
.	.	Z
«	«	Z

36.	36.	Mdo

U	u	Sl
prijedlogu	prijedlog	Ncmsl
upućuje	upućivati	Vmr3s
i	i	Qo
na	na	Sa
društvena	društven	Agpnpay
kretanja	kretanje	Ncnpa
koja	koji	Pi-npn
su	biti	Var3p
od	od	Sg
utjecaja	utjecaj	Ncmsg
na	na	Sa
donošenje	donošenje	Ncnsa
odluke	odluka	Ncfsg
o	o	Sl
pokretanju	pokretanje	Ncnsl
postupka	postupak	Ncmsg
za	za	Sa
ocjenu	ocjena	Ncfsa
suglasnosti	suglasnost	Ncfsg
s	sa	Si
Ustavom	ustav	Ncmsi
članka	članak	Ncmsg
10.	10.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
ZIZJS-a	zizjs-	Ncmsg
,	,	Z
navodeći	navoditi	Rr
:	:	Z

»	»	Npmsn
U	u	Sl
prvom	prvi	Mlomsl
redu	red	Ncmsl
,	,	Z
čl.	čl.	Y
12.	12.	Mdo

Konvencije	konvencija	Ncfpn
o	o	Sl
pravima	pravo	Ncnpl
osoba	osoba	Ncfpg
s	sa	Si
invaliditetom	invaliditet	Ncmsi
stvara	stvarati	Vmr3s
sasvim	sasvim	Rgp
novu	nov	Agpfsay
paradigmu	paradigma	Ncfsa
u	u	Sl
pristupu	pristup	Ncmsl
konceptu	koncept	Ncmsl
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
,	,	Z
a	a	Cc
kako	kako	Cs
je	biti	Var3s
taj	taj	Pd-msn
nadzakonski	nadzakonski	Agpmsny
dokument	dokument	Ncmsn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
na	na	Sl
snazi	snaga	Ncfsl

