pod	pod	Si
MORU	more	Ncnsl
VLASNIK	vlasnik	Ncmsn
PLOVILA	plovilo	Ncnsg
Naziv	naziv	Ncmsn
/	/	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
:	:	Z
_________________________________	________________________________i	Agpnsny
Sjedište	sjedište	Ncnsn
/	/	Z
prebivalište	prebivalište	Ncnsn
__________________________________	__________________________________	Z
Adresa	adresa	Ncfsn
:	:	Z
___________________________________________	___________________________________________	Npmsn
OIB	OIB	Npmsn
:	:	Z
_______________	_______________	Npmsn
MBO	MBO	Npmsn
:	:	Z
__________________________	__________________________	Agpmsny
OVLAŠTENIK	ovlaštenik	Ncmsn
POVLASTICE	povlastica	Ncfsg
Naziv	naziv	Ncmsn
:	:	Z
____________________________________________	___________________________________________i	Agpnsay
Ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
vlasnika	vlasnik	Ncmpg
ili	ili	Cc
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
:	:	Z
_________________	________________i	Agpnsny
Sjedište	sjedište	Ncnsn
:	:	Z
__________________________________________	_________________________________________	Aspfsny
Adresa	adresa	Ncfsn
:	:	Z
___________________________________________	___________________________________________	Npmsn
OIB	OIB	Npmsn
:	:	Z
_______________	_______________	Npmsn
MBO	MBO	Npmsn
:	:	Z
__________________________	__________________________	Agpmpny
PODACI	podatak	Ncmpn
O	o	Sl
PLOVILU	plovilo	Ncnsl
Ime	ime	Ncnsn
i	i	Cc
luka	luka	Ncfsn
upisa	upis	Ncmsg
/	/	Z
Reg.	Reg.	Y
oznaka	oznaka	Ncfsn
plovila	ploviti	Vmp-sf
_______________________	_______________________	Npfsn
CFR	CFR	Npfsn
______________________	______________________	Npfsn
Snaga	Snaga	Npfsn
(	(	Z
kW	ka	Ncfpn
)	)	Z
_______________	______________i	Agpfsny
Vanjska	vanjski	Agpfsny
oznaka	oznaka	Ncfsn
_______________	_______________	Var3s
IRCS	ircs	Agpmsny
broj	broj	Ncmsn
_______________	______________i	Agpfsny
Tonaža	tonaža	Ncfsn
(	(	Z
GT	GT	Npmsn
)	)	Z
_______________	______________i	Agpfsny
Duljina	duljina	Ncfsn
(	(	Z
m	m	Npmsn
)	)	Z
________________	________________	Agpmsny
Serijski	serijski	Agpmsny
broj	broj	Ncmsn
povlastice	povlastica	Ncfsg
:	:	Z
_________	_________	Z
Država	država	Ncfsn
upisa	upis	Ncmsg
______________	___________	Agcnsay
Razdoblje	razdoblje	Ncnsa
obavljanja	obavljanje	Ncnsg
djelatnosti	djelatnost	Ncfpg
kod	kod	Sg
sezonskih	sezonski	Agpmpgy
obrta	obrt	Ncmpg
:	:	Z
__________	__________	Z

–	i	Agpfsny
stražnja	stražnji	Agpfsny
stranica	stranica	Ncfsn
obrasca	obrazac	Ncmsg
povlastice	povlastica	Ncfsg

Ribolovni	ribolovan	Agpmsny
alat	alat	Ncmsn
:	:	Z
Ribolovna	ribolovan	Agpfsny
zona	zona	Ncfsn
:	:	Z
Pomoćna	pomoćan	Agpnpny
plovila	plovilo	Ncnpn
:	:	Z
Nadležna	nadležan	Agpfsny
ispostava	ispostava	Ncfsn
:	:	Z
________________	_______________i	Agpfsny
Klasa	klasa	Ncfsn
:	:	Z
__________________________	__________________________	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
_________________________	_________________________	Agpmsnn
Redni	redni	Agpmsny
broj	broj	Ncmsn
upisa	upis	Ncmpg
u	u	Sa
registar	registar	Ncmsan
:	:	Z
_________	________i	Agpnsny
Mjesto	mjesto	Ncnsn
,	,	Z
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
PO	po	Sl
OVLAŠTENJU	ovlaštenje	Ncnsl
MINISTRA	ministar	Ncmsg
Potpis	potpis	Ncmsn
M.	M.	Y
P.	P.	Y

