tijela	tijelo	Ncnpn
od	od	Sg
stajališta	stajalište	Ncnsg
koja	koji	Pi-npn
su	biti	Var3p
zauzeta	zauzeti	Appnpny
ranije	rano	Rgc
u	u	Sl
tijeku	tijek	Ncmsl
postupka	postupak	Ncmsg
pred	pred	Si
drugostupanjskim	drugostupanjski	Agpmsiy
sudom	sud	Ncmsi
,	,	Z
neovisno	neovisno	Rgp
o	o	Sl
činjenici	činjenica	Ncfsl
što	što	Pi3n-n
je	biti	Var3s
o	o	Sl
predmetu	predmet	Ncmsl
kao	kao	Cs
drugostupanjski	drugostupanjski	Agpmsny
sud	sud	Ncmsn
ranije	rano	Rgc
odlučivao	odlučivati	Vmp-sm
Županijski	županijski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Virovitici	Virovitica	Npfsl
,	,	Z
a	a	Cc
kasnije	kasno	Rgc
Županijski	županijski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Bjelovaru	Bjelovar	Npmsl
.	.	Z

Drugostupanjski	drugostupanjski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Bjelovaru	Bjelovar	Npmsl
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
donio	donijeti	Vmp-sm
osporenu	osporiti	Agpfsay
presudu	presuda	Ncfsa
,	,	Z
nije	biti	Var3s
se	sebe	Px--sa
niti	niti	Qo
riječju	riječ	Ncfsi
očitovao	očitovati	Vmp-sm
o	o	Sl
stajalištu	stajalište	Ncnsl
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Virovitici	Virovitica	Npfsl
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
rješenju	rješenje	Ncnsl
od	od	Sg
19.	19.	Mdo
studenoga	studeni	Ncmsg
2009.	2009.	Mdo
istaknuo	istaknuti	Vmp-sm
:	:	Z
»	»	Z
Pogrešno	pogrešan	Agpnsny
žalba	žalba	Ncfsn
prigovara	prigovarati	Vmr3s
aktivnoj	aktivan	Agpfsdy
legitimaciji	legitimacija	Ncfsd
tužiteljice	tužiteljica	Ncfsg
jer	jer	Cs
se	sebe	Px--sa
ne	ne	Qz
radi	raditi	Vmr3s
o	o	Sl
tužbi	tužba	Ncfsl
iz	iz	Sg
čl.	čl.	Y
209.	209.	Mdo

ObZ-a	ObZ	Npmsg
(	(	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
broj	broj	Ncmsn
116/03	116/03	Mdc
,	,	Z
dalje	daleko	Rgc
:	:	Z
ObZ-a	obz-a	Ncfsn
iz	iz	Sg
2003.	2003.	Mdo
)	)	Z
u	u	Sl
vezi	veza	Ncfsl
čl.	čl.	Y
9.	9.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Obiteljskog	obiteljski	Agpmsgy
zakona	zakon	Ncmsg
(	(	Z
Narodne	narodni	Agpfsgy
novine	novina	Ncfsg
107/07	107/07	Mdc
,	,	Z
dalje	daleko	Rgc
:	:	Z
ZID	zid	Ncmsn
ObZ-a	ObZ	Npmsg
iz	iz	Sg
2007.	2007.	Mdo
)	)	Z
,	,	Z
već	već	Rgp
iz	iz	Sg
čl.	čl.	Y
244.	244.	Mdo

ObZ-a	ObZ	Npmsg
iz	iz	Sg
2003.	2003.	Mdo
u	u	Sl
vezi	veza	Ncfsl
čl.	čl.	Y
35.	35.	Mdo

ZID	zid	Ncmsn
ObZ-a	ObZ	Npmsg
iz	iz	Sg
2007.	2007.	Mdo
,	,	Z
dakle	dakle	Cc
o	o	Sl
zahtjevu	zahtjev	Ncmsl
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
umjesto	umjesto	Sg
tuženika	tuženik	Ncmsg
,	,	Z
obveznika	obveznik	Ncmpg
plaćanja	plaćanje	Ncnsg
uzdržavanja	uzdržavanje	Ncnsg
,	,	Z
uzdržavala	uzdržavati	Vmp-sf
dijete	dijete	Ncnsa
stranaka	stranka	Ncfpg
,	,	Z
koja	koji	Pi-fsn
od	od	Sg
obveznika	obveznik	Ncmsg
,	,	Z
koji	koji	Pi-msn
nije	biti	Var3s
plaćao	plaćati	Vmp-sm
uzdržavanje	uzdržavanje	Ncnsa
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
tražiti	tražiti	Vmn
ono	onaj	Pd-nsn
što	što	Pi3n-n
je	biti	Var3s
umjesto	umjesto	Sg
njega	on	Pp3msg
platila	platiti	Vmp-sf
na	na	Sa
ime	ime	Ncnsa
uzdržavanja	uzdržavanje	Ncnsg
«	«	Z
.	.	Z

Po	po	Sl
takvoj	takav	Pd-fsl
je	biti	Var3s
izričitoj	izričit	Agpfsly
uputi	uputa	Ncfsl
drugostupanjskog	drugostupanjski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
ponovljenom	ponoviti	Agpmsly
postupku	postupak	Ncmsl
postupio	postupiti	Vmp-sm
prvostupanjski	prvostupanjski	Agpmsayn
sud	sud	Ncmsan
te	te	Cc
je	biti	Var3s
utvrdio	utvrditi	Vmp-sm
:	:	Z
»	»	Z
Kako	kako	Cs
je	biti	Var3s
tužiteljica	tužiteljica	Ncfsn
u	u	Sl
utuženom	utužiti	Agpnsly
razdoblju	razdoblje	Ncnsl
snosila	snositi	Vmp-sf
troškove	trošak	Ncmpa
uzdržavanja	uzdržavanje	Ncnsg
mldb	mlda	Ncfsg
.	.	Z
djeteta	dijete	Ncnsg
,	,	Z
sukladno	sukladno	Rgp
odredbi	odredba	Ncfpg
čl.	čl.	Y
244.	244.	Mdo

OBZ-a	OBZ	Npmsg
,	,	Z
ima	imati	Vmr3s
pravo	pravo	Ncnsa
tražiti	tražiti	Vmn
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
od	od	Sg
drugog	drugi	Mlomsg
roditelja	roditelj	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
tuženika	tuženik	Ncmpg
,	,	Z
pa	pa	Cc
je	biti	Var3s
slijedom	slijed	Ncmsi
iznijetog	iznijeti	Appnsgy
riješeno	riješiti	Appnsny
kao	kao	Cs
u	u	Sl
izreci	izreka	Ncfsl
«	«	Z
.	.	Z

Iz	iz	Sg
osporene	osporiti	Agpfsgy
presude	presuda	Ncfsg
nije	biti	Var3s
razvidno	razvidan	Agpnsny
kako	kako	Cs
je	biti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
utvrđenja	utvrđenje	Ncnsg
prvostupanjskog	prvostupanjski	Agpmsgy
suda	sud	Ncmsg
,	,	Z
koja	koji	Pi-npn
su	biti	Var3p
jasno	jasan	Agpnsay
i	i	Cc
nedvosmisleno	nedvosmisleno	Rgp
iznesena	iznijeti	Appfsny
kao	kao	Cs
odgovor	odgovor	Ncmsan
na	na	Sa
uputu	uputa	Ncfsa
iz	iz	Sg
ukidnog	ukidan	Agpnsgy
rješenja	rješenje	Ncnsg
drugostupanjskog	drugostupanjski	Agpmsgy
suda	sud	Ncmsg
,	,	Z
Županijski	županijski	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Bjelovaru	Bjelovar	Npmsl
donio	donijeti	Vmp-sm
odluku	odluka	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
u	u	Sl
suprotnosti	suprotnost	Ncfsl
sa	sa	Si
stajalištem	stajalište	Ncnsi
iznesenim	iznijeti	Appmsiy
u	u	Sl
ukidnom	ukidan	Agpnsly
rješenju	rješenje	Ncnsl
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Virovitici	Virovitica	Npfsl
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
ranije	rano	Rgc
odlučivao	odlučivati	Vmp-sm
kao	kao	Cs
sud	sud	Ncmsan
drugog	drugi	Mlomsg
stupnja	stupanj	Ncmsg

