regulira	regulirati	Vmr3s
uzastopnih	uzastopni	Agpmpgy
dana	dan	Ncmpg
i	i	Cc
200	200	Mdc
sati	sat	Ncmpg
u	u	Sa
90	90	Mdc
uzastopnih	uzastopni	Agpmpgy
dana	dan	Ncmpg
.	.	Z

XXXIV	xxxii	Agpnsny
.	.	Z

PROVEDBENI	provedbeni	Agpmpny
AKTI	akt	Ncmpn
ZA	za	Sa
VOJNO	vojni	Agpnsay
LETENJE	letenje	Ncnsa

Članak	članak	Ncmsn
179.	179.	Mdo

Ovlašćuje	ovlašćivati	Vmr3s
se	sebe	Px--sa
načelnik	načelnik	Ncmsn
Glavnog	glavni	Agpmsgy
stožera	stožer	Ncmsg
Oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
da	da	Cs
radi	radi	Sg
cjelovitog	cjelovit	Agpnsgy
uređenja	uređenje	Ncnsg
uporabe	uporaba	Ncfsg
vojnih	vojni	Agpmpgy
zrakoplova	zrakoplov	Ncmpg
i	i	Cc
vojnog	vojni	Agpnsgy
letenja	letenje	Ncnsg
donosi	donositi	Vmr3s
sljedeće	sljedeći	Agpmpay
provedbene	provedbeni	Agpmpay
akte	akt	Ncmpa
:	:	Z

–	i	Agpfsay
Uputu	uputa	Ncfsa
za	za	Sa
podnošenje	podnošenje	Ncnsa
zahtjeva	zahtjev	Ncmpg
za	za	Sa
objavu	objava	Ncfsa
i	i	Cc
poništenje	poništenje	Ncnsa
NOTAM-a	NOTAM	Npmsg

–	–	Agpmsny
Elaborat	elaborat	Ncmsn
vojnog	vojni	Agpmsgy
poligona	poligon	Ncmsg

–	i	Agpfsay
Uputu	uputa	Ncfsa
za	za	Sa
meteorološku	meteorološki	Agpfsay
potporu	potpora	Ncfsa
letenja	letenje	Ncnsg

–	i	Agpfsay
Uputu	uputa	Ncfsa
o	o	Sl
uvjetima	uvjet	Ncmpl
i	i	Cc
postupcima	postupak	Ncmpl
letenja	letenje	Ncnsg
bespilotnih	bespilotan	Agpmpgy
zrakoplova	zrakoplov	Ncmpg

–	i	Agpfsay
Uputu	uputa	Ncfsa
za	za	Sa
dežurni	dežuran	Agpmsayn
borbeni	borben	Agpmsayn
dvojac	dvojac	Ncmsan

–	i	Agpfsay
Uputu	uputa	Ncfsa
za	za	Sa
potragu	potraga	Ncfsa
i	i	Cc
spašavanje	spašavanje	Ncnsa
vojnog	vojni	Agpmsgy
zrakoplova	zrakoplov	Ncmsg

–	i	Agpfsay
Uputu	uputa	Ncfsa
za	za	Sa
uporabu	uporaba	Ncfsa
vojnih	vojni	Agpmpgy
zrakoplova	zrakoplov	Ncmpg
u	u	Sl
gašenju	gašenje	Ncnsl
požara	požar	Ncmsg

–	i	Agpfsay
Uputu	uputa	Ncfsa
za	za	Sa
uporabu	uporaba	Ncfsa
vojnih	vojni	Agpmpgy
zrakoplova	zrakoplov	Ncmpg
u	u	Sl
zadaćama	zadaća	Ncfpl
nadzora	nadzor	Ncmsg
i	i	Cc
zaštite	zaštita	Ncfsg
zračnog	zračan	Agpmsgy
prostora	prostor	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg

–	i	Agpfsay
Uputu	uputa	Ncfsa
za	za	Sa
uporabu	uporaba	Ncfsa
vojnih	vojni	Agpmpgy
zrakoplova	zrakoplov	Ncmpg
u	u	Sl
potpori	potpora	Ncfsl
provedbe	provedba	Ncfsg
zadaća	zadaća	Ncfpg
Obalne	obalni	Agpfsgy
straže	straža	Ncfsg

–	i	Agpfsay
Uputu	uputa	Ncfsa
za	za	Sa
uporabu	uporaba	Ncfsa
vojnih	vojni	Agpmpgy
zrakoplova	zrakoplov	Ncmpg
u	u	Sl
zadaćama	zadaća	Ncfpl
prevoženja	prevoženje	Ncnsg
državnih	državni	Agpmpgy
dužnosnika	dužnosnik	Ncmpg
.	.	Z

Članak	članak	Ncmsn
180.	180.	Mdo

Ovlašćuje	ovlašćivati	Vmr3s
se	sebe	Px--sa
zapovjednik	zapovjednik	Ncmsn
HRZ-a	HRZ	Npmsg
i	i	Cc
PZO-a	PZO	Npmsg
da	da	Cs
donosi	donositi	Vmr3s
sljedeće	sljedeći	Agpmpay
provedbene	provedbeni	Agpmpay
akte	akt	Ncmpa
:	:	Z

–	–	Agpmsny
Priručnik	priručnik	Ncmsn
za	za	Sa
uporabu	uporaba	Ncfsa
određenog	određen	Agpmsgy
tipa	tip	Ncmsg
vojnog	vojni	Agpmsgy
zrakoplova	zrakoplov	Ncmsg

–	i	Agpfsay
Uputu	uputa	Ncfsa
za	za	Sa
provedbu	provedba	Ncfsa
namjenskih	namjenski	Agpfpgy
zadaća	zadaća	Ncfpg
određenog	određen	Agpmsgy
tipa	tip	Ncmsg
vojnog	vojni	Agpmsgy
zrakoplova	zrakoplov	Ncmsg

–	i	Agpfsay
Uputu	uputa	Ncfsa
o	o	Sl
letenju	letenje	Ncnsl
vojnih	vojni	Agpmpgy
zrakoplova	zrakoplov	Ncmpg

–	i	Agpfsay
Uputu	uputa	Ncfsa
o	o	Sl
planiranju	planiranje	Ncnsl
vojnog	vojni	Agpnsgy
letenja	letenje	Ncnsg

–	i	Agpfsay
Uputu	uputa	Ncfsa
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
osiguranje	osiguranje	Ncnsa
letenja	letenje	Ncnsg

–	i	Agpfsay
Uputu	uputa	Ncfsa
o	o	Sl
organizaciji	organizacija	Ncfsl
prehrane	prehrana	Ncfsg
letača	letač	Ncmpg

–	–	Agpmsny
Program	program	Ncmsn
letačke	letački	Agpfsgy
obuke	obuka	Ncfsg
za	za	Sa
određeni	određen	Agpmsayn
tip	tip	Ncmsan
vojnog	vojni	Agpmsgy
zrakoplova	zrakoplov	Ncmsg

–	i	Agpfpny
Metodičke	metodički	Agpfpny
upute	uputa	Ncfpn
za	za	Sa
provedbu	provedba	Ncfsa
letačke	letački	Agpfsgy
izobrazbe	izobrazba	Ncfsg
ili	ili	Cc
obuke	obuka	Ncfsg
na	na	Sl
određenom	određen	Agpmsly
tipu	tip	Ncmsl
vojnog	vojni	Agpmsgy
zrakoplova	zrakoplov	Ncmsg

–	–	Agpmsny
Program	program	Ncmsn
osposobljavanja	osposobljavanje	Ncnsg
voditelja	voditelj	Ncmpg
letenja	letenje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
181.	181.	Mdo

Ovlašćuje	ovlašćivati	Vmr3s
se	sebe	Px--sa
SSVZP	SSVZP	Pd-nsn
da	da	Cs
radi	radi	Sg
cjelovitog	cjelovit	Agpnsgy
uređenja	uređenje	Ncnsg
uporabe	uporaba	Ncfsg
vojnih	vojni	Agpmpgy
zrakoplova	zrakoplov	Ncmpg
i	i	Cc
vojnog	vojni	Agpnsgy
letenja	letenje	Ncnsg
donese	donijeti	Vmr3s
Uputu	uputa	Ncfsa
za	za	Sa
vojne	vojni	Agpmpay
aerodrome	aerodrom	Ncmpa
.	.	Z

Članak	članak	Ncmsn
182.	182.	Mdo

SSVZP	SSVZP	Npmsn
će	htjeti	Var3s
propisati	propisati	Vmn
oblik	oblik	Ncmsan
,	,	Z
izgled	izgled	Ncmsan
i	i	Cc
način	način	Ncmsan
vođenja	vođenje	Ncnsg
sljedećih	sljedeći	Agpmpgy
dokumenata	dokument	Ncmpg
:	:	Z

–	–	Sg
izvješća	izvješće	Ncnsg
o	o	Sl
izvršenju	izvršenje	Ncnsl
plana	plan	Ncmsg
vojnog	vojni	Agpnsgy
letenja	letenje	Ncnsg

–	–	Sg
radne	radni	Agpfsgy
bilježnice	bilježnica	Ncfsg

–	i	Agpfpny
knjige	knjiga	Ncfpn
pripreme	priprema	Ncfsg
i	i	Cc
raščlambe	raščlamba	Ncfpa
letenja	letenje	Ncnsg

–	i	Agpmsgy
plana	plan	Ncmsg
vojnog	vojni	Agpnsgy
letenja	letenje	Ncnsg

–	–	Z
knjige	knjiga	Ncfpn
voditelja	voditelj	Ncmpg
letenja	letenje	Ncnsg

–	i	Agpfpay
knjige	knjiga	Ncfpa
pomoćnika	pomoćnik	Ncmpg
voditelja	voditelj	Ncmpg
letenja	letenje	Ncnsg

–	–	Sg
dnevnika	dnevnik	Ncmsg
GRB-a	GRB	Npmsg

–	i	Agpfsny
knjiga	knjiga	Ncfsn
evidencije	evidencija	Ncfsg
ugrožavanja	ugrožavanje	Ncnsg
sigurnosti	sigurnost	Ncfsg
letenja	letenje	Ncnsg

–		Agpmpgy
podataka	podatak	Ncmpg
o	o	Sl
obavljenim	obaviti	Agpmply
letovima	let	Ncmpl
.	.	Z

Članak	članak	Ncmsn
183.	183.	Mdo

Primjerak	primjerak	Ncmsn
provedbenih	provedbeni	Agpmpgy
akata	akt	Ncmpg
iz	iz	Sg
članaka	članak	Ncmpg
179.	179.	Mdo
i	i	Cc
180.	180.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
dostavljaju	dostavljati	Vmr3p
se	sebe	Px--sa
SSVZP-u	SSVZP	Npmsd
.	.	Z

XXXV	xxxi	Agpnsny
.	.	Z

STRUKOVNI	strukovni	Agpmsny
NADZOR	nadzor	Ncmsn
VOJNOG	vojni	Agpnsgy
LETENJA	letenje	Ncnsg

Obavljanje	obavljanje	Ncnsn
poslova	posao	Ncmpg
strukovnog	strukovni	Agpmsgy
nadzora	nadzor	Ncmsg
sigurnosti	sigurnost	Ncfsg
vojnog	vojni	Agpnsgy
letenja	letenje	Ncnsg

Članak	članak	Ncmsn
184.	184.	Mdo

Strukovni	strukovni	Agpmsny
nadzor	nadzor	Ncmsn
nad	nad	Si
primjenom	primjena	Ncfsi
odredaba	odredba	Ncfpg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
i	i	Cc
provedbenih	provedbeni	Agpmpgy
propisa	propis	Ncmpg
donesenih	donesen	Agpmpgy
na	na	Sl
temelju	temelj	Ncmsl
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
vojni	vojni	Agpmsayn
zračni	zračan	Agpmsayn
promet	promet	Ncmsan
,	,	Z
vojne	vojni	Agpmpay
aerodrome	aerodrom	Ncmpa
i	i	Cc
vojno	vojni	Agpnsny
letačko	letački	Agpnsny
osoblje	osoblje	Ncnsn
obavlja	obavljati	Vmr3s
SSVZP	SSVZP	Npmsn
,	,	Z
a	a	Cc
poslove	posao	Ncmpa
nadzora	nadzor	Ncmsg
provode	provoditi	Vmr3p
nadzornici	nadzornik	Ncmpn
za	za	Sa
sigurnost	sigurnost	Ncfsa
letenja	letenje	Ncnsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
nadzornici	nadzornik	Ncmpn
)	)	Z
.	.	Z

Članak	članak	Ncmsn
185.	185.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Izvanredni	izvanredan	Agpmsny
strukovni	strukovni	Agpmsny
nadzor	nadzor	Ncmsn
provodi	provoditi	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
potrebi	potreba	Ncfsl
na	na	Sl
temelju	temelj	Ncmsl
Programa	program	Ncmsg
strukovnog	strukovni	Agpmsgy
nadzora	nadzor	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa

