ih	oni	Pp3-pa
zdravstvenu	zdravstven	Agpfsay
djelatnost	djelatnost	Ncfsa
i	i	Cc
liječnika	liječnik	Ncmpg
koji	koji	Pi-mpn
obavljaju	obavljati	Vmr3p
privatnu	privatan	Agpfsay
praksu	praksa	Ncfsa
u	u	Sl
pružanju	pružanje	Ncnsl
neposredne	neposredan	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
građanima	građanin	Ncmpd
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
kvalitetu	kvaliteta	Ncfsa
i	i	Cc
vrstu	vrsta	Ncfsa
zdravstvenih	zdravstven	Agpfpgy
usluga	usluga	Ncfpg
te	te	Cc
ostvarivanja	ostvarivanje	Ncnsg
prava	pravo	Ncnpg
pacijenata	pacijent	Ncmpg
.	.	Z

Stručni	stručan	Agpmsny
nadzor	nadzor	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
Komora	komora	Ncfsn
obavlja	obavljati	Vmr3s
temeljem	temelj	Ncmsi
zakonskih	zakonski	Agpfpgy
ovlasti	ovlast	Ncfpg
,	,	Z
putem	put	Sg
Komisije	komisija	Ncfsg
za	za	Sa
stručni	stručan	Agpmsayn
nadzor	nadzor	Ncmsan
,	,	Z
a	a	Cc
način	način	Ncmsan
organiziranja	organiziranje	Ncnsg
i	i	Cc
provođenja	provođenje	Ncnsg
stručnog	stručan	Agpmsgy
nadzora	nadzor	Ncmsg
uređuje	uređivati	Vmr3s
se	sebe	Px--sa
posebnim	poseban	Agpmsiy
pravilnikom	pravilnik	Ncmsi
Komore	komora	Ncfsg
.	.	Z

Svi	sav	Agpmpny
članovi	član	Ncmpn
Komore	komora	Ncfsg
dužni	dužan	Agpmpny
su	biti	Var3p
aktivno	aktivno	Rgp
i	i	Cc
pasivno	pasivno	Rgp
sudjelovati	sudjelovati	Vmn
u	u	Sl
provođenju	provođenje	Ncnsl
stručnog	stručan	Agpmsgy
nadzora	nadzor	Ncmsg
.	.	Z

V.	V.	Y
STRUČNE	stručan	Agpfsgy
SLUŽBE	služba	Ncfsg
KOMORE	komora	Ncfsg

Članak	članak	Ncmsn
49.	49.	Mdo

Stručne	stručan	Agpfpny
službe	služba	Ncfpn
Komore	komora	Ncfsg
obavljaju	obavljati	Vmr3p
medicinske	medicinski	Agpfpny
,	,	Z
pravne	pravni	Agpfsgy
,	,	Z
financijske	financijski	Agpfsgy
,	,	Z
administrativne	administrativan	Agpfpay
i	i	Cc
ostale	ostali	Agpmpay
poslove	posao	Ncmpa
iz	iz	Sg
djelokruga	djelokrug	Ncmsg
ovlasti	ovlast	Ncfsg
Komore	komora	Ncfsg
.	.	Z

Radom	rad	Ncmsi
stručnih	stručan	Agpfpgy
službi	služba	Ncfpg
upravlja	upravljati	Vmr3s
predsjednik	predsjednik	Ncmsn
Komore	komora	Ncfsg
.	.	Z

VI	VI	Mrc
.	.	Z

IZVORI	izvor	Ncmpn
FINANCIRANJA	financiranje	Ncnsg

Članak	članak	Ncmsn
50.	50.	Mdo

Izvori	izvor	Ncmpn
financiranja	financiranje	Ncnsg
Komore	komora	Ncfsg
jesu	biti	Var3p
:	:	Z

1.	1.	Mdo
upisnina	upisnina	Ncfsn
,	,	Z

2.	2.	Mdo
članarina	članarina	Ncfsn
,	,	Z

3.	3.	Mdo
naknade	naknada	Ncfsg
za	za	Sa
usluge	usluga	Ncfpa
Komore	komora	Ncfsg
,	,	Z

4.	4.	Mdo
donacije	donacija	Ncfsg
,	,	Z

5.	5.	Mdo
ostali	ostali	Agpmpny
izvori	izvor	Ncmpn
.	.	Z

VII	vii	Mrc
.	.	Z

ODOBRENJE	odobrenje	Ncnsn
ZA	za	Sa
SAMOSTALAN	samostalan	Agpmsann
RAD	rad	Ncmsan
(	(	Z
LICENCA	licenca	Ncfsn
)	)	Z

Članak	članak	Ncmsn
51.	51.	Mdo

Liječnik	liječnik	Ncmsn
može	moći	Vmr3s
obavljati	obavljati	Vmn
liječničku	liječnički	Agpfsay
djelatnost	djelatnost	Ncfsa
jedino	jedino	Cc
temeljem	temelj	Ncmsi
Odobrenja	odobrenje	Ncnsg
za	za	Sa
samostalan	samostalan	Agpmsann
rad	rad	Ncmsan
.	.	Z

Odobrenjem	odobrenje	Ncnsi
za	za	Sa
samostalan	samostalan	Agpmsann
rad	rad	Ncmsan
dokazuje	dokazivati	Vmr3s
se	sebe	Px--sa
stručna	stručan	Agpfsny
osposobljenost	osposobljenost	Ncfsn
liječnika	liječnik	Ncmpg
za	za	Sa
samostalno	samostalan	Agpnsay
obavljanje	obavljanje	Ncnsa
liječničke	liječnički	Agpfsgy
djelatnosti	djelatnost	Ncfsg
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Odobrenje	odobrenje	Ncnsn
za	za	Sa
samostalan	samostalan	Agpmsann
rad	rad	Ncmsan
(	(	Z
licenca	licenca	Ncfsn
)	)	Z
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
,	,	Z
obnavlja	obnavljati	Vmr3s
i	i	Cc
uskraćuje	uskraćivati	Vmr3s
rješenjem	rješenje	Ncnsi
kojeg	koji	Pi-msay
donosi	donositi	Vmr3s
Predsjednik	predsjednik	Ncmsn
Komore	komora	Ncfsg
.	.	Z

Postupak	postupak	Ncmsn
izdavanja	izdavanje	Ncnsg
,	,	Z
obnavljanja	obnavljanje	Ncnsg
i	i	Cc
oduzimanja	oduzimanje	Ncnsg
Odobrenja	odobrenje	Ncnsg
za	za	Sa
samostalan	samostalan	Agpmsann
rad	rad	Ncmsan
uređuje	uređivati	Vmr3s
se	sebe	Px--sa
posebnim	poseban	Agpmsiy
pravilnikom	pravilnik	Ncmsi
.	.	Z

VIII	viii	Mrc
.	.	Z

TRAJNA	trajan	Agpfsny
MEDICINSKA	medicinski	Agpfsny
IZOBRAZBA	izobrazba	Ncfsn

Članak	članak	Ncmsn
52.	52.	Mdo

Liječnik	liječnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
i	i	Cc
obvezu	obveza	Ncfsa
stručnog	stručan	Agpnsgy
usavršavanja	usavršavanje	Ncnsg
,	,	Z
koje	koji	Pi-nsn
obuhvaća	obuhvaćati	Vmr3s
:	:	Z

–		Agsnsny
kontinuirano	kontinuiran	Agpnsay
praćenje	praćenje	Ncnsa
razvoja	razvoj	Ncmsg
medicinske	medicinski	Agpfsgy
znanosti	znanost	Ncfsg
,	,	Z

–	i	Agpnsny
stjecanje	stjecanje	Ncnsn
novih	nov	Agpnpgy
znanja	znanje	Ncnpg
i	i	Cc
vještina	vještina	Ncfpg
.	.	Z

Sadržaj	sadržaj	Ncmsn
i	i	Cc
postupak	postupak	Ncmsan
trajne	trajan	Agpfsgy
medicinske	medicinski	Agpfsgy
izobrazbe	izobrazba	Ncfsg
(	(	Z
stručnog	stručan	Agpnsgy
usavršavanja	usavršavanje	Ncnsg
)	)	Z
propisan	propisati	Appmsnn
je	biti	Var3s
posebnim	poseban	Agpmsiy
aktom	akt	Ncmsi
Komore	komora	Ncfsg
.	.	Z

IX	IX	Mrc
.	.	Z

ZAŠTITA	zaštita	Ncfsn
PRAVA	pravo	Ncnsg
ČLANOVA	član	Ncmpg

Članak	članak	Ncmsn
53.	53.	Mdo

Sve	sav	Agpfpny
odluke	odluka	Ncfpn
odnosno	odnosno	Rgp
rješenja	rješenje	Ncnsg
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
prava	pravo	Ncnsg
,	,	Z
obveza	obveza	Ncfsn
i	i	Cc
odgovornosti	odgovornost	Ncfsg
člana	član	Ncmsg
obvezno	obvezno	Rgp
se	sebe	Px--sa
u	u	Sl
pismenom	pismen	Agpmsly
obliku	oblik	Ncmsl
dostavljaju	dostavljati	Vmr3p
članu	član	Ncmsl
s	sa	Si
poukom	pouka	Ncfsi
o	o	Sl
pravnom	pravni	Agpmsly
lijeku	lijek	Ncmsl
.	.	Z

Članak	članak	Ncmsn
54.	54.	Mdo

Protiv	protiv	Sg
odluka	odluka	Ncfpg
tijela	tijelo	Ncnsg
Komore	komora	Ncfsg
kojima	koji	Pi-npd
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
pravima	pravo	Ncnpl
i	i	Cc
obvezama	obveza	Ncfpl
članova	član	Ncmpg
Komore	Komora	Npfsg
,	,	Z
mogu	moći	Vmr3p
se	sebe	Px--sa
podnositi	podnositi	Vmn
odgovarajući	odgovarajući	Agpmpny
pravni	pravni	Agpmpny
lijekovi	lijek	Ncmpn
na	na	Sa
način	način	Ncmsan
propisan	propisan	Agpmsann
zakonom	zakon	Ncmsi
,	,	Z
Statutom	statut	Ncmsi
i	i	Cc
drugim	drugi	Mlompl
aktima	akt	Ncmpi
Komore	komora	Ncfsg
.	.	Z

X.	X.	Y
PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa

Članak	članak	Ncmsn
55.	55.	Mdo

Postupci	postupak	Ncmpn
pred	pred	Si
tijelima	tijelo	Ncmpi
Komore	komora	Ncfsg
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
tijeku	tijek	Ncmsl
na	na	Sa
dan	dan	Ncmsan
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Statuta	statut	Ncmsg
,	,	Z
nastavit	nastaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
prema	prema	Sl
aktima	akt	Ncmpl
na	na	Sl
temelju	temelj	Ncmsl
kojih	koji	Pi-mpg
su	biti	Var3p
i	i	Qo
započeti	započeti	Vmn
.	.	Z

Članak	članak	Ncmsn
56.	56.	Mdo

Izmjene	izmjena	Ncfpn
i	i	Cc
dopune	dopuna	Ncfsg
ovog	ovaj	Pd-msg
Statuta	statut	Ncmsg
donose	donositi	Vmr3p
se	sebe	Px--sa
po	po	Sl
postupku	postupak	Ncmsl
za	za	Sa
donošenje	donošenje	Ncnsa
Statuta	statut	Ncmsg
.	.	Z

Članak	članak	Ncmsn
57.	57.	Mdo

Ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsnn
za	za	Sa
zdravstvo	zdravstvo	Ncnsa
daje	davati	Vmr3s
suglasnost	suglasnost	Ncfsa
na	na	Sa
odredbe	odredba	Ncfpa
ovog	ovaj	Pd-msg
Statuta	statut	Ncmsg
.	.	Z

Ovaj	ovaj	Pd-msn
Statut	statut	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Statuta	statut	Ncmsg
prestaju	prestajati	Vmr3p
važiti	važiti	Vmn
svi	sav	Agpmpny
dosadašnji	dosadašnji	Agpmpny
statuti	statut	Ncmpn
te	taj	Pd-fsg
izmjene	izmjena	Ncfsg
i	i	Cc
dopune	dopuna	Ncfsg
statuta	statut	Ncmsg
koje	koji	Pi-mpa
je	biti	Var3s
donijela	donijeti	Vmp-sf
Skupština	skupština	Ncfsn
Komore	komora	Ncfsg
.	.	Z

Statut	statut	Ncmsn
se	sebe	Px--sa
,	,	Z
po	po	Sl
stupanju	stupanje	Ncnsl
na	na	Sa
snagu	snaga	Ncfsa
,	,	Z
objavljuje	objavljivati	Vmr3s
i	i	Cc
u	u	Sl
»	»	Z
Liječničkim	liječnički	Agpfply
novinama	novina	Ncfpl
«	«	Z
te	te	Cc
na	na	Sl
službenoj	služben	Agpfsly
mrežnoj	mrežni	Agpfsly
stranici	stranica	Ncfsl
Komore	komora	Ncfsg
–	–	Z
www.hlk.hr	www.hlk.hr	X
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
01	01	Mdc
-	-	Z
70/2015/5	70/2015/ti	Vmm2s

Urbroj	urbroj	Ncmsn
:	:	Z
385	385	Mdc
-	-	Z
01	01	Mdc
-	-	Z
70	70	Mdc
-	-	Z
35/2016/25	35/2016/25	Mds

Zamjenik	zamjenik	Ncmsn
predsjednice	predsjednica	Ncfsg
Skupštine	skupština	Ncfsg
Hrvatske	hrvatski	Agpfsgy
liječničke	liječnički	Agpfsgy
komore	komora	Ncfsg
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
Zvonimir	Zvonimir	Npmsn
Lovrić	Lovrić	Npmsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

