kalcifikaciju	kalcifikacija	Ncfsa
)	)	Z
2.3.2.	2.3	Agcnsay
ravnanje	ravnanje	Ncnsa
tla	tlo	Ncnsg
(	(	Z
troškovi	trošak	Ncmpn
usluge	usluga	Ncfsg
rada	rad	Ncmsg
stroja	stroj	Ncmsg
i	i	Cc
ljudi	čovjek	Ncmpg
)	)	Z
2.4.	2.4.	Mdo
izgradnja	izgradnja	Ncfsn
antierozijskih	antierozijski	Agpmsgy
sustava	sustav	Ncmsg
2.4.1.	2.4.1.	Mdo
zemljani	zemljani	Agpmpny
radovi	rad	Ncmpn
,	,	Z
trošak	trošak	Ncmsn
sirovina	sirovina	Ncfpg
i	i	Cc
materijala	materijal	Ncmpg
(	(	Z
kanali	kanal	Ncmpn
za	za	Sa
zadržavanje	zadržavanje	Ncnsa
i	i	Cc
protok	protok	Ncmsan
vode	voda	Ncfsg
brazdama	brazda	Ncfpd
i	i	Cc
/	/	Z
ili	ili	Cc
kolektori	kolektor	Ncmpn
,	,	Z
drenaže	drenaža	Ncfpn
,	,	Z
troškovi	trošak	Ncmpn
izgradnje	izgradnja	Ncfsg
odvodnih	odvodni	Agpmpgy
kanala	kanal	Ncmpg
,	,	Z
izgradnje	izgradnja	Ncfsg
kanala	kanal	Ncmsg
za	za	Sa
zadržavanje	zadržavanje	Ncnsa
vode	voda	Ncfsg
,	,	Z
kolektora	kolektor	Ncmpg
i	i	Cc
podzemnih	podzeman	Agpmpgy
odvoda	odvod	Ncmpg
–	–	Z
usluga	usluga	Ncfpg
rada	rad	Ncmsg
stroja	stroj	Ncmpg
i	i	Cc
ljudi	čovjek	Ncmpg
i	i	Cc
troškovi	trošak	Ncmpn
potrebnog	potreban	Agpmsgy
materijala	materijal	Ncmsg
)	)	Z
2.5.	2.5i	Agpfsny
izgradnja	izgradnja	Ncfsn
terasa	terasa	Ncfpg
i	i	Cc
zidova	zid	Ncmpg
2.5.1.	2.5.1.	Mdo
građevinski	građevinski	Agpmpny
radovi	rad	Ncmpn
,	,	Z
trošak	trošak	Ncmsn
materijala	materijal	Ncmsg
(	(	Z
terasiranje	terasiranje	Ncnsn
,	,	Z
uspostavljanje	uspostavljanje	Ncnsn
ili	ili	Cc
rekonstrukcija	rekonstrukcija	Ncfsn
terasa	terasa	Ncfpg
,	,	Z
sa	sa	Si
ili	ili	Cc
bez	bez	Sg
suhozida	suhozid	Ncmsg
,	,	Z
izgradnja	izgradnja	Ncfsn
ili	ili	Cc
rekonstrukcija	rekonstrukcija	Ncfsn
zidova	zid	Ncmpg
uključujući	uključivati	Rr
i	i	Cc
potrebne	potreban	Agpmpay
temelje	temelj	Ncmpa
–	–	Z
trošak	trošak	Ncmsan
usluge	usluga	Ncfsg
rada	rad	Ncmsg
stroja	stroj	Ncmpg
i	i	Cc
ljudi	čovjek	Ncmpg
)	)	Z
2.6.	2.6.	Mds
tehničke	tehnički	Agpfsgy
instalacije	instalacija	Ncfsg
u	u	Sl
novom	nov	Agpmsly
(	(	Z
premještenom	premjestiti	Appnsly
)	)	Z
i	i	Cc
u	u	Sl
restrukturiranom	restrukturirati	Agpmsly
vinogradu	vinograd	Ncmsl
2.6.1.	2.6.1.	Mdo
trošak	trošak	Ncmsn
izmjene	izmjena	Ncfsg
potporne	potporni	Agpfsgy
strukture	struktura	Ncfsg
u	u	Sl
restrukturiranom	restrukturirati	Agpmsly
vinogradu	vinograd	Ncmsl
2.6.2.	2.6.2.	Mdo
trošak	trošak	Ncmsn
postavljanja	postavljanje	Ncnsg
potporne	potporni	Agpfsgy
strukture	struktura	Ncfsg
u	u	Sl
premještenom	premjestiti	Agpmsly
vinogradu	vinograd	Ncmsl
2.7.	2.7.	Mdo
uvođenje	uvođenje	Ncnsn
ili	ili	Cc
unaprjeđenje	unaprjeđenje	Ncnsa
sustava	sustav	Ncmsg
navodnjavanja	navodnjavanje	Ncnsg
2.7.1.	2.7.1.	Sa
izvođenje	izvođenje	Ncnsa
radova	rad	Ncmpg
sustava	sustav	Ncmsg
navodnjavanja	navodnjavanje	Ncnsg
u	u	Sl
vinogradu	vinograd	Ncmsl
(	(	Z
troškovi	trošak	Ncmpn
usluge	usluga	Ncfsg
rada	rad	Ncmsg
stroja	stroj	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
ljudi	čovjek	Ncmpg
)	)	Z
2.7.2.	2.7.2.	Mdo
kupnja	kupnja	Ncfsn
materijala	materijal	Ncmsg
za	za	Sa
sustav	sustav	Ncmsan
navodnjavanja	navodnjavanje	Ncnsg
u	u	Sl
vinogradu	vinograd	Ncmsl
2.7.3.	2.7.3.	Mdo
oprema	oprema	Ncfsn
,	,	Z
uređaji	uređaj	Ncmpn
i	i	Cc
strojevi	stroj	Ncmpn
ili	ili	Cc
njihovi	njihov	Ps3mpn
dijelovi	dio	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
ugradbena	ugradbeni	Agpfsny
sastavnica	sastavnica	Ncfsn
postojećeg	postojeći	Agpnsgy
ili	ili	Cc
unaprijeđenog	unaprijediti	Agpmsgy
ili	ili	Cc
novog	nov	Agpmsgy
sustava	sustav	Ncmsg
navodnjavanja	navodnjavanje	Ncnsg
u	u	Sl
vinogradu	vinograd	Ncmsl
čiji	čiji	Pi-msn
kapacitet	kapacitet	Ncmsn
je	biti	Var3s
dostatan	dostatan	Agpmsnn
za	za	Sa
navodnjavanje	navodnjavanje	Ncnsa
vinogradarske	vinogradarski	Agpfsgy
površine	površina	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
restrukturira	restrukturirati	Vmr3s
.	.	Z

Napomena	napomena	Ncfsn
:	:	Z
Sukladno	sukladno	Rgp
članku	članak	Ncmsl
8.	8.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
aktivnosti	aktivnost	Ncfsg
s	sa	Si
pripadajućim	pripadajući	Agpmpiy
troškovima	trošak	Ncmpi
iz	iz	Sg
Liste	lista	Ncfsg
dozvoljenih	dozvoljen	Agpmpgy
troškova	trošak	Ncmpg
mogu	moći	Vmr3p
se	sebe	Px--sa
provoditi	provoditi	Vmn
samostalno	samostalno	Rgp
ili	ili	Cc
u	u	Sl
kombinacijama	kombinacija	Ncfpl
unutar	unutar	Sg
jednog	jedan	Mlcmsg
projekta	projekt	Ncmsg
,	,	Z
a	a	Cc
trebaju	trebati	Vmr3p
se	sebe	Px--sa
obavljati	obavljati	Vmn
i	i	Cc
odvijati	odvijati	Vmn
kronološkim	kronološki	Agpmsiy
logičkim	logički	Agpmsiy
redoslijedom	redoslijed	Ncmsi
radi	radi	Sg
postizanja	postizanje	Ncnsg
strukturne	strukturni	Agpfsgy
promjene	promjena	Ncfsg
u	u	Sl
vinogradu	vinograd	Ncmsl
kao	kao	Cs
krajnjeg	krajnji	Agpmsgy
cilja	cilj	Ncmsg
projekta	projekt	Ncmsg
.	.	Z

PRILOG	prilog	Ncmsn
II	ii	Mro
.	.	Z

NAPUTAK	naputak	Ncmsn
ZA	za	Sa
OZNAČAVANJE	označavanje	Ncnsa
ULAGANJA	ulaganje	Ncnsg

Sva	sav	Agpnpny
ulaganja	ulaganje	Ncnpn
koja	koji	Pi-npn
su	biti	Var3p
sufinancirana	sufinancirati	Appnpny
u	u	Sl
okviru	okvir	Ncmsl
Nacionalnog	nacionalan	Agpmsgy
programa	program	Ncmsg
pomoći	pomoć	Ncfsg
sektoru	sektor	Ncmsl
vina	vino	Ncnsg
2014.	2014.	Mdo
–	–	Z
2018.	2018.	Mdo
trebaju	trebati	Vmr3p
sadržavati	sadržavati	Vmn
informacije	informacija	Ncfpa
o	o	Sl
ulozi	uloga	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
sufinanciranju	sufinanciranje	Ncnsd
od	od	Sg
strane	strana	Ncfsg
EU-a	EU	Npmsg
.	.	Z

Označavanje	označavanje	Ncnsn
ulaganja	ulaganje	Ncnsg
je	biti	Var3s
obveza	obveza	Ncfsn
krajnjeg	krajnji	Agpmsgy
korisnika	korisnik	Ncmsg
i	i	Cc
predstavlja	predstavljati	Vmr3s
doprinos	doprinos	Ncmsan
u	u	Sl
informiranju	informiranje	Ncnsl
javnosti	javnost	Ncfsg
o	o	Sl
ulozi	uloga	Ncfsl
EU-a	EU	Npmsg
u	u	Sl
projektu	projekt	Ncmsl
kao	kao	Cs
i	i	Qo
o	o	Sl
rezultatima	rezultat	Ncmpl
projekta	projekt	Ncmsg
i	i	Cc
njegovim	njegov	Agpmpdy
doprinosima	doprinos	Ncmpd
zajednici	zajednica	Ncfsl
.	.	Z

Postupak	postupak	Ncmsn
označavanja	označavanje	Ncnsg
ulaganja	ulaganje	Ncnsg
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
priručniku	priručnik	Ncmsl
Komunikacija	komunikacija	Ncfsn
i	i	Cc
vidljivost	vidljivost	Ncfsn
za	za	Sa
vanjske	vanjski	Agpfpay
aktivnosti	aktivnost	Ncfpa
EK	E	Npmsg
i	i	Cc
na	na	Sl
Uredbi	uredba	Ncfsl
Komisije	komisija	Ncfsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1974/2006.	1974/2006.	Mds

Ulaganja	ulaganje	Ncnpn
unutar	unutar	Sg
programa	program	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
vidljivo	vidljiv	Agpnsny
označena	označiti	Appfsny
pomoću	pomoć	Sg
informativne	informativan	Agpfsgy
ploče	ploča	Ncfsg
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
opis	opis	Ncmsan
ulaganja	ulaganje	Ncnsg
te	te	Cc
slogan	slogan	Ncmsn
i	i	Cc
logo	logo	Ncmsan
Europske	europski	Agpfsgy
unije	unija	Ncfsg
i	i	Cc
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Korisnik	korisnik	Ncmsn
je	biti	Var3s
obvezan	obvezati	Appmsnn
nabaviti	nabaviti	Vmn
odgovarajuću	odgovarajući	Agpfsay
informativnu	informativan	Agpfsay
ploču	ploča	Ncfsa
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
vrsti	vrsta	Ncfsl
ulaganja	ulaganje	Ncnsg
,	,	Z
i	i	Cc
postaviti	postaviti	Vmn
je	biti	Var3s
na	na	Sa
mjesto	mjesto	Ncnsa
ulaganja	ulaganje	Ncnsg
u	u	Sl
trenutku	trenutak	Ncmsl
izdavanja	izdavanje	Ncnsg
Potvrde	potvrda	Ncfsg
o	o	Sl
završenom	završen	Agpnsly
ulaganju	ulaganje	Ncnsl
.	.	Z

Ispunjavanje	ispunjavanje	Ncnsn
ovih	ovaj	Pd-fpg
obveza	obveza	Ncfpg
provjeravat	provjeravati	Vmn
će	htjeti	Var3p
kontrolori	kontrolor	Ncmpn
prilikom	prilikom	Sg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
.	.	Z

Informativna	informativan	Agpfsny
ploča	ploča	Ncfsn
treba	trebati	Vmr3s
ostati	ostati	Vmn
na	na	Sl
mjestu	mjesto	Ncnsl
ulaganja	ulaganje	Ncnsg
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
dana	dan	Ncmpg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
sredstava	sredstvo	Ncmsg
navedenom	navesti	Appmsly
u	u	Sl
Potvrdi	potvrda	Ncfsl
o	o	Sl
završenom	završen	Agpnsly
ulaganju	ulaganje	Ncnsl
.	.	Z

Ulaganja	ulaganje	Ncnpn
u	u	Sa
Restrukturiranje	restrukturiranje	Ncnsa
vinograda	vinograd	Ncmsg

Za	za	Sa
označavanje	označavanje	Ncnsa
ulaganja	ulaganje	Ncnsg
vezanih	vezan	Agpmpgy
uz	uz	Sa
Restrukturiranje	restrukturiranje	Ncnsa
vinograda	vinograd	Ncmsg
Korisnik	korisnik	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
postaviti	postaviti	Vmn
informativnu	informativan	Agpfsay
ploču	ploča	Ncfsa
na	na	Sl
ulazu	ulaz	Ncmsl
u	u	Sa
nasad	nasad	Ncmsan
što	što	Cs
bliže	blizu	Rgc

