radiofrekvencijskog	radiofrekvencijski	Agpmsgy
određenom	određen	Agpmsly
bloku	blok	Ncmsl
koje	koji	Pi-fpa
koristi	koristiti	Vmr3s
u	u	Sl
svojoj	svoj	Px-fsl
mreži	mreža	Ncfsl
,	,	Z
a	a	Cc
svi	sav	Agpmpny
preostali	preostao	Agpmpny
brojevi	broj	Ncmpn
u	u	Sl
tom	taj	Pd-msl
bloku	blok	Ncmsl
su	biti	Var3p
u	u	Sl
mreži	mreža	Ncfsl
jednog	jedan	Mlcmsg
operatora	operator	Ncmsg
kao	kao	Cs
preneseni	prenesen	Agpmpny
brojevi	broj	Ncmpn
,	,	Z
primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
i	i	Cc
davatelj	davatelj	Ncmsn
broja	broj	Ncmsg
mogu	moći	Vmr3p
zatražiti	zatražiti	Vmn
prijenos	prijenos	Ncmsan
prava	pravo	Ncnpg
na	na	Sa
uporabu	uporaba	Ncfsa
brojeva	broj	Ncmpg
sukladno	sukladno	Rgp
Pravilniku	pravilnik	Ncmsd
o	o	Sl
dodjeli	dodjela	Ncfsl
adresa	adresa	Ncfpg
i	i	Cc
brojeva	broj	Ncmpg
.	.	Z

IV	IV	Mrc
.	.	Z

PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa

Propis	propis	Ncmsn
koji	koji	Pi-msn
prestaje	prestajati	Vmr3s
vrijediti	vrijediti	Vmn

Članak	članak	Ncmsn
26.	26.	Mdo

Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
vrijediti	vrijediti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
prenosivosti	prenosivost	Ncfsl
broja	broj	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
br.	br.	Y
100/12	100/12	Mdc
)	)	Z
.	.	Z

Stupanje	stupanje	Ncnsn
na	na	Sa
snagu	snaga	Ncfsa

Članak	članak	Ncmsn
27.	27.	Mdo

Ovaj	ovaj	Pd-msn
pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
svibnja	svibanj	Ncmsg
2015.	2015.	Mdo

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/15	02/15	Mdc
-	-	Z
02/04	02/04	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
376	376	Mdc
-	-	Z
10	10	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
24.	24.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo

Predsjednik	predsjednik	Ncmsn
Vijeća	vijeće	Ncnsg
dr.	dr.	Y
sc.	sc.	Y
Dražen	Dražen	Npmsn
Lučić	Lučić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

DODATAK	dodatak	Ncmsn
1	1	Mdc

ZAHTJEV	zahtjev	Ncmsn
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
(	(	Z
nepokretna	nepokretan	Agpfsny
mreža	mreža	Ncfsn
)	)	Z

PODACI	podatak	Ncmpn
O	o	Sl
KRAJNJEM	krajnji	Agpmsly
KORISNIKU	korisnik	Ncmsl
Pretplatnički	pretplatnički	Agpmsny
broj	broj	Ncmsn
/	/	Z
brojevi	broj	Ncmpn
:	:	Z
Ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
/	/	Z
naziv	naziv	Ncmsn
:	:	Z
Ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
samo	samo	Rgp
za	za	Sa
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
)	)	Z
Kontakt	kontakt	Ncmsan
podaci	podatak	Ncmpn
krajnjeg	krajnji	Agpmsgy
korisnika	korisnik	Ncmsg
:	:	Z
Telefon	telefon	Ncmsn
/	/	Z
mobitel	mobitel	Ncmsn
:	:	Z
e-pošta	e-pošta	Ncfsn
:	:	Z
ADRESA	adresa	Ncfsn
PRIKLJUČKA	priključak	Ncmsg
Poštanski	poštanski	Agpmsny
broj	broj	Ncmsn
:	:	Z
Mjesto	mjesto	Ncnsn
:	:	Z
Ulica	ulica	Ncfsn
i	i	Cc
broj	broj	Ncmsn
:	:	Z
OSTALO	ostali	Agpnsny
Naziv	naziv	Ncmsn
davatelja	davatelj	Ncmpg
broja	broj	Ncmsg
:	:	Z
Naziv	naziv	Ncmsn
primatelja	primatelj	Ncmsg
broja	broj	Ncmsg
:	:	Z
Vremenski	vremenski	Agpmsny
okvir	okvir	Ncmsn
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
:	:	Z
☐	☐	Z
08,00	08,00	Mdc
-	-	Z
11,00	11,00	Mdc
ili	ili	Cc
☐	☐	Z
12,00	12,00	Mdc
-	-	Z
15,00	15,00	Mdc
Zahtjev	zahtjev	Ncmsn
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
je	biti	Var3s
vezan	vezati	Appmsnn
za	za	Sa
veleprodajnu	veleprodajni	Agpfsay
uslugu	usluga	Ncfsa
:	:	Z
☐	☐	Z
Da	da	Cs
☐	i	Agpfpny
Ne	ne	Agpfpny
Usluge	usluga	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
ne	ne	Qz
raskidaju	raskidati	Vmr3p
:	:	Z
☐	☐	Z
Televizija	televizija	Ncfsn
☐	☐	Z
Internet	internet	Ncmsn
☐	☐	Z
Govorna	govorni	Agpfsny
usluga	usluga	Ncfsn
☐	☐	Z
Pristup	pristup	Ncmsn
mreži	mreža	Ncfsl
☐	☐	Z
Niti	niti	Qz
jedna	jedan	Mlcfsn
Vezano	vezano	Rgp
uz	uz	Sa
uslugu	usluga	Ncfsa
pristupa	pristup	Ncmsg
internetu	internet	Ncmsd
zadržavaju	zadržavati	Vmr3p
se	sebe	Px--sa
korisnički	korisnički	Agpmpny
računi	račun	Ncmpn
:	:	Z
☐	☐	Z
web	web	Agpmsny
hosting	hosting	Ncmsn
☐	☐	Z
adrese	adresa	Ncfsg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
☐	☐	Z
svi	sav	Agpmpny
korisnički	korisnički	Agpmpny
računi	račun	Ncmpn

Podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
(	(	Z
dalje	daleko	Rgc
:	:	Z
Zahtjev	zahtjev	Ncmsn
)	)	Z
izričito	izričito	Rgp
izjavljuje	izjavljivati	Vmr3s
da	da	Cs
podnošenjem	podnošenje	Ncnsi
ovog	ovaj	Pd-msg
Zahtjeva	zahtjev	Ncmsg
ujedno	ujedno	Rgp
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
raskid	raskid	Ncmsan
pretplatničkog	pretplatnički	Agpmsgy
odnosa	odnos	Ncmsg
s	sa	Si
davateljem	davatelj	Ncmsi
broja	broj	Ncmsg
ili	ili	Cc
zatvaranje	zatvaranje	Ncnsa
korisničkog	korisnički	Agpmsgy
zapisa	zapis	Ncmsg
svih	sav	Agpfpgy
usluga	usluga	Ncfpg
označenih	označiti	Appfpgy
unutar	unutar	Sg
Zahtjeva	zahtjev	Ncmpg
,	,	Z
tj.	tj.	Y
zahtjev	zahtjev	Ncmsan
za	za	Sa
obustavu	obustava	Ncfsa
svih	sav	Agpfpgy
usluga	usluga	Ncfpg
zahtijevanih	zahtijevati	Appfpgy
od	od	Sg
davatelja	davatelj	Ncmpg
broja	broj	Ncmsg
koje	koji	Pi-fpn
se	sebe	Px--sa
pružaju	pružati	Vmr3p
putem	put	Sg
broja	broj	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
predmet	predmet	Ncmsn
prijenosa	prijenos	Ncmsg
te	te	Cc
daje	davati	Vmr3s
izričito	izričit	Agpnsay
ovlaštenje	ovlaštenje	Ncnsa
primatelju	primatelj	Ncmsl
broja	broj	Ncmsg
da	da	Cs
ovaj	ovaj	Pd-msn
Zahtjev	zahtjev	Ncmsn
uputi	uputiti	Vmr3s
davatelju	davatelj	Ncmsd
broja	broj	Ncmsg
.	.	Z

Podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
potvrđuje	potvrđivati	Vmr3s
da	da	Cs
je	biti	Var3s
obaviješten	obavijestiti	Appmsnn
da	da	Cs
je	biti	Var3s
prigodom	prigoda	Ncfsi
raskida	raskid	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
korištenju	korištenje	Ncnsl
usluge	usluga	Ncfsg
pristupa	pristupati	Vmr3s
internetu	internet	Ncmsd
obvezan	obvezan	Agpmsnn
zatražiti	zatražiti	Vmn
i	i	Cc
isključenje	isključenje	Ncnsa
svih	sav	Agpfpgy
dobivenih	dobiveni	Ncfpg
identifikacijskih	identifikacijski	Agpfpgy
oznaka	oznaka	Ncfpg
(	(	Z
korisničkih	korisnički	Agpmpgy
računa	račun	Ncmpg
)	)	Z
od	od	Sg
postojećeg	postojeći	Agpmsgy
operatora	operator	Ncmsg
elektroničkih	elektronički	Agpfpgy
komunikacija	komunikacija	Ncfpg
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
može	moći	Vmr3s
zadržati	zadržati	Vmn
svoje	svoj	Px-mpa
korisničke	korisnički	Agpmpay
račune	račun	Ncmpa
.	.	Z

Podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
ovime	ovaj	Pd-nsi
izjavljuje	izjavljivati	Vmr3s
da	da	Cs
je	biti	Var3s
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
zadržava	zadržavati	Vmr3s
gore	gora	Ncfpa
zahtijevane	zahtijevati	Agpfpay
usluge	usluga	Ncfpa
s	sa	Si
postojećim	postojeći	Agpmsiy
operatorom	operator	Ncmsi
,	,	Z
spreman	spreman	Agpmsnn
snositi	snositi	Vmn
buduće	budući	Agpmpay
troškove	trošak	Ncmpa
.	.	Z

Podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
svojim	svoj	Px-msi
potpisom	potpis	Ncmsi
potvrđuje	potvrđivati	Vmr3s

