izravnanja	izravnanje	Ncnsg
i	i	Cc
148/2013	148/2013	Mdc
)	)	Z
,	,	Z
imale	imati	Vmp-pf
poseban	poseban	Agpmsann
status	status	Ncmsan
i	i	Cc
u	u	Sl
raspodjeli	raspodjela	Ncfsl
prihoda	prihod	Ncmpg
od	od	Sg
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
imale	imati	Vmp-pf
udio	udjel	Ncmsan
90,0	90,0	Mdc
%	%	Z
,	,	Z
na	na	Sa
način	način	Ncmsan
da	da	Cs
neke	neki	Vmr3s
jedinice	jedinica	Ncfpa
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
,	,	Z
temeljem	temelj	Ncmsi
navedene	naveden	Agpfsgy
Odluke	odluka	Ncfsg
taj	taj	Pd-msan
status	status	Ncmsan
gube	guba	Ncfsg
te	te	Cc
će	htjeti	Var3s
udio	udjel	Ncmsn
tih	taj	Pd-fpg
jedinica	jedinica	Ncfpg
ovim	ovaj	Pd-fpi
Izmjenama	izmjena	Ncfpi
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
iznositi	iznositi	Vmn
60,0	60,0	Mdc
%	%	Z
.	.	Z

Isto	isto	Rgp
tako	tako	Rgp
neke	neki	Pi-fsg
jedinice	jedinica	Ncfpa
,	,	Z
koje	koji	Pi-fpn
temeljem	temelj	Ncmsi
odredaba	odredba	Ncfpg
navedenih	naveden	Agpmpgy
propisa	propis	Ncmpg
nisu	biti	Var3p
imale	imati	Vmp-pf
poseban	poseban	Agpmsann
status	status	Ncmsan
,	,	Z
temeljem	temelj	Ncmsi
navedene	naveden	Agpfsgy
Odluke	odluka	Ncfsg
su	biti	Var3p
razvrstane	razvrstati	Appfpny
u	u	Sa
skupine	skupina	Ncfpa
razvijenosti	razvijenost	Ncfsg
ispod	ispod	Sg
prosjeka	prosjeka	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
što	što	Pi3n-n
će	htjeti	Var3s
također	također	Rgp
utjecati	utjecati	Vmn
na	na	Sa
njihov	njihov	Agpmsayn
proračun	proračun	Ncmsan
,	,	Z
ali	ali	Cc
u	u	Sl
pozitivnom	pozitivan	Agpmsly
smislu	smisao	Ncmsl
,	,	Z
jer	jer	Cs
se	sebe	Px--sa
udio	udjel	Ncmsn
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
tih	taj	Pd-fpg
jedinica	jedinica	Ncfpg
povećava	povećavati	Vmr3s
s	sa	Si
56,5	56,5	Mdc
%	%	Z
na	na	Sa
88,0	88,0	Mdc
%	%	Z
.	.	Z

Radi	raditi	Vmr3s
se	sebe	Px--sa
o	o	Sl
jedinicama	jedinica	Ncfpl
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
koje	koji	Pi-fpn
su	biti	Var3p
temeljem	temelj	Ncmsi
Odluke	odluka	Ncfsg
razvrstane	razvrstati	Appfpny
u	u	Sl
I.	ia	Ncfsl
i	i	Cc
II	ii	Ncfsl
.	.	Z
skupinu	skupina	Ncfsa
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
čija	čiji	Pi-fsn
vrijednost	vrijednost	Ncfsn
indeksa	indeks	Ncmsg
razvijenosti	razvijenost	Ncfsg
ne	ne	Qz
prelazi	prelaziti	Vmr3s
75,0	75,0	Mdc
%	%	Z
prosjeka	prosjeka	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

S	sa	Si
time	taj	Pd-nsi
da	da	Cs
se	sebe	Px--sa
županijama	županija	Ncfpl
na	na	Sl
navedenim	naveden	Agpnply
područjima	područje	Ncnpl
udio	udjel	Ncmsn
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
povećava	povećavati	Vmr3s
s	sa	Si
10,0	10,0	Mdc
%	%	Z
na	na	Sa
12,0	12,0	Mdc
%	%	Z
,	,	Z
što	što	Pi3n-n
donekle	donekle	Rgp
ublažava	ublažavati	Vmr3s
njihov	njihov	Ps3msn
dosadašnji	dosadašnji	Agpmsny
neravnopravan	neravnopravan	Agpmsann
položaj	položaj	Ncmsan
s	sa	Si
ostalim	ostali	Agpfpiy
jedinicama	jedinica	Ncfpi
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfsg
čiji	čiji	Pi-msn
udio	udjel	Ncmsn
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
,	,	Z
do	do	Sg
ovih	ovaj	Pd-mpg
Izmjenama	Izmjenam	Npmsg
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	Zakon	Npmsg
iznosio	iznositi	Vmp-sm
16,0	16,0	Mdc
%	%	Z
,	,	Z
a	a	Cc
sada	sada	Rgp
iznosi	iznositi	Vmr3s
16,5	16,5	Mdc
%	%	Z
.	.	Z

Na	na	Sl
području	područje	Ncnsl
općine	općina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
grada	grad	Ncmsg
na	na	Sl
otoku	otok	Ncmsl
ovim	ovaj	Pd-fpl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
značajno	značajno	Rgp
se	sebe	Px--sa
mijenja	mijenjati	Vmr3s
raspodjela	raspodjela	Ncfsn
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dosadašnju	dosadašnji	Agpfsay
raspodjelu	raspodjela	Ncfsa
.	.	Z

Nenamjenski	nenamjenski	Agpmsny
udio	udjel	Ncmsn
u	u	Sl
dohotku	dohodak	Ncmsl
općine	općina	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
grada	grad	Ncmsg
na	na	Sl
otoku	otok	Ncmsl
se	sebe	Px--sa
povećava	povećavati	Vmr3s
s	sa	Si
56,5	56,5	Mdc
%	%	Z
na	na	Sa
60,0	60,0	Mdc
%	%	Z
.	.	Z

Udio	udjel	Ncmsn
županije	županija	Ncfsg
je	biti	Var3s
sa	sa	Si
16,0	16,0	Mdc
%	%	Z
povećan	povećati	Appmsnn
na	na	Sa
16,5	16,5	Mdc
%	%	Z
.	.	Z

Smanjuje	smanjivati	Vmr3s
se	sebe	Px--sa
udio	udjel	Ncmsn
za	za	Sa
decentralizirane	decentraliziran	Agpfpay
funkcije	funkcija	Ncfpa
s	sa	Sg
dosadašnjih	dosadašnji	Agpmpgy
12,0	12,0	Mdc
%	%	Z
na	na	Sa
6,0	6,0	Mdc
%	%	Z
.	.	Z

Udio	udjel	Ncmsn
za	za	Sa
poziciju	pozicija	Ncfsa
za	za	Sa
pomoći	pomoć	Ncfpa
izravnanja	izravnanje	Ncnsg
za	za	Sa
decentralizirane	decentraliziran	Agpfpay
funkcije	funkcija	Ncfpa
je	biti	Var3s
0,0	0,0	Mdc
%	%	Z
.	.	Z

Udio	udjel	Ncmsn
pozicije	pozicija	Ncfsg
za	za	Sa
pomoći	pomoć	Ncfpa
za	za	Sa
projekte	projekt	Ncmpa
sufinancirane	sufinancirati	Appmpay
sredstvima	sredstvo	Ncnpi
europskih	europski	Agpfpgy
strukturnih	strukturni	Agpfpgy
i	i	Cc
investicijskih	investicijski	Agpmpgy
fondova	fond	Ncmpg
čiji	čiji	Pi-mpn
su	biti	Var3p
nositelji	nositelj	Ncmpn
općine	općina	Ncfsg
,	,	Z
gradovi	grad	Ncmpn
i	i	Cc
županije	županija	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
u	u	Sl
njihovom	njihov	Agpnsly
većinskom	većinski	Agpnsly
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
suvlasništvu	suvlasništvo	Ncnsl
i	i	Cc
ustanovama	ustanova	Ncfpi
čiji	čiji	Pi-mpn
su	biti	Var3p
osnivači	osnivač	Ncmpn
je	on	Pp3fsa
propisano	propisati	Appnsny
1,5	1,5	Mdc
%	%	Z
.	.	Z

Udio	udjel	Ncmsn
koje	koji	Pi-fpn
su	biti	Var3p
općine	općina	Ncfpn
,	,	Z
odnosno	odnosno	Rgp
gradovi	grad	Ncmpn
na	na	Sl
otocima	otok	Ncmpl
izdvajali	izdvajati	Vmp-pm
za	za	Sa
financiranje	financiranje	Ncnsa
kapitalnog	kapitalan	Agpmsgy
projekta	projekt	Ncmsg
od	od	Sg
interesa	interes	Ncmsg
za	za	Sa
razvoj	razvoj	Ncmsan
otoka	otok	Ncmsg
povećava	povećavati	Vmr3s
se	sebe	Px--sa
s	sa	Si
15,5	15,5	Mdc
%	%	Z
na	na	Sa
16,0	16,0	Mdc
%	%	Z
.	.	Z

Do	do	Sg
sada	sada	Rgp
su	biti	Var3p
općine	općina	Ncfpn
i	i	Cc
gradovi	grad	Ncmpn
na	na	Sl
otoku	otok	Ncmsl
,	,	Z
temeljem	temelj	Ncmsi
ove	ovaj	Pd-fsg
odredbe	odredba	Ncfsg
,	,	Z
mogle	moći	Vmp-pf
koristiti	koristiti	Vmn
samo	samo	Rgp
sredstva	sredstvo	Ncnpa
koja	koji	Pi-npn
su	biti	Var3p
prikupili	prikupiti	Vmp-pm
sa	sa	Sg
svog	svoj	Px-nsg
područja	područje	Ncnsg
.	.	Z

Novost	novost	Ncfsn
u	u	Sl
ovim	ovaj	Pd-fpl
Izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
je	biti	Var3s
i	i	Qo
to	taj	Pd-nsn
da	da	Cs
se	sebe	Px--sa
sada	sada	Rgp
od	od	Sg
iznosa	iznos	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
izdvaja	izdvajati	Vmr3s
za	za	Sa
pomoći	pomoći	Vmn
za	za	Sa
financiranje	financiranje	Ncnsa
kapitalnog	kapitalan	Agpmsgy
projekta	projekt	Ncmsg
od	od	Sg
interesa	interes	Ncmsg
za	za	Sa
razvoj	razvoj	Ncmsan
otoka	otok	Ncmsg
,	,	Z
stvara	stvarati	Vmr3s
fond	fond	Ncmsan
kao	kao	Cs
pozicija	pozicija	Ncfsn
u	u	Sl
financijskom	financijski	Agpmsly
planu	plan	Ncmsl
ministarstva	ministarstvo	Ncnsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
regionalni	regionalan	Agpmsayn
razvoj	razvoj	Ncmsan
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
odnosno	odnosno	Rgp
Ministarstvu	ministarstvo	Ncnsd
regionalnoga	regionalan	Agpmsgy
razvoja	razvoj	Ncmsg
i	i	Cc
fondova	fond	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
.	.	Z

Sredstva	sredstvo	Ncnpn
iz	iz	Sg
navedenog	naveden	Agpmsgy
fonda	fond	Ncmsg
namijenjena	namijeniti	Appfsny
su	biti	Var3p
jedinicama	jedinica	Ncfpi
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
na	na	Sl
otoku	otok	Ncmsl
,	,	Z
koji	koji	Pi-mpn
međusobno	međusobno	Rgp
zaključe	zaključiti	Vmr3p
sporazum	sporazum	Ncmsan
o	o	Sl
zajedničkom	zajednički	Agpnsly
financiranju	financiranje	Ncnsl
kapitalnog	kapitalan	Agpmsgy
projekta	projekt	Ncmsg
od	od	Sg
interesa	interes	Ncmsg
za	za	Sa
razvoj	razvoj	Ncmsan
otoka	otok	Ncmsg
.	.	Z

Predviđeno	predvidjeti	Appnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
na	na	Sa
ovaj	ovaj	Pd-msan
način	način	Ncmsan
prikupljena	prikupiti	Appfsny
i	i	Cc
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
neutrošena	neutrošen	Agpnpay
sredstva	sredstvo	Ncnpa
prenose	prenositi	Vmr3p
u	u	Sa
narednu	naredan	Agpfsay
godinu	godina	Ncfsa
.	.	Z

Ovim	ovaj	Agpfpiy
izmjenama	izmjena	Ncfpi
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
udio	udjel	Ncmsn
općine	općina	Ncfsg
i	i	Cc
grada	grad	Ncmsg
u	u	Sl
porezu	porez	Ncmsl
na	na	Sa
promet	promet	Ncmsan
nekretnina	nekretnina	Ncfsn
se	sebe	Px--sa
povećava	povećavati	Vmr3s
sa	sa	Si
60	60	Mdc
%	%	Z
na	na	Sa
80	80	Mdc
%	%	Z
,	,	Z
a	a	Cc
udio	udjel	Ncmsn
države	država	Ncfsg
se	sebe	Px--sa
smanjuje	smanjivati	Vmr3s
s	sa	Si
40	40	Mdc
%	%	Z
na	na	Sa
20	20	Mdc
%	%	Z
.	.	Z
«	«	Z

47.1.	47.1.	Mdo

Vlada	vlada	Ncfsn
je	biti	Var3s
u	u	Sl
P.	P.	Y
Z.	Z.	Y
br.	br.	Y
574	574	Mdc
dalje	daleko	Rgc
obrazložila	obrazložiti	Vmp-sf
:	:	Z

»	i	Agpnsny
Za	za	Sa
provedbu	provedba	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nije	biti	Var3s
potrebno	potreban	Agpnsny
osigurati	osigurati	Vmn
dodatna	dodatan	Agpnpay
financijska	financijski	Agpnpay
sredstva	sredstvo	Ncnpa
u	u	Sl
državnom	državni	Agpmsly
proračunu	proračun	Ncmsl
.	.	Z

Naime	naime	Qo
,	,	Z
provedbom	provedba	Ncfsi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
dolazi	dolaziti	Vmr3s
do	do	Sg
preraspodjele	preraspodjela	Ncfsg
prihoda	prihod	Ncmpg
od	od	Sg
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
i	i	Cc
preraspodjele	preraspodjela	Ncfpa

