ostavljena	ostaviti	Appfsny
u	u	Sl
statutima	statut	Ncmpl
kvalitete	kvaliteta	Ncfsg
ili	ili	Cc
etiketama	etiketa	Ncfpl
sastavljenim	sastaviti	Appmply
od	od	Sg
strane	strana	Ncfsg
profesionalnih	profesionalan	Agpnpgy
tijela	tijelo	Ncnpg
na	na	Sl
razini	razina	Ncfsl
Zajednice	zajednica	Ncfsg
.	.	Z

[	[	Z
5	5	Mdc
]	]	Z
Članak	članak	Ncmsn
22.	22.	Mdo
(	(	Z
3	3	Mdc
)	)	Z
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Države	država	Ncfpn
članice	članica	Ncfpn
će	htjeti	Var3p
osigurati	osigurati	Vmn
da	da	Cs
pružatelji	pružatelj	Ncmpn
na	na	Sa
zahtjev	zahtjev	Ncmsan
primatelja	primatelj	Ncmpg
dostave	dostava	Ncfsg
sljedeće	sljedeći	Agpfsgy
dodatne	dodatan	Agpfpay
informacije	informacija	Ncfpa
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
cijenu	cijena	Ncfsa
usluga	usluga	Ncfpg
kada	kada	Cs
pružatelj	pružatelj	Ncmsn
ne	ne	Qz
određuje	određivati	Vmr3s
unaprijed	unaprijed	Rgp
cijenu	cijena	Ncfsa
za	za	Sa
određenu	određen	Agpfsay
vrstu	vrsta	Ncfsa
usluge	usluga	Ncfsg
,	,	Z
ili	ili	Cc
,	,	Z
ako	ako	Cs
nije	biti	Var3s
moguće	moguć	Agpnsny
dati	dati	Vmn
točnu	točan	Agpfsay
cijenu	cijena	Ncfsa
,	,	Z
metodu	metoda	Ncfsa
izračuna	izračun	Ncmsg
cijene	cijena	Ncfsg
tako	tako	Cs
da	da	Cs
je	biti	Var3s
primatelj	primatelj	Ncmsn
može	moći	Vmr3s
provjeriti	provjeriti	Vmn
;	;	Z
ili	ili	Cc
dovoljno	dovoljno	Rgp
detaljnu	detaljan	Agpfsay
procjenu	procjena	Ncfsa
;	;	Z

(	(	Z
b	b	X
)	)	Z
u	u	Sl
pogledu	pogled	Ncmsl
reguliranih	regulirati	Agpfpgy
profesija	profesija	Ncfpg
,	,	Z
referencu	referenca	Ncfsa
na	na	Sa
profesionalne	profesionalan	Agpmpay
propise	propis	Ncmpa
primjenjive	primjenjiv	Agpmpay
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
osnivanja	osnivanje	Ncnsg
i	i	Cc
način	način	Ncmsan
na	na	Sa
koji	koji	Pi-msan
im	oni	Pp3-pd
pristupiti	pristupiti	Vmn
;	;	Z

(	(	Z
c	C	X
)	)	Z
informacije	informacija	Ncfpa
o	o	Sl
njihovim	njihov	Agpfply
multidisciplinarnim	multidisciplinaran	Agpfply
djelatnostima	djelatnost	Ncfpl
i	i	Cc
partnerstvima	partnerstvo	Ncnpi
koja	koji	Pi-npn
su	biti	Var3p
izravno	izravno	Rgp
povezana	povezan	Agpnpny
s	sa	Si
predmetnom	predmetni	Agpfsiy
uslugom	usluga	Ncfsi
i	i	Cc
o	o	Sl
mjerama	mjera	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
poduzimaju	poduzimati	Vmr3p
u	u	Sa
svrhu	svrha	Ncfsa
sprječavanja	sprječavanje	Ncnsg
sukoba	sukob	Ncmsg
interesa	interes	Ncmsg
.	.	Z

Te	te	Cc
će	htjeti	Var3s
informacije	informacija	Ncfpn
biti	biti	Van
uključene	uključiti	Appfpny
u	u	Sa
svaki	svaki	Pi-msan
informativni	informativan	Agpmsayn
dokument	dokument	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
pružatelji	pružatelj	Ncmpn
daju	dati	Vmr3p
detaljan	detaljan	Agpmsann
opis	opis	Ncmsan
svojih	svoj	Px-fpg
usluga	usluga	Ncfpg
;	;	Z

(	(	Z
d	d	X
)	)	Z
kodekse	kodeks	Ncmpa
ponašanja	ponašanje	Ncnsg
koje	koji	Pi-mpa
pružatelj	pružatelj	Ncmsn
mora	morati	Vmr3s
poštivati	poštivati	Vmn
i	i	Cc
adresu	adresa	Ncfsa
na	na	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
ti	taj	Pd-mpn
kodeksi	kodeks	Ncmpn
mogu	moći	Vmr3p
pronaći	pronaći	Vmn
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
,	,	Z
s	sa	Si
naznakom	naznaka	Ncfsi
dostupne	dostupan	Agpfsgy
jezične	jezični	Agpfsgy
verzije	verzija	Ncfsg
;	;	Z

(	(	Z
e	e	I
)	)	Z
kada	kada	Cs
pružatelj	pružatelj	Ncmsn
mora	morati	Vmr3s
poštivati	poštivati	Vmn
kodeks	kodeks	Ncmsan
ponašanja	ponašanje	Ncnsg
,	,	Z
ili	ili	Cc
član	član	Ncmsn
trgovačke	trgovački	Agpfsgy
udruge	udruga	Ncfsg
ili	ili	Cc
profesionalnog	profesionalan	Agpnsgy
tijela	tijelo	Ncnsg
koje	koji	Pi-nsn
predviđa	predviđati	Vmr3s
rješenje	rješenje	Ncnsa
izvansudskim	izvansudski	Agpnpiy
sredstvima	sredstvo	Ncnpi
rješavanja	rješavanje	Ncnsg
spora	spor	Ncmsg
,	,	Z
informacije	informacija	Ncfpa
u	u	Sl
tom	taj	Pd-msl
pogledu	pogled	Ncmsl
.	.	Z

Pružatelj	pružatelj	Ncmsn
naznačuje	naznačivati	Vmr3s
na	na	Sa
koji	koji	Pi-msan
način	način	Ncmsan
pristupiti	pristupiti	Vmn
detaljnim	detaljan	Agpfpiy
informacijama	informacija	Ncfpi
o	o	Sl
karakteristikama	karakteristika	Ncfpl
i	i	Cc
uvjetima	uvjet	Ncmpl
korištenja	korištenje	Ncnsg
izvansudskih	izvansudski	Agpnpgy
sredstava	sredstvo	Ncnpg
rješavanja	rješavanje	Ncnsg
sporova	spor	Ncmpg
.	.	Z

[	[	Z
6	6	Mdc
]	]	Z
Članak	članak	Ncmsn
24.	24.	Mdo
(	(	Z
2	2	Mdc
)	)	Z
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Države	država	Ncfpn
članice	članica	Ncfpn
će	htjeti	Var3p
osigurati	osigurati	Vmn
da	da	Cs
poslovne	poslovan	Agpfpny
komunikacije	komunikacija	Ncfpn
reguliranih	regulirati	Agpfpgy
profesija	profesija	Ncfpg
poštuju	poštovati	Vmr3p
profesionalne	profesionalan	Agpmpay
propise	propis	Ncmpa
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zakonom	zakon	Ncmsi
Zajednice	zajednica	Ncfsg
,	,	Z
vezane	vezan	Agpfpay
uz	uz	Sa
neovisnost	neovisnost	Ncfsa
,	,	Z
dostojanstvo	dostojanstvo	Ncnsa
i	i	Cc
integritet	integritet	Ncmsan
profesije	profesija	Ncfsg
,	,	Z
te	te	Cc
čuvanje	čuvanje	Ncnsa
poslovnih	poslovan	Agpfpgy
tajni	tajna	Ncfpg
,	,	Z
na	na	Sa
način	način	Ncmsan
dosljedan	dosljedan	Ncmsan
s	sa	Si
posebnim	poseban	Agpmsiy
karakterom	karakter	Ncmsi
svake	svaki	Pi-fsg
profesije	profesija	Ncfsg
.	.	Z

Profesionalni	profesionalan	Agpmpny
propisi	propis	Ncmpn
o	o	Sl
poslovnoj	poslovan	Agpfsly
komunikaciji	komunikacija	Ncfsl
bit	biti	Van
će	htjeti	Var3p
nediskriminatorni	nediskriminatoran	Agpmpny
,	,	Z
opravdani	opravdati	Appmpny
iz	iz	Sg
prioritetnog	prioritetni	Agpmsgy
razloga	razlog	Ncmsg
vezanog	vezan	Agpmsgy
uz	uz	Sa
javni	javan	Agpmsayn
interes	interes	Ncmsan
,	,	Z
te	te	Cc
proporcionalni	proporcionalan	Agpmsny
.	.	Z

[	[	Z
7	7	Mdc
]	]	Z
Članak	članak	Ncmsn
25.	25.	Mdo
(	(	Z
2	2	Mdc
)	)	Z
glasi	glasiti	Vmr3s
:	:	Z
Kada	kada	Rgp
su	biti	Var3p
odobrene	odobren	Agpfpny
multidisciplinarne	multidisciplinaran	Agpfpny
djelatnosti	djelatnost	Ncfpn
između	između	Sg
pružatelja	pružatelj	Ncmpg
,	,	Z
navedene	navesti	Appfpny
u	u	Sl
točkama	točka	Ncfpl
(	(	Z
a	a	Cc
)	)	Z
i	i	Cc
(	(	Z
b	b	X
)	)	Z
stavka	stavka	Ncfsn
1	1	Mdc
,	,	Z
države	država	Ncfpn
članice	članica	Ncfsg
će	htjeti	Var3s
osigurati	osigurati	Vmn
sljedeće	sljedeći	Agpnsay
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
sprječavanje	sprječavanje	Ncnsn
sukoba	sukob	Ncmpg
interesa	interes	Ncmpg
i	i	Cc
neusklađenosti	neusklađenost	Ncfsg
između	između	Sg
određenih	određen	Agpfpgy
djelatnosti	djelatnost	Ncfpg
;	;	Z

(	(	Z
b	b	X
)	)	Z
neovisnost	neovisnost	Ncfsa
i	i	Cc
nepristranost	nepristranost	Ncfsa
potrebne	potreban	Agpfpny
za	za	Sa
određene	određen	Agpfpay
djelatnosti	djelatnost	Ncfpa
;	;	Z

(	(	Z
c	C	Npmsn
)	)	Z
usklađenost	usklađenost	Ncfsn
između	između	Sg
propisa	propis	Ncmpg
koji	koji	Pi-mpn
predvode	predvoditi	Vmr3p
profesionalnu	profesionalan	Agpfsay
etiku	etika	Ncfsa
i	i	Cc
ponašanje	ponašanje	Ncnsa
za	za	Sa
različite	različit	Agpfpay
djelatnosti	djelatnost	Ncfpa
,	,	Z
posebice	posebice	Rgp
u	u	Sl
pogledu	pogled	Ncmsl
pitanja	pitanje	Ncnsg
profesionalne	profesionalan	Agpfsgy
tajnosti	tajnost	Ncfsg
.	.	Z

[	[	Z
8	8	Mdc
]	]	Z
Članak	članak	Ncmsn
23.	23.	Mdo
(	(	Z
1	1	Mdc
)	)	Z
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Države	država	Ncfpn
članice	članica	Ncfpn
mogu	moći	Vmr3p
osigurati	osigurati	Vmn
da	da	Cs
se	sebe	Px--sa
pružatelji	pružatelj	Ncmpn
čije	čiji	Pi-fpn
usluge	usluga	Ncfpn
predstavljaju	predstavljati	Vmr3p
izravan	izravan	Agpmsann
i	i	Cc
osobit	osobit	Agpmsann
rizik	rizik	Ncmsan
za	za	Sa
zdravlje	zdravlje	Ncnsa
ili	ili	Cc
sigurnost	sigurnost	Ncfsn
primatelja	primatelj	Ncmpg
ili	ili	Cc
trećih	treći	Mlofpg
osoba	osoba	Ncfpg
,	,	Z
ili	ili	Cc
za	za	Sa
financijsku	financijski	Agpfsay
sigurnost	sigurnost	Ncfsa
primatelja	primatelj	Ncmpg
,	,	Z
obvežu	obvezati	Vmr3p
na	na	Sa
osiguranje	osiguranje	Ncnsa
od	od	Sg
profesionalne	profesionalan	Agpfsgy
odgovornosti	odgovornost	Ncfsg
primjereno	primjeriti	Appnsny
prirodi	priroda	Ncfsd
i	i	Cc
razmjeru	razmjer	Ncmsl
rizika	rizik	Ncmsg
,	,	Z
ili	ili	Cc
predvidjeti	predvidjeti	Vmn
jamstvo	jamstvo	Ncnsa
ili	ili	Cc
slične	sličan	Agpmpay
uvjete	uvjet	Ncmpa
ekvivalentne	ekvivalentan	Agpfsgy
ili	ili	Cc
usporedne	usporedan	Agpfpny
u	u	Sl
pogledu	pogled	Ncmsl
njihove	njihov	Ps3fsg
svrhe	svrha	Ncfsg
.	.	Z
«	«	Z

[	[	Z
9	9	Mdc
]	]	Z
Članak	članak	Ncmsn
27.	27.	Mdo
(	(	Z
1	1	Mdc
)	)	Z
glasi	glasiti	Vmr3s
:	:	Z
»	»	Z
Države	država	Ncfpn
članice	članica	Ncfpn
će	htjeti	Var3p
poduzeti	poduzeti	Vmn
opće	opći	Agpfpay
mjere	mjera	Ncfpa
u	u	Sa
svrhu	svrha	Ncfsa
osiguranja	osiguranje	Ncnsg
da	da	Cs
pružatelji	pružatelj	Ncmpn
dostave	dostaviti	Vmr3p
kontakt	kontakt	Ncmsan
detalje	detalj	Ncmpa
,	,	Z
posebice	posebice	Rgp
poštansku	poštanski	Agpfsay
adresu	adresa	Ncfsa
,	,	Z
broj	broj	Ncmsan
faksa	faks	Ncmsg
ili	ili	Cc
e-adresu	e-adres	Ncmsl
i	i	Cc
telefonski	telefonski	Agpmsny
broj	broj	Ncmsn
na	na	Sa
koji	koji	Pi-msan
svi	sav	Agpmpny
primatelji	primatelj	Ncmpn
,	,	Z
uključujući	uključivati	Rr
i	i	Qo
one	onaj	Pd-fpn
koji	koji	Pi-mpn
žive	živjeti	Vmr3p
u	u	Sl
drugoj	drugi	Mlofsl
državi	država	Ncfsl
članici	članica	Ncfsl
,	,	Z
mogu	moći	Vmr3p
poslati	poslati	Vmn
prigovor	prigovor	Ncmsan
ili	ili	Cc
zahtjev	zahtjev	Ncmsan
za	za	Si
informacijama	informacija	Ncfpi
o	o	Sl
pruženim	pružiti	Agpfply
uslugama	usluga	Ncfpl
.	.	Z

Pružatelji	pružatelj	Ncmpn
će	htjeti	Var3p
pružiti	pružiti	Vmn
svoju	svoj	Px-fsa
pravnu	pravni	Agpfsay
adresu	adresa	Ncfsa
ako	ako	Cs
to	taj	Pd-nsn
nije	biti	Var3s
njihova	njihov	Ps3fsn
uobičajena	uobičajiti	Appfsny
adresa	adresa	Ncfsn
za	za	Sa
korespondenciju	korespondencija	Ncfsa
.	.	Z

Države	država	Ncfpn
članice	članica	Ncfpn
će	htjeti	Var3p
poduzeti	poduzeti	Vmn
opće	opći	Agpfpay
mjere	mjera	Ncfpa
neophodne	neophodan	Agpfpny
da	da	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osiguralo	osigurati	Vmp-sn
da	da	Cs
pružatelji	pružatelj	Ncmpn
odgovaraju	odgovarati	Vmr3p
na	na	Sa
prigovore	prigovor	Ncmpa
iz	iz	Sg
prvog	prvi	Mlomsg
podstavka	podstavak	Ncmsg
u	u	Sl
najkraćem	kratak	Agsmsly
mogućem	moguć	Agpmsly
roku	rok	Ncmsl
,	,	Z
te	te	Cc
da	da	Cs
ulože	uložiti	Vmr3p
maksimalne	maksimalan	Agpmpay
napore	napor	Ncmpa
u	u	Sa
svrhu	svrha	Ncfsa

