kadeta-pilota	kadeta-pilota	Pi3n-n
DOZVUČNE	dozvučni	Agpmpay
ZRAKOPLOVE	zrakoplov	Ncmpa

Objašnjenje	objašnjenje	Ncnsn
:	:	Z
Ovaj	ovaj	Pd-msn
uvjet	uvjet	Ncmsn
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
osobe	osoba	Ncfpa
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
nezadovoljavanje	nezadovoljavanje	Ncnsa
zahtjeva	zahtjev	Ncmpg
za	za	Sa
let	let	Ncmsan
na	na	Sl
nadzvučnim	nadzvučan	Agpmply
zrakoplovima	zrakoplov	Ncmpl
.	.	Z

Ove	ovaj	Pd-fpn
osobe	osoba	Ncfpn
mogu	moći	Vmr3p
biti	biti	Van
piloti	pilot	Ncmpn
dozvučnih	dozvučan	Agpmpgy
zrakoplova	zrakoplov	Ncmpg
i	i	Cc
helikoptera	helikopter	Ncmpg
.	.	Z

Uvjet	uvjet	Ncmsn
br.	br.	Y
8	8	Mdc

UVJET	uvjet	Ncmsn
ZA	za	Sa
TRANSPORTNE	transportni	Agpmpay
ZRAKOPLOVE	zrakoplov	Ncmpa
I	i	Cc
HELIKOPTERE	helikopter	Ncmpa

Objašnjenje	objašnjenje	Ncnsn
:	:	Z
Ovaj	ovaj	Pd-msn
uvjet	uvjet	Ncmsn
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
ne	ne	Qz
udovoljavaju	udovoljavati	Vmr3p
zahtjevima	zahtjev	Ncmpi
utvrdi	utvrda	Ncfpg
za	za	Sa
let	let	Ncmsan
na	na	Sl
borbenim	borben	Agpmply
zrakoplovima	zrakoplov	Ncmpl
i	i	Cc
helikopterima	helikopter	Ncmpi
.	.	Z

Ove	ovaj	Pd-fpn
osobe	osoba	Ncfpn
su	biti	Var3p
sposobne	sposoban	Agpfpny
za	za	Sa
pilote	pilot	Ncmpa
transportnih	transportni	Agpmpgy
zrakoplova	zrakoplov	Ncmpg
i	i	Cc
helikoptera	helikopter	Ncmpg
.	.	Z

Kada	kada	Rgp
zdravstvena	zdravstven	Agpfsny
komisija	komisija	Ncfsn
za	za	Sa
zrakoplovno	zrakoplovan	Agpnsay
osoblje	osoblje	Ncnsa
izda	izdati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
s	sa	Si
ocjenom	ocjena	Ncfsi
daljnje	daljnji	Agpnsay
liječenje	liječenje	Ncnsa
/	/	Z
dijagnostička	dijagnostički	Agpfsny

